冲
古老师牛逼！！！
第二  热乎
第一个弹幕是我的
ooooooo
滴滴滴
第一第一
第一第一
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
第一第一
古呀老师牛逼
热乎的
我来了，真热乎
我第一都别抢
刚刚
回去了么
哇大制作
抢头条
热乎的
刚刚
第一第一
开了
111
我好快
还差两万年
一分钟，我出息了
热乎
第一第一！
看见我你就不是第一了
古老师牛逼
热乎
古老师牛逼！
达古巴？
第一第一2
来了来了
来了来了三连送上
看到我你们就不是第一了看到我你们就不是第一了
一分钟
古呀老师牛逼
好家伙
很快啊
1播放160点赞
百万特效
一分钟
很快呀
热乎
刚刚!
来早了呀
古老师牛逼
嘟嘟嘴变威猛了
烫嘴的赛罗
芜湖
关上一千的大门
古老师牛逼
古老师牛逼
热乎
2分钟，芜湖，古老师np
古呀老师牛逼！！！
第一奥
封印解除
卧槽
3分钟
古呀老师NB
哇！头一次这么早！
两分钟
想拿我眼镜，你还早两万年
葵葵脆脆
带制作
暂停学表情
百万特效
很快啊
两分钟
宇宙拳法！！！
2分钟 热乎的
哇
古老师牛逼！！！！（破音）
眼镜社畜本体
大制作
百万特效
古老师牛逼！！！
把 高 级 特 效 打在公屏上
燃起来了
古老师牛批！！！
两分钟两分钟！
BGM起
两分钟！
2分钟
帅！
一分钟
凑小子（1/1）
大制作
我猜你们都没看完
两分钟   烫嘴
芜湖～
小胡??
来了
牛皮
你那表情是怎么回事！这李荣浩眼睛又是怎么回事！
两分钟！
古老师牛逼
第一次～刚刚
原来奥特曼就这珠海啊
帅帅帅
3分钟
大制作！
孤行客TUT，王者互赞
什么时候这么拉了呀
燃起来了
前方小高能
阿光又被抢了？
3分钟，热乎
z哥？
这贝利亚怎么说话好像癫痫一样
串味了
?
我可是没有极限的！
哦天呐 古呀还是那么帅
封印解除
哇哈哈哈哈
哟，这不是贝利亚吗，几天不见怎么变得鬼鬼祟祟的了
带制作
封印解除
woc！
高能来了高能来了准备就绪，三连
三分钟烫啊
呦，这不贝利亚吗？什么时候变得这么拉了？
鸭脖人!
卧槽
三分钟
凑小子
全体起立
古呀老师NB
4分钟
woc
哈哈哈哈哈哈哈居然是真人踢了下来
裂开
伏井出K
ohhhhhh
lailai
suai
什么时候这么拉了
卧槽 卧槽 卧槽
几天不见这么拉啦
大制作！
四分钟！！
王之力控制不住了
拉了(doge)
赛罗师傅
热乎
可怜的贝利亚接了那么多赛罗的大招。
古呀老师牛逼！
帅
卧槽
《搞笑表演》
古呀牛皮
牛逼
来中国办签证了么，落下来向警察局报备了么
热乎！
奥特蔑视
4分钟
赛罗牌面
4分钟
good
五分钟
又给他买到正版的了
在杰难逃
hhhh
古老师牛逼！！！
四分钟
wc
冲！！！！
出息了  两分钟
热乎的
把公屏打在牛逼上
五分钟
ohhhhhhhh
五分钟
卧槽
烫嘴
噢噢噢哦哦热热热我就是光
5分钟！
红烧兔腿
五分钟热乎
五分钟！
卧槽？！这年轻人！！
古呀老师牛逼
前排，无敌
先赞再看
战歌奇
5分钟，妈！我出息了！！
这么拉了？
古老师牛逼
泪目
ohhhhhhhhhhhh
热乎的
哇哇哇
+
6分钟！
反派有点帅是怎么回事
热乎
有内味了
感觉没原来有意思了
带制作
赛迦 赛迦！
六分钟，是我迟到了
战歌起
六分钟 煮煮还能吃
bgm炸我出来
这不比斗气化马强一万倍？
古老师牛逼
五分钟烫死
nbnb
卧槽
七分钟
太tm帅了
来了来了
Ohhhh
七分钟
卧槽大制作
大制作
古老师牛逼～-
七分钟，我有出息了！
太正式了反而没原来的感觉了
卧槽
回收预告
哪位道友在此渡劫
牛逼
安库（走错片场）
很快啊
六分钟出息了
贝利亚
ohhh
热乎
热乎的
大制造
歪嘴战神
先赞后看，养成习惯
5分钟，热热还能吃！
叔叔快一点
百万特效
撒加
来了来了
高级特效
热乎的
热乎！
好帅呀越看越帅
原作：石森章太郎
热乎的
8分钟
百万特效
赛迦\^O^/
卧槽，帅炸了
热乎的
《最强大的力量》
热乎
8分钟，好烫
古老师牛逼
厉害
卧槽
已投币
老社畜了 古呀
太燃了
铠甲勇士？
太帅了
异能兽
八分钟，出息了呀～
8分钟，热乎
八分钟
刚刚好
叔叔快一点
2分钟 我出息了
我硬币没了
很牛逼
lailelaile
带制作
看好了吧！这就是我的骑士踢
爱了爱了，燃了燃了
a
九分钟热乎
古老师牛逼！！！
卧槽太帅了
赛少第二帅人间体！
宁王
黑老贝
6666
九分钟
大制作
热乎
10分钟
ohhhhhh
这专场好呀
十分钟
准时
适合反复观看
盖亚：这个落地我只能给6分
十分钟，热乎的
ohhhhh
十分钟
8分钟
十分钟，热乎的！
古老师牛逼
一身挂
10分钟
shus
指充电
牛逼
苏苏快一点
十分钟还能吃
十一分钟晚了
卧槽！帅
系Q
666
看到这你已经是六十六个之后了
古老师牛逼
卧槽
七分钟冲冲冲
十一分钟热乎
ohhhhhhhh
ohhhhh
大制作
古呀老师牛逼
热乎
带制作
不是泰罗吗
10分钟
你是没有极限的！
12分钟
贝利亚：哟这么一说你很牛逼啊，安培拉星人…………贝利亚奥特曼极恶形态危
十分钟热乎的
前排，好耶！
你连自己的女朋友都控制不了 还想拯救世界（
你那对不起是怎么回事？你那走错了又是怎么回事？
66666666
你怎么这么多形态
十二分钟，热乎
指吸到了奥特之王的脚皮
拉了
盖亚:8.5分
卧槽
牛逼啊！！！
古呀老师牛逼
古老师流批
你那表情是怎么回事
卧槽，炸裂
12分钟呀！
哈哈哈哈
究极赛罗
钢骨！
ohhhhhhhhhhhhhhhhhhhhhh
大制作
13分钟
灵魂驼背
13分钟，出息了
看见我你就已经来晚了
十三分钟
古老师牛逼
雷欧抱架（师父真传）
13分钟热乎的
令人？
一人血书出沟吕木
古拳法
可惜币只能投两个
闪耀形态
赛罗
代制作
古老师牛逼！
无限赛罗
来了来了
ohhhhhhhh
意料之外
赛少口音变了哈哈
出现了出现了
14分钟，有点凉了
无限光之赛罗（并不了解）
卧槽
14分钟
牛逼！
14分
古老师牛逼
古老师牛逼
卧槽
这不是贝利亚吗，几年没见这么拉了
14分钟
nb
14分钟
卐 开！
古老师牛逼
13分钟热乎
热乎乎
请把卧槽打在公屏上！
把格局打在公屏上
赛迦（不算赛罗单独形态）
酷毙了
我是没有极限的！
古老师牛逼！
15分钟
赛
古老师牛逼
15分钟，热乎
这是真的没得洗
迦
十六分钟，晚了
芜湖
古呀老师nb
16分钟！
热乎！
害怕
热乎的
。
16分钟，这么燃应该没凉
几天不见，这么拉了？
15分钟！
17分钟，我好前!
强壮日冕形态
十七分钟凉了热热在吃
带制作
3
古老师牛逼
古老师牛逼
18分钟
哇哦
前面的我也觉得
热乎
18分钟！我又相信光了
赛雷布洛（狗头）
你还早两万年呢
亚波人的声音，老师被亚波人上身了！
哈哈哈
突然换脚
nbbbbbbbb！
卧槽
贝利亚！！
大制作
古老师牛啊
古老师牛逼
牛逼牛逼
雷电法王
十九分钟热乎
烫死了
卧槽
嚯
挂             B
几天不见，在这拉了？
太帅了
坐标2:04
原来是贝利亚
大制作
帅炸
你确定不是唐探3
寄生兽吗
20分钟还热乎
啊？你又把阿光实验室偷了？
冲鸭
古老师牛批
几天不见怎么拉了
不行啊杰哥
有那味了
真的牛
解除封印！
烫嘴啊
二十二分钟来晚了
燃起来了
古老师牛逼
老情人见面
古老师牛的
古老师牛逼
热乎的
古呀老师牛逼
来了
你开挂
古老师牛批
经费越来越舍得了
这姿势让我想到了亚煞极勇士
古老师牛逼
再来一哈嗷
抢先一笑
好活
来了
帅是没有极限的
快男
我是没有极限的
带制作
关上十分钟的大门
大制作
燃起来了
阴间特效
二十四分钟！
太帅了!
24分钟
23分钟还能凑合吃
就是要这样拍以前不过瘾
嚯
觉醒
太燃了
25分钟热乎！
66666
二十五
卧槽
古老师真帅
牛逼
帅帅帅帅帅
排面
博人传
古老师牛逼
卧槽
古老师牛批
解除封印
古老师牛逼！
牛牛牛
先赞再看
哈哈哈
帅啊
ohhhhhhhhhhhhhhhhhhhh
演技可以啊
古老师牛逼
鸭脖人
卧槽，鸡皮疙瘩！
ohhhhhhhhhhhhhhh
帅炸
热乎着
27分钟还能吃
牛逼啊！
带制作
牛逼
古老师牛逼！
笑的不对呀（dige）
古呀老师牛逼
吆西
古呀老师牛逼
古老师牛逼
光找错了人
古呀老师牛逼
经费爆炸
卧槽，三分钟
贝利亚不太聪明的牙子
牛蛙
28热乎的
牛逼
二十三分钟
20分钟牛啊，我有出息了
来了来了！
牛逼
古老师牛逼
没想到
卧槽
大制作
29分钟
大制作
30分钟都3w的播放了，天呐
帅
这是我玩了这么多年第一次投币
腿法是跟雷欧学的吗
鸭脖人
27分钟，热乎
！！！！！！！！！！！卧槽牛逼！！！！！！！！！！
