不能看了，在外边了哭出来不好看
我去那个手榴弹什么型号看着像破甲的
致敬
太难了
伟大
唉
好样的
英雄
加大投入，人员，武器，设备，警犬等
这个码好
人民英雄永垂不朽！
，
张从顺的儿子也走了。。。。
看得太难受了
这个石林警官是之前中华之剑里面那位警官吗？
致敬！！
看的心里堵的慌
英雄
该死该死
致敬
这俩人的母亲怎么办？心都死了，丈夫没了，儿子也没了
致敬
致敬
太艰辛了 致敬这些英雄
亡命之徒
苍天庇佑啊
这个警察叔叔应该是中华之剑里那个
致敬
猛男也会落泪，我在屏幕前哭的稀里哗啦
唉
太难受了
请把最好的装备给最可爱的人！
说这句我们的同志牺牲了的同时，我瞬间泪目了
致敬！！！
建议年轻的朋友们重看《中华之剑》，这部片子深深影响过一代人。
命大啊
对的，是他
父子烈士，我想起了
张丛顺烈士的儿子，也是烈士
张子权也是烈士
露脸的警察，都牺牲了。采访过后，好多都牺牲了。致敬英雄！
1
夜晚越黑暗，星星越明亮！
应该增加对一线禁毒人员的防护，缉毒民警面对的都是悍匪
这是中华之剑留守现场那位警官吗
这位也牺牲了
太伤心了
致敬英雄
致敬
重火力 重防护
重火力 重防护 高报酬！
感觉应该是，脸型和眼神很像，他还在，真的好
心酸不敢看，人民英雄万岁！
一路走好
人的羁绊啊
哎，怕死真的不能当
太突然了，虽然做了准备
这一段我真的忍不住
都是英雄
这画面看了好多次了
这是正常的反应
先愣一会，再爆发情绪
老了
应该就是他，长得太像了，致敬，这么多年还坚守在禁毒战线上
这个叔叔是不是中华之剑里面那位？向他致敬
英雄一路走好，致敬！
致敬英雄
泪目
致敬
人民的英雄
满门英烈
泪目了
泪目
奉献了一生
致敬！
为啥一次碰毒终身禁演？这就是原因
致敬
人民英雄万岁
父子皆忠烈
他没有，正在采访的那个就是他，你们是不是眼瞎
致敬英雄。
黄赌毒。。不共戴天。。。
修墙吧
难过
向英雄们致敬
没人买就不会有人卖
致敬！
致敬
勇士
致敬，不该只有这点播放量啊……
兄弟连插曲
这种片，总会让人心痛
致敬
说牺牲的 眼睛可以捐了 刚还有他现在的画面
纪录片中华之剑，建议大家去看看，在b站里就有
好多中华之剑的老面孔 他们都没事 很开心
致敬英雄
这才是正确的打码方式，现在的电视台对缉毒警察的打码太不严谨了
这个后来也牺牲了吗？伤心
"我当不了警察,但我一定当个好的公民,遇上就举报!"
英雄
这些缉毒警的眼睛里都充满了 慈悲
我的家乡临沧，真的是真正的春城，比昆明气候还好，非常的安全，感谢这些人
不要乱说。好好看前面！！！！石林大爷还健在！
英雄
致敬
谢谢你们
致敬
zhui
致敬
致敬英雄！
杀无赦
RGD反坦克手雷
过世了
请您安息
希望最好给变个声
致敬
致敬
泪目了。。。
人民英雄永垂不朽
致敬
难受
这才是真正男子汉
不敢看，难受
长命百岁啊
哭了
都是英雄....
英雄
看的太疼，心里堵的慌
泪目
英雄
致敬
哭了T﹏T
致敬
致敬
........
愣住了
致敬
致敬！
不要用真声，不要露脸啊
给缉毒警官涨工资真的！拿命换我们的安危
这跟战争一样！太残酷了
致敬英雄
这俩是一个人……别瞎说
致敬！那时候那么年轻
致敬
致敬
自信点 对他们只有死刑
就是纪录片的 当时还年轻 现在年龄上来了
有时候看着干警拿着手枪，觉得该配置点更强的火力。
想说一声保护好自己，可我知道你们还是会义无反顾
毒贩总有先换命的机会，很遗憾警察要处在被动一方
诸君断不可忘了1840！我们也要保护警察！
致敬英雄
感谢
致敬这些藏匿于黑暗的英雄，中国的后世会因你们繁荣永世
这个我当时看过，致敬
这声音怎么了？
致敬
致敬
敬礼
致敬
敬礼！
云南是缉毒一线，缉毒警察相比之下更危险！致敬！
致敬，英雄
卧槽
英雄。
不用担心，他还有两个哥哥，老人家生活是没问题的，只是心里。唉！
也走了……
天不想收英雄！
活着的传奇
前面的，眼睛去哪了！人家还好好的！
英雄
他们都是为我们而死
人民英雄 
致敬
能露脸的基本都……
这播放量。也忒低了吧
致敬
致敬
致敬！
同志！
苏制 不是人
天呐这些才是拯救世人的活菩萨啊真心是心里堵得慌
致敬
中华之剑
没打码的好像已经牺牲泪目
致敬
鸦片战争的耻辱都忘了吗
致敬
