啊啊啊
我，第一！！！
35秒
来了
！
啊啊啊啊啊啊啊啊
我是第一个
热乎的！
第二可是真开心嘿！
来啦
一分钟！！！！
来了来了，CC我爱你
哈 第一
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
抢到刚刚了
好看
来了
热的热的
c菌加油！
一分钟！！！！
人呢我靠
看到这，你已经不是第一了
来了
ohhhh！！
哦哦哦哦，cc前排！
第一第一
还热乎的C君
来了
一分钟，热乎
没有高能君咋活
第一次这么早！！！
热乎的！
烫烫烫
来啦
毕竟是实况
两分钟！
1
来了来了
芜湖~~~
热乎 两分钟！
好前！！！
一分钟！！
来了来了！
我好早
好前！
我爱你一分钟！
cc的第一个弹幕！
哇塞
没人嘛，高能君QAQ
这么早？
来了！
话说。。。干嘛都要穿白裙子
来了来了
肾透支c君
呼叫高能君，呼叫高能君
来太早了噗嗤
高能君呢
！热乎的
啧，女主有点帅
前排看片
两分钟
妈妈我来了
声音有点像寡姐
高能君呢 高能君呢
peng
来了
这画面！制作好精良
画面好好啊
前3000！
第一次赶上新鲜的
来了！
你的高能君已上线
弹幕呢啊我透
这是脸着地吧，我去这不破相
完了，来太早没高能
第一次这么前
关上两分钟的大门！
水开了，诚哥快跑
我好早！
爱cc
我来组成弹幕
来了来了
nice
微微
来早了，我好害怕
弹幕护体
保护保护
前排-哈哈哈
终于等到你
冲冲冲！
你的高能君正在赶来途中
弹幕太少了 等会儿再来 我害怕了
有人吗~~~
来了来了
好耶
Here we go！！！
养一波弹幕再看
大片！
期待期待！寒假不孤独啦
来的有点早
四分钟！热乎的
没人呐，好害怕
害怕
完蛋，来早了，好害怕
来了来了
三分钟，来的太早了
我丢，我刚发现是热乎的
啦啦啦，终于抢到前排了
没人吗？来的早了
来啦
五分钟！！！
i了i了
边吃饭边看
大爱c菌
画面不错啊
省电费，真抠
等弹幕热闹了再来
俺来了
没有高能君，刺激
烫手烫手
有谁正在看
热乎的
来了宝贝￼
准备下载观看了
我他mua 前排！烫！
这个镜头好绝
开局手就这么脏的吗
西园寺世界
热乎的！
好耶
高能君在哪里
白色显红
芜湖～～～～等了好久这下起飞
来啦！好靠前哦！
我冲了来了cc！
热乎
来啦～
辛苦啦
来了来了来了
biubiubiubiubiubiu
水开了，谁关一下
弹幕快点多起来！！
。。。
xsl哈哈哈哈哈
这镜头，超凡双生？
完了来太早了！会不会没有高能预警呜呜呜
超热乎的
等高能君上√
杰森
我要急支糖浆
女主好有个性
来啦
哦豁
我来组成头部
企业级理解
用脸刹车
六分钟也还行啦
这次是真的水烧开了。
这画面 刺激啊
呜呜呜呜呜
求高能君
哇哇哇
来跟华子
来早了，来早了
没人？
来了
来了
?
弹幕护盾请尽快充能
我我我第一次来前排
有人吗
为什么没有字幕
髮型像雪莉
没人？？？？？
那都是伤疤吧
来了，热乎的（狗头）
没有弹幕看的害怕
我害怕高能君呢
好棒
来了来了，爷青回
人还没来全，咱们先刷一波保护
崔以诺是大撒子
来太早了，没有高能君，大意了
好早
害pia
打破233个弹幕
热乎的
好早~
谁家水开了
9分钟！
有人
好喜欢好喜欢
弹幕呢，我怕怕
我的妈呀
好家伙真是水开了哈哈哈哈哈哈
真就没人呗
在现场
十分钟热乎!
杰哥？
有人吗
热乎
s1mple: why u bully me
第一次赶上热乎的c君！
来早了
！十分钟
我来证明你开了弹幕
邀请好友上线
在和鬼说话吗
急需高能君
2020第一款游戏实况还历历在目，这么快就2021了
热乎！！！！！
来太早啦，害怕
11分钟
热乎的
昨天错过直播 今天能看视频 开心
啊啊啊啊啊，十分钟热乎
这眼睛好好看！
11分钟！
热乎
高能预警
求高能君
+
好耶
就像在和我聊天一样
第一什么?
芜湖~~~
游戏做的好棒
害怕
画面真不错
这个特殊的能力，说实话，不太想要dog
特别像某个人，就是说不出来
po~po~popo~
太前了.弹幕都没有.
这视角有寂静岭内味儿了
这个视角像是在看电影
水开了
来了来了
热乎的！
我还以为是谁在笑。没
怪奇物语即视感
卡拉
还热乎着的！
热乎乎，回家再看。
我还以为是谁在笑，我很抱歉
111111
那么多葬礼
