呼唤B还行
第一吗
一？
1播放！！！
6666
爷青回
哦豁，第一，热乎
我好快
1
烫
woc这么早就有人了
阿巴阿巴
好前
6
关上前100的大门
大家好awa
来啦
好烫
牛啊
ohhhhhh 
!!
前排我靠
來了來了來了
烫手烫手
没人？
看我刷出了什么
第一次第一
刚刚投稿
好前
沙发
哈哈哈
热乎！
挖藕
来了来了
失踪人口回归
来早了
来了来了
当你看到这条弹幕时你已经不是第一了
OHHHH
我玩这个就没有通关过
芜湖
热的
播放1？？？新片头？！！！
第一！！！！
玩过！
热乎啊
芜湖
第一个
来了来了
一播放37弹幕
1播放量
太烫手了
666
一播放
新鲜
热乎的！！
弹幕太薄了
嘎嘎嘎
我好快
一分钟这可太热乎了
b站有房
忍者蛙啊
来了
好早
热乎的！！！
2人正在看
来了来了
忍者蛙！
有不祥的预感
一分钟
1播放37弹幕
138人正在看
2082
热乎
2分钟2000+播放....
来惹
还活着
o h h h h
热乎的
1022名
砸瓦鲁多
热乎的
这弹幕……
真早
习惯了满屏幕的弹幕现在突然就不习惯了
111
马得绝了
来了来了
？？？？
《我要悄悄的复活，然后吓所有人一跳》
两分钟烫手
爷青回
三分钟
1
来了来了
《龙猪》
两分钟烫手
hhhh
第一次这么早
暗示点赞
热乎的！！
孤寡
芜湖
忍者蛙
这个B暗示什么？暗示着＂币＂，快投币
不是md吗？
新片头？
来了
来了兄弟们
来了来了
忍者蛙
烫手
前卫
这游戏，真的厉害，玩法新颖，关关不同，还有挺多道具
刚出锅的
全新的生命。。。
前
哈哈哈
来了
哦哦哦哦哦哦
这么快，谁能反应过来
第二人称？
厉害了
woc，五分钟
热火
天天酷跑
芜湖
这么早
5分钟！还热乎！
暗示点赞
恶魔城和渣三排面
玩过GB版的，超难
忍者蛙？
当年玩这个感觉好难啊
榨干机能？
还以为是飞竿
6分钟去前
taikuaileba
好耶
哇哦
哦豁
6分钟
强啊 玩法设计上
小时候玩不过这关
大便
太暴力
我靠！我玩过！！
闪翼双星修罗场…
七分钟
太靠前了，没有弹幕都不太习惯
起飞
热乎的
嗷嗷爱你
开起了车
七分钟！！
这关超难
7分钟
铲车众
7分钟这么多弹幕我去
难道是在大英路送外卖，躲避违停汽车、开门杀？
来了
热乎
有不祥的预感
你再骂！！！！
阿——尔——敏——
30年
五分钟！！！！
来了
。
你还是有点自知之明的嘛
弹幕呢？
飞猪骑士
热乎热乎
来了
玩过
敖  厂  长  有  多  快？
自知之明
啪的一下就进来了
开车
热乎！
前面13分钟的，现在才八分钟
铲子骑士～!
我只记得那只脚会变大~
啊啊啊啊啊啊啊啊啊
7
开车这里是童年阴影
3000点赞居然没有弹幕
鬼泣3yyds
不正常！
八分钟1.3万的播放量绝了
哈哈哈哈哈哈哈
为什么没有弹幕？￼
热乎的
童年忍者蛙止步于此
热乎的8分
好烫
5000+正在观看
8分钟
来早了
联想到了奇怪的东西
忍者蛙？
有生之年
一条全新的生命
热乎的
芜湖
2万后
居然是磁带！好高级的说。
还热乎
玩过
你们是世界第几快？
来了
我也是！！！！！！
烫手
这太难了吧
九分钟！
猪 龙 鱼 公 爵
这游戏不是号称FC游戏最难玩的一个嘛
人少，前排
你点赞有了！！！！
这种只能靠背板，很多设计都是反应不过来的
熟悉的音乐
和我一样。，，哈哈哈！我小时候也开车过不去
止步于此
？？？
记得当年就是这里过不去了
小时候把全家都难倒的游戏
这个好玩
暴力
00后玩过奥
最好的双人合作游戏
烫手的还
啊吧啊吧
看前三连
说我年纪大么？
骑行猪
最秀的是md版，各方面完美
耀西
新鲜的！
来了来了
耀西
来了来了
Extend
例如飞车
空屏承包
热乎的
失踪人口回来了
这个没有玩过
猪鲨公爵
阿姨压一压
来了
那是魔界村，神tm恶魔城
真不错
姆巴佩
这关双人的难度简直了
天蓬元帅下凡
猪 鲨 坐 骑
9分钟2万了
12分钟
好难啊
10分钟刚刚好能吃（）
30年了
12分钟
合金弹头5第5关
刷波命
闪翼双星？
童年止步于此
可以
我去，趁热赶上了！
这里乌鸦可以无限弹墙壁刷命
捡肥皂
牛批啊
赶上了
摇摆阳
我来的这么早？
很有意思啊
来了来了
确实，止步于此了
魔界村 鬼泣 忍者蛙
闪翼双星的等等我
能不能向后拉摇杆减速啊
暴力
明示点赞
妈呀烫的
？？？？
hhh这个脚好灵性
来了
烫嘴
热乎的
来了
这游戏骑车那关超难
一样的，太难了
雷曼骑苍蝇？？？
好多人
确实
这关很难，节奏不好把握
好早
越野机车
铲子骑士
魂斗罗表示这我熟
这游戏老难玩了
有人吗
哟
真实
热乎
十四分钟钟后 我来了
就是这关贼难我记得
玩过，以前觉得好难
开快车
15分钟
看到这儿想起来玩儿过
忍者神龟太经典了
战术后仰
13分钟、热乎乎
这算是第二人称视角吗？
形象不好看
热乎烫手
确实很难
我先三连了
第三关劝退
啊这
承包空瓶
新鲜
大象直呼内行
够热
这关要背板
贪吃蛇
来了
我记得我好像玩过一个叫双截龙之忍者蛙
忍三玩家点了个赞
热乎乎
这波啊 提示我们危险驾驶 一命呜呼
ゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴゴ
闪翼双星别跑
真实，这关难度太爆表了……背板都打不过
这版看过全集
