傻猴子，人家在表白呀
好想捏脸
两对都be了
好可爱
这个配音太甜了
不会的，你们有生殖隔离
月色美就是我爱你
以前为什么没觉得这么甜
太可爱了吧！
bgm是什么
甜死了甜死了
猴子你误我！！！
生小猴子这个梗这么早就有啊
狮子和老虎还能生孩子呢
人家是女孩子！讨厌
死猴子，哈哈
好可爱啊！！！
太甜了
红孩子怎么生出来的？
你俩品种不一样不能
可惜紫兰和悟空be了
孙悟空也好可爱啊哈哈哈哈哈
我小时候就觉得阿sa甜
不懂就问，怎么看上她前夫的？
她好可爱
哈哈哈哈
好可爱
瞎了，居然嫁给郑中基
并不是本人声音
这是原音还是配音啊 好可爱哦
以前就觉得好甜
大家去听郑中基的歌啊
紫兰真是小时候的女神
这是阿Sa，姐妹
我辈楷模
啊啊啊啊好可爱
好可爱
觉得原声粤语可爱更自然
适合刺猹！
A sa好可爱
死猴子哈哈哈哈哈哈
怪可爱的哈哈
哈哈哈，她的头饰冬天能当耳罩，暖和
超喜欢紫兰啊，结局哭惨了
风也温柔
心上猴
好甜好甜好甜
好甜好可爱！！
不知不觉看完了 庆幸我已经忘了结局！
我来我来
当年在mp4上看完这个剧
这个配音太可爱了
我还以为是张娜拉，这个造型和刁蛮公主的好像呀
好可爱
声音好甜
好可爱
这女的谁啊？我不是引战
我想起我男朋友也喜欢香蕉哈哈哈哈
一直都超级喜欢 阿sa
好可爱哦
阿sa也太可爱了叭
阿sa好可爱啊
我当年就好喜欢她啊！可爱无敌
张卫健也太可了
太子基媳妇
六道那个你别走
好可爱啊
这个猴子是最帅版本的猴子了呜呜
蔡卓妍
阿sa
好可爱
可她现在也长这样啊
甜死我了操操操！
戏说不是胡说 改编不是乱编
所以她到底是谁
好美好可爱！
张卫健
改编不是乱编
她真的很可爱
露娜
蔡卓妍啊 郑中基前妻
好可爱哈哈哈
阿Sa真的好可爱啊
红孩儿
当年阿Sa也很火啊
这么早就有今晚月色好美了呀
神话里讲生殖隔离
太甜了啊啊啊啊
像我女朋友
血洗。。有那么多血吗？哪里来的血
阿Sa蔡卓妍
好可爱啊啊啊啊啊
超喜欢的
救命啊国配好可爱啊
阿SA
村上春树:啊，这块我懂
这剧糖衣炮弹绝了，最后一下虐得
大家去看粤语版阿！！！
哇，她俩好美
戏说不是不是胡说
好甜哇啊啊啊啊
啊我靠好可爱
太可爱了
不识货
孙悟空有几个妖怪女朋友啊
这谁！
这不是紫霞么
啥电视剧忘了
啊啊啊啊啊
这个配音好好听啊
不行 生殖隔离的
啊，爷青回
六老师震怒
很喜欢她
小时候真的好喜欢
张卫健是真的帅啊！
甜死了
吾辈楷模
啊啊啊啊啊啊
老早破了
你猴毛多，暖和
童年回忆
我全程没有起鸡皮疙瘩这太自然的可爱了
张卫健老帅了
郑中基真的狗
蔡卓妍
老婆！！！！
张卫健 帅啊！！！
有一说一，这个造型居然不雷人
太可爱了啊！！阿sa啊！！！！
生殖隔离，你咋生猴子
傻白甜10分，配音占了5分，相貌3，演技2
阿狸，是你吗？
吾辈楷模
孙悟空有几个妖怪女朋友啊
记得开始是喜欢那个白骨精的
风也温柔
太美啦！
阿娇阿SA我都要
卧槽
最后哭了
哈哈哈哈哈哈好可爱
我不理你了
小猴子会上树
阿sa
好可爱
章老师点名批评
好好看
我以前好喜欢这部剧
什么剧？？？？？？
靓仔靓仔我喜欢你耶
我当年超级喜欢她
孙悟空可以72变
毛不扎的慌吗
关村上什么事，哈哈
这才是傻白甜，啊啊啊啊啊啊啊太可爱了吧
问题我男的觉得这悟空也非常很帅
死猴子哈哈哈哈哈哈
好甜
华农踢树
哈哈哈哈哈哈哈哈哈哈
我上初中那会班长最帅那个男生好喜欢蔡卓妍这个角色
哈哈哈哈哈
BGM：苏公提
小猴子
明显最帅张卫健
阿萨？
哈哈哈哈
TWINS 蔡卓妍
哈哈哈
好想抱抱她
就这？
。就这？
她真的好可爱
求BGM
最后，如来佛都不管他们了，一个变回花，一个化作石头
出道成名曲下一站天后
太美了  我到现在还喜欢的女神
好甜啊
小猴子会上树
诶，靓仔靓仔我爱你诶，诶诶诶诶
这个笑容由我来守护
哈哈哈哈哈哈
真不至于
小时候看这个非常磕这对cp
sa是可爱的
的确可爱
人家是神仙
你们在哪儿看啊
有人开花吗
她！！！好可爱！！！！！
哇好可爱啊
超级超级喜欢她！
现在也好看啊
大笨象会跳舞
她好可爱啊
阿SA真的好甜
张卫健演得太好了
吾辈楷模
生殖隔离是他们孩子不能生育不是生不出孩子啊！！！
唉…可惜两对都BE…没一对是好结局的…虐心…
太好看了吧
可爱
我的初代偶像
通臂猿猴教你做人
后期配音的
空兰szd！！！
现在的00后都不认识阿Sa了吗呜呜呜
哈哈哈哈哈哈
"年轻时认为阿娇好看，目光总会忽略sa,人到中年才发现原来她才是白月光"
生猴子的来源？？。。
阿SA好可爱
神仙没有生殖隔离！他们可以！！！
我以为下蛋。。
在你心里给你一记背刺
还有阿娇嘛？
阿sa蔡卓妍
大笨象会跳舞
可爱
婴儿肥才是王道
猴子就是猴子
她好甜！
当然真的萌死我了。 
蔡卓妍
配音 好喜欢
直男悟空
孙悟空到底有几个女朋友啊
六老师直呼内行
awsl
吾辈楷模
hhh 可爱
戏说不是胡说
孙悟空喊白骨精晶晶，白骨精喊孙悟空空空，人妖颠倒，是非不分
就这
这是配音哦，原音粤语
大笨象会跳舞，
阿撒好可爱啊啊啊
不至于。。
这个猴子也很帅啊
这一版西游记绝对的最强同人版
bgm是什么
爱了爱了
啊啊啊啊
AWSL
糟糕的台词
最喜欢的一版本的孙悟空
生殖隔离草草草
蔡卓妍确实好看
我一直喜欢阿娇 
甜死了
哈哈哈哈好像我跟我男朋友哈哈哈哈
dk好帅啊！一脸毛都这么帅
大结局最感人
吾辈楷模
王冰冰阿
抱她啊!!!!!!!!!
蔡卓妍
为什么喜欢猴子，身上都是毛
不是妖精！是神仙
孙悟空管白骨精叫精精
埃德蒙早期作品
好可爱
好可爱
哈哈哈
让这只不识货的猴子滚开换我来
一般般啦。。。
神话哪来的生殖隔离，许仙白素贞没听过吗
好甜啊
？？？
被搭档拖垮了
好可爱
太可爱了吧
啊啊啊啊
好漂亮
好可爱啊啊啊啊啊
a w s l
郑中基的女朋友
可惜结局…
这谁啊
太可爱了
