来喽
好快
灵能！
好耶
我踏马莱纳！！
难得啊
烫嘴
卧槽
冲
1秒钟播放从一到3000，都买房了吗
快
来咯
难得抢到一次前排
看到我我就是第一了
来早啦 ，屯一下弹幕再来捏
快
好快
全体起立
草
针不戳
谈剧情伤感情
！！！！！
剑风我TM直接揭棺而起
牛牛牛
JOJO赛高
这位更是重量级
真·童年回忆
玛奇玛：我的狗们已经准备好了
全体起立
埼玉早年时期
留给电锯人是吧
飙速宅男爷青回
令和五部曲
确实
卧槽
太好啦！
三百前锋
黄金神威！
全体起立！
握草黄金神威
承包空屏
男孩子贴贴？
我趣，七月档已经快结束了吗（不是）
宇崎学妹好耶
我都忘了前面3部讲什么了
好耶！
好耶！
石之海啊，等你好久了啊
这可太赞同乐
这就有就一万人了
现充货
哦哈哈哈
盲猜播出后会和鬼灭咒回一样
wc灵能
卧槽，XJ有素材了
对吧，冬狮郎
我再也不提足球了！
p5s！
真实
卧槽！！不死！！！
"1,5万＋"
我超，终于更新了
轻音少女是吧
WC，1.5W+
养蛊哈哈哈哈哈
鬼咒唐家 四大天王
没人吗
死神的结局在我看来真的没啥大问题，千年的问题也不是结尾
死火海
真实
死神天下第一
灵能！！！1
死亡足球
CAM
希望别被饭圈搞臭了
为什么每个up都是讲这段
？
美食神威
好耶！！
梦回轻音
不可能是第二个咒术回战，国内绝对无法引进
无良工会！
全体起立
重量级*3
据说有剧情改动，再看吧
好耶
全体起立！
好耶！
这玩意儿竟然还能有第二季
我超
是第四季
哈哈哈哈哈哈
确实，不适合出圈
一果流汗.JPG
幸好是日本，要是国足……
这一段好像在某人的视频里也出现了
灵能真的好看！！！
师傅！小豆超可爱
我关注的∪P更新了！
哈哈哈哈离谱我要看
卧槽！
好耶，芳文社
军曹表示很赞
整林欢的活哈哈哈哈哈哈哈哈哈哈哈哈
我超
怎么这么多足球片
出圈是逃不了了
中国能不能也弄个这样的
就怕变成咒术成天嗑cp
生草
脚疼
好！！！！！！
全体起立
你~好~牛~逼
泛式果然还是忘不了一果啊
中国足球可以借鉴一下
真实，太真实了
秀君！
男主被抓住了未来（doge）
懂了
全体起立！！！
电锯人不可能太出圈
建议男足引进
那我追定了
还有这个?
建议国足采用
向山进发！
我超
期待，反正不用冲会员到b站看
？？？？？
就等你这句话（doge
真实，总之就是非常真实
真的啥都能干啊
全体起立
！
98不是亲自监督嘛，还是有点期待的
爷们要战斗！
极地大乱斗可还行
泛一果可爱捏
保留节目
凉宫春日既视感？？
全体起立！
卧槽
 这不是我看过的第一个十月新番导视，但肯定是最后一个
死神无敌
r18的素晴，都给我去看2333
足球养蛊哈哈哈哈
真实
看，狠狠的看！
一果流汗
前段时候刚看了漫画，期待
善
小黑！！
全体起立！死神牛逼！
10号位
《轻音少女大学篇》
“秀人”
2.5+。。。
第三季其实制作还行
太对味儿了！
完 全 一 致
这也能撞稿的吗
全       完       了
(没有叠甲不好的意思)
K-on！
全体起立！
夜之城见之心伤，哥谭市闻而落泪.jpg
我超，无良工会！
素晴还真要有续作
？？
回复术士的重启人生什么时候出啊（doge）
emm稍加思考，棍勇是什么（装）
凉宫春日？
你这比喻的我有点想看啊
我要哭啦
你跟他用的情节怎么一样啊
真实
惊.jpg
姚 文 春 青
这得有第二季???
宇宙人未来人超能力者
估计电锯要出圈被骂
wc
啊嘞？
joker社
青之芦苇吹爆，  大家可以去看看
好家伙，SOS团是吧
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈他的比喻一直可以的
2.9万+
久保带人的人设以及服装造型设计真的是太潮了，领先时代啊
不战斗就无法生存！
哈哈哈哈哈哈
？？？
卧槽 好好好
起立
这里这段好像所以up都用
草
草
全体起立
死神YYDS！！！！！！！！
呜呜呜，我没看过
建议引进国内
这比喻，好家伙
播不了怎么变成咒术啊？？？
mob
网球王子
小黑子，露出……（doge）
阿莱斯特？
那我开始期待了
？
漫画版强推!!!
搞不好就是下一个死亡笔记
军情六处表示很赞
哈哈哈哈哈哈
剑风！
无良公会居然动画化了
???
我超！不死
这个还挺好看的
p5s
阿莱？
wc，那肯定看啊(bushi
一果可爱捏
没看过诶，这就去看。
这里那个女生是小兰吗？头发和电钻一样
《必追》
是你，屑阿莱！
南下，地球！！！
3.5w+
世界杯年，足球题材确实多
要是国足这么干的话，应该会有所改变吧
哈哈哈哈哈哈哈哈哈
久保代诗人
woc，必追！（bushi）
哦，这个漫画挺好看的
能动就算成功
流弊
黄金神威！
兴奋起来了
秀人——秀——人——
这价值观我是不苟同的
都读心了还有什么秘密
日本队踢球只要一个人是吧？
3.7万
黄金神威啊啊啊啊
还有猫在啦
出第四季了！！！
有没有大专生（）
全体起立
灵能！！！
哈哈哈
死神天下第一！
全年最重量级的一个续作季
真实
和死亡笔记一样，恐惧
这个好
真心觉得一般
梦回三坪房间的侵略者
好好好
无聊，我要看血流成河
骨头社数3你敢信
哇
晚了，已经有人卷到23年1月了
jo太郎是你吗
一果流汗.jpg
这明摆眼馋隔壁孙兴慜嘛
确实，出圈就代表饭圈，像炎拳就不怎么火，挺好的
？
什么间谍过家家
你们足球队是只有前锋吗
牛牛牛，非常有傲气
国足赶紧抄！
笑死，不能等了我现在就要看这个漫画
这脸怎么有种炎炎消防队既视感
万一踢的是人呢
全体起立！
这下子突然就有兴趣了
《超能力闺蜜》
省流:凉宫春日
入间！！！好耶
艾伦？
芜湖
这是少歌续作？
叔叔买不来的
!!!
天麻麻地
电锯人我记得之前也火出圈过，只是动画化又出圈了一波？
必追
sos团
脚踝终结者
御堂筋既视感
这个眼神，还以为要变巨人
加一点
我的评价是，如果死神是这几年的作品，就没咒术什么事了
你说的这个原班人马他包括作者吗（doge）
一定要引入国足
不会再有Kon奇迹了
这个好看好看啊啊漫画也是彩色的！
太真实了
别人漫改，你是梗改
？
太好了
《这   个  “片” 》
我的金卡姆！
金刚腿是吧，铁头功是吧
电锯人！！全体起立！！
这是泛式的一小句……
4.6万人。。。
我超，这是能播的吗？！
哈哈哈哈哈哈哈
卧槽？？？？
说吧，是sos社还是可乐娜庄106室
我就是小黑？？？
应该是最终季了
我就是小黑？？？
卧槽
漫画脑洞而已，国足这么干没有任何作用
好耶！！！
4.8w+
鬼咒唐家锯
剑风！全体起立！
踢几个月足球了啊，快一年了，每个月都踢足球是吧！
有一说一，这部番能出第二季在坐的你我都有责任
300英雄
冷知识：上一个因为出圈被骂到下架的是异世界顶流《无职转生》
突然就想看了）
肃然起敬
这一幕好像棍勇啊草
灵能这次撞上电锯人也是倒霉
可是…我要开学了(T＿T)
凉宫是吧
帅就完了
懂了，男主是鬼道（
草
原作强烈推荐
别把剑风和这帮杂鱼放一起啊kora
请收下我的膝盖
你这么说我可就想看了
MUV复活啦？！！！！爷爷快醒醒！
又是不知道多少个又的史上最强十月
这片儿阿b估计买了也播不了
哇
神!
这可不兴播啊
好！
全体起立！
哈哈哈哈哈哈哈哈
哇酷袜裤
芳文社好耶
《电锯人》给我的最深刻印象就是一股子荒诞主义
这位更是重量级
卧槽？！
佣兵怎么说，佣兵
你说这个我就不困了
只要是美少女干什么都有人看之摇滚
狐斋宫和五百藏
二 岩 猯 藏
看这玩意儿的时候还在那备考呢 结果等第二部分出来都开学了
mob!
0/21/0
我还以为总之就是非常可爱要出第二季了 你这原来不是铺垫啊
轻音是喝茶
