我是第一个
今儿个挺早
哈哈哈空瓶是我的啦
第一第一
烫嘴
空屏是我的啦
哈哈哈哈哈哈
我去，蒜！
第一第一
很快啊
第一是我的
说藏话了
豹姐走路姿势好可爱
狗哥 危
11111
哈哈哈哈哈哈哈
哈哈哈哈啊哈哈哈哈
次奥！（幻听
哈哈哈哈哈
豹姐好可爱
星宝岛
腿给你打折
这才真实哈哈哈哈
画风突变
真干过！
危危危危危危危
我觉得猫哥能一脚踢死星野
危
画风突变
6
兔子你怎么跟个娘们似的
画 风 突 变
好烫好烫
只因哥下手，说走就走
恐龙妈妈提笔忘字
危！！！
危
故意的
空屏是我的辣
漂亮姐姐贴贴！！！
hhhhhh
（一拳）鸡哥:我真就只是普通一脚而已啊…
此时性质就变了
这才是最真实的样子
恐龙妈妈~~~
竟然不是狮子住院
坤哥发挥稳定
先投币，在观看，养成良好的生活习惯
真兄弟。
危
哈哈哈好可爱
哈哈哈哈哈
首页1播放，进来看上万
看见我你就不是第一了
跆拳道比赛（确信
这个游戏还敢带着鸡哥玩？
危危危危
击股传花
狗哥危
豹姐太可爱了！！
难得不是狮子，遭殃
呼啦
这一大飞脚好悬没给我狗哥头踢掉了​
哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
画风突变
哈哈哈哈哈哈
这一击，将贯穿星辰
为什么屏幕外传来笑声
雷欧飞踢
稍纵即逝
鸡哥下手就没轻过
我不是快男
3000+
总之，只有一个x哥绝不能踢哈哈哈哈
哈哈哈哈哈哈哈笑死了
鸡哥：猎杀时刻
笑岔气了
鸡哥:咋回事啊 我不到啊
次奥
豹姐好可爱哈哈哈哈哈
豹姐可爱捏
是故意的
狗哥甚至乖乖撅好了屁股
你该盖（在这）比武呢（doge）
woc，石蒜
才发现BGM是新宝岛
后面笑成傻子了
鸡哥：轻轻一jio应该没事吧
青春哥之鸡哥限定
左腿折了，看情况是狮子踢的
哈哈哈哈哈哈哈哈哈哈哈
bgm是什么啊
怎么画风突变了？
哈哈哈哈哈哈哈哈哈哈哈哈
豹姐好可爱
来咯宝
夜凯！！！！
豹姐这一《嗯~》，我人没了
豹姐哭起来好可爱（doge）
鸡哥玩不起
这一脚把夏天给踹走了。
好耶，美少女贴贴！！！
我寻思着鸡哥也妹用力啊？（挠头
这是我和朋友的画风
记得调小声音！！！
忽略！
忽略（没幻听）
BGM是新宝岛啊
《击股传花》
是我了
《不是故意的》
武  林  中  人
画风突变
《主治医师 熊主任》
莉可丽丝
忽略
1
笑容转移术
你怎么又看了一遍
rider kick
哈哈哈哈哈哈
哥呵呵红红火火
千束与泷濑
10分钟！
11
这一脚给差点狗哥李宁踹开线了
我看了一眼点赞 一开始才有一千多 现在都1.1万 
哈哈哈哈哈哈哈哈哈
我只想笑，为什么
《忽略》
烫嘴
鸡哥一来，必有一伤
是故意的（幻听）
莉可丽斯！
主治医生是熊主任哦
想起千束，哈哈哈
我测
草，真不是故意的（）
我这点硬币是都给你了成天骗我硬币
鸡哥头一次低头
哭得太可爱了
啊啊啊啊啊啊好可爱
像，太像了，简直一样
狮子山东人？
鬼知道我看了多少遍
八门遁甲！死门！开！
默哀是动画里的事，动画外面的我只负责笑
这每一脚都是发自内心的（确信
画风突变
这一脚，踢出了整个盛夏（）
狮子终于不是受伤的那个了
新宝岛好评
狮将军
豹姐:我成寡妇了
肯定急眼了
哈哈哈哈哈鸡哥不知所措的样子好可爱哈哈哈
哈哈哈哈哈鸡哥不知所措的样子好可爱哈哈哈
哈哈哈哈哈鸡哥不知所措的样子好可爱哈哈哈
《猴王出世》
小黑子漏出鸡脚了吧
哈哈哈哈哈鸡哥不知所措的样子好可爱哈哈哈
豹姐好可爱
哈哈哈哈哈
像拳皇里的K
《画风突变》
鸡哥的手手哈哈哈
救命我一直以为他是狮子
刚刚
《恐龙妈妈提笔忘字》
露鸡脚了吧
哈哈哈哈哈哈哈哈哈
忍不了了，笑喷了
哦豁
狮子的小肚腩再次好评啊哈哈哈哈
光穿袜子不穿鞋（bushi
这踢的明明是右边的腿呀 怎么左腿绑着石膏（
亲兄弟
狗哥依旧稳定输出
再来一遍
看了三遍
忽略！
忽略！
要是鸡哥呢？
《画风突变》
莉可莉丝
新宝岛啊
够胆啊，敢踢鸡哥
熊主任身兼多职
你看她笑得多开心
哈哈哈哈哈
哈哈哈哈
《转瞬即逝》
要完蛋了
《鹰爪功》
击股之交（Doge）
霸王龙血统不小心开了是吧
热乎的
豹姐：“你陪我男朋友！”
终于不是狮子遭殃了，不过：狗～～～哥～～～
一库！！！
鱼韵新宝岛警告
一时间居然不知道要看谁
击股之交
这俩就没让我失望过
4000个人出来。
没人注意到狗哥
我还以为躺在里面的会是狮兄
鸡哥一脚，生死难料
一脚给豹姐踢成寡妇
朋友局秒变父子局
屁 这是我第一次看:)（确信）
k的技能
狗哥怎么伤的左腿，鸡哥不是踢的右边吗
没收住力量
忽略！！！
忽略！
忽略！
狗哥危
哈哈哈哈哈
对味辣
《宇将军》
豹姐好可爱哈哈哈
看见这俩兄弟，我就已经开始笑了。
突变
危
哈哈哈哈哈
豹姐哭的好伤心啊 dogo
忽略！！
《焯》
鸡哥：我天生神力啊
哈哈哈哈哈哈哈哈哈哈哈哈
鸡哥：太抱歉啦属实
哈哈哈哈哈哈好可爱
我凑！
右腿骨折，鸡哥没收住啊
哈哈哈哈哈
空降00：01
是蒜捏
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
一脚踹走了整个夏天
新宝岛
豹姐一哭 三连必有
哈哈哈哈哈哈哈哈哈哈哈哈哈
击股之交
又是狗哥受伤的一天
闺蜜贴贴可可爱爱
屁股上的圈是被小羊踢的吗（doge
我t看4遍
踢的右脚伤的左脚
来哒kick！
太逗了
哈哈哈哈哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈
新宝岛
嗷嗷！！！
忽略～～～
狗哥啧 哈哈哈 让你撒粮
《草！走！忽略！》
我擦，狗哥那是尾巴呀，幻视了幻视了
危
嗷嗷在行李箱上！
好怪！再看一遍
我超，xdm，三连有好康的
骑士踢！！！
泷奈:用劲！
鸡神还是猛阿
鸡哥又吃瘪了哈哈哈哈
哈哈哈哈哈
狮子的姿势好妖娆
转瞬即逝
救命好怕突然的暂停 因为没了暂停感觉都是梗
咕嗷嗷↑
HIT!  HIT! HIT! 
RIDER KICK!
画风突变
狗哥住院豹姐也不生气哈哈哈
画风突变
画风突变
哈哈哈哈哈哈哈哈
这俩是tm私人恩怨
嗯哼哼→还我男人！
好可爱阿
一个多小时，烫一下还能吃
《忽 略~》
危
忽略！！！
狗哥你怎么了
狗哥，危
豹姐：嘎—————
第二遍
豹姐适合结婚
《忽略!》
忽略！
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
胡图图同款
胡图图同款
.
《画风突变》
哈哈哈哈哈哈哈哈
雷欧飞踢
你踢我两脚小的我踢你一脚大的没问题吧
忽略
rider kike！
哈哈哈哈哈哈哈哈
我就说歌怎么这么耳熟就是想不起来是啥
哈哈哈 鸡哥第一次低头
其他的是一脚踢出夏天，鸡哥这一脚踢出拐杖
击股之交～
。
哈哈哈哈
开始爆笑哈哈哈
欢迎回来
测！测！测！我测一下
求这个版本的bgm
测！
都多余了
豹姐：你们赔我男朋友呜呜呜呜
哈哈哈哈哈哈哈哈哈哈哈哈或和哈哈哈哈哈哈哈哈哈哈哈哈或哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈或
不是故意的！
sous
噗哈哈哈豹姐好可爱哈哈哈
鬼知道我这里听了多少遍
测
豹姐哭起来好可爱救命
反复观看
3000+你们还有看几遍啊
我以为豹姐右手一直再碰羊羊PP（doge
这才对嘛！
老k哈哈哈哈
高端局
危！
这一脚提出了盛夏。
《忽略～》
故意伤害罪
豹姐太可爱了！！！
哈哈哈哈哈哈哈哈哈哈哈哈哈草
哈哈哈哈哈哈哈哈哈哈或
两小时前！
夜凯
一个左正蹬，一个右鞭腿
本期鸡哥有吃瘪哟！！！
哈哈哈哈哈
狗子：他们手下留情我差点被踢死
喂喂喂，看几遍了
哈哈哈哈哈哈哈哈
蒜
狮子和狗哥那个才是真实情况www
太草了这俩
危！
严重怀疑布偶的尾巴长在背上（）
《c语言》
转瞬即逝
凑
乌拉
这一脚踢出了整个盛夏（bushi
峡谷之巅
新宝岛好评！
您的音乐一修复完成！
这才是我的现实
画风突变
这次终于我第一了
搁着踢毽子呢
狗———哥———
这才正常哈哈哈哈哈
哈哈哈，躺了
哈哈哈哈哈哈
躺了
再来一遍
危
笑死
人是神造的没有进化论
生死局
画风突变
怎么到你们这味就这么冲阿(恼
这个豹豹就是逊啦~
《击股之交》
击  股  之  交
不愧是鸡哥
测
无缝衔接的音乐
重头戏
忽~略！
最后一幕笑死我了
这才是我和死党的正确交流方式
画风突变
都多余了
猫哥压根踢不到吧…
rider kick
活0活现
我看了10遍了
有没有人发现鸡哥是从右边踢的，而狗石膏打的左腿
我也这样玩
这一脚，踢出了整个夏天的住院时间
朝你大胯捏一把
哈哈哈哈哈哈哈哈哈哈哈哈
hhhhh
哈哈哈哈哈哈哈哈哈
冤冤相报何时了（恼）说着又踢一脚
危 字 当 头
