快
我是第一
111
第一第一
忠诚
哈哈哈
可汗勤政！！
没人？
盲猜恰的饭是率土之滨
1
啸惊喜
18.33
盲猜一波率土之滨
先感谢拼多多
太烫了
第一第一
雷公助我！
我超
！！
1
可汗勤政！
意外之喜
低情商：外戚-宦官集团当政
刚刚
可汗勤政！！！
你甚至不愿意介绍一句自己是新人up主
雷公助我
忠诚！
死耗子知道更新了
弹幕还没有呗
几分几秒跑？
忠诚！
《啸惊喜》
忠诚！
古代题材！！！
刚刚
什么地狱笑话
好家伙，异常更新
来嘞
一分钟热乎的
笑死我了
预言一波，游戏广告
《啸 璥 豨》
两分钟
收到暗号！
《真  年轻化》
饭点饭点啊
感谢甲方催更
雷公助我！
刘协这个山阳公当的不算难
看标题就知道是率土了
可汗勤政
东汉把权的不是宦官就是外戚
他年若遂凌云志，敢笑黄巢不丈夫
可汗勤勉
收到暗号
硬核狠人呢？
暗号收到
忠！诚！
《小惊喜》
哈哈哈哈哈哈
人生苦短，及时行乐
《三  权  分  立》
他甚至都不自我介绍了
可汗勤政！！！
可汗勤政
可汗勤政！！！
哈哈哈哈哈哈哈
暗号收
可汗回到了他忠诚的东方
汉章帝18，已经算大龄了
刘辩刘协:你礼貌吗
收到暗号
下面那不是楚团长吗
《小惊喜》
子婴:我算啥
看到我你就不是第一了
口水是吧
可汗进军中原了？！
要不咱猜猜他为啥谥号是“殇”（doge）
风来，雨来，雷来！！
雷公助我
苍天已死通辽当立
啥都不知道就当皇帝了？
舒服
汉冲帝还是个婴儿吧
汉献帝的职业是傀儡（doge）
还有我昭烈皇帝
所以说科举是一个伟大的发明
东汉顶流格局有多大？率土之滨带你走天下！
哪位金主催的更？
懂了，谢谢老板
王多鱼直呼内行
后宫干政
外戚政治
处刑曲
苍天已死，黄天当立！
小杜瓦利埃表示很淦
弹幕呢
三战还是率土，出来见我
烫嘴
居然还不说自己是谁
忠诚！
“先帝在时，每与臣言，莫不痛恨于桓灵也”
毕竟他们没有后代
二百来天死的有皇后吗
忠诚
感谢金主催更
汉质帝：你说的是我吗
Bunga
女性寿命确实比男性高（
太后专权
我尊敬的可汗，你更新的消息从苏门答腊至曾母暗沙，无人不知无人不晓!
汉献帝：就这还是我拉起来的
吕中老师
刘秀献祭子孙寿命发动大陨石术
哈哈哈哈
东汉外戚邓太后一家还算不错
牛皮
111
党锢中人
？？？
看了一眼标签
发现了张角定理(误)
记录宦官的也是文官
我起了，挨我又死了
有人吗……
《吃 痰》
恭迎可汗
精汉真那样
忠诚！
太惨了
哈哈哈哈哈哈
绝对是率土
收到
所以说无子不行啊
因为勇敢牛牛，不怕困难，而宦官……
无子不行
刚刚还是376人
东汉幼儿园
忠！诚！
殇帝：误cue
忠诚
硬核古人
我袁家四世三公，门多故吏，优势在我
董太皇太后
盲猜率土之滨
用膳了
bunga  bunga
勃勃生机宛如井发的境界
新概念年轻
《激情燃烧的岁月》
看讨董联军就知道士族门阀没几个好饼
十常侍
可汗！！！
小伙子你有点不对劲
收到暗号
然而很多士人以自己不能被列为叛党而羞耻
噔噔咚
啊，小约翰仓鼠，你更新的消息从漠河到曾母暗沙，从黑瞎子岛到帕米尔高原，无人不知无人不晓。
来早了
党锢之祸？
为外戚干政创造了有利条件
可汗勤政
刘隆可能还不知道自己是皇帝
宦官外戚交替专权了属于是
自桓帝灵帝以来
？？？？？
羡慕了
可汗勤政！
礼貌：你初一吗？
《挑 战 自 己》
小惊喜：指拿下了相当一部分的土地和人口
ZHONG
阿房宫是吧
是哪个游戏，快说
赵二：吾师也
有jj的人为曾经有jj的是自己人
小奉先～
党锢
大咖登场
所以现代产生了洛阳宫殿有辐射的说法
桓灵二帝
气运给刘秀透支光了
可汗驾到！！！！！
《宦官皇帝》
物理上的激情燃烧
我觉得这是我主在尝试新的题材吧
小演员们真的很无奈
《不止于此》
三 权 顶 立
通辽可汗
那不一般的叫法呢？
朱厚照：是个值得结交的好友
楚云飞是吧
安士之乱
？？？？？？？？？？
大汉，快活王
开裆裤原来是这么发明的
人呢？
但宦官可以杀皇帝~
忠诚。！
还挺好看
通辽顺口溜(1/1)
老摆姓
绝对是游戏广告
好家伙，混熟了自我介绍都没有
无子不行！
别的事情，你们去办，我的事多，要把精力放到娱乐上面。
士族：要没有三互法就更好了
STUFF
大汉元宇宙
？
头铁
要不怎么凑够24代先帝
王璨狂喜
更了更了，鸽宗他更了！！！！！！！！
朱厚照直呼内行
16:17
大约翰柯汉
朱厚照：我学他的
开裆裤？？？？？
大贤良师，天公将军
真刺激
少先队大队长
随时开搞
Bunga Bunga！！​
出师表里点名的两位皇帝
来保定试试
我猜三战
西部世界了属于是
无 子 不 行
可汗……可汗。可汗！！！
右边门环咋没了？
二维码
汉光武帝把气运花光了
剧本杀的软广？
宋太宗点赞
毕竟上一个大臣取代皇帝的人死了近在眼前，士族还没有自己取代皇帝
五人墓碑记？
宦官是最严重的
出师表点名批评的两位
收到
aaa
哈哈哈哈哈南辕北辙了属于是
？？？？？
党锢之祸
朱厚照直呼同行
秀儿啊
苍天已死，黄天当立
三权分立了属于是
还不如咔嚓了呢
哈哈哈哈没想到
《朕，也是宦官的一部分》
本期讲角角的故事？
收到暗号，感谢甲方
搞突袭
皇权可能连洛阳都出不去了
无子不行
党锢
宗族
宋太宗：糟了，我成跟风的了
这期估计是打广告？
*当上皇帝后的阿凡提
新垣结衣
王粲死后友人学驴叫
水龙敬主题汉宫
这人还鼓捣出了一套下水系统。简直绝了
我大汉朝的牛人！
RP店了属于是
这就是西园的由来
我楚奉先，一定帮帮场子！
卖官鬻爵
雷公注我
大家好我是新人up主小约翰可汗
十分良心 沉浸式
？
少了
未尝不叹息痛恨于桓灵也
水龙敬主题游乐园
好！
光义：学费了
诸葛瑾：勿CUE
乱而不损曰灵
宦官和皇帝共享一根。。。
什么学园祭
预言家，快刀
是庙号辣
我直接盲猜感谢甲方爸爸催更
宦官无种（物理
谥号都是灵了能好到哪里去...
一眼率土
牛壁阿，早期的海天盛筵
乱而不损曰灵
忠臣
前面一共俩朝代
陈蕃之榻？
东汉皇帝(高危职业)
可汗勤政
早啊
