好家伙，mc地狱门
细胞人狂喜
时钟室的背景音！
草
我去牛爆了
牛的
宣传片是吧
影流之主
屠龙者终为龙
这背景音乐
再来一遍
柜台左下方是盗贼之海的大方的礼物
！哇好有创意
做的太好了
死亡细胞商店的bgm！
好流畅啊
好像重生细胞
好流畅！
帅啊
商店老板大好人啊
这个表情，笑了
动作好流畅啊！好厉害！
人太好了吧！
原来是这样的吗？！
菜就多练练，换武器没用
小哥买苹果吗？
卧槽
哈哈哈哈哈哈哈笑死
年轻人不讲武德
要是我做我肯定加一个《菜》哈哈哈哈哈
208了
屠龙少年终成龙
提前触发二阶段吧
王手
逃课是吧
可爱诶
必须有一个巫妖王是吧
我以为老板让他用触手去打
索大眼
就没有人注意到刚才开箱子的音效是Mc的吗
肉体坏灭（dogt）
薪王
撬人家皇冠，缺大德
哈哈哈
好熟悉的bgm
我没有东西卖给你，滚！
大眼的触手？
盲猜最后平底锅
要素过多
谁丢的闪
Mc好评
巫妖王
菜就多练练
不是踹进来我不是很认同
舒服了
王室花园bgm
草
肝隐隐作痛
好强
就是重生细胞
看后面背景
《完全一致》
幼，又买新皮肤了
我想说。日后这绝对是个大佬。现在也是大佬
那一刻………
投技
完
死亡细胞哈哈哈
还有mc
忽高忽低的音质
MC开箱音效好评
原来是容器啊(
好清脆！！
酷啊啊啊！！哈哈哈
好家伙
好酷哈哈哈哈
草
好酷！！
MC音效
教堂之枪是吧
紧急救援笑死
无形之刃，最为致命
噗。
卧槽
要素过多
轮回，boss居然是守护者
You die
逃课哈哈哈
都是游戏音效
好家伙，屠龙者终成魔龙是吧（
屠龙少年终成龙...
独臂，大A吗？
剧情都差不多
风灵月影启动
摆烂
太帅了，但是还是更喜欢boss一些，希望主角的造型可以更原创一些
火娃水娃
bgm就是
背景音乐是死亡细胞商人的背景。
前面的纠错：开始界面BGM—《Dead Cells》
mc！
此时无声胜有声
！
这个画风希尔达？
梦幻联动
明明教枪
好家伙大眼萌妹和女王[doge]
想到了英雄联盟里的劫
铁铠冥魂
肉体坏灭
像极了逃课没逃了的我
别挥你那铁签子，再扎着我！！！
肿胀眼魔的烤触手
woc触手
太强了
魂系游戏是吧
帅啊！
细胞？
细胞里的老板你看看人家！学着点！
没双特大环印骑士？
时钟室的bgm!
这个是死亡细胞啊
七彩石的音效
指环王草
这里特效好棒啊！！
劫
一定要有一个。。。巫妖王!
饥荒吗，这个火堆
死亡细胞 MC
他甚至关门
背景
收藏家
抠魔勾斯头上的精灵宝钻
这屑胞人熟悉的BGM
