这肝疼的bgm
终于轮到舟了？
那为啥还要设计最下面那个扣子(
刺客信条
方舟设计之意义不明的带子
我也觉得这类游戏的衣服还是架空点好
妹妹说紫色很有韵味……
如果是冲锋衣可能更适合
其实这也算是方舟的设计风格吧，稍微改一下做成成品日常也能穿
怎么都拿AC当对照
有道理
终于轮到明日方舟了，泪目
其实飙是品牌名，衣服叫幽谷空奏（（
又是AC诶
确实古堡、
刺客信条?
@罗斯
方舟的好像正相反，很多都想塑造成接近现实和有点近未来的状态
双厨狂喜！
姑妈（
这个其实算是方舟的风格，脱离现实又不那么脱离，
来自大佬的点评
哇，刺客信条枭雄
正常人眼里“适应气候变化”：各种GORE-TEX防水料子
这里的“适应气候变化”：（如图）
合理
你有没有听到服装师的悲鸣？（doge）
可是她是打拳的啊
哈哈哈
不一定是缺陷（舔）
选AC大概是比较考究，然后时代涉及很多
然后石棉150+
起飞前取下（无端）
问，就是致敬
看上去确实很像某些音乐剧的戏服
草
拿皇阿尔卑斯山同款，你值得拥有
确实也是火枪手的经典装束
方舟设计特色，意义不明的绑带
《老太太》
Uma musume决胜服（不是）
so selfish
修罗铠甲（乐）
这个带子灵感可能来源于突击队员的垂降鞍座
老太太
你要是她爱人就会觉得浪漫了
“追女人的话，就准备上等的皮裤”——维克多·雨果
问就是源石技术
其实，方舟真的把游戏里的衣服做出来了
二是游戏区视频啊！
ac的话，阿育对历史的考究还是很到位的
不参考就有灵感还能好看，那是大佬啊
双厨狂喜
把医疗部祖传透明衣料拿出来！
ac2的e叔诶
然鹅并不是
老太太（
我一直以为她捆的是警戒线
老太太（笑）
《男装》
巴宝莉很好看，但是可贵了
泰拉特有的材料学（）
老太太
hhhh果然这里有偏差
150但她瘦啊（）
高情商
+1至少别把标露出来啊
蓝花楹
搜查官
老太太（震怒）
高卢遗老（笑）
没撕价签
这个带子看样子是索降用的并不是用来携带弹药的
有 姑妈好耶！！
高卢长袍(bushi)
三个火枪手
爽啊
看你也这么喜欢刺客信条要不下次直接来期刺客信条的视频吧（
草
姑妈单推人狂喜
说的好
主要是放屁鼓包。。
日常乳法（高卢）
怎么都是刺客信条
帝皇之紫（不是）
这也要致敬吗（恼）
意义不明的皮带（1/1）
哈哈哈哈哈
让凯尔希穿（）
基佬紫
邓紫棋
Ezio ！
这就是舟的魅力之一
因为朝龙山会卖同款
老太太）
老太太（
我要是他爱人，，我不已经寄了吗，怎么浪漫（
地震（
这个皮带露出来的绷不住了
不是飒sa吗？？？
枭雄太潮了
好♂帅
这个很洛可可时期海盗风格诶
我不想当她爱人，我只想好好活着不行吗？
这叫女士！！！我的姑妈！！！
乐
我以为是绶带x
生于紫室者（要素察觉
结构确实是索降的，但为什么是有孔的皮带
索降用的，分担绳索的压力
遗迹搜寻穿一字肩……二次元特色吧……
人类高质量设计师？
美少女战士的服装如果没有参考现实就不会这么美啦
折檐帽
二次元是这样的。狗头
求生欲太强了哥！
哈哈哈哈哈哈
薄到透明
我还是喜欢原皮
拜占庭也喜欢hhhh
前面正解，这个可以看作垂降鞍座的变形，类似于耶茨304c
人好看
男。。男装
BBA
笑死
紫色老太太要素太多啦
难道不是罗马吗，落泪
娘T因陀罗（Doge）
搜索潘通，可以看到每年的流行色
彪
又是那个男人嘛？
