彩色箭头好评
刘畊宏男孩女孩跳起来
哈哈哈哈哈哈哈哈哈哈理科天才
《学艺不精》
《数学课代表》
立体搓大招
《说念啥就念啥》
物  理  学  家
必要条件了属于是
不是八两吗（doge）
哈哈哈哈哈哈哈
焰色反应的重学化学
我真的不知道原版歌词是什么了 虽然好像我本来也没太留意原版的歌词
《当炼丹师开始摆烂》
《分类明确》
《 刚  愎  自  用 》
《物理课代表》
《反复强调》
《行尸走肉》
《 血  本  无  归 》
《 坦  白  从  宽 》
《 先  兵  后  礼 》
这么便宜么
半斤八两是哪个年代的事了，现在的半斤就是五两
数学作业
原告：周杰伦
化学课代表
八两就是现在的半斤
波粒二象性
好
手搓大招，
热乎的
这也太便宜了。
优美的中国话
废话区up主
《化学课代表》
《力 的 作 用 是 相 互 的》
开摆好评
正比例函数
《优美的汉字》
明明说几个字然后说英文的周杰伦是屑（
废话区up主
双重搓招
开摆
你特么故意找茬是不是
笑死了
哈哈哈哈哈哈哈哈哈
少用原版骗我
意   气   用  事
后仨字儿新解
教化学吗？
劲舞团
龙舞都不会的地龙
跟字幕抢地方的弹幕都是沙杯
物  理  选  修  三  课  代  表
笑死了
底部弹幕怎么做的
666
《  化  学  课  代  表  》
刚刚口型对上了是最离谱的
地龙一斤怕不是得二百五
糟了，我手动起来了
原告
他物理一直可以的
1000+人正在观看
泪目
哈哈哈哈哈哈哈
兴趣是最好的老师
古代一斤十六两
咋那么像辣妹子？
泪目
弹幕里为什么有刷“焰色反应”“卤族元素”的？
草有波粒二象性的本草纲目
李时珍 撰
说明他没去S
哈哈哈哈哈哈哈哈哈
“几个字”我笑没了
哈哈
？？？
注：八两半斤是旧制，现在的是5两
《《》》
从化学杀到物理
《《》》
《《》》
绝了这立意
只搓方向键不按ABCD是出不了大招的（doge）
原来是原唱没事了
哈哈哈哈哈哈哈哈哈
半斤是八两！
提前离谱
建议改名《元素周期表》
我以为这是原唱
草
南无妙色身如来
你这称有问题啊
宝生永梦！（有端联想）
稀有气体加电压发光
数学带师
草
刘畊宏
这是稀有气体通电，焰色反应是金属离子
《表情管理》
等一下?这不是原唱歌词??
原告：周杰伦
233
《学好数理化，走遍天下都不怕》
量草纠缠
劲舞团啊  哈哈哈哈哈哈哈哈
爱因斯坦附身
这里笑不活了
我明明天天跳本草纲目，但是这个歌词我竟无法反驳，就是原唱（确信）
字字珠玑
怎么就焰色反应了这不是气体嘛
《祖 安 文 学》
事实证明歌好听和词无关
没事你就蹬两脚
说焰色反应的学过化学？
半斤以前是八两，后来改成五两了
这是原唱词？？？不是吧
哈啊哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
好像也没毛病
《字读百遍，其义自见》
《本炒纲目》
《摆起来》
小黑子？
百草纲目
bass箭头好评
《真原唱》
哈哈哈哈哈哈啊哈哈
副歌词儿都不一样，太细了
蚌不住了
。。。。。
我TM要不是听过，差点以为周董就是这么唱的
出现了！你废话文学已破功！
稀有气体
周杰伦唱词儿不清楚很好做空耳吧，
开摆吧
谢谢真的堪比原创
你币有了
光的波粒二象性
《 先  兵  后  礼 》
《能级跃迁》
活字印刷术在结巴这里最适合
凭实力三刷
hhhhhhhhhhh
其实认真听还是可以听出好几个地方改了的
摩托罗拉
原告：李时珍（doge）
橘字瞩目
调音调的也太好了
生草hhhhhh
谁要是跟周杰伦学汉语  画面不忍直视
好有道理
半斤是八两哪个朝代的人了。。。。
《物理课代表》
翻唱周杰伦什么鬼啊哈哈哈哈
《一斤两块五》
可以啊！有点东西
牛啊啊啊！
中药好评
《说到做到》
有区别？
出招表
三连了
没有选项卡吗
一点问题都没有
有想象力
哈哈哈
完全忘记原词 以为这就是原词
nb
劲舞团
原告：周杰伦  被告：周杰伦
彻底忘记原词系列
《本草刚墓》
