小亚诺，你以后还会偷个更不得了的苹果
初见……
宝藏up
好评
雪姨
牛啊
这里说的老康纳，其实说的就是阿基里斯，训练三代主角的那个黑人老头
这里的指针故障也应验了亚诺之前说的那一句永远
友情客串：谢伊•寇马克
先来个三连支持！！！
这一走便是永别
74个小伙伴你们好啊
Ubisoft巨献
投币点赞了
这画质，真是用心了！
你币有了！！！！！！
不冒险不是刺客
这里的场景是真漂亮
that's forever...
吃饭必看
《不要去探险》
5
5
5
5
牛逼啊
5
5
5
5
5
5
5
5
5
5
5
5
5
5
此时雪姨正在完美潜入
5
不！雪姨！
5
5
5
刺客的父母都是高危职业
5
5
4
5
4
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
5
来了来了
5
谢伊来了快跑啊
5
5
5
2
5
5
5
5
5
5
5
5
5
5
5
前面的不要误导，这时候雪姨早就离开美洲，康纳已经横行北美了
5
5
5
5
4
5
5
5
5
5
可以的这段
这里说的不是阿基里斯，这个old是前面的旧账，这说的就是康纳
康师傅已经20岁在打仗了
无缝衔接
5
卧槽有感觉啊
5
背景曲好听
5
5
5
4
4
5
5
5
4
5
5
5
最爱的一部
5
5
5
5
5
5
4
5
5
That's forever
此时鳕鱼
我当年为了这个游戏换的970，再往后就没有玩的兴趣了
欧洲的东西拍出一股英美的感觉
卧槽
刀啊
我次奥，这画质
是雪姨！
当年这游戏叫bug命。。
这几个镜头我tm都以为是真的
我第一次玩的时候这个亚诺隐身了
法兰西低空飞行家上线
这是叛变的语音
此康纳非彼康纳
大制作
好家伙
穿模了、
我还以为是anno
育碧和up主巨献
做得太好了
叛变的画面
三连奉上
绝了，up太赞了
这画质，爱了爱了
危
这场景转换，有意蕴了
育碧巨献
豆瓣那边怎么说
热乎的
特别出演：谢伊·寇马克
礼赞
有叛变恭喜币有了
饭中食用最佳
799人
真的有感觉
确实有内味儿了
这tm比我自己玩的时候还清楚的神仙画质
没有亲人的旅途开始了
谢姨
雪姨即将出现
力量越大，责任越大
快乐台
爱丽丝，我的爱丽丝呜呜呜
雪姨要来了
雪姨上
雪姨
哇刚背景里的心跳声
哇哇 新鲜
俺最喜欢的刺客之一亚诺
2:19:55
爱情出现了
要真没冒险可能就被谢伊给干掉了
谢姨
致命建模bug，不愧是你，育碧
1000个小伙伴你们好阿
牛逼
1000+个小伙伴你们好啊
理念对立，还是世仇。
有内味了
可惜这哥们没了
凡爾賽生活
"全世界最愛英語的不是英國人,是法國人"
天哪好心疼那时的底层人民，活着根本没有未来
hao!@
為什么不大叫
6666
当年显卡杀手不是
最爱的一部，至今保存在硬盘中
謝伊！
必须狠狠地收藏！
雪姨
UP主有心了
这个太棒了
嘿嘿
绝了呀，真的跟电影一样
康纳没有后续来到欧洲清算雪姨，指点迷茫的亚诺是我对剧情幻想的最大遗憾
牛逼
盲猜一语成谶
bgm是啥
先整个三连
谢伊 好耶
康纳？
先点个赞！
不管了，先三连
1000+你们好啊
换970+1
水中贵族——百岁山
谢伊
拿破仑。波拿巴
就这时长必须给三连，辛苦了up
像鬼娃恰奇
谢伊
真的假的，都能出电影？
这是一个黄色的世界
是我杀的你啊哈哈哈哈哈
flag飞起
来个蝙蝠侠笑话
面部比英灵殿要真实
构图太漂亮
大半夜的这么多人看啊
谢师傅要来了
看到这个长度我就知道不能白嫖了
卧槽点错了想给满分来着 能撤回吗
卡成ppt
6
flag
弹幕呢！！
爹在鬼门关，你在谈恋爱
刺客信条剧情内核不在乎是那一方的好坏，而是任何一方基于何种目的和手段行动
刀我是吧
游戏各种穿模BuG
感觉跟游戏一样
这就是游戏剪辑的
我记得这俩的父亲是两派里的和解派？
“简直”是永远
亚诺真帅
手持马克3观看，爽的一批
上来就怀表穿模了
故事的开始
牛逼
可怜的小亚诺，什么都没明白
前方掉头
呜呜呜爱丽丝
↑通关几次也没想到这儿还藏着刀
这个时候康纳早出生了，还打赢了独立战争，3代的故事还包含了独立战争之后的事，还过了好几年
主角是圣殿骑士的保和派养大的，德拉赛尔压根就没想让亚诺加入圣殿骑士和刺客的斗争里
没人呢？
最后一代传统刺客往后都太无趣了
有点卡，是设备原因吗
阿育的cg不是吹的
别剧透啊
我买几个橘子去
谢伊：我来了
老婆要来了
雪姨警告
刺客信条：反叛者
伏笔
所以为什么法国公司做的法国背景游戏默认英文（bushi
育碧和up主巨献哈哈哈哈
这就是当年的画质（doge）
什么时候中国有这个游戏
tx没有理想，只知道赚钱
法语语音其实反而出戏，因为口型不对，模型和声音没几次同步的
背叛男主
去不了了
怂
flag已立
小破站牛逼（bushi）
亚诺只是被圣殿骑士扶养大的
谢伊你坏事做尽！！！
这里有个bug
康师傅怎么没出生了
帅帅帅
感觉太顶了，电影级别的
导演剪辑版
谢依：刺杀开始
看到时长直接三连了
捣蛋鬼别捣蛋！
好厉害
牛啊牛啊 不过有几个卡壳的地方  还有开头小女孩那里可以在剪掉一点点
卧槽？？？？？？？？？
这只是个falg。。
起源 奥德赛 英灵殿 这三部曲说白了就是一个流水线作业完成的那种
多里安？海王多力安？？？
动画不自然是育碧的锅
我只玩到这里
本身就是游戏里的情节剪辑而成的电影 重新制作这可不是小工程
这有点强悍，忍不住打开了steam
特地过来一件三连 感谢有你
牛啊
梦开始的地方
我电脑都卡了
no，不要提雪姨
爱丽丝真是女大十八变
跑步姿势从小就有了哈哈哈
回忆涌上心头
全是刀
上流社会
蜘蛛侠既视感
彼得帕克直呼内行
这个flag立的好啊
6的一批， 马上关注+投币
xxxk NVIDIA
剑圣的诞生
我的追剧键呢
好有味道
雪伊这会的圣殿是好的，兄弟会才是无恶不作
太牛了，三连为敬
这没个3090咋整？（狗头）
火烧巴黎的时候俺领过
来了
雪姨：joy boy
啊，这时长、、、、
这就是游戏
哒哒哒~
谢依不坏！
就是3代的康纳
流水的刺客，铁打的鹰
18年后
法国人说英语
没有龙头我不是有认可（傲娇）
点错了
准备死爹
好色之徒
这部真的巅峰 
可惜他们的长辈是对立的
龙标呢（doge）
穿模了，这很育碧
美女登场
只能说太强了
嘿嘿，嘿嘿
2014年的画质
怎么一股周姐们。
从叛变就开始说了没有组织对错，只有人的不同
666666
flag
休隐所
有没有可能卡顿是你自己设备不行（
真的是forever
Ashram-Rose and Air
此时我操作谢伊寇马可刀了他爸
某个叫谢伊的路人正在过来的路上
已投币
一对比，叛变的画质好差
nb
这衔接太棒了
2014年最强画质
1776年，大明亡了
当年还是用的GT630玩的 老激动了
这是叛变的剧情把
巴黎娘娘庙
电影时长
育碧 蒙特利尔:巨献
游戏有法语配音的但是国区只有英语别问了
谢伊
flag
圣殿骑士怎么啦？
有的地方卡一下可能是cg切换玩家控制免不了的
有人吗
百岁山…
以神圣的兄弟会之名！把你三连给我交了！！
这种片子可以多来点，吃泡面时就不怕没影片看了
老婆来了
1644年大明就死了
你过来啊
很强
育碧蒙大拿工作室巨献
育碧蒙特利尔巨献
英伟达还拍电影？
是蒙特利尔工作室哥哥。。
亚诺和谢依没剧情真可惜
這款就是要bug，無bug不歡
从小就开始偷苹果hhh
通关之后回来看
我看见了什么⊙∀⊙？
大家都说卡。。我完全感觉不到
币给你了
行了，大结局了，不要看了。
全面屏狂喜！
全面屏太舒服了
屑伊：嗨嗨害，来啦
"""that's forever"""
BUG命
玩了一半就没有玩了
这个时长？？？
我TM直接三连！
卧槽？
最爱的一部
大片即视感
并没有卡，是你自己的问题
3000+
一语成谶
蝙蝠侠诞生
这什么好东西？！！
！！！！
哇
推荐1.25倍速观看
路易十六断头台
百岁山我绷不住了
