芈月
小凡太厉害了
带制作
火钳刘明
懂了 三连要磕头 那不给了
甄嬛：笑容突然消失
既然已经有三联了那我白嫖了哦
这脑洞，快要飞出银河系了！
皇上的结丹期在华妃面前不够看呀
大清亡了
凡人修仙传：你礼貌吗
无人区
芃人修仙传
哈哈哈操，离离原上谱
大杀四方了属于是
看来要去看这剧了
好的小凡
路子太野了
好的小凡
绯红女巫：年世兰
这么多人已经三连了我就不给了
白嫖使我快乐
华妃超进化——凤凰于飞
救命
华妃修仙传
笑我了 哈哈哈哈 快乐源泉
暗示三连
离谱
李逵：？？？
人头分离
《凤 凰 于 飞》
推荐大家去看凡人修仙传
魔道修士
我真的会谢
铁t
多灾多难紫禁城
刘师兄，这个凤凰符有点眼熟
哈哈哈哈哈
路子是真的野
笑死了
皇后杀了皇后！
明示三连
这不得跟邢道荣打一架？
?????
家属答礼？
绝了
华道友还会凡人功法
邪修年世兰
死亡之翼
up路子果然够野
up 你的精神状态真的没问题吗
哈哈哈哈哈
好的小凡
念头通达
霸气侧漏
江玉燕看了都说行
跟我玩圣斗士是吧
小凡辛苦啦！
我，，，
这是看了多少修仙小说
起点又有新素材了
离谱啊
凡人修仙？？？
真的好野哈哈哈哈哈哈哈哈哈哈哈
？？？？！草
好的小凡
哈哈哈哈哈
史矛革？
年羹尧:是哥哥我不配了
卧槽朱雀宝术
这里捕配太后宫里走水里那一幕吗？！！！
“这样好的凤凰，以后再也见不到了。”
？？？？？？
绯红华妃
拉顿
华妃，你也看刘畊宏啊
？
路数好怪，再来一遍
紫薰上仙
这是香蜜的凤凰吗哈哈哈哈哈
这特效太费钱了
凤翼天翔！
采仙草、炼仙丹、寻仙人
太草了哈哈哈哈哈哈哈哈
哈哈哈哈哈哈哈哈哈哈哈哈
《绯红女巫》
既然他们三连了那就不需要我了
凡人修仙传的特效爱了
凡人修仙传是吧
2333
哈哈哈哈哈哈哈
哈哈哈这个背摔
鬼谷八荒出来挨打
明示三连
这特么是拜私人
一家子修仙者 
重生之华妃
华妃一炬，可怜焦土
离离原上谱
我磕回去了，就不給三连了
碎星将军
我去旧金山
世兰修仙传
凤翼天翔！！！！！
念头还不够通达
离谱。。。。。刘靖直呼内行
芃人蓚苮传
就是，这是一只穿着睡衣吗？
杀这些人用真宝，你是真富啊！
卧槽
刚那一幕。。大灾变？
 G中 
气沉丹田
哈哈哈哈哈哈哈哈哈
凡人修仙
华妃沙疯了
剪秋 本宫的头好痛
暗示三连
？
第一次见面就上真宝？如此大礼
“这样好的阳光，以后再也见不到了”
？
hhhhhhhhhh
凤凰于飞哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
我喜欢
驱除鞑虏
芃人蓚苮传 太草了
离谱
凤凰幻魔拳
哈哈哈哈太搞笑了
哈哈哈哈哈哈离谱
up果然路子野
小凡你是天才
震惊了半天，缓缓打出？？？
九曲灵参乱入
凤舞九天
紫熏上仙那个我要笑死了
没有一招不是在常理之外的
三千雷动
？？！！
哈哈哈哈哈哈哈笑死我了
我也谢了
一期更比一期牛
哈哈哈哈哈哈哈哈哈哈哈哈
平行时空的大胖橘也修仙去了，贵妃娘娘
此片段出自《芃人修仙传》
小亮，给他整个活
卧槽
死亡之翼
叶问.华妃
卧槽太爽了
满清第一巴图鲁
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈这一脚也太爽了
炒…
离离原上谱
哈哈哈哈哈哈哈
感谢凡人修仙传的刘师兄送的真宝！！！
如来神掌！
