这句话激励了中国人几千年
一怒而诸侯惧，安居而天下熄的张子
自此，攻守易型了
开局一个碗，通关一个国，咱重八也是个英雄好汉
非我华夏正统，无可记之
日月山河
太白公
日常没有清
说的对啊，继续活下去
无 清 好评！
真好没有大清
我看的时候还是须臾不敢忘
驷儿！！！！
喝酒前 李白是大唐的 喝酒后 大唐是李白的
大怂
跟着刘秀的云台二十八将也都很猛，只不过现在都被刘秀盖住了
宋：我不要面子的吗？
没有苏武牧羊，傅介子斩楼兰
这三位都演的不错
我们大汉王朝止于明，清又算啥
天可汗 唐太宗
神tm瓦剌留学生
老师！
感谢央视那些年拍了那么多正剧
靖康耻
前面的，统一之后十来年不就全灭了么？
山为萍，云为涛，绝逸红尘任滔滔。
预测会火
宋朝就是一只羊统御着一群虎，不过无所谓了，宋，辽，西夏，金，元朝都做了传也可以都算我华夏先辈
乱世出英雄，南北朝为什么不配
冲up名字点个关注
魏晋南北朝不配有姓名？
装不下我们中国波澜壮阔的一生
豪情壮志
礼貌两晋：你吗
没有后面的封建王朝，好评
位面之子刘秀VS穿越者王莽
舍我其谁哉
看得我热泪盈眶呀
太宗好评！！
汉家王朝才是正统
先贤
弯弯该回家了
大唐！！！！
鸡皮疙瘩！！！！！
绣口一吐，便是半个盛唐
别这么说，清朝前期也是可以的。
起来独自绕阶行
有大元是幸运，也是不幸的开始
没有元清，好评
守仁先生
往事越千年
范文正公呢
峨眉
我于人间全无敌之大明战神朱祁镇！！！
礼貌：你两晋南北朝吗？
斜阳欲落去，一望暗销魂
不还没有清
很喜欢刘波的一句话
王阳明最后的圣人
他们的血一直流到我们现在的每一个中华夏人身上
吸鼠霸王
二爷威武
瓦剌留学生哈哈哈哈哈哈哈哈哈
孔老二落后了
虎贲三千直抵幽燕之地，龙飞九五重开大宋之天
然而五千年都绕不开一个唐国强
怂朝
强则强，弱则亡
至于信者，国士无双
民为贵！
其实只是流星划过而已，不是陨石啊！别被营销号骗了！！
吸鼠霸王
声音是张若昀的庆余年吧
跳太多了这里
送朝。。。
天策上将！我巨唐！！
临时募兵也能井井有条，是所谓多多益善
不是大秦带来的不幸，而是贪婪和软弱带来的不幸
那些个当官的，你有种嘛？!!
宋祖不配和你比呀
马上开启历史的下坡路
公明哥哥! !!
这个真的贴我心中的西楚霸王
靖康耻，犹未雪！
朱棣！
就冲没有清朝，我给你投币
怀民亦未寝(doge)
这段好有意境啊，有秦始皇东临碣石那个味道了
沛公一人，大风起，卷沧澜，龙驭天下！
以良知，知行合一
结束的恰到好处！！
项羽范增，根本不值一提！
秦始皇
辛弃疾——武将里最能写的，文将里最能打的
此天之亡我，非战之罪也!
吸鼠霸王
大堂不夜城！！！
这过的有点快啊，瞧不起我两晋十六国和南北朝？？
知子莫若父
武圣岳武穆公
王的盛宴还原还行
呜呜，我的大唐呜呜
哈哈哈哈哈瓦剌留学生朱祁镇
感谢，没放大秦赋的嬴政
炀帝，最输得起的男人之一
辛弃疾：最能打的文人，最能写的武将！不接受反驳！
杨广可惜了。天下读书人都应该敬仰。
强则强，弱则亡
大汉双子星
风！风！风！！
阳明先生
来将可留姓名
别刷药水哥
富大龙
汉末三国英雄辈出，文臣武将如彗星
鸿鹄之志
完颜构23333
武将最憋屈的半壁王朝宋，
五千年璀璨延续至今，必将直至永远
王侯将相难道天生带种吗
开局一个碗
秦始皇，真的是上岁数了才明白他做的事多了不起
京师保卫战
咋就直接跳到隋了
没有清朝太棒了
太史公！
李雪健老师！
凡日月所照，皆为汉土，江河所至，皆为汉臣
康熙与雍正还可以
穿越者王莽大战位面之子大魔导师刘秀
老子庄子V5
我国历史真的是一部史诗啊
洪武大帝！！！！
秦朝才15年历史，秦时明月却拍了16年…
我春秋战国 百家争鸣不配吗？
统一度量衡
绣口一吐，就是半个盛唐
这四匹马拉的车看到没，孔子能单手转向
最喜欢的霸王！
两晋南北朝不配
大秦！！
不会舞剑算什么诗人
当时看明朝那些事儿印象最深的就是朱棣
上帝之鞭
没有清可以的，给你币
出门带山平A核弹大姐的bgm
武圣最早应该是岳飞，清灭明之后改的关羽
洗漱霸王刘波
格物致知，知行合一
相爱相杀
步子跨大了
稼轩
大唐天下无敌
不和亲，不割地，不赔款
秦宇宙牛逼
