啦啦啦啦
这气质绝了
好美
这是真正的戏腔啊！！！！！！！！！！！！！！！！！！！
好 好 好
先生终于回来啦
好听，惊艳
美绝了！
绝了绝了
新鲜热乎！
awsl
a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a'a
玉先生啊啊啊
承包
承包
啊啊啊啊啊
你就是绝代鸽姬嘛？？？
啊吟唱绝美
火钳刘明
爱了爱了啊
玉先生 下凡辛苦了
都是国色天香的素材hhh
玉先生啊
美就一个字
听呆了赶紧发个弹幕qwq
太绝了吧
回头皆幻景
热乎热乎！
开头见
好美
土拨鼠尖叫！啊！
热乎的热乎的
给玉先生排面啊啊啊啊啊啊
承包啊啊啊
神仙唱歌
啊啊啊啊啊
啊啊啊啊啊先生啊啊啊
币给你
想念先生的舞台了
玉先生！！！！！
好听
美
终于等到玉玉先生
莫嘲风月戏 莫笑人荒唐
啊啊啊啊啊wsl
太喜欢了
绝了
美！！！！！
美死我了
啊啊啊啊
太有感觉了
绝美啊
戏一折 水袖起落
趁人还少赶紧发个弹幕
唱悲欢 唱离合 无关我
玉先生！
惯将喜怒哀乐都融入粉墨
陈词唱穿又如何 白骨青灰皆我
火钳刘明
绝美玉先生
位卑未敢忘忧国
我来啦！！！
终于等到更新了
戏幕起 戏幕落 谁是客
绝了
这次一定
戏中情 戏外人 凭谁说
陈词唱穿又如何
白骨青灰皆我
位卑未敢忘忧国
不见旧颜色
台上人唱着
情字难落墨
啊啊啊啊啊啊啊啊啊玉刚！！
趁弹幕还没多，赶紧发两个
不敢出声，怕惊动这份美
太美了
也曾铿锵唱兴亡
再来一遍
玉仙生后援团，速度集结啦
鸡皮疙瘩一身
表白底下红字幕君，表白玉仙生
绝代鸽姬
满屏啊啊啊啊啊啊啊啊啊啊
宠粉狂魔又来了
《赤伶》
好美啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
开头见
挤一挤挤一挤，跪整齐一点
漂亮
赞啦
也许玉先生对这首歌更有感情，鸡皮疙瘩都起来了
终于更新了
美美美
太好听了
玉先生绝美
太美了
先生，泥偷懒！！你拿国色天香的MV了.！！！
前方高能
娘娘好美
太宠粉了吧
哇啊啊啊啊
前方高能
啊啊啊啊先生
热乎的！
前 方 高 能
这个气音！awsl
绝了真绝了
绝了，超好听
我的天！！
啊啊啊啊啊啊啊啊啊啊啊啊
来啦~
绝美
真的nice啊
表白咕咕玉
666
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
啊啊啊啊啊我跪的标准吗
背影杀
前方高能
这是民国旧梦那张专辑的mv！
啊啊啊啊啊
哇啊啊啊啊啊啊啊啊
aws
好！
好看！！！
三岔口！
1
我爱了爱了
我的妈呀，先生，我可以给你端茶不？
i了i了
我爱男声
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
tql
前方高能
太好听了！！！！！！！！！！！
见证下
再来亿遍！！！！！！！！！！！
唱腔柔媚，戏骨傲世
感谢字幕君！
绝唱
啊啊啊啊啊啊啊啊
啊啊啊啊啊啊呀，ＡＷＳＬ
绝了！！！
玉先生还是玉先生
位卑未敢忘忧国
好美
好听
好好听啊
爱了爱了
awslawsl
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊再来亿遍
开头见
弹幕走起来
妈妈  我发病了  全身都是鸡皮疙瘩！！！
玉先生
太美了我的玉
结尾部分太好听了
百万
好美好美好美啊啊啊啊啊啊
无法形容 只能用流批二字
开头见
灵魂颤栗
恭喜你发现宝藏！！！
超棒的
职业队的不许出来欺负人
玉先生
玉先生！！！吹爆
感谢帅气的
绝
好好听好喜欢
再听亿遍
666666
开头见
啊啊啊啊啊啊啊啊啊
表白这个造型，太美了啊啊啊啊啊啊
太美了哭了
真是绝美啊
真绝了
哇 先生这戏腔绝了
我TM莫名其妙流眼泪了
讲究
好听
此曲只应天上有人间能得几回闻
啊啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊啊
可以啊
感谢玉先生给我们带来这么好的作品
啊啊啊啊啊啊啊啊
啊啊啊啊啊啊啊啊
绝美
太爱玉先生了
再来亿遍
太好听了
啊啊啊啊啊啊啊啊薛湘灵啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
太美了
漂亮！
绝了
啊啊啊啊啊好好听啊
好听(✪▽✪)！
先点赞在看
开头见开头见kaitoyjian
啊啊啊啊啊啊超爱这首歌
起立！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！！11
惊喜
前方高能
有一种很厉害的感觉
加油加油
开头见
玉先生！！！！！！
绝
开头见
np
刚想去网易云上找MV没有找到
最秀不过自投稿！！
看看我刷到了什么！！
玉先生！！
哇塞！！！！
戏服没了，可以重做；戏本没了，可以再找。可若是我们连敬仰国粹的心都没了，那又该怎么办？
太好听了啊啊啊啊
好听，绝美
前排！！！！啊啊啊啊啊啊
要是帧数是60帧就好了 这跟慢动作一样的mv有点难受
完辽  爱辽
哇
ohhhhhhhhhh
ohhhhhhhhhhhhhhhhhhhhh
2333333并没瘦。这是以前的MV混剪
只要我玩得够晚
好绝
文化人
这是什么好东西！！！！！
无敌无敌！
太好听了吧
鸡皮疙瘩起一身
0.0.0.0.0炸裂
真的好好听啊
承包这个背影
！！！！！
好美好美
这就是专业人士吗
太好听了——
火钳刘明
