我也不知道啊
可能是鸽子更新了还有人不知道吧
a
没人吗
13个弹幕？
一发
164人正在看才34个弹幕
有人没.
44条弹幕？
O
没弹幕
175万播放，56条弹幕？
牛逼
哈哈哈哈502
？？？？？？？？？？？？？？？？？？？？
ohhhhhhhhhhhhhhhhhh
两百万的播放量，只有80条弹幕
弹幕怎么被清了
不想说话→_→
弹幕完全清空了。。。
承包空屏
可能是因为等级不够不能发，或者是作者清理了
阿巴阿巴阿巴
91？
弹幕
没用tan幕吗
无人区
没弹幕啊
两百多人在线看 108条弹幕？？
leilleil
来了
咖喱棒
卡點好評
来了来了
都是今天的弹幕
哇
紫光檀
弹幕这么少？
滴的啥
卡点好评
高级弹幕是啥嘞
？
认真看视频多好
负压？
你们到底是看人家手艺还是看弹幕的？！
弹幕只有28号的，之前的呢？
两个月了，终于等到你
弹幕
投币比点赞还多
币比赞多
～～～
看手艺，，但是还是有点疑惑罢了
原来是我卡了
吓得不敢说话了，跪着没法打字
生搓呀！
发现一个有趣的现象，本来就少点可怜的弹幕居然都是问为什么没弹幕的。。
三连奉上
青金石？附个魔
弹幕被清过了呀。
抽真空
阿爸阿妈阿爸
新一批
专业
仔细看
妈见跪系列
这里真空泵的作用是为了去除滴胶
这里真空泵的作用是为了去除滴胶里面起泡
滴称上了！！！
卧槽卧槽卧槽卧槽卧槽卧槽卧槽
都睡着了
得
502胶水(●—●)
在认真看呢
弹幕被清掉了
弹幕去哪了
弹幕少是因为没什么槽点
12345
贡献一条弹幕
承包空屏
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
承包空屏~
才浅牛批
那必然的啊！
牛牛牛
表示看不懂
白花花的银子
给大佬【排面
哇
弹幕挡到我康大佬操作了
踩点好评
不是很明白你们这些发问号的什么意思
502
好细节啊
真附魔
抢夺
？
我嘞个去！
亚克力
击退II
组队偷背景墙（1/10）
复活节快乐
太细致了
已三连
看不见我
(⊙o⊙)
我要白…算了三连吧
我要白嫖！算了，还是三点吧
誓约，胜利之剑？
真  白嫖失败……
欢迎收看币比赞多系列
这个一点都不贵，不贵，不贵，不，贵，贵贵贵。。。。。
锋利I
经验修补
巧克力卷。
想打喷嚏
抢夺III，耐久III
。+62/58
他来了他来了
终于等到了，这极致的享受
提前卧槽
端午安康
击退II
你的秘籍没用
踩点好评！！！才浅nb！！！
拜拜了您内
锋利32767
可否尝试下冰刀
次次撸紫光檀
前面的脑子也没学会
卧槽
卧槽这年轻人
端午安康
我币何用
黑saber的武器？
失踪人口回归
抽出空气防止有气泡。
附魔
锋利max 金色传说
投赞点币
高考安康
端午安康
亚克力粉加压
附魔
抢夺三 耐久一
组丢偷盗{4/10}
这模具要300罢
端午安康
端午安康
端午安息
失踪人口终于回归，必须三连走起。
你要给这把剑附魔啊？
龙之刃。
锄禾日端午
是真爱了
端怎么写
祝大家都安康呀
墨眉?
经典502
科普：这是真青金矿石啊
这个BGM两倍速食用太得劲了，再配上这个视屏，真的是带感。
真空的吗
端午安康
才浅我的！
失踪人口回归
下次一定
弃胶，食泵
他一直在卡点就没停过
两把？？？？？？？？？？？？
组队偷人（2/10）
人呢
？？？？？？？
老mc了
亡灵杀手
什么更新了？快扶我起来
这卡点有点看着难受说实话
端午安康
端午安康
惆怅长岑长ccccccccccc
下次一定白嫖
前面奥利给的，给你吃，T^T
端午安康
先投币再说...
才浅才不是才浅
这个魔鬼竟然在卡点
锋利V
噩梦再临w
害   我币又少了两个
灵魂绑定
耐久II
火焰附加
经验修补
锋利I
青金石（迫真）
青金石啊，贵的
我何德何能
 看到你了
ab胶
紫迟但到
老mc了
端午安康
组队偷手（0/10）
端午快乐
讲个笑话:阿婆主id叫才疏学浅哈哈哈
有没有大佬，解说一下
法术要来了吗
投币的比点赞的还多
才浅好短啊
紫光檀真硬！
自制真空室？
端午安息端午安息
先三连再看，已成习惯
先三连再看
端午安康
混入其中
教练：“我也不会啊！”
端午安康
失踪人口回归
，哦谢谢
卧槽太精细了吧
端午安康
端午安详
锋利V
火焰附加III（魔力放出）
耐久III（英灵的武器）
锋利IV（风王结界）
经验修补
锋利IV
是准备cos迷之女主吗（笑）
组团偷人（9999/1）
端午节快乐
端午快乐
这条网线像极了才浅家的（疯狂暗示）
才 浅 工 作 室 标 准 差 事
请收下我的膝盖
噩梦会迟到但不会缺席
? ? ? ? ?
工具越来越专业了
主队全偷了（3/10）
 组队偷人3/10
亡灵增强
紫光檀!!!!
端午安康
又做了几个月估计
↓我是屈原
爷的附魔台呢
厉害啊
火焰附加MAX
端午安康
B站为数不多的视频，投币比点赞多
调树脂，前面调比例 ，然后抽空气，把树脂里的气泡排出来
组队偷人（2/10）
端午安康
端午安康
关闭弹幕，慢慢欣赏
端午安康
锋利 V
先卧槽为敬
端午安康
提前卧床
端午安康
有点废胶水
致死量！
好绿啊
殷地安康
我附附附附附魔
666
。。。。。。
先三连再说
NB了
端牛安康
抽真空
白嫖失败
组队全偷了（3/10）
两把？
端午安康。
mojito
猛男♂
偷人
疯 狂 踩 点
青金石：给刀附魔
端午安康
wow
端午安康
经验修补
瑞牛节快乐
一个expelliarmus就完事了（狗头）
端午快乐
端午快乐
教练，0基础现在学来得及吗？
来了！
消失诅咒没有三
刀杀了人带回来
组队偷人（1/10）
疯狂卡点
云南报道
附魔
端午安康
宗纸真香
我叫端城五
下次一定
端午安康
终于来了
看不见我
端午安康
大气压强的力量！
又闪
附魔:三连max
嘶
我感觉这把剑最后会发光
看不见我
屏幕太闪了，头疼
给刀附魔
端午安康
三连再看已成习惯
卡点舒服
可否尝试一下瑞文的断刃？！
有没有组团一起去偷刀的，本人江湖大盗
白嫖党觉得很淦
端午节快乐！！！！
击退三
成本又高了
我又来白嫖了
看到你了↑
端午安康
制作木剑ing
端午安康鸭！
组队偷刀（10/1）
你再不更新我都快忘了你了
击退Max
真空，防止起泡
应该没人看到我吧
这不是粉色，这是品红
卧槽
附魔（滑稽）
?
牛啊
行，这up控制了我的手机，自动三连了
打磨的力度要很大吗
雷霆嘎巴（2/10000）
快看大宝剑
祖传502
粽子安康
亡灵杀手Ⅲ
教练:我想学这个
端午安康
看不见
组团偷人（2/1000）
端午节和屈原之间的关系不大，所以快乐和安康都行
端午快乐（怎么了）
三连再看
树脂
瑞牛安康~
万能502
爷青回！！
.                  .                   .
三连再看，已成习惯
猛男专配
火焰附加III
锋利V
这是龙刃和雷刃啊！
兄弟们卧槽准备好
早生贵子
万能502
同款美工刀
厉害
雷刃！！
端午快乐端午快乐
1
祝大家端午安康
旺仔牛奶？
额，剑上面的铭文难道不死是最难做的吗
2
额
端午安康
白嫖克星32767
端午安康
80
端午快乐，端午安康
端午安康
端午安康
紫光檀：我虽然会迟到，但我永远不会缺席
锯子真不错
手残杀手V
就这一个上粉的过程怕都要好久好久好久
已三连，在观看
端午安息的你出来
才浅，给我来个锋利10000
端午安康
疯狂卡点
“才疏学浅”
端午安康
现在才9:40
段
先三联，后观看
一键三连
端牛安康
端午安康
高级木工
找到密码了？
EX-咖喱棒
↑加一
端午安康
端午安康
高级木工
端午安康
就这?我亿天就学会了
端午安康
木工  画工  化工  电工
端午安康
下次一定xxxxxxx
当！火焰附加
端午安康
消失诅咒
老mc玩家了
?????
火焰附加
欣总你开弹幕了吗
时运I
踹牛的过分了
有些人嘴上说着白嫖，手却点了三点
火焰附加
抽真空?
欢迎来到有手也不行的系列
端午节安康
端午安康
这刀能打出光柱吗
端午安康
节肢杀手III
老钳工了
看到你了
今天把话撂这谁敢白嫖我就**
19:56
哇终于又更新啦！
又看到你了
亚格力，塑料板
军火库
紫光檀
我是屈原
3
熟悉的开头
抽真空吧
端午安乐
消失诅咒有等级的？？？
...
带俺一个
我只打算偷剑，你们居然组团偷人？比我还狠
这是给502做代言吧23333
教练:滚蛋！
久  等  了
1000%
偷人加1
前排提示：建议屏蔽“端午”关键词，弹幕引战
502，永远的神！
端午安康
经验修补的那个，经验修补和冰霜行者是宝物附魔，不能通过附魔得到
发兵器了
端午安康
端午牛逼
锋利Ⅴ
端午安康
502不要钱系列
币比赞多系列
正正好好
砧板之刃【神】
端午
才浅牛逼！！！！！！！
我偷才浅
才浅牛逼！！！！！！！！！！！
端午牛逼
2:00
养乐多！
诶我的妈
可以附魔了
秦时明月里的有排名的剑可以做一做
组队偷人（999/1000）
组队偷刀（0/5）
组团偷刀（1/1000）
BGM是啥
端午安康
端午安康
我是端午
来啦细节
愚人节快乐
端午安康
？？？？
金丝楠木，有钱
端午安康
端午节安康
Hhhh
人杀了，把剑拿回来
看都看不明白
端午安康
端午安康
火焰附加
脑子：我学会了 手：没有，你没有
nbnb
紫光檀，似你！
才浅：无限剑制
看大佬视频无需弹幕
端午安康
混入其中
别ky！
白嫖成功，我可是老白嫖怪了。
沙雕值max
锋利111
6.26
又来膜拜大佬了
钱给你们，人交出来，合作愉快
难道是，，截肢杀手和掠夺三！！？
nb
端午不应该说快乐，要说安康呦
教练我想学这个
斑字错了
火焰附加
下次一定V
消失诅咒
"耐久III，经验修补I,锋利V，火焰附加II，击退II，抢夺III"
没附魔台，青金石没用啊
这也能叫才学疏浅。?
把nb打在屏幕上
奇怪的组合增加了
锋利五
端午安康
**
端午快乐
前排建议屏蔽“端午”
端午快乐
消失诅咒（bushi）
hhhhhhhhh
想象力是要有，但没手不行的，一点差错都不能出。
全体起立
端午安康
偷偷吃个粽子
端午牛逼
节肢杀手
（27/100）
脑子：我学会了。       手：滚犊子！
66666
磨损II 绑定诅咒 经验流出 拉回I 磨损V 消失诅咒 装逼C
组团偷人（97/100）
开始启动白嫖白嫖启动中
大脑：我会了。眼睛：我会了。我：我也会了。手：我终于会了。钱包：你们都给我闭嘴
亡灵克星
端午安康
要给剑附魔？
哦豁装备更新了，
端午安康
想看佐助的草薙剑
这个男人还是对吾王出手了吗？
就这 我亿天就可以做出来
组团偷人（1/1000）
以前还能想想现在？想个屁吧。
老方块人了
终于更新啦来了来了
消失诅咒
耐久3
除你武器
火焰附加
匠魂
1
32k
才浅nb
mc
热乎
组团偷人+1
端午nb
谢谢大家的祝福与关心，我很健康哈哈哈
怎么那么像2b2t的32k
专业
万能502
打破阵营
不是早就辟谣了么。端午快乐端午快乐端午快乐
看不到我
看不到我
太牛了
把刀杀了人带回来
看到你了↓
厉害
32k
就这？我亿辈子就能做出来
你
yi
我：教练...     教练：不，你不想
端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康
有钱人的生活就是这么朴实无华且枯燥
终于来了
说端午快乐 安康太平常了 我祝大家端午牛逼
专业
爷爱才浅   端午憨憨
端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康端午安康憨憨端午安康端午安康端午安康
做乖离剑吧
过劫！过劫！
woc
组团偷人（99／100）
