！！！！！
太好看了
gafa nb！！！
帅爆了
来啦来啦
冲
牛逼就完事！！！
广美牌面作品
做这个动画的是我                                     的室友
落凡尘超绝！！！！
来了来了
gafa冲
冲冲冲
钟sir yyds
冲冲冲冲冲
爷爱了
可爱
牛逼!!!
梁策老公！
哥哥好帅
这里分镜有点奇怪
没有人跟我抢钟鼎吧
太强啦
牛逼
钟老师么么么
好灵动啊
大制作
真的酷
动态也好棒啊啊啊
这么顺滑的吗
爷来了！！！！！
哇
一颦一笑都这么灵动自然，难得难得
好棒
牛啊
太美了吧！！！
来抢钟鼎了！
太强了
故事好有趣，节奏很自然
酸啊
妹妹好可爱啊
哥哥好宠啊
这个转，我爱了
落凡尘yyds
那个银杏叶好妙啊
广美牛逼！！！！
太可爱了！
啊啊啊啊哥哥我可以！！！
哥哥太帅了！！！
白毛戳我！
太绝了
恭喜你发现了宝藏
学长和学姐太牛啦!!!
落凡尘永远滴神
没人跟我没人跟我抢钟鼎吧
奥利给
把排面打在公屏上
恭喜你发现宝藏
梓嫣排面！
哥哥我的了
狗叫
猴子可爱
老公你个头啊，gay里gay气
跳帧了
哥哥哀莫大于心死
我也来抢钟sir
排面
哥哥i了i了
此处可截图
奥利给！！
妹妹我爱了
给我来十个
这扑叉扑查的大眼睛
妹妹好长的腿
钟sir yyds
流批！！
！！！！！！！
哦呼
哈哈哈，好可爱
大威天龙！
钟sir yyds
gafa nb
神仙
这毕设也太令人头秃了
太牛逼了!
堪比商业作品，
狗
赶上明天也要毕业了...
太美了吧！！！！！
好帅
好可爱
好可爱！！！！
这堪比电影院的特效跪了
恭喜你发现宝藏！！！
不亏大厂畜牧地
大厂特效
也太棒了
居然是猴赛雷
好帅啊！
好可爱！！！太强了吧！！！
太美了
哇！！！！！！！！！！！！！！
好喜欢啊！！！！！！！！！！！
大片！！！
不得了！不得了！！！！
小姐姐好可爱！！！！！！！！！
哈哈哈哈哈哈  好玩
酷！！！！！！！！！！
真的超级棒！！！！！！！！！！！！！
哈哈哈哈哈哈
好帅啊！！！！！！！！！！！！！！！！！
不得了！！！！！！！！！！！
还有二维！！！！！！！！！！！！！！！
真的好喜欢
