为什么没有弹幕
我这也是
JOJO？
弹幕为什么被吞了，麻花疼来了吗？
。
狒狒？
1
阿这
孕在身
489.6万播放，才12弹幕
弹幕也太少了
?????!!!!!!!!!!!
(●--●)
弹幕不见了？？
？
？
弹幕呢
。
NB
凉哥NB
我来证明你开了弹幕
声之刑
人呢
知晓天空是蓝的人
？？？？？？？？？？
等等？四百多万播放30个弹幕！！！！！！！！？
为什么声音和人完全不搭边
弹幕呢
？
我看过！！！
？？？？？？？？？
没人了吗？？？
……
红色制服的警卫，多人参加的宴会，这不就是战锤妹？
？
逐渐忘记标题
啊？？？？？
没人了吗？
我看过，看得很蒙
弹幕怎么不见了？
俊子 在这也能看见你哈哈哈哈
俊子 怎么在这能碰见你哈哈哈哈哈
为什么这次弹幕这么少啊
戴着鸡符咒的电光猪
hi
弹幕呢？
。。。。。。。。。。
np
没人啊
马克兔
你好
下得我重考了
，麦块
???
。。
……
松冈爱衣
???
弹幕呢？
SEI一SEI呀！！
好看
弹幕呢？
？这弹幕
???这弹幕数量不对劲啊
九十七条弹幕
491.5万播放 ·  97弹幕，
都系得？劳资的弹幕呢
弹幕怎么肥事
来自未关注之人
???
理智放弃
？？？
。、。
清空过了
●∧●    ●◊●    ●∧●    ＞∧＜
勇闯无人区
什么片？？
雷神：？？？？
松冈祯丞，茅野爱衣，松冈催婚大会
好好好
未关注人是指凉风没关注的吧，这不是很正常吗。。。
-+
为什么没人
弹幕呢？？？
弹幕没了
你好
弹幕呢
我来证明你开了弹幕
我来证明你开了弹幕
俊子无处不在
弹幕————
怎么才这么一点弹幕
凉风太了解了
？？？？？？
@固拉多
弹幕是怎么回事啊
这个我看过
..........00000.
弹幕弹幕弹幕弹幕弹幕弹幕弹幕——————————
厕所花子幽灵除魔师？
拘灵遣将
大爷在听什么歌呢
孕在身
马化腾，伤了多少猛男心
玩♂过
精鬼
？？？怎么就这点弹幕
无穷级数
1
弹幕应该是被B战清过了
.0.
0.+--++--+.0000.
+0.
啊这
az
？？？？？
这弹幕不对劲
费飞
中国的卢本伟啊
？？？？？？？？？？？？？离谱
费非的轮椅
费非
van♂过
他学理工的，25岁了，还很健康
小破站特色定期清空
我还以为我把弹幕关了
是这个吗？！！！
弹幕崩没了？
弹幕呢
井底之蛙不知大海之宽广，却知晓天空之蓝
这。。
双刃直升机
jojo？
头像好评
其实这番挺好看的
对对对
？
老东西，你的替身最没用啦！！！
标题的信息量太庞大了
弹幕怎么这么少
声之刑
弹幕？
传言不可信
？
震撼猪脚
弹幕君一一一
弹幕好少
狒狒的轮椅
弹幕怎么回事
jojo
井底之蛙虽然不曾见过大海，但却见过湛蓝的天空
，
弹幕呢
弹幕假的？
jojo？
阿勒
弹幕呢
圣斗士！
飞 发 甩
弹幕被高数吓走了？？
我才知道
这个很有意思科技感不错
李世民?
弹幕积极一点
弹幕好少
人好少啊
弹幕没了？
铁十字？
水银！！！
清了
弹幕被清了
什么情况
弹幕怎么这么少
哇啊啊啊啊啊啊啊啊啊啊啊啊
真是一点弹幕也没有
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
弹幕刷起来啊
弹幕
和马化腾有关吗？
好耶
无人区
提问人的名字nb
我差点以为是“路”
？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？
？？？？？？？？///？？？
我居然看过
弹幕？
《香蕉君的信仰者》
弹幕来了
你好
？
一代jojo他爹？
天生花手
双马尾预警
井底之蛙，不知晓大海之宽阔，却晓得天空之蓝
活在裆下
少废话
弹幕有点少
长得像马尔福
等等，这名字认真的吗
弹幕被重置过
？？？
弹幕好少
打哈欠哼的？
清屏了
铃屋表示同感
2
1
。。。。
伊卡将军复活啦！快开向他行礼吧！
杨广吧
这个贼好看的还有一部时间大盗也好看
这是在打哈欠？
催婚协会参上
弹幕
勇闯无人区
竹蜻蜓
来啦来啦
我来组成弹幕
费非的轮椅 费非的猪 费非的…
？？？
000
这编剧二次元吧
是你jojo
马化腾风评被害
信息量巨大
？？？？
？
闪耀的星空，无边之海，降注与此吧，来自虚空的神力，末世的福音！天的谰歌！破邪魔法！！辉光十字！！
有一说一，有一种中性的美。
暂停看内容
23052
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？？//
人？
坐标！！！
弹幕被清了
谐音jojo
这二次元浓度太高了
我赌你的枪里没有子弹
魔女序列？
此时无声胜有声
摩  多  罗
凉风有信
""
铁血团团长
P
希望之花
？
不愧是你
人咧
0
少了U，U为核武器中重要的物质，才能发生核裂变，产生链式反应，所以你失眠因为少了颗核弹/dogs/
企业级理解
。。
。
。。。
？？？
不要迫害团长啊喂你这个混蛋！
wc
妙啊，这不就是进巨现在的剧情吗
花京院和承太郎。。。。。
因为抱凯尔希会被当成握力计
！！
！！想起来了
因为抱凯尔希会被扼住命运的咽喉
？？？？？
ilem大教主的《苍蝇》
。。。。。。
啊这
???\
《读者》
。
不要停下来啊
666
弹幕没了？？？
天降之物一生推
你敢抱凯尔希？
弹幕呢？
虹猫蓝兔七侠传
哈哈哈哈哈哈哈哈哈
星际！！！！
团长！！！！！！！！
啊这...
请收下我的膝盖
+++++++++++
-++
？？？？
又迫害团长
ikaros！
hinata!boke!!
。。。
啊这。。。
为什么人这么少
玩什么？
我童年到底看了个什么呀？……
？？？？？？？
我看到过乔尼和老谢的......
Miss u ？
？??????
咋突然没人了
听过
江户四十八手
明日方舟的塞雷娅和小火龙
还有赫默
我记得这玩意儿是巧克力与香子兰
yrm
直接永久性睡眠
富冈？
团长～
没人
玩什么？
.0.++++++++.0.+
.0......++++++++++++++++++++
++
+++++-+
我一个女生就喜欢玩男号23333
干嘛说我老婆
好家伙
？
？？？？？？？？？？？？？？？？
明白了，今天就去吃核弹
团长？？？
希望之花
机动战士高达·铁血的奥尔芬斯
\
五十音？？
什么时候少了那么多弹幕。
233
说几不说把
第二张图是明日方舟中的一家三口
达到永眠
莱茵生命一家三口
她
狂赌之渊
突然情绪失控
这是电感
486···
团长，你在做什么呀团长
塞爹赫默小火龙可还行
考哥？？？
这是意林l吧
woc
弹幕呢？
哈哈哈哈哈哈哈真tm好啸
啊啊啊啊啊啊啊好臭啊啊啊
"wc,你不放大我还以为他没开电脑"
考哥这么早就开配了？
《线上游戏的队友不可能是女生？》
电路图
woc
.
.
还有承太郎报海豚的
那这那快乐的甜蜜生活松坂砂糖也是变态咯
迫害团长
夏尔吧
学成归来
有无人
其实是少了u（你
好家伙
好家伙
真可怕
有点意思有点想看
永        眠
？？？？
？？
只要脚步不停下，道路就会不断延伸
你咋回事？
世界名画
？？
弹幕没了？？？？
不知道啊
还能看吗，不是禁了吗
哈哈哈哈哈哈哈
哈哈哈哈哈哈哈
EVA出什么事了？
？？？？？？？
四十八手真的不建议小孩看..........
总之b站都木有
禁个毛，都多少年了，早解决了
不要停下来
