阿福太棒啦
国际友人！
武汉加油
武汉加油
谢谢阿福
加油
抱抱福太
感谢，身体健康，新年快乐
武汉加油！
promise me no cry anymore
。。。
加油
Vielen Dank!
没人吗~
加油
谢谢阿福
现在有请生物和化学课代表发言
我第一
木有弹幕
cool
赞
加油！
别哭！武汉加油！
武汉加油！天佑中华！
6～12个月？
朱莉小仙女怎么啦(・◇・)
感谢
朱莉别哭
加油
感恩
感谢非常感谢
仙女在摸泪
谢谢
感谢，一切可能的帮助
蟹蟹你！！！
谢谢啊福
阿福好棒，武汉加油
阿福，好样的
...只能自愈
我统计的也是3%，但是老年人就是更高概率
武汉加油。
加油！
武汉加油
哭了这么久
当时非典也搞了8个月，自然消失
太好哭了QAQ
听到这个消息很开心
福太，别哭 
阿福，谢谢你
不哭不哭
谢谢！
天佑中华！
少吃野味
谢谢您
武汉加油
借您吉言
武汉加油！中国加油！
石正丽
加油！
谢谢阿福
就是基因相似
加油
一定可以的
武汉加油
唉
加油加油加油
加油
感谢，感恩
武汉加油
感谢
国际友人，非常感谢
卡了？
蝙蝠女侠---石正丽老师了解一下
加油！我们一定赢
非典病毒就是蝙蝠带来的，还有人吃蝙蝠
德国白求恩！
谢谢！
谢谢
黄冈人表示很害怕
谢谢阿福
谢谢阿福，也谢谢教授，希望武汉安好。
谢谢国际友人!
你要注意，戴口罩，不要出门了
唉
借您吉言
dank
谢谢阿福
谢谢国际友人啊啊啊啊啊啊
谢谢谢谢…感恩
武汉加油 湖北加油 中国加油
这麽长时间！
野生动物
感谢
正能量满满
可能是吃蝙蝠搞出来的，但还没有确定
阿福今年咋没有上百大啊
谢谢您
戴口罩，不要瞎吃野味
谢谢您啦
别吃野味 别吃野味
中国加油！
好问
是蝙蝠…中国菊头蝠
感恩
6-12月。。。
加油
H index44 他引8000 发过Science Nature PNAS
加油武汉，加油中国！中德友谊长存！
药物所授予Rolf Hilgenfeld教授中科院外国专家特聘研究员证书
蝙蝠是病毒的自然宿主，蝙蝠传染给其他野生动物，然后人类吃野生动物！懂吗？
感谢！加油
果子狸是中间宿主，就是也是被传染的，源头还是蝙蝠
中东呼吸综合症
我去，阿福可以啊
谢谢你们
这也是一种RNA病毒
阿福加油！！谢谢阿福！
打不到我们，只会让我们变得更强
感谢
天佑我大中华
少接触野生动物
感谢
谢谢
武汉加油
感谢，加油！
加油
武汉加油
练手也要保护好自己哇！
！
加油加油
加油
完了 要延期毕业了
你怕搞笑呢？说听不懂的
武汉加油，湖北加油，
谢谢您，
新年快乐
不是吃，是接触
阿福！赞！
感谢感谢
朱莉眼睛都哭肿了...
福太是感性的人
好多病毒都是蝙蝠带着的呀
谢谢！
少吃点乱七八糟的东西了
感谢！
感谢！！
武汉加油
猪 rou 贵啊 我的天
谢谢
不是吃蝙蝠，蝙蝠把病毒带给别的动物，人吃别的动物
感谢
别吃蝙蝠啦，一定不是的
这个人很强~
谢谢您！
谢谢您
QWQ谢谢阿福 谢谢专家
谢谢您
加油加油
真的，因为瞎吃得了传染病，导致留学生在国外遭到歧视
非典是因为吃果子狸，蝙蝠是自然宿主，果子狸是中间宿主
加油
感谢大家
你们还想今天发现明天做疫苗 你当你360还是金山毒霸呢
我们一起加油
不吃野味，屁事没得
