湖北加油
谢谢！
感谢！
武汉加油
类似于华波波的爸爸？
谢谢
我们一定能战胜病毒！
感动
1
武汉加油
暂停，三连了，非常感谢！
谢谢
谢谢你！
武汉加油!
加油
武汉加油！
哈哈哈，父甲天下
Just wanna say thank u 
好人一生平安！
感谢感谢
谢谢高爸
武汉加油！
谢谢！
谢谢高佑思！
可以的
感动
赞
被屏蔽了？
…
1
感谢你们，真诚感谢，我们不会忘记
长的好像
谢谢 
hi
谢谢
谢谢你们
点赞
nb
谢谢
感谢歪研，武汉加油，中国加油，大家加油！
感谢你们，中国加油，武汉加油
向你们致敬
6666
谢谢
谢谢你们
高佑思牛批
以此我愿让你在中国成为有影响力的人
加油！
加油，谢谢
谢谢❤️
感谢你们，永远支持外研会
谢谢你们
感谢你们，作为中国人，很感谢中国有你们这些外国朋友的帮助。谢谢你们！
高哲铭
感谢外研社，感谢以色列
thank you
谢谢你们
福建被包围…
感谢各位给与中国帮助的人
谢谢高佑思
感谢，武汉加油
我看到太入神了，忘了发弹幕，谢谢你们，万分感谢！！！
真帅
原来是大少爷啊，牛壁！
谢谢
武汉加油
中国加油
谢谢你们
谢谢你们
谢谢！！！
很棒。感谢
？？？？
感谢！
哇
感动的泪目了
好感人
真的非常感谢
谢谢你们的努力！
谢谢友人
武汉加油
感谢
谢谢你们！
谢谢！Thank you！！
"这才叫正能量的""拼爹""，给力赞"
thanks
谢谢爸爸
高爸爸！
三连！我们也出一份力
中国人民战胜疫情的决心是坚定的！团结起来，一起加油！
真的谢谢你们 
感谢你们
谢谢！
thank you for your help 
谢谢
谢谢!!！
感动
谢谢你们，无论多少都是心意，无论多远都是国际友人
中国加油！武汉加油！
果然父子，长得真像
？？大boss
感动，，you guys is great！
第一次充电献给你们，湖北加油
辛苦啦！
感谢！
感谢
太棒了！！！！谢谢你们！谢谢大家❤️
加油
泪目。。。
武汉加油
非常非常感谢！！
感谢，武汉加油
钞能力哈哈
谢谢
谢谢你！！
拼爹
感谢
谢谢你们辣
中国加油！
谢谢你们所有人！！
谢谢歪研会
感谢外国友人
感谢！！
感谢您
感谢，武汉加油！
谢谢
谢谢你们
谢谢为中国捐赠物品的人们
哇啊～
太感谢你们了 万分感谢！！！
谢谢
谢谢你们  你们是最帅的
