那我是第二 
冲
别刀了
好细致，下面的进度条！
给我冲
.........
真实
树林树林yyds
跟着树林有可能，毕竟树成林
太真实了
加油
提高有效努力！
计划有时会被学校和老师摧毁
天亮未亮 步履不停
<(_ _)>
主动才有故事
物理数学课上的我
我在b站学习
2022高考加油
请尊重现实！
救命这就是我
树林牛逼
有过
这个画质真是爱死了
必须动笔才能提高思考的深度
真实感
主动即未来
真的太真实了
我们应该要明白什么是重要的，什么是在浪费时间
已三连
为什么要这样 别被别人打断自己的节奏啊 做自己认为对的事啊
坂本龙一！
真的就是不知道应该怎样做才最合理，所以犹豫
真的太真实了
逻辑混乱
太真实了
就是我了唉
是的
2022高考必胜
这样的同桌不存在的
如果懒得学咋办，直接进厂了
把自己的主动性拿回来
有时候会有这种感觉
太真实了就是之前的我
太真实了
没有一所大学会因为你完成作业而录取你！
求bgm
对，就是这样，我高三怎么没早一点，知道树林，看树林直播啊
别骂了，被骂了
支持
真实
谢谢
太真实了
对的对的
太真实了
我同桌是边抄答案边写
真实
对对对
别骂了别骂了
太真实了
确实身边有这样的同学
真实，我现在高三刚换的班就是喜欢布置超多作业
太真实了
树林子我爱你！
树林子我爱你
再来亿遍
啊啊啊这不是我吗
然后更加焦虑了
真实，上课只顾个大概，下课又看别的同学疯狂的写题，不自觉的焦虑，就被带这一期，不敢有计划
真的
太真实了
真的蠢，我去年就是，然后我复读了。
失去了主动就失去了未来
不不不，我有个学霸同桌，他做题真的超快比不了
没错就是我
很想改但是没有方向
我去我就是这样 上课都能听懂做题却做不对
这就是我
我觉得每个人都有自己的做题节奏和对每种题的擅长程度，所以我不会太在意别人的速度？
老师给我们布置的作业让你根本就没有其他时间去弥补你科目的弱项
说的就是我
考砸了了呗
对真是学霸的基本功
不会真有人高三还有同桌吧
别骂了。。
念我身份证号吧？
我
就是我 想努力不知道怎么提高成绩！
gg
直接说我名字吧
别真实找问题吧各位，不然你的结局可能就只是这句真实了
一模一样 
一模一样，我感觉我一直在 焦急的状态中 
是我
是我了
真实啊
..
是我了
疼
对对 我今天就深有体悟
原来大家也这样
兄弟们，希望你们真的好好理解这段话。当年在高考上，我差点觉得整个人生都毁了。
真实
这标题一看就不简单
讲到心里去了
心灵捕手
已经麻木了怎么办
感觉挺有道理，不过还是向他说的一样。思考
冲冲冲！
真实
真的有用吗
我也想没有同桌，我找老师说了，老师不让
好真实
我凑，真的好真实
没想到不止我一个人会这样
超英赶没
垫底辣妹！这个电影就是讲的女主高考
天，一模一样
低效率的努力，只是在别人眼中很拼命，即是自我安慰
幸好我有好同桌，虽然我比较慢，但她还一直鼓励和帮助我
对于这一点最好的办法就是少说话少点对别人的期待
哈哈哈哈真实
这说的太真实了就是本人了
太内卷了
太真实了
经过两年的不断阅读，我能说我大概能做到了
朋友们，专注于自身
救命我一天11节课
我早起都是为了补弱项的
醒醒 上班了
可哪来的时间啊？
过来人，跟了树林一年，超有用
好真实
我能清楚地看到黑板，但看不清我的未来
