我也看过！感动
良心小破站
真的很棒的up
泰斗级别
那时的小破站人还不多
赞同
他们只是去了另一个世界
用心了
面码
大家都是温柔的人啊
永远的大爷
无法想象，有一天，大家都会离开
生命的重量
泪目
cl
真是太好了！
泪目
u神啊
qq号哪？
泪目
还不如继承给子孙，冻结和被收回有什么区别
会被删除，但是如果你收藏了他的视频，那就还能看
BGM：城南花已开
棒
泪目
哎，想到墨茶
u神
不应该
现在还在我的关注列表里
B站倒闭了怎么整
音乐:花之舞
700+
大爷……
人格投射这个，我是赞同
突然想到墨茶
900+
B站不倒
900+
我就知道是U神
墨茶……
卢本伟……
1000+
混入了一位大爷……（泪目）
1000+
复活是什么鬼啊喂！
1000+
不会复活的，他们已经走了
赞同
账号永存
就像…
1000+
可惜没有什么是永远的
这不屁话男生也是人啊又不是石头，只要触碰到了感动的点子上就肯定会流泪啊
1000+
伊邪那岐
怀念三十张
1000+ 泪目
身份证
去了二次元
1000+
1000＋
他们和dio一起生活去了
说复活的，这话题不是开玩笑的，说话尊重点
再如一个人的账号变成纪念账号他想重新登陆怎么办？（人活着）
B站辛苦了
1000+
并不是，大部分实名认证只是一个认证而已，人去世了也不会影响账户使用的
1000+
谢谢B站
1000＋
我现在就试试
1000+
泪目
走了，走了好啊我终于不用没日没夜的追视频了（泪目）祝你在另一个世界过的幸福
但是剩余的大会员啊，什么的充值的东西应该退一下
有实名认证的，实名认证的身份证号你知道这个人有没有去世
1000+
bgm:派大星的独白(bushi)
家属、亲人等可以申请
好像是要由亲友申请
赞同，账号是一个人的人格投射
泪目…
泪目
泪目
泪目
泪目
泪目
万一活过来了呢？
1000+
泪目
在人的生死上寻求意义是错误的。
1000+
つぐのひ既视感
bgm:花之舞
1000+
1000
吃喝不愁大佬…
@墨茶
花无言
好用心啊
“死亡不是终点，遗忘才是”
活过来的请丨，不要在这儿杠，你现在去世再活过来一个试试
1000+
1000+
现在48分
举
一路走好
我
小破站还是好的
有人吗？
別再說什麼復活了，虛擬和現實分不清嗎？死亡不是玩笑話，請認真看待
泪目。。。。
1000+
说复活的那些，这是现实，不是游戏，没有存档复活一说
Neuuuuu_...
大爷
u神，他就是当时B站mad区的先驱
1000+
。。。。。泪目。。。。。。
复活。。。
我现在就逝逝
1000+
赞同
1000+
我是叶良辰
转世投胎
逝去的人不会再回来……
赞同
就算以后有复活的技术，那人骨头都都可能烂了好吗
900+
1000+
我也想过这个问题
除了我
泪目
阿米娅→
谢谢B站
?
我来纠正一下，这个bgm并不是城南花已开
看过.......
1000+
泪目
大爷……
√
城nm，这首是城南花已开？
1000＋
我已经三连了
感动
1000+
1000+
要是被秽土转生之后再用六道轮回天生咋办要是大蛇丸萨妈惑兜师傅挖坟咋办，至于为什么因为他俩想康那种视频
1000+
1000+
b站，我爱你！
我的椎名啊………
万一被卡车撞了穿越到了异世界又回来了怎么办
他们走了，但早晚我会追上去的。
1000+
想太多了
未闻花名好评
1000+
继承使用确实不太好
@吃喝不愁的live
1000+
1000＋
至少小破站还把我当人看不像其他的互联网公司
诈尸可还行
这里的bgm才是城南花已开
1000+
大爷
21:47
ps：暴雪（游戏公司）允许拿着身份证和死亡证明来继承父辈爷辈的账号
1000+
假死怎么办？
兄弟别那么想，即使再不堪，也会有人因你的离去伤心的。
7.23  9.50
事苗爷
老....八..........
I will be there for you.
你这是看墨西哥动画片来的吧
右上角 博士带女儿出来逛街 
泪目
大爷……
谢谢B站
想起来墨茶了
1000+
你复活了再说
1000+
02！
如果投胎了再登号呢
加油，小破站
卧槽
温馨
