韩红这个明星是真的没得说，棒
韩红好样的！
我没觉悟成为他这样无私的人，但这不妨碍我敬佩他
韩红是我最敬佩的女艺术家，没有之一
嘿嘿，闲不住，不做好事，浑身不得劲
敬佩
首页进
吴亦凡出来挨打，好好看看
点赞
一生做一事，那里有灾那里就有她，
大姐这样的才叫明星
那一博也会和你去的，一样是好事！
支持
我自豪我是韩红基金会的月捐人
白嫖失败
易不是讽刺是赞赏好吧，看微表情，最后那个微笑
我看到了韩红实实在在的做事
谢谢，非常感谢
牛鼻 红哥 
非扯什么王一博，全世界就剩他了吗？
好
加油
河南的事然后我又走了捐钱给韩红的冲动
虽然不能立地成圣，但是也相差不远了
致敬
必定流芳百世！致敬
佩服
韩红。古天乐，刘在石。个人了解里面能称为明星的。
真美
灯塔
惊现王一博！！
当年抗美援朝的时候，国内有多少人积极捐钱，那时候才刚打完解放战争不久，是这些人推了中国的崛起
有实力又有爱心，大爱
致敬
今天没币了，明天再投
支持你，真辛苦，也很帅
不是明星 胜似偶像
那些资本制造的所谓流量明星都是文化毒瘤
韩红不是明星她是真正偶像和英雄
这才是我们所要追求的明星啊，这种品质值得我们追求！
这才是艺人  致敬
致敬
我天这个嘴唇是紫的
好真诚的韩红
她真的是歌手吗？我看她像每一个中国人的家长
天天作秀，还带明星作秀，滚吧
和吴签有了鲜明的对比
一句感谢，无法代表全部的感激之情。保重身体！
真的帅！那些流量明星真的没有一个能上台面的！
谁喷韩红我直接淦他niang
唯一一个让易立竞没那么刁钻问问题的
吴签也配和韩红比？把他们放一起就是一种侮辱
致敬
她至少做了事，捐了钱，说她作秀的骗子的人先滚吧
致敬
他们奔波劳碌，饮风食露，是这个世界不配有的人。
红姐你最美
和吴签比什么心态？
尽心尽力是标准，办到什么程度不是标准
少tm拿吴跟她比，玷污韩红的灵魂
《一包方便面》《五万电脑》 几亿募捐才收20管理费怎么了 我不公示理财又怎么了 违法募捐又怎么了 我就是第一时间在一线出现 不夸我的统统扣帽子
榜样的力量更有意义
能别和吴签比？这是一个层次的？太掉价了简直
"支援自己家乡叫作秀，那倒是多来几个＂作秀""的呀"
这可不是艺人。这是明星。
前面说王一博是作秀的，今天王一博到新乡了，跟韩红到水里捞人。你说他作秀，那你怎么不去救别人呢？
韩红什么都能黑，除了慈善跟唱功
或许他们不像救援队那样专业，但他们的到来真的给灾区人民带来很大希望
致敬
有几个明星敢直接在物资上写自己真名的，只有这种敢作敢当不怕查的明星才敢
姐就是姐，不要叫红哥，好不好呀
不用捡垃圾，你开个演唱会，大家都会去的！
老一辈艺术家才是真正值得我们尊敬的！
诋毁韩红的大V，非人哉！
这是英雄
你怎么就不瘦呢
韩红来我们新乡了 真的很感谢她 值的敬佩
这才叫偶像啊
别拿人渣、垃圾去和红姐比。。。。那些不配
开演唱会啊
这才是明星想那些捐了钱的我也没感觉都是不见不行的
开演唱会吧
老师！开个演唱会吧！
英雄
致敬
QAQ
学下韩国，服过兵役才能出道娱乐圈。
有人黑过韩红基金，后来都用透明公开的证据灭了对方。
弹幕里啥人都有 你管他是不是作秀 这箱水是不是人家搬的 还是你问大小
求bgm
只要是做好事 作秀也可以
韩红不是明星是英雄
致敬
国人皆如此倭寇何敢
致敬
注意身体，身体是事业的根本
公道自在人心
韩姐来成都开演唱会，我一定去！
吴签们看看，想当明星先有人性！
所以不要看一个人说什么，要看一个人做什么。
这才应该是偶像
这才是明星
瘦了
部队出来的就是牛
前边的不要把人渣跟咱们伟大的红姐对比
韩姐，瘦了，注意身体
瘦了
致敬
