啦啦啦啦啦啦啦啦
2
1
56分钟~~~~~~~~~
刚刚更新
承包第三条！！！！！！！！！！！！
1
我将继续扮演蝙蝠侠
1111111
111
我来了！
56分钟，我简直嗨到不行了
刚刚
第四条
这么前！
才不会!永远的经典超英电影～
啊啊啊啊啊啊啊木鱼更新了！
！刚刚更新
来了来了
时长感人
1/+
3
wow~！
19
1134
来了来了
你知道混乱有什么好处吗?它能带来公平。
看我刷到了什么
这个必须3连
先三连再看
好早
久等了！
这怎么能忘呢，就冲小丑都忘不了
我真的嗨爆了
我要杀的是货车司机
进度条吓人
忘不了，至少看了上百次
来早了
第一名 已截图
永远不会忘记的，经典里的经典啊
2529
11111
第一！！！！！！！！！！！11
淡忘？？不可能。。
个人最喜欢的电影
……承认这部作品非常不错
干净
马宏？你不去越狱了？
希斯莱杰
好早
为马宏发一波弹幕
组成弹幕
7分钟前
马洪
我擦 56分钟？
吓尿
马宏
一个小时
6666
戈登心里咯噔一下
，a
唯一一次手下留情
马宏叔
永远不会忘记
进度条！！！
没有抢劫的那段吗
记重点，要考的
想模仿蝙蝠侠 可你们没钱
时长有趣  开心
这几分钟是整个电影最精彩的部分
进度条感人
收获日？
来了
超级英雄题材的巅峰
变成了半脸人
85
名场面
时长好评
早
民风淳朴哥谭镇
大佬抽烟
戈登心里又咯噔了一下
。
马宏
这个瑞秋是真的老
时长感人！
来啦来啦
12分钟前
来了
超级电影里面最爱这部！
12分钟前，第一次这么早
双面人
承包丑爷
前三名是什么神仙
不看了，等养肥了再看
我已经三连了，你们呢？
来早了
空瓶
进度条警告
好早
前7000，第一次赶上。木鱼大大辛苦了
14分钟前，我确实来早了，蝙蝠侠，真香
必须再刷一遍
15分钟前
冬兵？？
看我刷出了什么？？
伟大的木鱼～
我一进来就看见黑吃黑
前1w
一个小时的时长！
华尔街之狼里小李子的入门师父
开场读后感？
我也要为马宏发个弹幕
雷了雷了
老爷最高！
丑爷
我爱DC
吹爆!
唉瑞秋换人了
跟风是一部分，可我觉得导演在这部电影里面，描述人物花了很大篇幅
超英天花板
哇这期进度条的长度
10086
来了老弟
必须三连
太平洋银行标准差事
这是一部看完心里发凉的 英雄片
GTA5
永远不可能忘
黑暗骑士这部很好看
payday
那我也为马宏发个弹幕
木鱼水肝
舒服了
戈登不在火箭打球？
我先来，回头即兴发挥，请
检察长真的是高危职业
来啦
承包！
真·IMAX镜头
我认为应该第一
来了来了
我TM吹爆
双面人
bgm吹爆
非常喜欢这部
啊啊啊啊！黑暗骑士啊啊啊啊
民风淳朴的哥谭
火钳刘明
这不是第一部的那个角色嘛
从不会淡忘，真的，黑暗骑士是所有超英电影的天花板
23分钟前，来晚了啊
56分钟，加倍的快乐！
马宏 ，是你！！
这个瑞秋年轻时是真的靓
时长感人
养肥了在看神作
久等了
一个小时woc，拉满拉满
黑暗骑士，诺兰最佳
这里嘲讽中国制造
喜欢长点的
除教父之外最爱的电影
有多喜欢蝙蝠侠，就有多喜欢小丑
时长感人
发个友善的弹幕
经典永不过时
这时长，快乐加倍，哈哈！
守望者+黑暗骑士超英最佳欢迎来杠
存着下班再看
木鱼大大辛苦了
杰克吉伦哈尔的姐姐
民风淳朴哥谭市 人才辈出阿卡姆
第一名肖申克的救赎
payday
第二名第三名是教父一二部
收获日
这不片离得每一个演员都是对应角色最适合色，除了蝙蝠侠。。。
马宏
是你，詹姆骑士
累了累了
兰尼斯特有债必还
按G带上面具
感觉妆容做的不错
火箭的是哈登
来了来了
大哥抽烟，美国的得劲
我不做人了 jojo
搬完钱就枪毙
顺便吐槽了一遍国产无良山寨厂商
这个超级好看！我看了好几遍
钞级英雄
没弹幕？ 好不习惯啊
一只老哈维。。。
钞能力
永远的小丑！
赞赞赞
都快死了还要嘲讽？
看都不想看 直接硬币奉上
片中的这种噪音配乐真的让人很压抑，将小丑给人带来的感觉又提了一个高度
这里是个暗线后面有剧情
为什么不把手雷拔出来
最棒的超级英雄电影
好看
让人想起了墨西哥毒贩
37分钟前
收获日2
