冒泡
？
1
1111
前排前排
沙发。这里圈圈
来了1
卧槽刚刚
处女屏
一分钟前
刚刚
111
刚刚！
1
承包空瓶
11
突然变声
好早鸭
我来了
我是第一
弹幕以肉眼可见的速度在上涨！！！1
都来了吗
11111111
一分钟前！！先赞后看好习惯
播放1
第一第一!
来了
刚刚
1111
喵喵喵
本宫是第一，你们都别抢了!
看到我你就是60以后
1
这么靠前？！
386位小伙伴你们好啊
康纳酱！
卧槽！第一次怎么前！！！！
第一次
前排-w-
一分钟
卧槽
333
承包空屏！
前前前
第一，耶
哈！
我去
2529！
真实
2分钟
来看敖厂长
两分钟前!
屏幕裂了
woc，一分钟前，2529？？？
2分钟前！
666666 
5299
不谈
啊啊啊啊啊啊啊嗷嗷
2分钟前
云玩家
11111
250
真实
前1w
两分钟前
1111
这么早
5300
11111111
云通关？
没人
5299
3分钟前
5299
厂长你屏幕裂了
3分钟前
没人?
冷酷无情康纳酱
会！白嫖了隐形守护者准备入手安卓版本
引号反了
键盘侠占领全世界
云玩家
一分钟前！！
我去 这么快吗
传说之下，越看越想玩
很多游戏都是因为云玩家太多而销量不好
三分钟前
湿滑
火钳刘明
为什么大家总要强第一
8257
因为没出PC版
2分钟前
8k5
前4分钟
8257
共娥三义入·豆洲幽兰腿吾蝌耕低人二珊王
承包
看简介！！
不会
最近只狼也是，到处指指点点觉得很容易，容易个jr
拿来下饭了
4分钟
你们住在b站么
有一说一，云玩家大放厥词的样子确实恶心人
是很不妥
123
77
8257
四分钟前wdnmd
我看完了隐形守护者，为了支持国产特地买了
关上前一万大门
厂长说的很客观
好前
刚下课
四分钟前
我看到了我发的弹幕
婷哥NB
别人可能不会，但是我会
游戏最重要的还是好玩
声音变来变去的（
我没玩过  看着挺简单的  你玩的不好就是你菜
买得起游戏但是买不起主机
8257
没人吗
5分钟前！
第10110
5分钟1.1万
6分钟1w2
说的太对了
woc
没人？
作文满分
20000
独占没办法
看见我你就是10000后了
好像还做过mc故事版
超级前排
承包这个康纳酱
6分钟前
因为独占
关上1万门
对对对
不会
可是任天堂的游戏看直播没什么意义啊
哇厂长想法很好哎
嘤嘤嘤
6分
来了
冲冲冲
因为他丫是主机的啊
6分钟1.4万，你们这群魔鬼
五分钟前
如果要直播要收费吗
云玩家们看到了没有，这就是你们祸害的事情
可以有
所以有些自己想玩的剧情游戏我从来不看视频和直播，自己去操作经理才是最带感的
七分钟前
销量太真实了
11111
不会
对，没人
有条件就支持一下
前前前
7分钟前
刚刚
对呀，只希望那些看了没买的云玩家闭嘴别乱评乱剧透即可 没要求他们买游戏
1.1w
我以为我屏幕碎了
醒醒，出了PC销量能涨百分十就不错了
可以限播后几章，然后逐步开放。这也是不得已而为之的办法
七分钟前！
对对对，这种云玩家特别恶心
404
对
来了来了
我的世界草方块？！？！
暴雨好像是当时这类游戏非常少加上剧情受众？
前排围观
敖厂长在批评云玩家了
卧槽，才发现，我这么早
成精瞩目
不能
说的对
抱歉，是的
8分钟前
草方块
该换手机膜了X﹏X
承包钢化膜裂纹
略略略
没人吗？
你头发掉了→
弹幕不断上升
搞笑为什么要播出来。
有人吗
八分钟前
1111111111
主要是windows没有啊 不然就买了
真正想玩的游戏从来不看剧情
暴雨也是独占 不懂的别乱说
我没有打开弹幕吗？
因为没有主机
白嫖
有人吗
我玩了两个星期才玩完想玩的主线
题材本来就小众的，全平台也不定能多卖多少
任老大还是看的远
8分钟前2.1w
买了也不一定会玩
主要还是平台受限，底特律这种游戏在主机上独占电脑玩家总不能再为了这个游戏专门买个主机
有啊，纯子天下第一！
没人？
"忍不住点开看了,再玩一遍，确认没什么意思,但白嫖党请不要bb"
2030年前来考古
好早啊，都没弹幕
8分钟前
现在有pc版了。可以买了
确实，一条正确的途径，防剧透
但是后来解禁
11111111
前排！！！！！
10分钟两万。
终于来早了一次
会的
那就别直播这种游戏呀
更加会被剧透了
那样的话我选择不看
早
云玩家是任何游戏玩家都唾弃的存在！
我室友就是这样，在直播看完隐形守护者，我自己在玩他还很骄傲地就给我说说说，真的很讨厌
10分钟前
因为ps4独占
这个想法很好呀
三分钟七百多评论，你们的房子多少钱？
这么热闹
敖厂长的这个想法必须点赞。游戏也是文创类产品。只要了解到了创作的内容就可以考虑对其进行付费
其实这种行为比白嫖还不如
emmmmm
这样对游戏推广不利
观众对于动作游戏打击感的评论也是最搞笑的
学生党有多少寝室里再买个主机的？
会补票的终归是少数
隐形守护者也是类似的局面
9年之后底特律的销量不如暴雨今天的销量？
也许可以先发电影 然后之后再推出游戏233
前前前
说得好
111
已投币
这就看游戏公司怎么做了，我不觉得这是市场或是玩家的问题
没弹幕了？
笑死我了，独占跟销量有关系？
第一次发弹幕
我就是盗版穷b玩家。。
一个看完，71弹幕，，，魔鬼
会，如果推出PC版一定会买
买不起。。
对 大逆转很多都没办法播
看就完了别bb都好说
@隐形守护者
11分钟
参考赤途
我缺的是那几百块钱的游戏吗，我缺的是那几万块钱的电脑。
所以我从来都不会去看喜欢的游戏的有关视频，买了、玩完了再去看
毕竟不是大众游戏
11分钟
想法特别好
空屏？
厂长，你手机上有个头发。
应该算是侵权的，没有获得授权的直播游戏和下载盗版电影有什么区别？
DLC风云，DLC社
激动
那谁看呢？
弹幕少，终于等到这一刻，哈哈哈
我就喜欢朋友打团，我一边观战一边壁壁
还是老任刚
承包空屏
是这样子没错
12分钟
"11分钟前,哈哈"
暴雨也沒有PC阿
看节目效果嘛，自己管好自己的嘴
可以
我记得日本商业文字游戏是不允许做视频的
会
12分钟以前
倒是上steam啊。。。、
我就是
谈崩专家
希望能移植到pc
西边不能惹迪士尼，东边不能惹任天堂
3万大门
我会先看第一章
我喜欢玩 不喜欢看 
单机游戏 的确应该禁止直播，或者授权直播，获得授权应该给交钱
只买游戏不玩游戏的+1党路过
tt也是因为后面的作品故事讲得太屎啊，少了好编剧好导演还怎么讲故事
如果看了之后觉得喜欢，即使不玩我也会补票
十二分钟前
"我是半个云玩家,嘤嘤嘤"
你倒是出pc版啊
up做视频不行啊 这5秒的空白是怎么回事
15前
好好好
这个想法不错的
贡献了一份
杰哥不要啊
小众这么多人云？守着某些up主更新看
前5万hihi
存在即合理
喜欢一个游戏的话会不看视频直接买游戏
12分钟前
是我没错了
屏幕裂了
说到底还是教育的问题 没教这种人什么叫素质道德
13分钟
我会
好玩的会
2333333333333
你的手机上有根头发
什么叫比盗版玩家还可恨
3.1万
都没时间玩游戏了看别人玩也是有罪？
3918
限制播放章节数啊，根据时间往后解禁，现在很多游戏都这样了，不过在中国没人遵守就是了
底特律要上epic的，去支持一波吧
倒数第二行右数第二个是个什么鬼哦
十三分钟前
硬核玩家不喜欢这种升级版的橙光游戏，云玩家更喜欢看别人玩
13分钟前
要不是没有PS4我恐怕就买了（穷人的眼泪）
 那你就去叫B站所有的UP主不要发游戏视频了好不好
来了来了来了来了
....本来就不会去玩这类游戏
所以暗示直播up主们要注意点了
以后直播就播一半，想看自己买
屏碎了
1
来了来了！！！！！！
可以让最后几个章节不能公开直播与传播视频、~~~~~~~~~
这种不叫云玩家，他们就是孤儿，身为一个云玩家表示不想背这种孤儿的锅
互动式电影看别人玩不就好了，而且我却的是底特律变人吗
要做到完全防剧透很难，主要是这几点：
这种讲故事缺玩法的游戏没兴趣入手
11111
承包处女屏！！
同意，毕竟不赚钱开发公司怎么活
其实是很多人没钱买ps 4
看完奇异人生1之后就没买，一直等到2出来
其实不知云万家，只要专业性高些的视频，云球手，云音乐家，超级坏心情
不算大众类型的游戏吧
我倒是想买，没PS4，steam上没有。epic锁区咋买?
PS4一千多...........然而跟不上啊
14分钟
首先，没有买游戏，游戏公司就没有必要对你负责，你虽说的不好只是你觉得不好，没有满足你的中二倾向，
你看就看  来指点江山就不对了
弹幕真实灾难
在线康纳，专业谈崩
不想白嫖消费能力阻碍也是个问题
底特律的碟子买了还没有玩 也不敢看剧情
youtube上好像有新上游戏一年保护（不允许直播流程），可惜B站没有。
有PC版我还是会买的
隐形守护者我买了
键盘侠天下无敌
1
ps4独占就等pc出了买，pc出了就等上steam买，steam出了就等打折，呵呵
丢我们云玩家的脸
前面的，你要真了解过，就知道是买得起主机买不起游戏了
