有生之年
1播放量，我
来了
你看到我就已经不是第一了
第一个
观看一
烫嘴
刚刚！居然是刚刚
刚刚！
哦豁
玩和平精英就好了
哈喽哇
指鹿为帕
一分钟我出息了！！！
刚刚，热乎
1分钟，放冰箱凉凉再吃
第一.，一分钟
好早
1分钟，最早的一次
？？？！
两分钟，真热乎/狗头
夕：一发铁拳就能解决的事何必这么麻烦
两分钟！！！！
热乎的，我出息了
你看到我已经不是第一个了
热乎~
辛苦了
我国早已有一套完整的刑法
一分钟，还热乎
两分钟！！！
2分钟热乎
烫烫烫
3分钟
好臭的大能，埋了吧（doge）
2分钟热乎
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
三分钟！
好臭
6666
吊图一堆
不愧是你
两分钟，出息了！
柱子，
大能号发车啦，解好皮带，随时开捣
三分钟
哇 三分钟
臭死了！（恼）
三分钟，妈妈，我出息了
懂了 坐载人航空上去
热乎
4分钟！！
大能奇妙的比喻
柱子，你他娘的打歪了。
热乎，专业团队报到！
4分钟
4分钟，我出息了
四分钟
4分钟
“我们有真实的物理引擎”
热乎啊啊啊啊啊啊
泪目
臭起来了
看过阿贝的，可以站人
看见我你就不是第一了
你这太鸽了
大能哥哥永远滴神
插U盘的人在装什么
5分钟，长出息了
关上五分钟的大门
5分钟
五分钟
woc，有挂
热乎?
6分钟，热乎的
6分钟
六分钟
《上刺刀》
如果真能这样那还真的是挺快乐
沙发
恶臭大能（确信）
5分钟热乎
草？
真实的物理引擎
八百万W 八百亿
烫烫
面包车
6分钟就这么多人了？
6分钟
g了解一下
6分钟
ohhhhhhhhhhhhh
这是模仿大能的普通玩家
关上6分钟大门
热乎
6分 有点烫！！
七分钟
七分钟
关上3400的大门
热乎的
究极热乎
喔 7分钟！
六分钟
热乎6分钟
6分钟，还能吃
7分钟
七分钟
7分钟热乎呢
7分钟热乎
解释一下，这叫起势，然后他可以解决
重点姛
四分钟，我出息了
等一个不可能
七分钟
热乎
七分钟，出息了出息了
危！
热乎
0
才发现好早
柱子，你他娘的打歪了
七分钟，我出息了
七分钟
8分钟
7分钟
八分钟
两分钟了，喀秋莎热一热还能吃
八分钟
八分钟
真，上机
0
5分钟
7分钟还热乎
烫烫烫
我刚从神州十二号过来你就给我来载人航天？
正片开始
8分鐘！燙手
8分钟热乎
Ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
辛苦了
八分钟，热乎
9分钟还热乎 
第一！！！！！！！！！！！
九分钟
九分钟热乎
九分钟
烫烫
一袋米呦抗几楼
热乎的
9分钟，烫
提前ohhhhhhhhhhh
时长告诉我  这次没成功
热乎
正片开始
新鲜的
交会对接
燃起来了
9分钟
八分钟
厉害
赶上了
热乎
我方攻击直升机已就绪
吊图一会
拼会拼，就是不会脱裤子
热乎
10分钟
烫嘴
10分钟！
十分钟
十分钟
八百万w？8000000w？
獨佔空屏
我来组成弹幕
母鸡：我是拉拉
雕图一堆
一袋米要扛几幢楼
“我们有最真实的物理引擎”
ohhhhhhhh
11分钟出息了
十分钟
十一分钟还热乎
666
太强了
11分钟，热热还能吃。
热乎
800亿？
11分钟，热一热还能吃
辛苦了
完全，不可能！
12分
燃起来了!!!!!!!!
我们有最真实的物理引擎
12分钟热乎
可见空间站的建设多么困难，壮哉我大中国
开幕雷击
真 实 的 物 理 引 擎
武装直升机
11分钟，热乎
取名指导：波风水门
琦玉老师说，小事一桩
12分钟
12分钟
12分钟
又来聊
woc十三分钟
13分钟
10分钟出息了
载人航天
8分钟，冲鸭
热乎
阳光明媚的夜里两点半，帕拉莫
热乎呢
13分钟，差了点
被炸上去
13分钟！
琦玉：？？？？
我的痛苦在你之上！
6分钟
热乎
轰炸机
来了老弟
跳了114514次
行了，开挂吧！
哦吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼哦吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼吼
14分钟！
热乎的
14分钟
13分钟！！
6分钟
恶臭
牛逼
紧急救援挂件！
14分钟，热热还能吃
坐等插U盘
十四分钟热乎
來了來了
u盘呢
大能走远了
偏了好多！
关上15分钟的大门
16分钟
十五分钟热热还能吃
急救装置
八分钟，烫嘴!
来了来了
16分钟
16分赚了
16分钟，真心烫嘴
无敌
10分钟，还算热乎
16分钟太烫了
神舟十三？
15分钟我有行了
熟练的让人心疼......
妈妈，我出息了
17分钟
求BGM
18分钟 出息了
18分，凉透了
不来个载人航天应应景吗
弹幕好少
五分钟，有点烫
