阿
？
为什么才2条评论
都好厉害
86万播放，俩弹幕？
弹幕呢
弹幕？
没什么弹幕
地狱边境
弹幕呢？
这个深海安康鱼太有感觉了
死亡搁浅YYD S
这个好有创意
传火
死亡搁浅！！
卧槽  这个帅
这个寓意好深啊
巨人！！！
这个牛
这个太好了
莱宝！！
都超厉害啊
都在专心看视频
克鲁苏味太重
地狱边境？
泰坦？
泰坦陨落？
奥日？
好家伙
【表情】
随身充电宝
好多老鼠
宫崎骏的画风？
帅死
边境之地
想问一下这是哪位大佬创作的
ye s
喜欢这个动漫风的
星战？
黑暗之魂
这个三渲二牛逼啊
这个三渲二牛逼啊
我弹幕呢
右上角都是圆形
黑魂可还行…
地狱边境风格加弗弗西神话
星战迷狂喜
这个也太绝了
地狱边境？
f
50弹幕
地狱边境？？
这个有意思
画风突变
这个也好厉害
这个好可爱啊
没有拉东西的动作有些奇怪。。。
远处的蜘蛛侠
喜欢这个
睡觉之前播放这个太爽了
woc这个绝了
死亡搁浅
喜欢这个剪影画风
泰坦陨落！
这不得来个死亡搁浅？
密恐
地狱边境？
辛烷？
为什么都在拉拉拉？
牛壁
铁驭！
我喜欢这个
泰坦陨落！！！！
左下角马奎尔
哪个都——寓意好深奥
泰坦陨落
静静欣赏
这个很酷
被清过了，评论都有一千多条呢
铁驭
左下角有名字
好多游戏
死亡搁浅？
这个帅
地狱边缘
这个吊
这个帅
双人成行
头号玩家男主住的集装箱！
喜欢这个的
右上角太绝了
这个好强
绝活
密集恐惧症患者狂喜
这个氛围好好
西西弗西
可爱
绝了
limbo
恶霸马奎尔
利维坦
切尔诺贝利¿
死亡搁浅
死亡搁浅
后面LED上是泽莫男爵吗hhh
这个好帅
黑死病
死亡搁浅
因为规则就是不能动人物位置和右上圆形
无人深空
卧槽，像真的一样
会不会有死亡搁浅啊，有些画风还挺像的
狼大剑
死...死亡搁浅？
酷
这个是那部电影
这个好看
动力瘤子
这里有点死亡搁浅味道
黑客帝国
都是游戏啊
死亡搁浅
死亡搁浅
一个场景，一个世界
新冠草
有点复联四既视感
叠楼（指正）
死亡搁浅！！
RNA转录
好像DNA
切尔诺贝利
切尔诺贝利
中世纪黑死病
瘟医
赛博朋克
每个人都在世界边境
铁驭，我们需要你
卧槽。剃刀号
帝国侦察机器人
后面的英文是真的讽刺
牛逼啊
各种星球
铁御赛高
好喜欢这个
哪讽刺了
死亡搁浅
地狱边境黑
达克赛德
死亡搁浅
泽莫！！！
这个莫名喜感
看后面的初代小蜘蛛哈哈哈哈哈
突然笑出来了
狼大剑
蚁人
黑魂
这个是最牛逼的
环印城？
这个好
摘星拿月？
脚男！
mRNA
这个好美！
看简介！
恒新牌随身充
打工人
动力小子¿
这不是电影，是比赛作品
这个好好看！！
这个好
居然是黑魂
希绪弗斯
地狱边境！！！
这个最有感觉！！！！
拖着人
这个好
死亡搁浅YYDS
人在拉拽重物往前走的时候不该这样？哪里不合理
头号玩家！
星战
有点像奥日
这是灵魂拖着人吧
打工人
晚上做梦，会梦见自己走不动路。
影子武士？
环形物语？
哈尔的移动飞船
做梦的时候走不动路比这个要更艰难
布罗特亨德尔！
好可爱啊哈哈哈哈
这个有趣哈哈哈哈
无人深空吗
卧槽才发现
地铁
狂野星球
零时代
这个绝了！
K
limbo！
好家伙宫崎骏大弟子吗你是
Limbo！
地狱边境的画风诶
地狱边境
这个好戳
这个游戏叫地狱边境
远处的是泽莫男爵不是蜘蛛侠
这创意真的牛
都好喜欢啊
地狱边缘的风格？
几乎每一个都能脑补出一个故事
地狱边缘的风格吗？
《重返德军总部》
这个好!
都是什么电脑，渲染得太棒了
这是地狱边境吧
霍格沃茨！卢平教授！
LIMBOy'y'd's
铁驱
limbo！
圆形和人物不能移位
limbo！
规定的吧
地狱边境
首先第一幅画面肯定不是日本
注意右上的圆形
我喜欢这个
空洞骑士？
左下有啊
ttf2天下第一
BT7274
安康鱼
弹幕呢
玩具总动员的画风吧。。
limbo！！！
参见铁驭王十八
wudi
死亡搁浅！
他一步一步走向那个名为终点的地方，但谁又知道在哪
地狱边境
规定了动作看的是渲染和场景
卧槽
平底这个角度牛批
这个就是公司画大饼吧
都是大佬
这个好浪漫
steampunk
LIMBO地狱边境
跟进度条一样？
这个比刚才那个更赛博朋克
这个环境渲染的真的很到位
太帅了
暴风兵
作者名字不都在左下角吗
地狱边境诶
莱纳你坐啊
瘟疫传说
完全看傻了
左下角都有名字
有每天看一遍
哇
同睡觉前
木卫二上？
达克赛德
随手就是大制作啊
笑死了这风暴兵
瘟疫传说
limbo
千珏？
小刺猬好可爱
黑死病与戴鸟嘴面具的医生，有意思
比赛主题就是动画位置和圆形不能变
泽莫男爵丹尼尔布鲁赫啊
帅
爱了
爱了
这个我爱
动力妞子！
对 哈哈
名字看左下角
弹幕被清了
THE SUN SHINES NO EVERYONE--并非人人都能享受阳光
巨人:
脚在拉着手
这个质感绝了
地狱边境
初火将熄，然位不见王影
这个厉害根本看不出圆了
莱纳！！！
这是星战，看后面机器人
梦境再现，梦里还得手抓着东西拉，才能前进。
卧槽
赛博朋克
我只想知道bgm
新冠？
死亡搁浅好
草
←左下角都有名字
风暴兵lol
你好，铁驭
这个好
无主之地、
高达？
这个好
头号玩家
i
不错，投币支持
星际拓荒？
明日边缘？
这个最好，场景和动作融合的最好
霍斯
这个挺好的，无尽的路的感觉
这个牛啊，想象力丰富
这个好帅！
突然宫崎骏
正在展UV的你
星际迷航风
切尔诺贝利切尔诺贝利
切尔诺贝利
有风
进击的巨人？
骑马与砍杀？
名字在左下
十字军？
好可爱
↓充满智慧的眼神下
这个怕不是重返德军总部
托东西和拉东西的题材是受到了动作的限制
这个也太牛逼了吧！！100个人心中100个哈姆雷特
积木
玩具兵
块魂
小时候玩的塑料士兵
好帅！
中世纪的鸟嘴医生
赛博朋克（滑稽）
都是大神
没有一个拉胯
勇敢的心？
哈哈哈哈哈哈风暴病
哈哈哈哈哈哈风暴兵笑死我了
第一个是发起人的作品，他有直播演示制作过程
好厉害呀
果然是拉纤
怎么学这个啊
limbo
总有个人在种太阳
背景是头号玩家
nb
limbo
这个牛啊
看到这个第一反应是后天
这个是幽灵行者？
马达蛋白！这是细胞内
这是哪部电影？
这个月亮动画太好看了
这重心飞到后面去了
死亡搁浅在前面，一开头几个
白细胞
这个太绝了
玩具总动员
这个也好
有意思
黑魂3！
绝了！
真的看傻了
天哪天啊
有点纸片马里奥的感觉
COD13？
这个圆厉害啊
棒啊
真的好浪漫
银翼杀手
是ON不是NO具有讽刺意味
我看不懂，但我大受震撼
帝国探测机器人
Bb
不拉东西动作就很怪
电幻国度
使命召唤无限战争
这个彬彬就是逊啦
好像动力小子
没有女生
奇美拉（
这个可以
the sun shines on everyone——人人都能享受阳光
右上角会一直有类似球状物体
这个我直接整个人麻了
好棒啊
这个nb
这个好像流浪地球
画风突变
马文
更换原视频会清掉原先所有弹幕的
行尸走肉？
这个浮空城有意思
马里奥纸片人？
想到了山海情里的水花搬家的片段
玩具总动员
每个场景右上角都会有个半圆形
地狱边境！爱了，想不到还有人记得这个游戏！
T细伯
右上角游戏是块魂
快乐驿站
limbo
每一帧都是壁纸啊
都很棒啊！
这个大爱
