来来啦
66666
？dio
前排哒！
火钳刘明
神父biss
妙啊
卧槽你不是一个仓鼠么
黄金镇魂曲 PRIME!
66666
给黄镇搞了个白金配色?
wow 
动Kiev
泪目
nb！
久 等 了
太棒了
火钳刘明
在场的204人大家好
你管这叫手书？？？
草
少拿原版骗我
看着最初的jojo立
三连给了
太强了真的
火钳刘明
神仙
银色战车哭了
卧槽
生死之隔
看了一下进度条，发现事情并不简单
完全一致
这英文版的
直接曝炸
6666（只会喊6的咸鱼）
鉴作无人（悲）
bo加拉ki
魔鬼们准备
妙啊！
dio！！！
你币有了
看到了原版看不到的画面
66666666
火㶰刘明
别拿原作骗我
神仙神仙
JOJO的奇妙变色，膝盖给你了大佬
太厉害了
这是画的
父词子哮
woc
你明天去JOJO的工作室上班
神仙下凡画画啦！
一人顶一个动漫公司
首页通知书，安排！
太nm强了
刀子
wo c
火钳刘明
你币有了
转场太棒了吧
啊无敌的承太郎倒下了……
6666
火钳刘明
好强
好叼
为什么只能投两个币
银色体验镇魂曲
英文版，魔鬼不了了
看到这个裂痕我哭了
十分钟放心淦
你三连到了
这是真是画的
真的牛批啊
卧槽
哇，这流畅度
火钳刘明
NB啊
火钳刘明
神还原
这何尝不是一种闪耀的黄金精神呢？
完全一致
臣卜木曹
看着我
请收下我的三连
正版                              
辛苦了
Jo等了
Nbnb
左生右死
一二jo没得排面
牛逼
越画越好。
这是第二段吧
怀疑是jo级生物儿子
刚才那个好像神父
为什么只能投两个币
666
火钳刘明
似李，荒木老贼
你学你爸呢
这个很六批
没硬币了，收藏以示友好
报告，他这是替身攻击
我有种原作的感觉
完全一致，upNB!
这里改的真棒。。。牛批
火钳刘明
三连三连，给跪下了
tql
这是李罗克吗
完 全 一 致
这进度条惊了
前面那个说剧透的，你不说还没人知道石之海结局
火钳刘明
火钳刘明
牛逼牛逼
火钳刘明
牛逼
石像脚底下的是滚石
少拿原版糊弄我
帧数瞬间爆炸
只能说牛逼啊
太强了吧，完全一致
