第一个
哎？？？
我的妈呀！
沙发沙发
我居然这么早
好前
来了
刚刚
嚯
刚刚
我居然赶上了！
我来啦！
还热乎
没人吗
我就是打字慢，我才是1
第一次这么前
刚刚！
前排预定
终于更新了
来了
来了！
来了来了来了
太早了都没有弹幕
哈哈哈
来了
嘿嘿！！！
弹幕?
贼早!
辣个蓝人
刚刚
哈哈哈哈哈哈
破天荒的赶了个前排
莫有人
幽灵行动 断网
头一次这么前~~
你们是住在b站了吗
幽灵行动：断气
我刷到了热评
我这么早
绕口令
罗德岛
哇哇哇
来了来了
ohhhhh
光头
第一次这么早
偷车实某身上纹，从此不做打工人。
靠前
弹幕呢？
承包空屏
基光岛
有点胡子？？？
养肥了 再来看
来了                        耶耶耶耶耶耶耶耶耶耶耶耶耶
刚看完猎奇视频感觉有点害怕
空屏
光头
哈哈哈哈哈哈哈
斯凯尔应该就是skull吧
瞎了
弹幕呢
狒狒
你说巧不巧
承包空屏
嘿嘿，两分钟
哈哈哈哈哈哈哈哈哈
没头发
哇昨天刚试玩
来了
热乎
突然高产
猛男
有人咩
刷满了前排表白番茄
承包空屏
有
弹幕呢
我的妈呀。。。你们是住在B站么？这才一分钟就三千播放了。。。
嘎哈哈哈哈哈哈
为什么没有弹幕
一分钟
大爷您高寿啦????
年迈的47
弹幕呢
标准开头
今天bw看见你啦哈哈哈哈哈哈哈哈哈
番茄酱
夕阳红枪法
有
早
啊啊啊
你死了  游戏结束
哈哈哈哈哈
又一个光头
.
熟悉的bgm
我想到了使命召唤，幽灵行动
真烫
承包空屏
突如其来的BGM
来啦
头号玩家？
有人吗
突然兴奋•茄
播放一已截图。
三千播放
播放一！
吴克
承包空屏
？
幽灵行动:断气
承包空屏
哈哈好像周星驰
来了来了·
你也可以叫碧玉行动
有
BGM突然欢快起来
5229人大家好啊
？BGM
hi
人好少
你手机坏了
人体描边
凉凉
没头发就很厉害了qwq
突然欢乐
有
diyi
才发2分钟 找毛线人？
恰饭
我的天好帅
这熟悉的BGM，啊～
目力老番茄
别刷时间好吗
哦豁，赶上了。3分钟新鲜出炉的老番茄
作业写好了吗
老番茄更新了！
丢人
怎么把消音器卸了……这代AI有个消音随便点脑袋的
描边大师
夕阳红描边枪法
男孩子在外面要多多保护好自己
下冰雹?
哇好烫好烫
bgm突变
想到了使命召唤
死神 来丢人了
哦呼
茄哥不要啦
有
8:04的我战战兢兢
来个深情地吻，说不定可以
刚刚
OMG
好早
我也太早了吧
医学奇迹
满脸老番茄
来了
呕吐了，摄像机被埋了
第一次这么早
承包空屏
好早啊
我是番茄酱...
啊啊啊啊
老番茄是我的，没人看见我
爷来了！
4分钟1.2万，恐怖如斯
幽灵行动：断网
bgm突然出戏
有
奇怪的BGM
人工呼吸
第一千条弹幕
刚刚
刚刚
丢人的笑死
。。。
奎爷是你吗？
枪法差是真滴
来了
4分钟啊啊啊啊4分钟
强者的发型
哈哈哈哈哈哈哈
爷们
啊～
我要吃了老番茄
4分钟
绿宝石水花
应景的BGM
打个断点
红红火火恍恍惚惚
真的美人？
来啦
不sao
有的
画质好评
零分出局！
弹幕呢???
有
哈哈哈哈哈哈好老
8:05有人
高调承包空屏
承包空屏
致命空枪
你们都住B站的吧
咖喱英文
不好意思我在b站有套房
夕阳红枪法
屏幕上的人好美
我寻思着一个飞机上的不是队友吗
胡子变黑了
啊啊啊
miu惹克~起~
换弹癌
罚叔？？
没弹幕？
那是番茄酱吧
2333
拜拜了您嘞！
没有弹幕好不习惯哦
表白老番茄
金色传说
出现了神奇bgm
来了来了
来啦来啦
同机:说了不信我旁边一位大叔变脸了
一脸番茄酱
有人
另外的9361位朋友你们好
没人？
真实
我好快啊
来啊
三分钟
金色传说
哈哈哈哈哈哈哈哈哈哈哈
愉快的bgm
06了
神TM配音
1.6的大门
放 标 题
射手步枪
今天在bw
又是一次成功的潜伏
wdnmd还真就海尔科技啊
zhe
承包弹幕
久等了
番茄行动
哈哈哈哈哈哈
声音中透露着哲学
咋没人了
冲冲冲
这BGM怎么了
太爽了
好欢快的BGM
一米五！老番茄打破了吉尼斯世界纪录！ohhhhhh
爱了爱了好早鸭
快乐的bgm
摄影师肿么了
五分钟，1.6万，是人？
好欢乐的BGM
金色传说!
前五分钟你还要啥人
热乎的老番茄
好枪法
番茄的捏脸果然还是一如既往的……
承包
掉线BUG：尬点
完结撒花
逮虾户
一米五了
换了个新的摄影师
看着好糊啊
新宝岛
现在是8:06，这一瞬间屏幕上没有任何弹幕
住b站的网友
zhu机枪
1001
8:06有人吗
joystick石锤
你还知道啊？
没人
奎爷是你吗
夕阳红老年描边
成绩出来了，一提莫
第一次那么前
47
幽灵队长？阿消准备就位
Are you ok?
早
烤了
o(≧口≦)o
奎爷
今天在bw现场见到了老番茄，太高兴
砸到脚了
这明明是个大爷
来太早了 连个弹幕都没有
有人的话嘤一声
233333
骑上我心爱的小摩托
有人在吗
哈哈哈哈哈
金色传说
换单癌晚期
我在
咦？我看反了吗？
这有一米五？
哇，金色传说
.6666
烫手
你没开弹幕！
金色传说X2（滑稽）
哈哈哈哈哈哈哈哈哈哈哈
嘤
法克
没人吗？
脸上有三道番茄酱
秃了哈哈哈
第一次这么早
天秀↑
承包
肖恩
零后坐
我们一个人还行
神器到手
第一赞
足力健老人鞋，转为老年人设计
哇！金色传说！
吴克?
沃克：沃德法克
卧槽无情！
8.08有人吗
搬尸体mgs5？！
1
来啦！！！！
哈哈哈哈哈哈
承包
来啦
yoo
承包空屏！！！
啊啊啊啊啊
好早
来太早，空屏了
灭霸
土豆行动
第一次这么前
有人吗
啊~
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
第一次这么快
偷偷承包老番茄
啊拿个拐杖
111
黄字笑死
新宝岛
嗝屁了
什么                             
想要他玩致命框架
弹幕那？
小电驴!
来了好烫好烫
好了现在没了
预备～
低配版刺激战场的那个找抽？
？？？？
是你      杀手47
热！
我领先大部队啦
人好少啊！
来了
脱衣服
厉害了
哈哈哈哈哈哈哈哈哈
mayday上上下下左右左右baba
挡子弹
祖传BGM
就是罚叔
8:07的我
逐渐偏离标题。。。
来料
从容换弹
法克儿辣妹儿～
切格拉瓦茄
我看成雷雨云么么？？
舒舒服服
没弹幕了？
非常合适的bgm
幽灵行动：乱点
好眼熟的沃克
啊！
噗哈哈哈
按f进入摩托
刚才幸存都一个被你打死了
然后又死了
没人诶
命犯孤星
？
再次承包
承包老番茄
荒郊野岭坠机竟然还有信号？
啊啊啊啊啊啊啊啊啊啊啊
罗志祥?
朕的弹幕呢？
这个是不是英伟达官方玩过
2333
承包
哇偶
惩罚者？
就是翡翠啦
战术耳聋和眼瞎
看着空屏大我有那么些寂寞不知所措
没人？
没弹幕的
偷偷承包老番茄
没人
呦嘿
哈哈哈哈哈哈哈
绝地求生
没人？
为什么不是腾讯科技(手动滑稽)
秃爵
空屏承包番茄
空屏承包
郭冬临!!
哈哈哈
有趣的鞋子换来换去
绑起来！
没弹幕吗
2019，10，05在的滑稽
47？
戏太多了吧，鹅鹅鹅鹅鹅
跑的好憨
啊 有jio气
番茄兄好
冲冲冲
哈哈哈！
那个不是洛克吗
滑稽
有汽车非骑摩托哈哈哈哈哈
茄酱
hhhhhhhhhhhhhhhhhhhhhhhhh
1
冲冲冲冲冲冲冲冲冲
育碧要是知道你这么玩得气死(其实育碧有b站号的)
BGM太喜感了2333，意境全无
死神来收人了.
人好少啊啊啊
烬是你吗
没人
屏幕上这人真帅
莫迪？？？？
吃鸡既视感
偷偷承包番茄
鬼火
光头！
战术后退
12分钟，还是热的
我来证明你开了弹幕
没得 没得
碧玉行动
                                                               承包
fa克！
刚刚
哈哈哈哈哈哈哈哈哈哈哈哈第一次这么早
来了
老年47哈哈哈哈
47你好
你这闪亮的头反光，怎么躲
我关弹幕了？
这个光头明明超强，却过分谨慎
有
bw有体验
alan walker
莫哈莫哈
风景宜人
哈哈哈
承包弹幕，休想都是后来的
没错 我又来证明你开了弹幕
阿迪达斯
我靠?
高产诶
看到我发弹幕了吗？第一次这么早！
没得 没得
PUBG既视感
戴安娜附体
最期待的时间到了（误）
没人
这BGM
OHHHHH
？
您的好友戴安娜已上线
开车了
hh
戴安娜附体
出现了，嘴臭怪
人呢？？？
人体描边
有！！！
areyou ok？
证明你开了弹幕
13分钟之前
工地英语
莫名想到教主
还是我，证明你开了弹幕
没有bug那是育碧吗
都不摸尸的吗
