哇，我是第一第一个赞
！！!
你币有了
已三连
梵高
纯~
这个画质太棒了吧
火钳刘明，sad好评
已三连
好美的画质
火钳刘明
火钳刘明
必火好叭
留门
留名
好看
已三联
画质好好
每一帧都是壁纸
全是壁纸
火钳刘明
oh 我的天
火钳刘明
可以
火钳刘明
已投币
这画质
画质超赞
画质不当人系列
众所周知新海诚的作品都很治愈
火钳刘明
你诚总还是你诚总
三连
留名留名
Sad好评
火钳刘明
完美
画质666
火钳刘明
相信爱情，新海诚
无敌
啊啊~啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
抢位置
留名留名
RTX ON
我只相信电车——新海诚
这个画质。。？
火钳刘明
言叶之庭
秒5
这也太舒服了叭
火钳刘明
承包空屏
SAD!
火钳刘明是什么
光追？
哇
这画面  绝了
简直不要太棒
是被b站压缩过的画质？
大制作
火钳刘明
场景之王
火钳刘明～
太棒了
这神仙画质…woc
十字路口
爱了爱了
爱了爱了
手动调试光线亮度。。。
xxxxxxxxxx
背景音乐是 sad！吗？
火钳刘明
超级喜欢这个画风
三秒三连
im sad IM know ye
火钳刘明
大爱秒五
啊 这光 这水
壁纸狂魔开大了
xxx
xxx
能不能给我做动态屏保
RTX ON
你的名字
我的2080ti显卡
火钳刘明
十一月一天气之子开心啊啊啊啊
你的名字。
留名
秒速五厘米
看到的第一秒就三连了
beautiful
我们，十一月一日见！
creeper？
11.1见！
承包空屏
哇塞 bgm
新海诚不相信爱情
弹幕
耳机党一脸懵逼
秒速五厘米
真的是每一帧都能当壁纸
火钳刘明
xxx
sa d
言叶之庭
720居然能看见这么好的画质
火钳刘明
BGM好评
BGM好评
画质无敌了
终于能看到这么好的画质了，此生无憾呐！
火钳刘明
11月1号电影院不见不散
针美
太舒服了
这里的手机！
火钳刘明
这里的细致入微
这画质，这分镜
火钳刘明
这不是你的名字里面那个坑吗？
火钳刘明
火钳刘明
火钳刘明
火钳刘明
火钳刘明
火钳刘明
身为画师流泪
火钳刘明
sad！！！
经费在燃烧！天气之子？
言叶之庭
越来越高清
我确认了一眼我的360p清晰度
霸屏
牛逼的画质。
看画质识海城
hooooo
索尼爱立信
秒速五厘米
秒速五厘米
nb
求BGM
xxx
新海诚渲染学得真好
火钳刘明
火钳刘明
愣着干嘛呀  疯狂截图中
awwww  man
我币不见系列神作
休想
霸屏
每一帧都好美
天气之子？
原来我的壁纸是这个枫叶呀？！算是知道出处了
哈哈哈哈
看着都知道哪部
xxx
SAD！！
看封面还以为是现实的
这一段流星剪得好棒
火钳刘明
入坑作星之聲
11
截屏干啥啊，愣着啊
咕咕咕
言叶之庭
有一种看暴雪cg一样的舒适感
截着干嘛，愣屏啊。
这画质太犯规了吧！
十一月一我们电影院见
刚刚好是我的生日哦！
留名
这几个壁纸我原来都有，后来误删了。。。
xxxtentacion
哇好看啊啊啊
you  name
你的名字?
无敌了
xxx!
赶紧弄GIF
言叶之庭挺好看的。我是下雨天时看的。感觉真好，音乐舒服
新海诚的合集？
360p卧槽都那么清晰！！！
卧槽，牛逼，除了这个我觉得说什么都是多余
火钳刘明
新海诚从不相信爱情
xxx
秒五
牛就一个壁
好滑溜
11月1号电影院见
牛批画质
每一帧都是壁纸，牛逼！
画质过于高清，举报了（滑稽）
好看
还好有会员
太棒了
留名
你币有了
太厉害了
我币没了？！
六米ng
牛皮
bgm炸我
留名
XXX
君名
君名
秒五
君名
秒五
君名
秒五
君名
xx
coldplay！！
新海诚不相信爱情
tripe.x
舔走舔走
你的名字
sad！
每一帧都可以当作壁纸
糸守镇
火钳刘明
这画质不想说话
十字路口
你的名字
言叶之庭
爱了爱了
11.1电影院见
爱了爱了
天气之子
壁纸狂魔
我这辈子都不会忘了秒五
xxx！
经费在燃烧
xxx
天气之子什么时候上映？？
火钳刘明
xxx!
                                     cccccc
电影院见
火钳刘明
你的绳子
火钳刘明
这音质，画质，绝了
你的名字
不好意思，还没有你的名字
这都是钱啊
xxx
nb
牛逼
woc
xxx
哇你把我都超爱的东西放在一起了啊啊啊啊
画质炸裂
太清晰了吧
！
sad加新海诚  三连了
火钳刘明
从不悲剧新海诚
x x x
看到第一秒就三连
言叶之庭好啊
言叶之庭
爱了爱了
好棒啊   爱了！
哇！
都是神作啊
11月1日电影院等着
截屏干嘛，愣着啊
1080+好爽
咕，我在
！！！
1080，炫酷你的眼球
啊啊好好看看
这么好看怎么睡得着哈哈哈
享受
画师绝对有摄影系出身的!
她和她的猫？
秒速五厘米之樱花抄
秒速五厘米之宇航员
命运的红线
每一帧都是壁纸
早就想找一个确实这种写实画风的视频了
画质狂魔
啦啦啦啦啦
那啥 每秒壁纸
1080
动画是怎么做出这个质感的
這是天氣之子
我要睡着啦
广告都这么用心。。。。
火钳刘明
bgm好听
卡西欧～
哇
RTX ON
言叶之庭的手机吧那个画面
R
R.I.P
啊啊啊啊啊
xxx!
舒服
这个画质
每一帧都是壁纸
bgm好看，配得好
爱了爱了
留名
ymj
爱死了
啊  这光 啊 这水
一级棒;-)
也是我的生日
xxx！
xxxxxxxxx
火钳刘明
秒五
xxx
我的1440*2960分辨率炸了
留名
异地恋狂魔
有人陪我去吗，十一月一日？
每一帧都是壁纸
SAD！！！！
亮度给我调最大！！
啊啊啊好多我都看过！无敌好看！
这鸽子真好看
天津
我追求的是真正的狗和真正的音乐
xk
我可以发弹幕了
秒速五厘米超治愈！！！
xxx
封面以为是真的
进度条君你撑住啊！！！
留名
你的名字
天气之子
秒速五厘米
呀
秒五！
秒五还是那么扎心
秒五
真好看
xxxxxxxxxxxxx
每一帧都是我的头像素材！
火钳刘明
我怎么敢看
吹爆
xxx
不加水印真汉子
牛批
s
十字路口这个短片不是广告，事应援高考的
xxxxxxxxx
xxxxxxxxx
xxx
哦吼？
舒服
火钳刘明
秒速五厘米
0.5倍强烈推荐！！！
画质无敌
留名留名~
明明是你的名字！
xxx
什么bgm
11月1日影院见
超喜欢
大家十一月一日见
截图干嘛呀？愣着啊。
什么bgm
你三连有了
好看
我11月1日也要去看天气之子。
Nice
xxx
前面说还没有你的名字的，我缓缓打出一个？
帅帅帅
爱我苏联
留名
one for all
美                             
画质
Lil Nickle - SAD(instrumental）
吹爆xxx
生快哦
什么神仙画质
RTX  ON
Coldplay
Coldplay
才注意到我是360p!!!
每一帧都是经费在燃烧
b
火钳刘明
秒速是我的痛
抱走我家新海诚
bgm  hop，再问自己翻简介
11.1影院等你们
太美了
G沙克
求壁纸
火钳刘明
爱了爱了
好清晰的心动
音质画质，爱辽爱辽
超级喜欢这歌！！！
sad!
当时用老式大肚子电视看的你的名字，都觉得老震撼了
他相信爱情 只是不相信不太现实的爱情
同十一月一号生日!
强烈要求做成动态图，做成空间背景
卧槽画质这么NB
电影院见
Sad!
Xxx
Sad!
高贵的气息
0.5倍速绝了
BGM《打死不看简介》
牛皮
要成为影之实力
480p都超美
xxx
十一月冲
好好看
哇
也是我生日
吓得我赶紧打开了1080+
壁纸
言叶之庭
。。。。
秒五
赞
我想看这种风格的动漫
下雨狂魔
天气之子
---
留名！
诚哥虐我千百遍，我待诚哥如初恋
大家，11.1见
……
Xxxx
天气之子要上映啦
超棒
360p也好看
xxx的sad！
想要高清壁纸
xperia 1全屏幕21:9看，真的舒服。
BGM sad
Xxxtentacion forever 
0.5太棒了
壁纸狂魔
这画质这质感我哭了
诚哥NB（破音）
My name is jack
天气之子会在11月1日在大陆上映，大家做好准备！
靠，太棒了吧！
11月2日电影院见
我刚刚随手截到了全黑……
                                                   每一帧都是壁纸
这个画质                                                  爱了
火钳刘明
求BGM啊
疯狂好评
猫和老鼠
ayy
头皮发麻
bgm的滴答声和我截图的咔嚓声完全对上了
我得先开个性能模式
说秒五治愈的，有点坏啊
82下课什么鬼哈哈哈哈哈哈哈哈哈哈哈哈哈
你的名字
强烈推荐0.75倍
最喜欢追逐繁星的孩子
360p很有感觉
言叶之庭
好棒啊。
已三连
x x x x x x x
这个光影
真的魔鬼分镜
1.25奇迹哦。
绝了
爱                                                                                          了
哇塞
真的强
壁纸狂魔
陨石坑
xxx！
哈哈哈                                          
啊哈哈哈
aww man
creeper?
礼貌拿图
sad!!!
十字路口确实是广告啊，课外辅导班的广告
火钳刘明
xxx
云之约定啊
我死了
我的显卡啊
生活那么难，幻想一下美好，甜一甜
祝我好眠
真的好看
新海诚牛逼
这是壁纸连起来了吗
必须去看啊
太好看了
11.1电影院见
nb
啥都别说了，吹爆
求BGM
XXX
                                       每一帧都是壁纸诶
RTX的站住
十字路口
爱了爱了
RTX it's ON
这咋又82下课了呢哈哈哈哈哈哈哈让我们看看接下来会发生什么
RTX ON
新海诚的风格~雨后的空间~宁静
家业哥下课
11.1见！
你的名字吧这个？
lil nickle-sad(instrumental
你的名字
XXX
xxx
哟点厉害
有点厉害
你好。大佬
RIP
你的名字
鲁迅：新海诚nb
太享受了
so way back in the mine
1.5倍食用 也很不错
秒速五厘米
爱了
火前留名
                                                                                          这个画质我爱了
火钳刘明
还有书给我安慰
俺文科生也一样
哇，这个画质，还没有水印
言叶之庭
你的名字
天气之子
秒五
吹爆新海诚
云之彼端
睡瞌睡哭唧唧
流量：这个画质还是不看了吧
的
鸽子！
卧槽                                                                       nb
爱                                                          了
bgm
秒五超好看，超级推荐
我爱了
哇 新海诚
XXXXXXX
期待天气之子
三连了
新海老仙，法力无边
秒速五厘米
无敌了
全是壁纸啊
火钳刘明
xxxxx
SAD！好评！
火钳刘明
美轮美奂
xxx!!!
AMD yes
爱了爱了
一晃你的名字已经三年了
xxxtentacion
xxx
治愈到致郁
                                         爱了
关闭弹幕慢慢欣赏
我化了
牛不呲
                            牛逼噢
可以做成桌面吗？
我看了
单身狗看哭自己
sad！！
看看这收藏
有
在他的笔下，人物反而是最简单的
壁纸狂魔
想要秒五重制版..
11.1号生日加一
X
不相信自己看的360p
你的名字
11.1电影院见
 怎么做的
RIP XXX
SAD！一听就i了
舒服
""""
光影 配色都太好了 很舒服 干净 恬淡
0.75好听炸裂
盯着看一会就困了
11.1电影院见 超大声！
帧数再高一点会更好！！！
十一月一号我会告诉你你是我的挚爱
"sad!!!,简介还写了"
终于转正了
爱情在电影的每一个地方都涌现着
电影院彗星爆炸的那一幕，记了好久
sad！
xxx
我看了
绿字笑死个人
天气之子
哈哈
好看
BGM sad
AWSL这bgm
天气之子
xxxxxxx
好好看
666666
天气之子巨好看
RTX bomm
xxx
xxxxxx
君の名！万岁！
爱了爱了
这么快三年了
上映的时候好像才初中
太强了
这是言叶之庭吧
随便一截就是壁纸
每一帧都是壁纸
十一月见
细节
Coldplay
xxx
明示自己是鸽子
弹幕刷的吧？
我们11月再见！！！
82下课
留名
每一帧都是壁纸
xxx
冒个泡
言叶之庭！！！！
言叶之庭，秒速五厘米，你的名字
11.1见
我真想失忆，再多看几遍。
GTX ON
表白bgm！
awsl
up主出现了
新海诚的作品每一帧都能当壁纸
xxx
nb
漫长的两分多种
这画质牛逼
让我穿越进去吧
如同天上降魔主，真乃人间太岁神。这个画质——
11.1有什么电影啊？
82这么好的教练终老诺坎普吧（隔壁球迷留）
火钳刘明
XXX
其实你已经失忆了
啊！这表！
awwwwww man
BGM好评
your name  神尼玛you name
每一帧都是壁纸
666
家野鸽下课
这是我曾经的头像哦
每一帧都是壁纸
好爱!
6666
              It’s Ok!
BGM是啥
xxx
xxx永生
截屏的手都按酸了
每一个片段都是壁纸
爱了
是追光，我开了追光
这是《言叶之庭》
素质三连
这只鸟好像是Coldplay的Magic
爱了
言叶！
这么厉害的么
我愿等诚哥的每一个三年
别侮辱理科生了求你了
金钱的力量
爱了啊！～(◦˙▽˙◦)❤
哇哇哇
                          真的爱了
11.1日见
天气之子
火钳刘明
6
bgm好评
有诚字的都是nb人
索尔斯克亚下课
截屏
期待 天气之子 的上映
画质狂魔
sad！！！
11.1电影院见
十字路口
ssd
诚哥NB
。
ai
l
肆式青春
这是coldplay专辑封面
爱了                                   
天气之子
神仙画质
你
sad！！
SAD
经费在燃烧
xxx
每一帧都是壁纸
都给我哭
爱了
我哭了                                                         ·
我要去炸火车了
充当字幕君~
∧≈~~
i了i了
落霞与孤鹜齐飞秋水共长天一色
who am i
啊，这天空
秒五还是这么致郁
amd yes
你的名字
xxx
新海诚式天空
天气之子看完了，好看
新海诚赛高啊！
1080p 你值得拥有
三の葉
这画风无话可说
xxx！！！
bgm好评！！
XXX
XXX
秒速五厘米
0.75绝了
火钳刘明
我的名字
who are i
剪得好棒
360p 看出1080+的感觉
xxx！
火钳刘明
xxxxxxxxxxxxxxxxx
随便一截图都是壁纸
82下课!!!
82下课!!!
哦！这光这水  a了a了
1080+
我困了
每一帧都是壁纸啊感觉
RTX ON 笑死了哈哈
你的名字！
天气之子有的看好像
rtx on
秒五看哭我了
xxx
大佬哦
11.1不见不散
xxx
你的名字
你的名字  爱了爱了
啊啊啊啊啊啊啊啊
好啊
每一张都是壁纸
产灵
君の名は
全是壁纸
画质好评！
                 好棒
xxx  sad！
AMD YES！！
精神小伙不请自来
6666666
11.1
这是壁纸合集吧
BGM:Lil Nickle - SAD(instrumental）
g-shock?
Lil Nickle - SAD(instrumental
             没水印  up主真汉子
雨 雨 雨 雨 雨 雨 雨
画风真的美啊
啊，这光，啊，这水！
再一次惊艳我们的新海诚画质魔鬼 
1.25好爽
愣着干啥截屏啊
刘明
爱了爱了
简介有BGM
表白3x
天气之子
好听呀
xxxxx
我感觉新海诚的动漫美到了极致
每一帧都是壁纸!!
0.75极致
好棒
棒棒哒
xxx
xxx
xxx
xxx
真特么是每一帧都是壁纸
Your name 
一晃眼距离我第一次看新海诚已经是九年前了
哇好舒服
这画质   awsl
0.75超棒
曼彻斯特的天空永远都是红色的
这画质很厉害啊
太好看了
真美，嗷
这画质，这清晰度
画面填充看真的效果超赞！
RTX ON
各位11.1见
woc 这每一帧都是壁纸啊
火钳刘明
成个不敢乱叫
666
BGM：sad
太美了，很喜欢新海诚画风
sad
11.1
十一月一日电影院见
十一月一号电影院见
以声之形，塑心之名
厉害啊
这个版本是谁
米子哈！
p+
言叶之庭
你的名字
每次看到这画面心都会揪起来，失恋的感觉
太美了
11-1影院集合
太美了
嘿嘿
失恋之后看秒5 特治愈
美
爱了
11.1日电影院见
天气之子？？
老子360看出了1080的效果
xxx！
理科生至少会   _顿  夹_准则
喜欢配乐
11.1号
神tm索帅哈哈哈哈哈
画质爱了爱了
天气之子冲冲冲！！！
死了
是人吗卧槽我死了
我仰卧起坐
sad！！！
建议0.5:)倍速
这个歌必须三连！！！
11.1
每一帧都是壁纸
火钳刘明
电影院见
天气之子
十一月一号影院见！！
画质超美
一刻一屏保
细节太厉害了
11.1号我们会相见嘛？
画质狂魔
Xxxtentaction
火钳刘明啥意思？
11.1再说吧
0.5倍速
amai
很好!你成功骗了我的硬币
BGM:SAD
留下足迹
火钳刘明
太好看了吧
生日+1
爱了爱了
言叶之庭呀！
火钳刘明
爱了
xxx
牛掰
疯狂截图
无厘头烧钱啊
秒五!
xxx
这什么神仙画面
你的名字？
BGM《Sad!》别问了
截屏干啥，愣着啊
爱了爱了
言叶之庭
和
握草
秒速五厘米！
呜呼
丁达尔效应
11月1日来看天气之子
好精致啊
天气之子
后期老虚直接抢笔
喜欢*<(¦Q[▓▓  呼呼呼。。。。﻿
留名
xxx！
新海诚雄起
xxx!
炒鸡要看天气之子
XXX!
画质狂魔新海诚
画质好评
巨好看！爱了！
好美
爱了爱了
1080+再加上星海城的画质，我真是舒服到不行
火钳刘明
xxxx
火钳刘明
这个视频我三连后，每天都会在主页上看见一次
xxx
弹幕怎么能在下面
系守镇
生日活动安排
也是我生日诶
这，太阳
爱了
RTX ON
RTX  on
233333
美
Rip
2333
这个画质啊啊啊啊啊！！！！
Xxx
Coldplay
这个，言叶之庭，你的名字，里的地图
0.75倍好听
11月1号见
XXX R.I.P
其实说到电车我就会想到秒五
11.1是什么电影
没一贞都可以当壁纸
0.75巨好看
画质狂魔
R.I.P
不火不留名
天气之子
11月2日见
11，1电影院见
11.1天气之子见
？？
？？？？？？？
卧槽
爱了
11月1见
好 十一月一号电影院见
喜欢的新海诚电影  和喜欢的歌
星之声
11.1影院见
樱花以每秒五厘米的速度降落
↓老实人
我也是11月1号生日
BGM炸出！！！
我升天了
画质绝了
秒五真的致郁了
表是卡西欧啊
闭一只眼3D
好看
舒服
你的名字
每一帧都是壁纸
每一帧都是壁纸
每一帧都是壁纸
xxx
360p看成了1080！
秒速五厘米
太舒服了，这个画质
蒸气波我爱了
一定要全刷一遍
爱了爱了
截图干嘛？愣着啊。
awsl
你币有了
sad
极度舒适，好了我要写作业了
太好看了！！
这是电影 有这画质  很厉害了
牛批
11号见！
好美
xxx！！！！！！
嗯哼嗯哼
言叶之庭
你的名字
秒五
这画质，啊，爱
啊爱了爱了
xxx！
画质太赞了
谁能想到秒速五厘米是07年的
good
爱了
爱了
极致啊
想去日本旅行
xxx
好像Coldplay那张专一样
爱死了
太棒了
爱了爱了爱了爱了爱了爱了
留名xxx
awsl
没有水印？！！是我的错觉吗？！
BGM
SAD
刚刚好，对上我眨眼的频率
xxx
xxx
壁纸狂魔
冒泡
十一月一日各位电影院不见不散
新海诚牛逼——鲁迅
劳资永远爱纸片人
                                                               爱了
嗯
爱了
留名
十一月一见
我一直以为我是1080p＋一看408p
马上就要上映了，天气之子
✘
✘
引起极度舒适
sad！！被bgm炸出来
xxx
这画质；简直了
11.1见
画质狂魔
超喜欢言叶之庭
不加水印的大佬
