人马座a
之前切脑袋那个？
还是蛾道
逆熵？
发个弹幕
要是霍金没有去世，是不是也能获奖
这个比喻，很不错，形象生动
爱因斯坦，太伟大了    
i了i了
信条
嗯
文案有点东西啊
洞中一日世上千年的世界，那一日的进步怎么会比上千年的进步
我来证明你开了弹幕
啥
只是没有对准镜头而已，其他很好了
兰林汉 是你吗
霍金偏重于理论猜想，他没有进行模拟
夸父呀
吾以三连，以资鼓励
硬核洞中一日
UP长得好乖巧啊233
前面弹幕这么自以为是很好吗？up很用心了
我先整理一下刘海
前额叶笑着飘过
ji点
诺兰：你说什么？
瞬间想到了御坂网络
能入股诺贝尔基金会吗？
哈哈哈哈哈啊哈
爱因斯坦说，人等于神
就是qi点，
天体物理学很多该给的也没给 比如暗物质之母薇拉鲁宾 
使劲往黑洞里填恒星，有一天会不会发光
黑暗森林 老三体人了
增加弹幕量
哈哈哈哈哈哈草好出戏
和三体鸡的故事好像
唇很好看
不能，诺贝尔奖在于准确性，验证理论的正确性，霍金的理论当下科技还无法验证
信 条
？
神仙：？？？
你再骂
广义相对论预言了黑洞存在
钳形运动
扑腾蛾子
诺贝尔奖是利息，吃的利息钱用来颁奖
不是M87？
星际穿越
量子力学那块
三个我都喜欢
懂得都懂
那为什么月亮不被太阳抓着转圈呢
只是相对的，但是人的寿命并不会变化，在黑洞边缘的你仍然只是过了一辈子
说
无情无意
这奖大佬们要的不是奖金 是诺贝尔这个标签
冰锥疗法
消灭人类暴政，世界属于三体！
唯有死神永生
霍金的理论还无法实际验证
猫皇？
nb
你要这么说也没毛病
诺贝尔基金会不用交税，投资股票赚钱发奖。经济学奖都是他们发赚钱很难
暗物质啊
穿越？
有一天，突然燃起了一堆火
哈哈哈哈哈哈哈哈
鹅鹅鹅鹅鹅鹅
黑洞里面有彩虹海
那么人类对于宇宙物理规律的认知会不会也是这样？细思极恐
这单眼皮真好看
因为月亮离地球近 离太阳远 太阳引力大随距离减少 地球和月球太近了 这个距离的地球引力更大
智慧，与美丽结合
？？？？？？？
666
后面地图好评
首页通知书
秒啊
奇妙的比喻
东北口音
这单眼皮可太好看了
把那个说猫皇的叉出去，这设定完全接受不了啊！！！！
这应该是个哲学视频
爱因斯坦永远滴神
全程在辨认床头柜上的书
比喻的很奇妙
看过星际穿越的，也会明白
黑洞里有着彩虹海
这个东西不是传说中的白洞吗？
搞错了，重来
是传说中的“奇点”吗？
这刘海
热二
猫猫？
啊？？？
好看不火
兄弟和我想的一样
好（wan厉（quan）害ting的（bu）样（dong）子
爱因斯坦看到这照片不得高兴死
小姐姐
细思极恐
我们何尝又不是蛾呢？
这个和命运石之门讲的一样
哈哈哈哈哈哈哈哈
农夫与鸡
大宗师
猫皇笑死
越靠近黑洞时间越快吧？
比喻打得好
辛苦啦！
哲学比科学快一步
中间这个好看啊
猫皇那个你别跑
猫皇笑死及哈哈哈哈哈哈哈
生物学奖切前额
里面有彩虹海
就是说人类的大脑无法理解那个纬度的生物，也可能不是生物
……
哈哈哈哈这个比喻妙啊
不应该是史瓦西吗
我也问过
粉了
他只过了一秒钟，我们就过了几百年，他们怎么发展过我们？几百年的积累抵不过一秒钟吗？
up主真是兼备美丽和智慧
黑洞里这一秒生命还没诞生，我们地球早发展好几百年了
白洞白色的明天···
奇（ji）点
字宙？？？？？
太虚剑意
以前生理医学奖出过这样的乌龙
强的
飞蛾带师
信条
如果这么说的话，宗师蛾说的没错啊，只不过这个规律在人不在飞蛾而已
这就是 气
再来一遍~~小姐姐加油！！
然后神仙科技落后了
卑鄙的外乡人
我也是  可太害怕了
古蛾233
TENET
tenet
那么是什么抓着银河系转圈呢  就是宇宙大爆炸的中心啊
957？
一定不是
奇qi怪的点 《时间简史》
字体好评
爱因斯坦，很幸运
兰林汉
不可以
信条
这是神学？
暗能量啊
首页通知书
额叶切除术
黑洞蒸发信息，但信息是守恒的所以，既然有消耗也会有创造。
这套啥都能套上
研究不明白了就神学
我服
禁止套娃
诺贝尔基金会。拿钱生钱。
质量越大时间越慢，质量能影响时间
首页通知书+1
东北人儿啊
你被小电视盯上了
理科小姐姐厉害啊
夸父追日的真正含义
漂亮
女猫皇
？？？？？？？？？？
强
大眼萌妹
？
逆熵和逆时不是一个玩意儿啊，别真把电影当科学了
蜂窝煤
@麦当
我不知道
韩立抓的
ji点
保护我方猫猫
地球为什么只自转呢
类天星陨
三体里的桌球
搞错了，再来
我一直念ji点
起来传火了
这其实是一种蛾道，因为没人到达过黑洞，只是凭空臆想
就是qi点好吗，去看看词典
就是qi点，兄弟们多了解下黑洞和宇宙大爆炸的名词
singularity 奇异的奇怪的
爱因斯坦：对，我就是脑袋被切片的那个
你们还没穿越黑洞吗？
....
农场夫
卡冈图雅
去未来回过去给我整懵了
诺贝尔一家是军工企业能不多么
太虚之径
从UP主出现那一刻 我就是知道我的老婆在哪里了
3000多人同时再看我去
都塌缩了……‘
老婆
cat
农场主
听不懂了
明明就是qi点，别学奇数就tm天天ji
手握日月摘星辰
自我保护
为什么越看越觉得长得有点像兰林汉
猫猫的笑死我
不，是四年颁给了天体物理三次
很漂亮up
我
你再骂!
1.25倍速刚刚好
嘿嘿在下韩立
TENET
这蛾子还挺有文化 一套一套的
单押
BGM原野追逐！？
越接近越慢，洛伦兹变换
......
哇 讲的太好了  好禅意
虚无根本不是无→_→是所有特殊性的转化点，因此只有普遍性。他有基本的方向，虚无就是时空。
支持天体物理学
时间概念是相对于记忆来说的。物体本质上没有时间的，只有（相对）运动或（相对）静止
cat
这比喻给我整懵了
哈哈哈哈哈哈，我笑了
鸽子的迷信 
凡所有相，皆是虚妄---出自金刚经
好好好我。猫皇是什么。
谁告诉你的地球只自转
这个庞然大物叫阿撒托斯
猫皇哈哈哈哈哈
你为什么不看镜头
有点像有篇文章一位理论物理学家的教育例程 是加来道雄写的
带師！我悟了！
电暖气
NONONO
就是质量 神tm密度
跟月亮差不多大的那叫体积 不叫质量 学初中物理了嘛？
还有人尊重神学？
建议弹幕学学高中物理再来反驳up的话
桦树世界
哈哈，up看弹幕后竟然去查了哈哈哈，好可爱
.
‘
射手和农场主
首页通知书
老婆
前面那个月球质量的搞笑的吧
信条又不是时间穿越
这个视频真是太棒了
有彩虹海
哈哈哈哈
ji奇点
？？hhhhhhhhhhhhhhhhhh
前面的UP主弹幕笑抽我了
你砸到我了！
彭罗斯！！！！
