我是第一个吗！！
来了
还能这样？
来了来了
很专业
学习了
有点高深了
突然发觉这些汉字看起来真的舒服
0。75
nbnbnbnbnbnb
挖坑了
天地玄黄，宇宙洪荒。 日月盈昃，辰宿列张。
学习了
o神讲出了我怎么也给同学讲不明白的东西，棒
突然响起音乐
来了
汉仪旗黑！
升华
还以为要说熬夜加班
好多学问啊
热乎的
原来是这样
盛世？盛事？
600个同学你好
永和九年
双厨狂喜！
好细
牛壁
坚持买正版字体仅做个人使用的路过
还在白嫖？还TM不投币？
大佬 我跪了
挖坑
太棒了
！
汉字盛世！
来了
太有用了 直接点明
茅塞顿开
期待下一期
kerning警告
借用来自VSauce的Michael的话：“所有印制文字都穿着字体的衣服”
怀疑自己白学了  圆圆的学费奉上
大佬nb
我竟然没有这个错觉
干货爆满
来了
3type合影成功！
专业
专业
好的o宝
《万国来朝》
茅塞顿开  醍醐灌顶
有的
哇简直博大精深啊
我选草书
坑+1
来了
永和九年！
我竟完全没有这种感觉
审美都是根据时代流动的
太强了
还真是！神了
biang
视频制作太牛了
干货啊
typeface
为什么只能投两个币
先赞再看
不是谁的饭，都是字体设计的基本概念
形态来源于功能
！
这个宋版太好看了吧
原来如此
太厉害了
inktrap
鬱
ohhh 学到了
升华主题
无法不投币的良心之作
原来是这样！
视频做得太清晰了
专业
惊了
之前学毛笔的时候
等线 hhh
cuan
？
brod
“杠精字重”（doge）
我特呢直接三连
nb
牛皮
微操
来了
中文设计比英文难好多啊...
终于知道为什么我写字感觉一个大一个小了
太厉害了，三连了
学到了
强烈推荐字谈字畅，多谢up
这就是 字体学
懂了
都是学问啊
中文字体哪里丑了啊....？
首页通知书！
先赞后看，中华艺术
确实是这样啊，编辑文字稿时经常会有错觉有的字小，有的字大
哈哈
还有就是括号会明显小于其他字，在空两格的情况下，括号开头会感觉空了2格半，很难受
对
没学废，太好了
为之骄傲！！！！！
cuan  第四声，曾经云南大土司
三分钟不到把我一百多买的课就讲完了
！！！！
ctrl+B
来啦来啦
秒啊
妙啊
这个是日本汉字设计的几个样板字
兄弟们把骄傲打在公屏上！！！！！！！
骄傲
万国觉醒
变更
䫬鵏齱
汉字设计真的太少了，支持
支持UP主，三连支持！
专业
你币有了
受教了，感谢
硬核
完了.看着看着就不认识这个字了
三连支持，这次一定！
牛逼 牛逼
宝藏up
原来是这样
汉字书法博大精深怎么会有人觉得汉字丑
投币投币投币
啊竟然还能这样
谁没投币？
好嘛好嘛，我不看了还不行吗（doge
我想学学这课件怎么做的
第一次长按三连
芜湖
哇哦
然是两个点啊
受教了
学到了
第三个字念啥
好多学问
太棒了
长知识了
我已经不认识 国字了
牛皮 喜欢这种认真做视频的硬核up
这次一定
来的早啊
哇  原来还有这么多门道
怪不得我觉得风这个字写好看不容易
来了
都在认真看呢
MIUI12
3type好评
喔我莫我喔我莫我哦我们我我哦哟wzmwzmOo
o原来是这样
666
有些字本身就是丑
确实，真的感觉不一样
气抖冷
人们能想到这么多东西吗
皮蛋粥加辣！
骄傲
ohhhhhhhhh!!
来了来了
哦
