歌不错
把龙抢了？
这是懒惰的声音吗
懒惰？
大野带惩戒
首富抢龙？
高级
不错不错
super carry doinb
233333
我是天选 也是唯一
被F6单杀的亚索上线了（狗头保命
霍 阿水站似一棵松
官方大佬啊！
真正的世界赛主题曲
再来亿遍
这个说唱太尬了 我吐了
啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊
阔以得，OPPO
666
这不比小组赛那个舞蹈好看多了？
shy？！
我真的第五遍了
真没必要整这rap
龙被盲僧抢了？
可以可以，水子哥帅啊
OPPO牛逼
墙上写的狂小索吗
这个画面！！！水子和shy哥对战京东塔下双人舞！！！！
双人舞美如画！
666
是不是当时这个和官方的给反了？
拳头倒了（哭腔）
坐等音源！！
Jackeylove——伊泽瑞尔
误会解除
火钳刘明
暗示sn从tes手里抢龙
shy哥太帅了
再来一遍
没有辅助
U佬牛逼
阿水shy哥大招合并了
ts&jkl阿卡丽ez双人舞名场面！
误会解除了 OPPO整得好
otto，otto
北京味儿的old school真的是很难听的
卧槽帅
音源 赶紧的
哦买噶买它买它
伊泽水尔
哇，水子哥真的好帅
买了！！
otto给爷把lck愉悦送走!
财富大厦233
00:20画面左边那个otto是什么意思
懒惰？？
帅
这镜头，theshy和阿水再一次并肩作战，泪目泪目
太喜欢这段了
好年轻啊
首富抢龙
财富大厦
墙上的涂鸦是托儿索
OPP
孤儿索！！！
theshy！！！
首富抢龙，阿水拿奖牌(手机)
帅
火影？
左下在开小东北？
这是主题曲那条街吗
OPPO牛批
暗示SN夺冠
阿水
问号很灵性
第十遍了 oppo牛逼
无伤打大龙
就首富一个打野龙肯定是他的啊
首富也兴摸眼下楼？
冲冲冲 上首页！
误会解除
自己家打野把龙收了不是很正常吗
我买还不行吗
JackeyLove 
哇靠，帅呀水子哥！
盲僧抢龙了
最后刻着奖牌的oppo被水子哥拿到了
"虽然感觉有点赶工,但最少每天那么多广告好吧"
财富中心
好看好听
忍者阿卡丽thy哥，贵公子ez阿水，隐僧李青sofm，浪客亚索doinb
这波公关？反向公关吗？我只会支持oppo 和腾讯有毛干系
这里是美漫的感觉
这里硬币哥接了个大
怎么一到阿水就rap 很容易想起用力追.....
只能再出现在mv里的阿卡丽ez双人舞
哇，想起去年他俩阿卡丽ez中路团战双人舞
OPPO找回排面
shyshyshy
双人舞！阿水ts！
芜湖，起飞
富富富富富富富
广告就很帅了 歌是真好听
广告就是sofm和阿水了
辅助不的牌面
好家伙还有元素反应的
撕破伤口、
上推荐啊
还就那个误会解除
如果这4人组合是一个队的，那真的NIUBILETY了
懂了，这就去买find x
想要成为rap star吗
太帅了！！！
jackey
切得那么快怕我能看清？
轻舞成双
nb
帅帅
不喜欢rap
帅
懒惰？
这不比官方好听？
误会解除
"浪费表情,我问了客服,买不到"
燃炸
fk原来还是广告
doinb从下面跑过去了
这个是上海静安寺的阿育王柱
Theshy——阿卡丽
勇穿天涯SuperX
the shy阿卡丽好帅
飞雷神阿卡丽
大龙刷新时间↓
TS阿卡丽技能和阿水EZ技能合体有佐鸣天照螺旋丸手里剑合体那味了
盲僧qq惩戒抢龙
最后用Find X擦玻璃[狗头]
Xbox宣传片
super sorry doinb
Xbox
ning呢
握草 羞水带感
不是卢仙？
信仰之跃
这里不救是所向无前开场的城市吗
火钳刘明
卧槽这段好帅
懒惰？
挺好的 我买华为
好听！！！！
帅啊！
双人舞！！！！！
阿水不给我晒老师挡技能是吧（狗头保命）
拳头好好学学
太强了
ez大招
官方的质量还不如这个
shy哥阿水的双人舞
Shy shy shy
晒！
四强预言？sofm抢龙jackey拿奖牌？
otto
贼好
这里帅啊
sofm抢龙阿水冠军
误会解除
这里让我想起天使那个套错的大，太遗憾了
sofm不带眼睛？你别云啊
误会解除
好帅啊晒晒
啵啵帅
参见龙王
盲僧抢龙
真的好看！
有那个味儿了
误会解除，OPPO牛逼
帅炸
可以可以，比官方的带感多了
帅
我买了我买了
这不给官方干的细碎
暗示苏宁？
循环中
不愧是花了钱的 和要赚钱的一个天上一个地下
shy哥啊啊啊啊啊啊啊啊啊啊
懒惰？？？
这不比总决赛主题曲好听?
小青龙
奇塔弗！！
飞雷神看哭了，去年ts的阿卡丽
奇塔弗！
你确定这个和官方那个没放反吗…太强了…
辉子？
咯咯咯
XBOX？
哇哦！
otto
这两个人操作的名场面可真多啊
牛逼
误会解除
信仰之跃！！！
袁娅维
太帅了，一直在尖叫
这个才是总决赛主题曲吧
Theshy  jkl
好难听啊
otto
再来亿遍
