耐克嘴
爱了
小姐姐好像哭了
和声太美了
耐克嘴妈妈爱你
都是天使在唱歌~
种族天赋
还是看到很多熟悉的面孔啊
叫做rachael
是的
就刚刚这个声音，爱了爱了爱了
鸡皮疙瘩
断眉小哥
旁边是耐克嘴小哥
想保罗.沃克了
神仙开嗓
棒棒棒
希望这个世界都能像这些孩子一样，不分种族地团结
鸡皮疙瘩起来了！！
开口跪
2:50
什么小姐姐是小妹妹。
和她一起哭了
rap交给老黑
气息真好
现在肯定想念她的祖国了
这里站着世界各地的孩子，不分种族好吧
种族天赋
保罗沃克
我的天，鸡皮疙瘩
小男生的声音i了
卧槽耳朵怀孕
优秀
小胖才是c位
亚修别走！
开口跪
好棒
有点东西啊
变声期的我不想说什么
与 生 俱 来
当然全是美国孩子啊，不然很难有这么多不同种族的孩子
Kobe
小姑娘是哭了吗
静下好好听
泪目
别骂了，别骂了，我不就没过四级嘛（狗头）
绝对练了不止两周
有穿透力
哇偶太好听啦！！！！
for Paul
See You Aaain
唠嗑一路走好
小天使们
开口跪
啊啊啊啊啊啊
哭了
弹幕礼仪挂心间
我实在是觉得令人动容的英文歌都是译者的功劳
！！！天籁
我太爱这个小姐姐了
这个和声一起
我要这三连有何用?
前方高能
绝了！！！
啦啦啦啦啦
卧槽，我起鸡皮疙瘩了
世界太美好啦
爱了
科比的去世让我第一次觉得原来熟悉的人去世离我那么近
卧槽
哭了
看她哭我也哭了
鸡皮疙瘩
鸡皮疙瘩
bye，青春
白嫖失败
为什么只能投一个币
全体起立
Onevoice！！
听得我好想哭
开口跪了
鸡皮疙瘩起来了
世界人民大团结万岁
nib你币有了
也许这就是天使吧
OHHHHHHHHHHH
惊！一听众听天籁之音时确因看到他人吹口哨而自己不会而落泪！！
绝了
弹幕礼仪常想想
我特别喜欢听孩子合唱
孩子们都穿的自己的衣服  不是统一制服
啊啊啊啊啊啊啊啊啊
开口跪
我傻了
好漂亮
这关种族天赋什么事
R.I.P 
kobe i miss you!
爱了兄弟们
我们的上课铃
完了，为什么我鸡皮圪塔一直有
卧槽
太美好了
还是接受不了科比走了的事实
鸡皮疙瘩
泪目
哈哈哈哈
我这鸡皮疙瘩没停过
头皮麻了
高能？
声音也太干净了吧
跪着听
这是不同年龄层，不同国家的，
！！兄弟们冲呀
666
保罗，沃克
弹幕护体
one  voice合唱团是一群结缘于奥运会的小朋友们在赛后组合而成的合唱团，网易云音乐有他们其他的几首歌
天赋啊
全世界是一家！
什么他们这么多人，不带口罩？
爱了爱了
好通透的声音好喜欢啊
不同肤色的孩子站在同一个地方，讲述友谊与未来
在刷一次
这TM8岁
有个小孩都唱哭了
鸡皮疙瘩
小孩子的灵魂和声音都像白纸一张白皙洁净一尘不染和无暇
好听哦
前奏一出就想哭
