让我告诉你开着弹幕
你终于更新了！！！
惨。。。
我卡了
他还演过爆裂鼓手
沙子里进眼睛里
加油
爆裂鼓手男主
……
bgm再见
杠精再现
可以理解为洒水飞机直接导致全队人死亡吗
为什么bgm再见
我觉得很搭，别跟风行吗
营销号BGM
最后只活下他一个人
这苦是谁给呢
请问各位，这段bgm是什么呀
别告诉我这男的后来牺牲了
神奇四侠
卡了？
哭了
加油
加油
浪子回头
加油朋友
time back
没人吗
泪目
爆裂鼓手男主
勇往直前
冠希哥？
你呢？
不是你的
真实事件改编……
真实事件改编……
日常猪队友
泪目
我也觉得，如果你骂我我可以忍，但你骂我朋友家人我绝对忍不了
整个队就这一个人活下来了。
全部都死了
致敬英雄
加油
枯了
美国消防员是不是很容易死
可以
这个时候的你才是最干净的
没有背景音乐更好
卧槽，好快
泪目
真事改编
加油
离
哎 结局比男主牺牲了惨
那边火太大了，浇不灭
我看过是以消防队为角度解说的，这片子的确不错
加油
祖传BGM
这不是队长说的吗
无人区?
泪眼
爆裂鼓手的男主
美国确实会整蛊新手
泪目
Wu men打开
孩子不是他的就有意思了
山火比车跑的都快
别打了
加油
不会四吧！
我也是，咱们的事打架也可以，但家人绝对不能被说一句坏话
好快啊
白左啊，爱护环境，不能纵火，即使你的目标是救火
森林消防 组织看过这个电影 
震惊点 工资那么高！！ 
这也不算坏，知道认错
BGM:步履不停
黑眼圈？
配的啥BGM，听土了
是森林救火队
讨厌这种bgm
又是这种BGM
中国部队也会吧，算是一种训练
泪目
戒断反应来了，贼痛苦
爆裂鼓手
毒的待遇
团灭了
哈哈哈哈
如果风太大以火攻火的代价太大了，不仅要挖的宽风险大很大概率失效
酷
不喜欢bgm的，静音就好了
不是亲生的那个要笑死我直说啊，哈哈哈哈
《勇往直前》看的泪崩
这不是扎克伯格吗
前面在逗我吗  爱护环境 。这肯定会被烧的  
致敬
看完最后瞬间泪崩，片尾曲也很好听，收藏至今
这并不是众叛亲离，是他自己作孽。
后来全队除了一人，全部牺牲了
这个用词“壮观”???
跑完800同款姿势
长期不运动不会吐血吗
这步子真实
一队人都牺牲了，真实事件改编
关掉声音食用
爆裂鼓手？？？
壮观用的不太好吧
剧烈运动时会肾受不了，会尿血
哈哈哈
这个走路真实
bgm真的……
我看过，哭了很久
澳大利亚
这是标提党，还是营销号
bgm....
有了女儿真的会不一样，
他对自己都负责不了
加油
这是那个美国版凉山？
外国消防员工资高不是没有道理的
前排提醒：少量nt严重影响观感，请关弹幕！
罗志祥
03:05
最后孩子不是他的
壮烈
这个真心不错，结局有点惨
bgm 声音太大
他这是属于无端挑事的   俩人真急眼骂起来还管你家人不家人?连你祖宗都带上
真是多灾多难啊
脸盲觉得他有点像扎克伯格
gta日常
这时候要是来点绿色故事会更加跌宕起伏
什么算了短什么电影
壮观有什么错吗？
真是灭霸
咋感觉像陈冠希
看过
串台了 哈哈哈哈
什么电影，名字？
灭霸
背景音乐真烦
我的消防员同学说山火周围都会自燃，见到了
不然过不了审吧
Guyguy的感觉
防山火都是这么做的
敲 我带着耳机
风向？
？？？这是有什么依据吗，有大佬科普一下吗
只有他活下来了
其他人都牺牲了
那个孩子不是他的好吧
营销号专属BGM
背景音乐是败笔  说电影就好好说 放什么歌
忘了三连  在来一遍
被人嘲讽就不能打过去？？？？
分崩离析？
BGM太大声
？？？？？
会尿血，不会吐血
这个速度才叫山火
硬核。。。。
我哭了
相同的遭遇
之前不是说了吗，原本的山火没有燃料就会停止了
扎克？？
泪目
这BGM。。。。。。。。。
两步跨越地狱，笑死了
我觉得我应该去看电影了
真暖啊
哈哈哈
胡子哥为什么知道他前女友水性杨花呀？
233这个太真实了
那飞机能灭他们的火，为什么不灭远方的火。
确实是这样的
在美国恰恰是一份工作。
什么电影
看简介
肯定死了
勇往直前
电影名叫勇往直前
泪目
吸血鬼始祖
是真的无语
这不是别人的解说的么？
这片子不建议看，结尾太虐了，没有之一
BGM差评
我不一样，你骂我朋友可以，但不能骂我
鬼看条
OK
一个人说bgm不好听，然后就有一群人跟风刷屏，实属ky
女朋友漂亮
初中化学会提到这个
用壮观来形容灾难还问有什么错？？？
到这就可以了，别往下看了，结局太残忍
这飞机不是自己人？
前面的耳朵挺好，能把人声和bgm完全分离，两者都不带影响的
希望BGM没事
Up主傻吗？这BGM
妈妈不会教，奢望孩子自己长大？笑死我，孩子被别人教好是不是你这亲妈还得过来找
只是因为大家都觉得bgm太大声了 而且根本不合适
致敬
进度条不简单
太痛苦了
阿这么快
本来就是tm不好听
you are not the father
真实
BGM 步履不停
火两侧燃烧氧气的速度不同，中间压强小，两火相和，没有可燃物而熄灭
澳大利亚山火@
捣乱的人枪毙不过分吧！
步履不停
有点像老扎
毒舌！！
隔离带都不知道吗
地狱
种豆得瓜，照在那大腚上
bgm 步履不停
我也快哭了
泪目
黑眼圈
浪子回头，千金不换
放的什么鬼bgm
哈哈哈哈哈
连女朋友都没有还有救吗？
bgm劝退
立flag的感觉
bgm难听
BGM有点吵....
BGM真的吵
这部电影后面很震撼
他们做的就是隔离带啊？？？
众叛亲离用的不合适
黑眼圈
后悔手贱点开了，害我哭的稀里哗啦
快跑快跑
分歧者里的小伙子
@澳大利亚圣母环保组织
前情提醒：没BGM过不了审。
泪目。
bgm声音好大
Bgm换一下会更好
真实事件改编
山火过来，跑的机会都没有，绝望得一匹
不以火攻火，到无法控制时怎么说～舍小求大，有舍有得
勇士
净演些悲情片吗。。
这飞机弱智吧
已经结束了，后面我不看啦，哈哈哈哈
飞机是灭错火了
有多苦？自作自受而已，别是三分钟热度。
结局只有男主一人活着，一个巧合让他避免牺牲
这电影叫啥忘了，挺好看的
山之队
燃烧要氧气，二边都要氧，就都灭了
？？！
前方高能预警
国际友好
我还以为胡子哥会把他绑带扔下去
音乐不大应该会过不了审
背景音乐小点就好了
下边剧透的举报了
隔绝可燃物，阻断传播途径
对，羞辱人不可以牵扯到家人
卡了？
尊重消防员
只要孩子是他的就行
泪目
？？？？
这一队人除了那个男生 全烧死了
比利！
2015神奇先生
一股快手内味
关闭弹幕，更有自己的感想
我寻思这背景音乐也不难听呀
做隔火带
男子本弱为父则刚
我觉得挺好啊！只要注意点风向，别玩脱了就行
这声音。。。退
！？！
好
爆裂鼓手
努力！奋斗！
看看这演技/*某些人连婴儿都不如*/
我可以
对心脏不好
确实 侮辱家人真的过分 换成我我也打
想起了凉山，好难过
这不是扎克伯格吗？
切尔西
绿？呵呵，你们也就知道绿了吧，这说的是不负责，和我一样
电影《勇往直前》真实改编电影 催泪像
不配bgm可能过不了审吧
没bgm不会做视频?
？
限制队友发育
首页通知书
好景当前 的男主
？
过于真实
山火烧起来确实很快的，风有多快火有多快
国际手势
阿呆
马里奥?
领导是zz吧，方案都不统一
泪目
男主本来就很帅
。。。？
这个我看过
bgm建议换一个
这个好可惜
bgm：time back
司马bgm
扎克伯格？
泪目
看到这个走路当场出戏hhhhh
up换个BGM可能更好
什么都好，就是bgm受不了
唉，真感动
这电影后面把我看哭了
回家啦
我好像看过这个。。。
前面的消防员加油
塞班!!!!!
这是真的烧吗
塞班!
？？？？？？？
爆裂鼓手
就是这个飞机！！！
这个山火是怎么拍的？
这么严肃时候你说马里奥？
致敬凉山
阴阳天帝剑
没什么人更比他们常年与山火斗争懂得更多，这个领导凭什么觉得别人的方法不行？
哈哈哈哈，谢谢夸奖
我讨厌这个领导
就是这猪队友
？？？？
芜湖
《慰安所》
一群绿帽妄想者
BGM多余
没这么和谐吧。。
这背景音乐不适合做这种类型的电影
溜了溜了，这BGM看不下去了
BGM差评
旁边戴红帽的我第一眼以为马里奥
壮观？
司马BGM，搞到一点都不想看
多人运动
结局超虐
Bgm老营销号了
老营销号了
剧透的麻烦西内一下
这里是男人的快乐，证明他们接纳了他
蕾姆
看到这就走吧，结尾不容易接受
看到这就走吧，结尾不容易接受
勇往直前
作为消防员要加油了
飞机tm纱布
这不是你的
没有音乐，可能过不了审，理解一下
我们也要拍这样的电影
那天B站可以有消BGM的按钮就好了
