绝了绝了
好感动噢怎么回事
牛啊
好感动啊！祝up主幸福美满
来啦来啦新婚快乐
恭喜啊
来了来了！！！
太漂亮了
百年好合！！！
祝百年好合～
百年好合！！！
奈何没文化，只能说太美了吧！
像是在看电视剧
大制作！爱了
场景真好看
百年好合，一世长安(ღ˘⌣˘ღ)
看等级应该至少亲王
一身鸡皮疙瘩
真·大户人家
荀彧啊！
一生幸福！
人呢
祝福
戴眼镜的太出戏了 哈哈哈哈
太美啦！！
博主打水印啊
绝绝子
好好康
百年好合
永结同心 白头偕老
百年好合！
锦心似玉既视感
百年好合！
百年好合
双方父母也穿汉服就好啦
美
百年好合
百年好合
新娘穿的明制，宋制哪有子母扣
入洞房
新娘穿的也是明制，都是明制，没有宋制
这个冠绝了！！！仿制文物的吧
百年好合
百年好合
百年好合
枣生贵子
好有仪式感啊，好感动
粉色也好好看
婚礼将启  整肃立
祝百年好合
品美酒  赏佳肴
课代表已被美晕
云雾袅袅  天地为证
感谢感谢小黄子课代表！！
九霄云荡  鸳鸯 比翼
恭喜
礼请  新婿登台
紫气东来  天降吉祥
吉时已到
恭请贵人 出阁
  弹幕施工现场
一条红丝绸  二人牵彩球
那个叫宾相。
月老定三生  牵手踏锦绣
一拜赐良缘
课代表真是文化人
百年好合
建筑特别啊
二拜喜联姻
同拜高堂
一拜知春恩
出戏明朝就有眼镜了好吗
二拜寄安捷
三拜报春晖
夫妻对拜
哇！！！
天长地久
一拜结连理
二拜永同心
三拜敬如宾
三拜之礼  礼成
恭请新人正身
入座
百年好合！
百年好合
中国的婚礼真的讲究，太美了
百年好合
現場打光失敗
古风太合适啦
奉天之作  承地之合
百年好合
也太美好了吧
今日行婚姻大礼
结为夫妻  合为一家
这个笑容!
这种场合最容易感动哭了
倒影都很美
百年好合这个话小黄字已经说腻了，希望你们识相点，永远幸福！
感觉喊得好快
百年好合永结同心
这不比婚闹陋俗值得传承多了
那新科状元郎，终于取到了心心念念的娇小姐
二拜寄恩情
百年好合
送上份子钱
郎才女貌天造地设呀
女孩子妈妈气质也超好
结发么
早生贵子....
新人背的好直
百年好合
百年好合永结同心早生贵子白头偕老
我看哭了
都不开心呢～氛围嗨起来
好棒！一定要百年好合啊！
百年好合
这是明制啊
实名羡慕
很整肃 好啊
百年好合！
有啥好哭的
好感动
求问伴娘的补赋是谁家的
补服
百年好合
恭喜
好喜欢阿
眼镜宋朝就有了，习惯就好hhhh
祝百年好合
百年好合
婚礼视频是那个团队拍摄的呢？
姐姐好美
大户人家啊！
小黄黄太棒了～
百年好合
传统中式婚礼真没几个人摆的起
台下看呆了
哇
这个笑好好看
百年好合永结同心，白头偕老
结发夫妻
水印
永结同心
真好看啊
司仪真是的唯一的不足
新娘适合这个装扮
很幸运up主遇到了那个愿意配合一切的人
祝福
百年好合
百年好合
这才是凤冠霞帔
妈耶突然想哭
好熟悉的音乐
百年好合
剑网三bgm?
百年好合
司仪念词不行
这个我知道，枣生桂子。只知道这个了
芜湖～～新婚快乐！！！
好有仪式感
百年好合
比电视剧都精良啊
百年好合
太美了
恭喜
百年好合
这才是我梦中婚礼啊
我傻了，也太绝了
百年好合
我也想拥有一场明制婚礼
百年好合
百年好合
百年好合
音乐配的太好了
礼成，好感动
刮面：在女子出嫁时进行好像是示意女子成年
百年好合
有钱真好
凡人一枚  就只看见人民币了
比电视剧都搞的好
讲究啊
活文物
兄弟萌，把China打在公屏上
百年好合
沾沾喜气！祝百年好合呀！
祝你们白头偕老
终于等到了
99999
百年好合
好美，百年好合
啊啊啊
百年好合
虽然但是，中国古代有眼镜
恭喜
还有开脸
三连随礼
牛啊大户人家有钱
这个司仪不错
这才是结婚的主角该有的样子
好美啊
有钱并不一定有这样的婚礼，一定是先热爱
百年好合
呜呜呜呜呜
好棒呀！
好精致
百年好合！
百年好合
很庄严的感觉
 百年好合
有钱真的可以为所欲为
百年好合
百年好合
笑得好甜
宋制好美
要哭了
太美了
百年好合
我人没了直接
恭喜
怎么没人
百年好合
恭喜
百年好合！！！
看哭！！！百年好合啊
我怎么感觉几个月之前看见过
好美
BGM是什么呀
百年好合！！！
百年好合
BGM是什么呀
份子币随了
结发礼
合卺礼
戴眼镜有啥出戏的，明代就有眼镜。。。而且这叫中式婚礼。不是仿古婚礼
百年好合
这一堆礼下来，很拖磨的。闽南婚礼习俗，现在整套走下来的都很少了。有钱也得有心
姐夫真的适合汉服啊，彬彬有礼风度翩翩佳公子
比电视剧还精致
好希望我未来的婚礼也能这般啊！！！
中国古代是有眼镜的
百年好合
看得我想结婚
此处BGM指路桃李杯古典舞《唐印》，配在这里意外地适合
结发夫妻
我
恭喜恭喜
不是老百姓的婚礼
姐姐好美
感觉比黄晓明夫妇那场上亿婚礼高级多了
大户人家啊！
百年好合
百年好合
祝百年好合！
明代也有珍珠妆的
百年好合
投币当份子钱！！
好般配！
这不比西式的有深意的多了
太美了
我靠，这也太典雅了
我想哭了是怎么回事
真好
祝福
百年好合
刮脸不是素颜刮吗
这婚我结不起了
百年好合
百年好合
鸡皮疙瘩起来了好牛！
厉害啊这么大阵仗
祝福
百年好合
成本过高，忍住不笑
看哭了
以岁之正，以月之令
突然好感动
百年好合
祝百年好合
百年好合
这就是中华文化
这个主持有点尴尬，场景效果真的好看
早生贵子～
我爱了
百年好合
秦晋之好:泛指两家联谊
百年好合
热爱也是因为有足够的钱
要来了吗！
我投份子钱了
结发！
up气质绝了
好看啊啊啊啊！绝了，新婚快乐
百年好合
《格局》
这个司仪最不明朝
哇哦！等到正片了
百年好合
是前生注定事莫错过姻缘，愿天下有情人终成眷属
百年好合
六礼都全？
哦豁，大户人家
这旁白膈应
得花个几十万吧这个
百年好合，早生贵子
百年好合
百年好合
出场还站了一排丫鬟小厮搞封建社会等级这一套过一下大户人家的瘾
新婚快乐
太美了呜呜
帝在何处
"bgm,易水两岸"
司仪不行啊
百年好合，永结同心。
恭喜恭喜恭喜，百年好合瓜瓞绵绵
百年好合
有文化
百年好合
这个司仪声音挺好的啊，
百年好合
我也想这样结婚
百年好合
别有些人连朝和代都分不清
囍
百年好合！
百年好合
美，费钱
好美啊!!!bgm也好好听
百年好合
新婚快乐，随个份子
大户人家喂
百年好合
玳瑁(眼镜)明之前好像就有了吧
百年好合
百年好合
祝百年好合
百年好合
有钱人终成眷属，没前人亲眼目睹
这得多少钱啊？
只是明服，不是汉服啊
百年好合！
感动哭了
都是钱都是钱啊
祝福啊，看着好激动
好家伙
多少银子
沾喜气
百年好合
月老定三生  牵手踏锦绣
课代表直呼内行
司仪出戏
词差点
？办完婚礼直接可以拍戏了
哇塞
百年好合
好漂亮
百年好合
这比西式好多了
大户人家
百年好合
百年好合
