看到我你就不是第一了。
1
播放1
刚刚的热乎着
刚刚！
刚刚
我滴乖乖，烫死我
刚刚看到
热乎热乎
刚刚！！
第一次这么靠前
热乎
热乎
刚刚
热乎
来了
终于！失踪人口回归
看到我你就不是第二了
应该说通用在科纳米那个年代的大部分游戏
刚刚就离谱
？？？
2分钟
这都一分钟了怎么还不更新
ba只需输入一次
？？？？？？？？？？？？？？？？？？？
的，一
热乎
2分钟
这生产速度爱了
老本行
2分钟，长志气了
终于失踪人口办户口了
行星吞噬者
常住人口
热乎
发一条弹幕有人吗
是第一个诶
两分钟，1788
正片开始
简称：我傻了
三分钟！
两分钟，1388
热乎
3分钟，好耶
不简单
爷青回
。四分钟还热乎
热乎！
4分钟
来啦
四分钟，热乎
热乎
四分钟，烫口
真有你的
热乎的！！！
观赏五分钟的大门
热乎的
正片开始
好快，比沙拉曼达还快
热乎着呢
害怕
热乎的
《杀了蟒蛇》
6分钟
热乎
六分钟
正片开始
辛苦了
只有一个BA
6分钟
正片开始
正片开始
进度条警告
高产
失踪人口回归
沙发
牛啊
热乎
第一关就卡关的我不配说话
我以为是敌人控制器
吞叔
九分钟热乎
热乎的
辛苦了
我要带你下地狱
比沙拉曼达还快！
九分钟
有
有人嗎
有人吗
烫
我要带着你一起下地狱
第一个诶
十分钟热乎
高产似那啥
有钱人是这样的
我玩过 举手手
翻译：我带你去地狱
以前好喜欢玩这个。
数据溢出  忘了谁测试过了
龙好好看
15分钟凉了 
热乎的。
太早了
十三分钟nice
？？？？？
美版
我生气第一
14分钟，有出息了
好像分高了结尾的人不一样
爷青回
我的鱼厂长
15分钟热热还能吃
来啦来啦
惊喜啊
炒冷饭的神
16分钟
只有一个ba
好家伙，将军刽子手？
16分钟还热乎
16分钟还热乎
不愧是坑社的游戏
有谁和我一样看蒙了？
和策划
爱了爱了
要有
热乎
终于不是厄运的鱼了
弹幕应援
伊果
18分钟热乎
热乎
宇宙巡航机
有
19分钟刚刚好
卧槽
爷青回
。。。
正片开始
辛苦了
.
还有这种操作
辛苦了！
san值狂掉
热乎
23分钟！？
敌人控制器还行
日珥
蛮热乎的
SS还是很好的
热乎的
火龙
进度条不简单
进度条瞩目
好哥们上线
《无敌的吞星》
二十五分钟，将就能吃
刚来，热乎！
热乎
热乎的
鲜为人知？
26分钟热乎
老吞星了
？？？
少有的能通关的游戏了
热热乎乎
卧槽好烫
敌人控制器
wut
热乎的
14分
28分钟!
无敌的吞叔又倒下了
0xff
这科乐美是我想的那个k社吗
小时候通关无数次了，算是最喜欢的FC游戏之一
第一次
赛罗？
29分钟
老鱼
小火龙？
ps1也有沙罗曼蛇
沙罗曼蛇
传统破费了［doge］
29分钟
袜！高产的鱼！
我一直以为 那是大肠
打什么？
fkknm
萨拉曼达
你表哥该不会叫杰哥吧
gwzs
我知道 我在勇战里遇到过
厉害
沙罗曼蛇2还不如移植PS1
原来这游戏叫沙罗曼蛇，小时候天天玩，
唯一王
科乐美很擅长于精神污染(在魂斗罗中)
没有弹幕吗？
我哦哦哦
科乐美还真有你们的~
build
我
高产似那啥
好烫好烫
高产似母猪
土星2D非常强，却被PS1那三角形锯齿3D打败了
出息了
忽然高产
大飞机
只有一个BA！！！！！！！！！！！！！！！
真飞机从不回头
这游戏好卡
来了来了
