等于是把地球切成沙子大小的块状 然后平铺吧。
牛逼
牛批
像素化，很nice
牛啊牛啊
妙啊
老板牛逼
程序员创造世界
双厨狂喜
万物基于我的世界
用计算机模拟世界末日，小伙子你的想法很危险
牛
芜湖
带皮亚诺余项的麦克劳林公式
啊，我降维了
穿模
666
牛逼
太牛了
厉害
妈呀
火钳刘明
真强
6啊
666
妙啊
六啊有那味儿了
牛
woc
这样好像就看不出原来是什么样子了
妙啊
梦幻联动（狗头保命）
秒啊
简直不知道是夸up牛b还是大刘牛b了
牛逼66666
66666
牛逼！！！！
没人？
n b
niu
肋部
ohhhhhhhhhhh ohhhhhhhhhhh
织毛衣。。。
nb
蛋黄肉松饭团
类似有限元吧
斯坦福兔子
"我在哪,我从哪里来,要到哪里去"
ohhhhhhh
这个阔以
nb
太震撼了！
tql！
很nice啊
中间的那个笑脸
好处是 哪里痒痒，都能挠
牛B，up主加油
妙
热乎
厉害
？？
牛逼
nbnb
我当初为啥不学计算机呢
对称的
6666
nb
卧槽
每个字都懂，但是连起来就不懂了- -
跟蓝桥杯上次国赛的题目有点像
核函数
厉害啊！
已经开始头痛了
失踪人口回归
piano
序列
111
高斯克吕格投影
你币有了
双厨狂喜
魔鬼↓
牛的
看见这个书翻页的时候，我突然想会不会就是这样一页一页的进行“降维打击”
首页通知书
无线分割
恐怖
那你的计算机能行么。。
再抽成一根丝，完了再折叠程一个点
二维的地球
宇宙名画
感觉差了点意思，球面上两点之间的距离，转移到平面上，发生了很大变化，也就是说，被截断了。
不就是曲线再微积分吗
诗意？
前面说不像的，你想前面把一幅画拉成一条线，也看不出来啥形状
具 有 诗 意
居然有更新
啥也不说先投币在观看
妙啊
NB
发方
秒啊
嚯~~~
小说里说了像个鸡蛋一样
对，原著中二维化其实是整个物体被解构了，不单单是平面投影这么简单
牛啊牛啊
头皮发麻
给大佬跪了
牛逼啊
妙啊
哈哈哈
Peano 曲线
卧槽
这个硬核了
萤
OHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH
首页通知书
i'li'di'li'd
万字纹
iLidiLid
赞赞赞
妙啊
但是必然会有厚度啊，你又不能真的降维
妙啊
秒啊
等角横切椭圆柱投影
tin
分治法？？
我的世界）
CG模型里这个叫展uv吧
四边面
你看不出这个马的模型都是四边面吗？
牛啊
地球榨汁？
安东就不一样了
《稍微》
不叫展UV，展UV是为了贴贴图
真空并不是没有物质所以可行的
卧槽
莹
贪吃蛇通关曲线？
牛逼
是一个映射
mc极度好评
一个双射
我是个贪吃蛇爱好者，但我有点状密集恐惧症
这不就是拆毛衣
辛苦了！！
妙啊
牛
罗夏
心肺骤停
火钳刘明
乐高积木
牛啊牛啊
太帅了 很像书里的描述
有那味了
还有体素建模，但要用专门的体素建模软件。
酷啊！
我恐怕学了假的高等数学，我不知道皮亚诺
二向箔是文明制造的武器，所以塌缩一定是按某种逻辑进行的，比如这种曲线
只是描写出了诗意，不然除了恐惧还是恐惧
卧槽
真正的打击中则是每一个原子
我说的对还是不对？
空间填充曲线
皮亚诺余项
up考虑去《我的三体》制作组吗（狗头）
希尔伯特空间
秀儿
3d打印切片
快告诉大刘！！！！！！！！！！
这也太强了
666
余项
牛蛙
靠，突然惊悚
"nv好像最开始就是这种,后来太消耗资源放弃了"
皮亚诺余项
一个一个像素拉
怎么是个方的
拆毛衣
害怕
脑瓜
中间的空黑区域是降维的外太空
真是不错的想法
《具有诗意》
人生阴影微积分
1
茔    瑩
mc既视感（
想起了三体1里微宇宙的眼睛
三联你有了
ohhhhhhhhhhhh
哇哦
里面还是空的呀
666
球坐标
首页通知书
失踪人口回归
分形？
《》具有诗意》
牛逼
近似骷髅，
卧槽？
太强了
我跪下了
烧脑
技术活，改赏
3 js 还行
我的世界还行
拆毛线衣。。
ohhhhhhhhhhhh
试试线程撕裂者吧
前进4
可以继续朝一维跌落
莹
ct狂喜
皮亚诺余项
理论上降维打击过后它的体积是0，但是他有很大的面积
牛逼
妙啊！
ohhhhhhhh！！！！！！
《具有诗意》
囍
妙阿
厉害
牛逼
像素点
ps看图片是时候放大后就是一个个色块
越精细三角面越多
好像是修车的那个补丁
头疼
哇
二十多万。
太强了
太强了
思维很清晰
这就是非常amazing了
妙啊
牛
ohhhhhhhh
这具有诗意？
脑花？？
3b lue1brown也讲过这个
诗 意
错，是四边面！
希尔伯特曲线
二维可以恢复到三维吗
世界归于罗夏……
我记得对图像做dsp有用这种想法
贴图原理
你币有了
我刚想说mc
转得我头晕
《Minecraft Earth》
为毛我看到张脸
ohhhhhhhh
双厨原地升天
好像石窗啊
体素栅格
看起来很牛逼的样子
好评
高级
666666
四边形不就是由两个三角形构成吗
皮亚诺余项
那升纬打击就是把像素组回去？
天圆地方
大佬
真像死神啊
ct 扫描
妙啊
投币了
思路很nice
ohhhhh。懂了
但撤出来还是二维的呀
NB
三本
？？？？？？？？？？？？
妙啊妙啊！
貌似听懂了，实际没完全听懂
细思恐极
简 单 的 数 学 分 形
？？？？？
请问up你到底在讲什么？
乐高打击
大学没有数学的表示一窍不通
nb
说四边面的，建议把马再看一遍
你就是李白的同族吗？
原子扩开
"哇, 我惊了"
这个视频得做多久啊
看一下四元素一维一维轴缩减为0可视化就有效果了
蜘蛛子
蜘蛛子
"大佬, 我觉得这个up是真的有学问的"
明白了
NB哇
妙啊
我的三体片头的二维化有地球内部，只不过是方的
无数个点组成面和体
毛线衣
最后的图为什么不是对称的
三角面啊大哥，四边面只是方便你建模，最后都会转换成三角面的
卧槽
？？？？？
卧槽
分形了
禁止套娃
大脑内存不够用了
卧槽 牛逼啊
?
牛逼
?
我三狂喜
好家伙好家伙
这个很nice，向大佬致敬
？？？？？？？？？？？？
拓扑学，三维变成二维不交叉的图形
不，应该是这个太阳系中的所有微粒子全部平铺在某个位置吧
太直观了
那么二向箔之所以会无限影响三维宇宙，是不是也因为无法完全遍历​
《具有尸意》
Tin
我听不懂，所以我感觉你说的很有道理
要看二向泊从哪里攻击了
谢尔宾斯基地毯
师傅别念了
哇
这不是金刚狼吗？
喜喜
woc
女少口阿
算法题
我三牛逼。
这是一维遍历三维啊
有限元分析狂喜
？
这个好像是可逆的吧
那这和逐行降维有什么区别呢
mc好评
数学，永远的神
好绿！！！
皮亚诺余项？
尸 意
卧槽，这也太浪漫了吧
youyisi
报告天网有“人”接近“真理”，请实施精准毁灭打击
uv贴图
你对诗意有什么误解
这话说的，就算一行一行展开也是有过渡的
妙啊
极限
分治法
微分思想呗
说的很清晰，我竟然听懂了
靠MC
？？？？？？？什么
机魂不悦
二维可能是一个曲面，不一定是平面。把每个三维的点(近似球状）变成一个个球面，所有的球面的合集就是降维之后的结果
一脸懵逼的进来，一脸懵逼的出去。
妙啊
五脸茫然
这思路严谨
开始听不懂了
尸意
刘慈欣表示我怎么没有想到
大佬，真·的厉害
妙啊
因为地球表面只是地球很小一部分
失忆
(   ･᷅ὢ･᷄ )
大学阻碍高数
妙啊
卧槽
像素6
Minecraft
三连
纬度
厉害了
我去
织毛线
圆形曲线有没有？
方形的不行啊
喔！这，，，不好意思，我的文化水平不足以理解这道题。
在我的世界里实现啊
尸 意
卧槽
这就是二维的地球吗？
所有的空间不都是一种信息么
近视眼刚好看的很清楚
妙啊
牛逼
？？
好活当赏
数学，永远滴神
很贴切
woc
有没有希尔伯特曲面
太棒了
这就叫专业！！
你在教我
这个像不像大脑纹路
织毛衣时候的那个毛线球。。。
妙啊
笑死了，根本听不懂。
蓝桥杯？
我的世界玩家狂喜
强啊
其实是存在真正三维的模型的，用3d贴图
不觉明历
只是在听
提前卧槽、
牛逼
对啊，一直很在意这个问题，咋表现内部的空间二维化呀
不用哈无线趋近玉玲
解决了我一直以来的疑惑
喵啊，数据就是这么存储的
看了作者开头的吐槽 我就猜到他要干啥了
好像还有大雪花呢
牛逼
牛皮
皮亚诺曲线啊
怎么算铺满
怎么算填满了
皮亚诺余项
up主牛逼！感觉地球被掏空
巨佬
涨姿势了
妙啊
原来这样啊
维度一开始本身就是数学术语
套娃
Ohhhhhhhhhhh
变成一条无线长的线才对
喵啊
毛衫被钉子勾到，你还未察觉。
04:28
二维其实没有厚度，，，
nb
艾特神游
如果能达到无限，那么就不存在厚度
看到降维打击就滚进来了
6B
来了
牛逼
啊啊啊
这也就是数学意义上的
厉害
一键三连怎么搞的。
点云
以后可以用超算试试
UP主真的很牛啊
是李！微积分！
牛壁
晶胞！！？？
死神永生
皮亚诺余项
peano曲线
帅啊
妙啊
n牛
不是认为，他确实是填满了整个方形
拉丝，妙啊
数学上没有争议，不要瞎科普
这是数学的分形吗
nb啊！
毛衣？
一定要点赞啊
妙啊
妙啊
。
666
66666
大佬
贪吃蛇
皮亚诺余项
. html
这不是文件流吗
中间一个猪鼻子哈哈哈
有限元‘
草
妙啊
MC强
666
投币了
妙呀！
很 容 易
听不懂
dna
点成线，线集中填满合成面吧，我是这样理解的
66666
脑壳晕了
妙啊
突然发现，这很像大脑啊
666
海洋的大雪花呢
动画nb
沃日，逐渐不作人了
牛逼
位图
牛逼呀
OHHHH
真正的打击中是无穷小的厚度，所以连原子级都显得太大了
首页通知书
卧槽牛逼
原书中不是这样的，原书中的物体在降维后还是原来形状
Minecraft排面！！！
草
牛逼
66666
牛逼
侦测到在途的降维打击
牛逼
三体书迷狂喜
法线贴图（jida
有点Acwing算法题的意思了，递推方格图形
毕加索！！
皮亚诺余项
绝了
妙啊
电影《三体》你不参与我是不看的
MC 狂喜
所以其实无限分下去所有游戏的场景都是空的
那个可以不让我们用拉格朗日余项的好人！
怕是汉字就是这个原理
说实话 只是听上去有道理 其实很反智
【歌者】进入了直播间
妙啊
诗意？
老实说，我是似懂非懂
体素，原子？
妙啊
皮尔诺
mc好评
说得跌落这么高级，不就是无限细分嘛
好家伙
《简单》
挖矿争霸
咋了，走马灯被抢了？
ohhhhhhh
真没文化的我，只能说卧槽
宇宙大排扁
这个厉害
6
妙啊
牛皮
真心厉害
这已经很厉害了。
妙啊
牛蛙
66666666
看到mc 果断三连
坍塌
必有了
必须三连
这只是一种降维模式，不用这种模式就不是这个图案
只要看到的就是表面
 厉害！
牛逼
三连了！
中间感觉像个骷髅头
有限元
4
LCL
