太太画的好棒！！！！
米米
orion
高中米
圣母玛利亚mv的flowerman扮相
康贝瑞拉
脊椎化作蛋白石
呼 数不过来
好酷！
喜欢！
太可爱了呜呜呜呜
好神！！！
大佬下凡
tql
牛牛牛！
很有感觉啊
超级棒！喜欢！！~
啊啊啊啊啊啊
海澜之家
我直接牛逼
太强了
老师太绝了！！！！！
细节爆炸！！！！
太棒了太棒了！
火钳刘明
火钳刘明
好棒！
这一段真的神了！！！！
火钳刘明
火钳刘明
火钳刘明
火钳刘明
火钳刘明
火钳刘明
劳斯太强了
首页通知书！
好帅，好看，好绝（语无伦次）
八爷
太强了！
太太太神啦啊啊啊啊啊啊
太好看了！
火钳刘明
火钳刘明
火钳 刘明
太棒了太太
好耶
你币有了
某些人活着，但是他却已经成为了手办
首页通知书
好厉害！！！！！！！！！！！！！！！！！！！！
好强！！！！
当你看到这个弹幕你就不是第一个人了
火钳刘明
米津玄师米津玄师米津玄师米津玄师米津玄师米津玄师米津玄师米津玄师
是神仙!
火钳刘明
苏打！！
生日快乐！3.10留
好厉害！！！太神了(*≧∀≦*)
啊》？这。。没人吗
火钳刘明
感电限定八爷
火钳刘明
牛逼
火钳刘明
太棒了
上首页了
好强
好耶
tql！！！
我觉得我有可了
哇 夸！
苏打芜湖
它来了它来了~
牛逼！！！！！！！！！！！！
卡密！！！
米津玄师生日快乐
米津玄师生日快乐
火钳刘明
画风爱了！！！！！
我死了
生日快乐
火钳刘明
好厉害
热门通知书
好厉害啊啊啊
火钳刘明
劳斯太强了吧
卡密
哦呼
是我最喜欢的歌
热乎的
快乐换装play
火钳刘明
火钳刘明
好棒好棒
好看
惑星！
首页来的
牛
喜欢喜欢！！！
啊啊啊啊啊
好看!
老师太强啊啊啊啊啊啊!
火钳刘明
八爷生快
强！
nb
好赞
求封面
米米生日快乐！！！！
up主优秀，厉害
狂喜！！！！
画的好好啊！！已三连！！
火钳刘明
哇哇哇，太太好神
老师是卡密！！！！！！！！！！！！！！！
ohhhhhhhh好酷！
呜呜呜呜呜呜太可了
画的太棒了TT
太神了
火钳刘明！！！
强
张力十足！
八爷八爷八爷！
ohhhh
好强！
生日快乐，3/11留
火钳刘明
火钳刘明
一如既往的日复一日这种日子再难忍受
八爷yyds
我们一直都是如此 厌倦着这样昏昏沉沉的夜
火钳刘明！
好棒啊！
siguoyi
仍然还要继续起舞 为了明天的相会挥手作别
生日快乐
四处彷徨后终于到达 这里总算是乐园了吧
好强啊！
好不错
好
绝了
我是个loser所以就算是虚张声势也无所谓吧！
再一次 再一次 前行吧 我们的声音
我是个loser 很久以前就已经听到
那不知何时被深藏到口袋里的声音
火钳刘明
（翻译来自网易云）
这也好那也好我才不管
生日快乐！！！
预兆出不祥的天空
快看窗外的摩天楼
从那边看过来不过是一粒尘埃
伊恩和科特都是很久以前的人
就算是竖起中指也毫无他法
现在为了取胜而努力着
展露着无比开朗的表情
跳舞的傻瓜看着的傻瓜
我们是旁观这种情景笑着的傻瓜
tqltql
紧抱着的巨大自我意识 已被磨耗
像被消磨后残留下来的酸葡萄
我瞎了
抱着膝盖也不会发生什么吧
看吧 长长的刘海已遮住了前方
米津玄师生日快乐
不禁笑出了声突然厌倦了
+
或许会突然之间消失不见如此轮回反复
想要被爱的话就那样说出来吧
光是想的话是传递不了的
永恒的淑女也不予理睬
火钳刘明
天国依然在遥远的另一方
【啊，已经明白了】
摔了个大跟头的我是一只败犬
我疯了
不管哪里都好 我只想去一个遥远的地方
只是这样而已（八爷叹气）
侧耳倾听不要错过
远方正在响彻的声音
调整好呼吸
太强了，好赞
太强了
火烈鸟，迷途之羊，太细节了
生日快乐
大好き!!
散发着金色光芒的堇青石
一定要牢牢抓住不让它溜走
我是个loser！
好耶！
原本就是一无所有
生日快乐
所以不管变得怎样都没什么所谓吧
一直絮絮叨叨 神游不定
不如和现在挥手道别
我是个loser！祈祷着有朝一日能如愿
生日快乐
前进吧 去往遗失的 时光的更深处
想要被爱的话就那样说出来吧
光是想的话是传递不了的
永恒的淑女也不予理睬
天国依然在遥远的另一端
在这试着再跳一次舞吧
厉害了
在天亮之前磕绊着前行吧
是猫猫！！
能听见的话就大喊着前行吧！
啊啊啊啊啊啊啊啊啊啊好好看！！！
我是个loser！
所以就算 虚张声势也无所谓吧！
再一次 再一次 前行吧 我们的声音
我是个loser
很久以前就已经听到
啊啊啊啊啊啊啊啊啊啊各种米米！！！！
那不知何时被深藏在口袋之中的声音
在这试着跳一支舞吧
在天亮之前磕绊着前行吧
太牛了！！
能听见的话 就大喊着 前行吧！！！
（翻译完毕，以及call爆作者太太）
（来晚了一天，八爷生日快乐！）
好厉害啊！！！
火钳刘明
私たちはいつもそうでした こんなふらふらした夜に飽き飽きしている
阿现在也是老粉了
（这里底部淡蓝色翻译！）
でも今までは確信できませんでした
电脑首页通知书
私はloserだからハッタリでもかまわないでしょう!
もう一度 もう一度 行こう 私たちの声
私はloser 昔から聞いたことがある
いつかポケットに隠された音は
ooooohhhhhhhhhhh
（部分机翻部分自翻）
それでもいい
不吉な空を前兆にする
窓の外の摩天楼を見て
あそこから見るとほこりにすぎない
イアンと科は昔の人
生日快乐
中指を立てても仕方がない
是yellow！
とても明るい表情をしている
踊る馬鹿は馬鹿を見ている
是砂之惑星！
私たちはこの光景を傍観して馬鹿を笑っている
抱きしめた巨大な自己意識は摩耗している
消耗後に残った酸っぱいブドウのように
这里大概是兄弟战争……吧
333
膝を抱いても何も起こらないだろう
满足你（笑）
个人建议这里竖无名指好一些，八爷演唱会上竖的都是无名指
ほら、長い前髪は前方を覆っている
笑って突然飽きただけでなく
ilil
厉害的！
突然消えてしまうかもしれません
愛されたいならそう言ってくれ
考えるだけでは伝わらない
天国はまだ遠い反対側にある
好好好好
ああわかった
卧槽
転んで大宙返りの私は1匹の敗犬
それだけだ
遠くに響き渡る音
パンダヒーロー   砂の惑星    マトリョシカ
金色の光を放つコーディエライト
だから何になってもかまわないでしょう
ずっとくどくどとさまよっている
牛逼
私はloserです!いつか思い通りになることを祈る
失われた時間の深さに移動します。
愛されたいならそう言ってくれ
考えるだけでは伝わらない
天国はまだ遠い反対側にある
ここで踊ってみましょう
奇迹八爷
八爷永远的神
夜明け前につまずいて行こう
太神了太神了
聞こえたら大声で叫んで行こう!
草，能把这么多mv合在一起就真的好牛逼！
だからたとえ弱い者の空威張りもかまわないでしょう!
もう一度もう一度進みましょう私たちの声は
你币有了！
米津玄师生日快乐！
私はloser
我哭了这个手书也太用心了
いつかポケットに隠された音は
ここで踊ってみましょう
夜明け前につまずいて行こう
太强了！！！！
tql
好喜欢这个画风啊啊啊
八爷生日快乐
太牛啦
绝绝子
up主棒棒
生日快乐
woooo
超棒！
哇！帅炸耶
好用心的手书呜呜呜，难以置信是一个月赶出来的
太牛啦
？？？？
神
太棒了太棒了！手书里的八爷是生动的各异的多彩的，好棒！
？？？？？？？？？？？？？？？？？
up辛苦了
？？？？？？？？？？？？？？？？？？？
？？？？？？？？？？？？？？？？？
八爷赛高
好强
好棒啊
生日快乐
cool
散光视野模拟器
太好看了
绝了
大工程
太强了
lemon
帅炸了
爱了爱了
生日快乐
八爷生快
李豪承？
很棒
脊椎化作蛋白石
爷青回
看到Up的简介后特意回到开头发弹幕！Up太牛了！！！！好强！！
ohhhhhhhhhhh
马和鹿，Flamingo，红辣椒，lemon，飞燕等等
生日快乐！
太神了
太强了
米津玄师生日快乐！
八爷生日快乐！
棒！
太强了……
针不戳针不戳针不戳针不戳针不戳劳斯永远滴神
ohhhhhhhhh
完了幻视成折棒了
火钳刘明
治好了我多年的近视眼
好强啊
太强了
米津玄师生日快乐
爱了爱了
八爷生日快乐
太牛了 
很棒棒
呜呜呜八爷生日快乐
666
火钳刘明
