这是什么电影
致敬！
抱歉
致敬英雄
我要搞事了
看不下去了
~绝不能原谅~
陈监狱长
如果这样都能付出 英雄们能闭眼
课以重税
。。。！
致敬
致敬
真的是英雄啊
杀光毒鬼
警察蜀
扫了吧
这个警察后来也牺牲了
亡命之徒
这好像看过
不能复出
童年阴影
天呐。。
于震
不能复出
妈呀
真枪实弹
赞赞赞
你币有了
不能复出！
缉毒队，最危险的警种
他后来也牺牲了
致敬
除非缉毒警能复活
这人长的真像我舅舅。
支持封杀
中国就是对各种犯罪的成本太低了，要严打
致敬
这里面真实露脸的都牺牲了
房祖名已经复出了
吸与贩同罪就能根除
什么电影
永不原谅
这个男演员全磕在自己手上了吧
能不能复出还要去讨论，挺悲哀的。
确实
那位同志的儿子也在2020年12月底因缉毒牺牲了
柯震东滚出娱乐圈
直接打空两个带下
有的英雄连名字都无法留下，艺人凭什么付出
绝不姑息
帅
不能复出
赵德汉老师
正道的光
于震
怎么不查他们哪买的，涉黑了
泯灭人性
衙役
这男演员好像撞的自己的手，护着女演员的头了。
没用，人家是亡命之徒
云南缉毒警常年牺牲率高的离谱
致敬！
别造谣这人没牺牲
复出也不要给眼神
对待毒贩就应该先开枪
但是有些时候需要从毒贩里面拿到信息揪出整一个产业链啊
稽毒组需要装备全自动武器
刑法上面写着，能发财
防弹背心很重的
中华之剑
中华之剑
中华之剑
越看越像国伟
建议死刑
致敬缉毒英雄
他们需要大弹鼓供弹的95-1
不是你想的那么简单
这他妈这枪打的我心直颤悠
防弹背心只能防最基础的小口径手枪，而且这种子弹打上去肋骨也要断两根
致敬
其实前面的观点我不认同啊，不是说缉毒警察没有全自动装备，是他们大部分时候的工作性质，要求他们的武器装备更需要隐蔽性，手枪这种装备更适合隐蔽突袭的时候使用
牺牲的缉毒警察也不能露脸，为了保护他的家人，甚至连祭拜的地方都没有，像英雄致敬！
致敬英雄
禁毒对社会的稳定的意义是很大的
致敬
原谅他们? 那是上帝的事情，在中国，没有上帝！
小学时候集体组织看这个电影
复出？中国这片土地上不行！
致敬
当不了明星，干点别的不好吗，就想不劳而获
牺牲的缉毒警能复活吗，能复活就能复出
绝对不能给这种烂东西机会复出
娱乐至死，民族必死
你把缉毒警打错了你个仁渣
强烈建议每次抓毒贩时有多余动作的身上先打一枪
这个是什么电影，我想看看
真的不可以容忍！
近距离还是手枪好使
叫缉毒警
中国防弹背心还是挺厉害的
抓他们干啥，就地枪决
吸了还要复吸的
致敬
想复出？耶稣也帮不了你！
赛博朋克现代缉毒版
中国没有上帝，只有法律
枪枪决线索就断了啊
坚决抵制！
抓住后好的话能抓到更多的毒贩啊
建议机关枪突突
好伤心
怎么装？扛着95在山林里追逃？我觉得该备手雷，人手二颗
95呢。。为啥用手枪
不能付出！
致敬
防弹背心有什么用？5.7mm手枪弹，击穿3a防弹衣轻松的很
致敬
他露了脸………恐怕说明他也已经……
缉毒警应该给予配备最好的装备和武器
明星又不是歌手又不是演员的，劳动什么了？被人欣赏？
直接击毙
这是什么电影啊
明星不就是不劳而获？
把缉毒警装备升级下
致敬
看着太难受了
复出司马
就是不能给他机会
都是亡命之徒
这电影好像就叫缉毒警
中国要做的是送他们去见上帝
对涉毒的人零容忍
中国有阎王爷，可以送他们去那儿
机枪不好隐蔽吧
男演员是撞的自己的手！
不是见上帝，而是送他们去见阎王爷
中国没有上帝，只有阎王爷
零容忍 
自由开火
@小罗伯特唐尼
男演员：我手好疼
强烈建议给缉毒英雄们配备重火力，自动火力
某些所谓明星，卖啥不是卖啊
全趴一块怎么拉上去？
英雄
这跟那啥似的，一旦开窍了就停不了了
建议拿重武器缉毒
配配配……配原子弹吧，你说配大伊万都可以咋开心咋配…
致敬
红线底线不能碰
呜呜呜
这是在打仗啊
这电影小时候看过
六子不染布了
太仁慈了
于震
原谅他们是阎王干的事，而我们，就是要去送他们见阎王！
上点大家伙，比如便携冲锋枪
不能复出
又见到防弹背心不防弹断肋骨这种言论了
割割就犯了一次错呢
致敬
佛祖是印度的
刷张国伟的是什么心理 啥场合啊 硬开玩笑
刷张国伟的都是什么玩意 啥场合啊就开玩笑
弹幕这么少？
顶上去
明星还染毒的，就该永久监禁
防弹背心有，别问我怎么知道的
我的天啊
唉
别的国家不管，在中国就是要禁毒
不可原谅！！！
致敬
要是不老实真的可以直接开枪该多好，对坏人就改不留情
不能复出，那就开饭店
建议上武装无人机
