2人正在观看2333
一播放
太干净了
前排前排
都款600w粉了
国庆七天乐！厂长陪我过！
我在B站有房
耶
刚刚走起
有个人吗？
1
第一次第一啊
来了 来了！！
你们是住在B站的吧
！
第一次赶着热乎的！！！
没人
哈哈哈哈哈哈哈
刚刚
我的天，新鲜出炉
第一次前排
来了来了
2187人正在看
菊花？？
3250
冲冲冲！
我来了我来了？
有生之年系列
？
来了来了
很fu
好早！！！
最早
严重怀疑我关弹幕课
讲道理游戏设定还是很有趣的
等等，怎么生？怎么受孕？
来了来了
哈哈
2333333
猪是念着倒！
其实好像还行吧
克苏鲁
没人？
233
鬼泣五的地图？既视感
我，，，挺喜欢这个设定的。
生殖系统？能生啥
妈呀，没得弹幕呀
糟糕的姿势
讲道理感觉设定真的不错，但是真的辣眼睛
我觉得设定好带感
哈哈哈哈
hhhhhh
刷出了什么
哈哈哈哈哈哈哈
包养aao
哈哈哈哈
沙发
弹幕数量超级加倍
蚩尤最萌的坐骑――食铁兽
2333
抄袭贝姐实锤（滑稽）
挤进弹幕前260
先投后看，已成习惯
很fu
哈哈哈哈哈哈哈哈
很毛
太草了
太早了没弹幕有点没气氛
魂二歌唱恶魔？？？
爱熊猫人士表示强烈谴责
7674
失踪人口回归
7675
woc
瞧瞧我发现了什么
看敖厂长视频的人已经脱离刷第一刷时间这种低级趣味
是你吗，崩山
2333333
笑死了
我吐了
我喜欢
pdd！
抄袭黑魂2唱歌恶魔实锤（滑稽）
这不是魂二的唱歌恶魔么
哈哈哈哈哈
@周扒片
哈哈哈哈哈
虐杀原形
啥头？
龟什么？
来了来了！
这，，，
最后一期
我靠，竟然觉得很带劲
猪儿虫不能跳舞么？
？？？？
我第几啊，没弹幕吗？
才发现是刚刚!
哈哈哈哈哈哈哈哈
尤格萨隆是你吗
哈哈哈哈
……
不是，怎么说的我想玩了
哈哈哈哈哈哈哈哈哈xsl
前排必须
刑天
有点想玩
这不是死神里面一个队长的卐解吗
屠夫
这就是街舞
没弹幕呢
怎么没弹幕了
还挺有趣的设定啊
第一次这么早
来了啊啊啊啊啊啊啊啊
哈哈哈哈哈哈
@但丁
人口回归
忍者神龟
就只有我一个人想到鬼泣5的吗
感觉还不错
龟head
hhh
尼禄被气的都要魔人了
BGM不错
王德法
但丁！
我说怎么没人...刚刚！
我感觉还不错啊
哈哈哈哈哈哈哈哈哈
承包ingggggggggg
来了老弟
迪达拉？
这到底是什么游戏，动物园奇遇记？
每刷新一次评论都在加
哈哈哈
我吐了，你们呢
糊的一批
哈哈哈哈哈哈哈哈哈哈哈
这游戏真的san值狂掉啊！
口区
hang 
恶趣味
是不是叫托马斯
娘体
龙卷风摧毁停车场！
鬼泣歌莉娅(无端联想)
什么头？
这，就是街舞
俺也一样
还不如玩老作品
大玉螺旋丸
23333
强烈的手游质感
炽热合金好玩
无主加鬼泣吗……
但丁
龟head太秀了
安图恩，哈哈
反派好丑啊
不怕功夫熊猫告你侵权？
没有人吗？
无限列车号
御 蛋 飞 行
像08年的游戏
还行啊
放学刚好看到，厉害了
弹幕？
7分钟，13000的播放
托马斯？
卧槽我要做噩梦了
Mlgrmlgrmlgrmlgr
奴隶兽？？
忍者神龟？
我的妈啊
无脸男
突然反应过来这个游戏我前几天玩了
@安图恩
什么head？
天王鬼
自动变色
目测要开花
儿童鞋垫
黝黑蜗壳
红红火火恍恍惚惚呵呵哈哈哈哈哈哈哈哈
精神污染
nb
恰饭？
前排留名
是你吗？托马斯
fatego爱迪生：咋了，没见过啊
2333333
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
好恶
灭杀安徒恩
我感觉我san值会很正常，果然我是个变态吗？
233333
感觉有点无趣
居然没弹幕，哈哈来的太早了
御弹飞行
这IP都活了
画面充满古早味
你是！金色疋杀地藏
牛顿被踢出直播间
忍者神龟阿特姆
23333333
有点儿想玩儿的感觉怎么办
感觉挺有意思的
啊嗷
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈
最早PS1好像有个类似的游戏
鸡你太美
