这么好的视频，竟然没人看？
霸气了！
太牛逼了这编程
神仙
无人机蜂群！这是给中国人看的！更是给美国佬看的！
牛皮
裸眼3d
编程厉害
掉头发。
你币有了
巨龙腾飞！
nb
帅炸了
牛批
哇
帅气，想哭
up主
顶上去
为我中华自豪
前方高能预警
立体的
祖国，生日快乐
我想起了蜘蛛侠里的  神秘客
你币有了
卧槽卧槽卧槽
在看看刷锅不刷不好的我...
你三连有了
卧槽
握草，牛壁
nb
厉害
卧槽
哇
我发现了好东西
帅！
龙腾万里
太强了！！！
牛逼！我服了
woc
一万架大疆就得一个亿了
妙啊
神秘客
卧槽卧槽我擦
帅炸
发现了一个大宝贝
牛逼
好激动啊！
前面的 零度智控不是大疆
牛掰格拉斯
深圳人才公园
不得了
能当新兴烟花，有发展前途
哇，龙诶
又是多少程序员的头发呀
！！！！
woc
祖国生日快乐！
祖国万岁！祖国生日快乐
好技术。希望不要像古代中国一样点歪科技树，只用于娱乐不用于军事。
卧槽
不会
小蛮腰好评
卧槽还特么三地的
卧槽
卧槽
啊啊啊啊啊太厉害了
卧槽！！！
无人机：我拍我自己
比烟花好看太多了
只会说卧槽了。
只能说句卧槽了
广州！！
说是AE的看简介
你三连有了
一飞智控是天大教授开的企业
这个鹿好好看！！！
无人机卖不出去了
搞部电影来看
牛掰格拉斯
这龙牛逼
祖国母亲生日快乐
程序员牛逼
我爱你 中国
无人机版的团体舞
这个技术是真的牛
帅！
祖国真的太强了
太牛逼了
真的太赞了
有
帅
腻害
牛逼
哇，立体的
卧槽 这年轻人
智能“烟花”，帅呆!
满满的智慧和自豪
生日快乐
ae的是战忽局同志吧
妙啊
牛掰
帅啊
卧槽
卧槽！
太强了
我不是针对谁。。。
这条中国龙太帅了！
厉害
？？？？
666
郑州来了
666
卧槽
数学水平决定一切
编程无人机
哇
牛
卧槽
好评
泪目
帅
帅
肉眼3D啊
我靠
今天鸡皮疙瘩就没下来过
厉害
你三连有了
深圳
牛批
握草
可以对抗外星人的无人机编队
2333
太帅了
俺也一样
我怀疑我是打摆子的
蜂群技术 可以用来战争锤爆敌人狗头
这盛世，如你所愿
流弊
怎一个牛逼了得
66666
顶上去，给他们看看
让我想到了蜘蛛侠
好
竟然立体
流弊
牛逼，太震撼了
这个是我们聊城光岳楼！！
帅！
哇！！！！
鸡皮疙瘩！
卧槽卧槽
谁与争锋
太强了
中国牛逼
没有风吗？好厉害
牛逼
在哪？
帅
将来的蜂群作战模式
卧槽，这年轻人，哎哟卧槽
这条龙帅炸了
握草
广州塔
哇，这个控制做的赞啊
真的厉害
青海省
广州市海珠区人民发来祝贺
牛啊！
长江黄河发源地
祖国万岁
来世还入种花家
祖国万岁！
海印桥？
木棉花
牛逼
卧槽
我想到了奥运会
中国万岁
加油，中国
我的天厉害了我的国
程序员的头发还好吗
WOC
西安
祖国生日快乐
这就是中国
祖国生日快乐
会动我擦！
卧槽，我的眼泪真的控制不住了
厉害
哇塞！！！！
祖国生日快乐
牛逼
祖国生日快乐
这项技术可以运用在军事上，可以对抗航母
中国万岁
卧槽立体的
生日快乐
优秀
LH来学学怎么无人机怎么用的
这是飞机？
我丢，真的超级赞
非常立体有动感
龙帅炸了
卧槽
兰州
愣着干嘛，投币呀
什么时候阅兵啊？
牛皮
中国牛逼
科幻成真了
祖国生日快乐！
深圳吗？
好……好科幻
DJI
南京航空航天大学前来报到
卧槽
嗷 好厉害
尾气？全靠电
计算机的浪漫
日后的太空无人舰队雏形。
牛皮
握草
编程的浪漫
祖国母亲生日快乐
没文化的我只能喊握草了
祖国万岁
呼叫舰队
此生无悔入华夏，来世要做大熊猫
卧槽，牛逼
天
奈何没文化一句卧槽走天下
牛逼牛逼牛逼
佛山搞的太让人失望
有中国这么有凝聚力没有中国这么有财力
我爱你中国
这盛世，如您所愿
哭，都给我哭
自动变色
牛批
我爱你，我的祖国妈妈
祖国太牛了
好厉害
太厉害了
好燃
我流眼泪
我的天呐！
酷啊！！
生日快乐
(⊙o⊙)哇
祖国生日快乐
手上的草都握碎了
真会玩！！！牛
6666
我爱你中国
这盛世，如你所愿
我就不一样了，我还会说666
祖国牛bee。
牛逼
握草
的
中国nb
先哭为敬
壮观
祖国万岁！
这盛世如您所愿
厉害！
祖国，生日快乐。
哇塞，这条龙厉害了
全是精灵？！
全体起立！！！
生日快乐
我爱你！中国！！！
祖国生日快乐
卧槽
此生无悔，入华夏
此生无悔入华夏
理工男的浪漫！程序员的美感！
震撼
祖国生日快乐
此生无悔入华夏，来世还生种花家！
头皮发麻
卧槽
中国万岁
祖国的今天，祖祖辈辈们真的不容易
一起看阅兵的小伙伴有吗
广州塔灯光
中国牛逼！
泪目！
哎妈呀
祖国万岁
卧槽
泪目
星际争霸里面的宇宙战舰蜂群战术，祝中国繁荣富强
想哭
有
我去 看哭
炫彩华丽
在哪里 想看
牛皮
在看阅兵啊
此世芳华，如君所愿
我爱中国！！
敬礼！
生日快乐
奈何本人没文化，唯有一句卧槽行天下
祝祖国70岁生日快乐
此生不悔入华夏
我去，起鸡皮疙瘩了
太厉害了
帅呀
国运昌隆
我靠
woc，我读的书少，只会卧槽。
我爱你中国
中国牛逼
厉害(ง •̀_•́)ง
牛逼
厉害
赛博朋克！
在看阅兵！
强
我哭了
生日快乐
生日快乐
生日快乐
生日快乐
生日快乐
此生无悔！入华夏！
祖国生日快乐
中国万岁
太帅了
厉害了，我的国
阅兵直播
龙腾东方！
酷
中华人民共和国万岁！
我读书少，只能用卧槽来表达我的心情
生日快乐
哇
我爱你，啊中
波澜壮阔啊
气势磅礴呀
好多的
龙出来的时候还是没忍住说了句哎呀卧槽
nb
祖国万岁
生日快乐!
我也红了
盛世龙腾
祖国生日快乐
太厉害了！
我爱祖国！！
牛
祖国万岁
太霸气了
我的鸡皮疙瘩
太酷了
祝祖国70周岁快乐
此生无悔入华夏
帅啊啊啊啊啊
好炸
生日快乐
帅呀
牛批
祖国真的真的很棒！
可爱的程序员
牛逼
同在广州
在看阅兵啊
哇
生日快乐
祖国，我爱你❤️
有的
这盛世！如你所愿
东风快递 
好厉害啊
生日快乐
龙，好帅
全体起立
全体起立
祝祖国70岁生日快乐
这盛世，如您所愿，先烈们
卧槽
这盛世，如你所愿
MATLAB
厉害了
这是无人机？
立体的
我爱你中国
祖国生日快乐！
这个机群全世界也没有谁了吧，有这个十分之一的规模都算强了。
爱你中国
中骏
龙太帅了
我曹
祖国生日快乐
我爱中国
中国我爱你
祖国万岁
来世还做华夏人
卧槽
nb
好活
我爱你中国
这盛世，如你所愿
这龙
生日快乐！
可以发弹幕克
祖国生日快乐
我还在想为什么没有龙呢
震撼
赶火车没时间看阅兵难受
正看呢
祖国生日快乐！
刚看完
最好的时代
要考证的
祖国万寿无疆
祖国生日快乐
奈何本人没文化
一句卧槽胜过其他话
好棒！！！
无人机组网技术
卧槽
外国同学不要怕这个是ae而已
祖国万岁
这盛世如你所愿
高聚创新
在看阅兵中
卧槽！
祖国母亲万岁
理工男厉害！
祖国生日快乐！！！
祖国万岁
牛壁
此生无悔入华夏
并没有大疆参与
我爱你中国
牛逼
在广州！？？
这也太厉害了
好牛逼
看了一上午了
祖国万岁
深圳
我想抢走第521个评论送给祖国
电视上正在看直播呢
@英雄远征
大深圳
恐怖，牛逼
中华人民共和国万岁！！！
中国生日快乐！！！
壮哉我中华
祖国万岁
5G厉害了
牛逼了
感动
牛逼
这是多少头发换来的
卧槽
气势恢宏
火钳刘明
美国还在拍电影幻想的时候，中国已经做出来了
祖国万岁
祖国生日快乐
妈呀
