说蹦迪的是山沟沟出来的？
后排的看得到影子嘛？
就是这个害得我半夜睡不着！
2233娘
这个时间是故意的吧，哈哈哈哈哈
好沙雕的亚子
没弹幕？
留下足迹
没时间只能在小破站补了
A区前排快乐党路过
兰州请求出战
以后一定要去！！
哈哈
哔哩哔哩干杯
。。。
终于等到重播了
牛壁
这个吊线- -
可惜啊，太远去不了= =
我要一口气肝完= =
有生之年一定要去一次
我好想去啊啊啊啊啊啊啊啊啊啊啊
耶耶耶！！！
什么时候来济南开一次啊，太远了ಥ_ಥ
打光差点
中二魂2333333
哈哈哈哈哈哈哈哈哈哈哈哈哈哈
明年不去我就不做up了
不知道为什么看着好想哭
77
干杯
啊啊啊，缺时间，不然想去
啊啊啊啊
十年后我不去现场，我就倒立喝一百次茶
这是啥
好沙雕
啊  有我汕头
其实录播更好看
手里的炸鸡不香了
2233
呷哺呷哺，干锅
好残忍啊
这这这n是神马
足迹
去不了可惜了
那天我就在上海
我的眼睛~~~
等我有钱了一定要去
弹幕护体
学生党的眼泪
炮姐！
滑稽
666
来啦
Aimer
aimer
变异雷姆
666
终于有回播了
留下足迹
2333
好残忍
笑死我了
我缺的是路费吗，我缺的是钱
到萝岗来
6666
2233
不能关弹幕？
难受，没法去
鱼，好大的鱼，虎纹鲨鱼
三指放大发
好沙雕
够经
长沙
饿了
广州的去了
超电磁炮
学生党太难了
干杯，万岁！！
。
眼前的鳗鱼它能不香吗
。
真
是很沙雕
= =在干吗啊
amier吹爆
护舒宝不是姨妈巾纸尿裤都卖么（耿直）
hhh
2233
巴拉拉小魔仙
又到了我一年一度的边看BML边写作业的日子了
哈哈哈，我爱小破绽
好多人
前几天到橘子洲玩了会
莫名沙雕
不知为何想笑
好穷的感觉。
桐人老爷看了想打人
看到了重庆
我大昆明
？？？
人生一串
ohhhhhhh
好沙雕啊。
有点中二
WOTA上大场面了
这是真人
终于能看了
我在厕所…
哔哩哔哩干杯
爱死这个小破站了！！
能来西安不
成都什么时候啊
吊起来垂
这是啥
大半夜的看得我流口水
真是个好东西
刀剑？
BML花了我四千多大洋啊
斗气化马同款飞行翅膀
发个弹幕见证当下
