呃我是从来不看仙侠剧
我从不看抖音
有人把花楹和糖宝弄混了，花楹才是郭晓婷在仙剑三的角色，糖宝是花千骨的角色。
晓婷，你是很优秀的演员，不要用行业的堕落苛责自己，谢谢你
她怎么还不火啊
这不就是由内而外展开的那种吗
劣币驱逐良币
余霏霏
流水线拍摄，快又齐
她的声音好可爱
这是可以说的吗
哎就是玩
她的演技一点不普通
←怎么可能是仙剑三？
好瘦呀她
劣币驱逐良币
没办法，娱乐圈就是流量为王，才能被资本营销看到，没流量的演员就算有演技都只是昙花一现
姐姐的演技真的很好
真瘦
仙剑三？
与君她可以的
哈哈哈哈哈哈哈
她有演过花千骨吗 呵呵
哈哈哈哈哈哈哈哈哈
就是小琉璃这个角色了
哈哈哈太直白了
我也是被王劝退……
有王一博谁看啊
她笑起来好好看
那就是灵剑山了
完全是转载为什么标原创……
抱抱你自己很好了，至少让我认识了你，哪怕不是你想要的结果吧，工作难免的
点名批评GQ 形式花里胡哨
声音好好听
这是转载还是原创啊？？？
这不是她的GQ采访吗？？？
声音太好听了吧！！
哈哈怪不得你被淘汰
好漂亮哦
毕竟拍过仙侠，所以现在周围的人就是会感到无所适从
实话为啥不能说 拜托不要玻璃心 太缺说实话的活人了
说的太好了 现在的娱乐圈环境真的很糟糕
顾忆罗童年阴影
但是火的就不用
好真实
仙剑三吗
她好好啊
现在我记得那些干女儿就她还比较出圈吧
演技真的很棒，但是我还记得她当时是汪涵干女儿的时候，
我很喜欢她！！！
敏敏格格真的好喜欢
记忆里琅琊榜开始的
好灵动好可爱
是认真做演员的人
哈哈哈哈哈哈哈哈哈
可怕现在的市场～被资本妥妥绑架
喜欢冰与火
真的好瘦啊，要多吃一点啊
花楹
哈哈哈哈哈哈哈看剧的也是这种感受，“这是在干嘛呀”
我
我弹幕呢
现在的预算和拍戏环境包括导演功力也就这样了
可是灵剑山她那个角色就是这种疯疯癫癫没有逻辑的
配角
仙侠剧并没有崛起，是资本塞给观众看的
她非常享受演戏，在戏里演绎别人的人生，是非常非常好的演员
姑娘真好啊 可惜火的人都不配 配的人都不火
王一博不行王一博，不太行
没有抖音
哈哈哈哈哈 我也很抗拒抖音5555 至今不会用
十年前，可以磨作品
转粉了，我爱她的性格。但这都在有实力有底气有专业素养上
余霏霏？
哈哈哈哈哈哈哈哈
小琉璃～～～～
对于许多老牌演技派，走出这一步真的很艰难……
只能说这届受众观众品味不行
哈哈哈哈哈自己干
這個甩海報我看過，還誇過哈哈哈
这不是反卷，这是专注认真不搞花里胡哨。
不奇怪，从她的表达和逻辑来看，完全理解
朋友们都说我和郭晓婷长的一模一样…………今天才发现，好像真的一样………
《人际关系》
天呐，个体户
我很爱杨玲，有血有肉
是《灵剑山》
还有李蓁蓁《少林问道》
终于知道像谁了很像朱亚文老婆
也有人是真的会有趣事的吧，也不能说都是编的和演的
自己修啊好家伙
一句话，为了生活
确实
自己上手吗我趣 姐好牛！
这也太瘦了姐姐
很正常啊 只有那些贼火的艺人才有大团队吧 我爱豆团队也就两个人
改变不了就加入，自己尽量做好
她好可爱，但是演技好好
好喜欢他的！！！
但是有热度才有剧本选择啊，大环境如此了
牛
因为冰雨火记住她了
真的直接 哈哈哈哈哈哈哈
演员想，但是明星流量不想
姐姐！！！我来给你修图！！！
敏敏格格
同质化
