看到我，你就不是第一了
什么，广东不是骑蟑螂出门吗
你内涵谁呢？取关了取关了
蟑螂活得久来着?
每日苦茶子（1/1）
读书人吹牛逼，能算挖坑吗？不能算
AWA
寄居蟹：你说昆虫和我有啥关系
？？
？
算
许嵩挺牛逼啊。
每日三体1/1
小黑子露出只因脚了吧
被重力束缚的灵魂！
《小小的也很可爱哦》
恐龙呢
许嵩：我不打虎谢谢你
巨犀，也愤怒了
完了！
六分钟一个弹幕都木有
哈哈哈
一半的man
许嵩打虎?
我觉得他应该是大伙子
前面的，注意“鸟”
每日三体（1/1）
许嵩：你最好有事
嘘 好好看
往二维里塌（doge）
有些人的古荼子！！！
有没有一种生活在宇宙空间中的生物
也可能是四肢承受不了
每日三体（1/1）
                ←卡兹
张一山牛逼啊，看样子要石锤了
？礼貌吗？
许嵩？，不是武松吗？
王司徒不是一米五吗
每日三体
金～门～大～桥～
许嵩：？？？？
许嵩：我特么谢谢你
山雀？猫咪？
不如吹一下假太阳
en~，怎么不算呢
骨骼支撑不了，地面也支撑不了
有些蚂蚁的蚁后好像可以
中子星生物
王吹牛
你挖了多少坑了？不得填填？？
强相互作用力材料（）
大嘤：确实，当时我就没搬得走这玩意
贝吉塔：就这？
踩一下都够呛
???????
挪威的神盾舰被货船创沉了
蘑菇弹？
司徒の奇妙比喻
潮汐力教你做人
许嵩：？？？
强相互作用力探测器
记得日本有大型高达展出
作业堆成的山【doge】
结构决定性质
风神翼龙是滑翔
历史上最大的飞行鸟类是桑氏伪齿鸟和阿根廷鹫
《  啸  伙  子 》
紧跟时事
你这一说，打虎那个叫啥来着，把我整忘记了…
省流：每日挖坑【doge】
我靠，好像僵尸
哈哈哈哈哈哈哈哈哈哈
你怎么知道的(
乌龟：？
胖也不是无限的
司徒の奇妙比喻
确实是往里塌的
孙悦：？你也来当大象？
铁球就不会
《失败的man》
你也会知道货是怎么没的（doge）
小黑子？
日本：勿念！谢谢～
司徒の奇妙比喻
Half是一半的意思
球形？你主推进器怎么装？主武器怎么装？
《童年的终结》里那群二维生物
小黑子，露出只因脚了吧！
一般乌龟寿命是20年左右，养乌龟你就能把它送走。
司徒の奇妙比喻
有能永生的龙虾
279工程？
你有1.83米？
。。。
蝉，好像能活十几二十年的样子
孙老师喂大象哈哈哈哈
嘿嘿嘿嘿嘿嘿嘿
14年蝉
生的是男球还是女球啊？
都快结束了，就等着这呢
bbc直呼内涵
卧槽，头一次听这样说的
许 嵩 打 虎
我挤地铁还真练就这技能
你自拍一张不就有了（doge）
风神翼龙
深海巨人现象
小黑子鹵出雞腳了吧
小黑子
哈哈
你再骂！！！
180斤 180CM完美
哼哼哼哼哈哈哈哈。。。啊哈哈哈哈哈。。。
这时候就要请出王司徒视频的常驻嘉宾核武器了
重力或者是体质吧。如果很坚硬。能承受的住重力。
哼哼哈哈哈哈。。。嗝～
血肉之躯多么脆弱
绿巨人：额……
笑死（第三次）
大就是好，多就是美。
司徒，好耶！
赛亚人！
你真的一米八吗
开团
泡泡！
C-3PO
废话，脂肪这玩意儿可是保命手段，祖先要是没有这玩意儿，还能有我们吗？
省流：有苦茶子和三体。
许嵩：？？？？请打开麦克风交流
哈哈哈
这是我能听的吗？
核弹：你要不要看看你在说什么
风神翼龙原地弹射起飞你教我怎么滑翔
篮球构成
长得大把自己玩坍缩了
和世界上最高的人一样高［doge］
失败的man
哈哈哈哈哈神TM许嵩
好家伙
竟然不是苦茶子星
广东蟑螂表示不服
那长城是怎么回事
那我直接一个滑铲
？？？？
小黑子
许嵩？
头铁（物理）
像电影怪兽那种身体材料 我这么说把比铁都结实
我想起空想科學
《摘》
许嵩哈哈哈哈哈哈哈，笑死
这能有实物吗
小黑子你露出鸡脚了吧
确实好（自卑
坤八不长是吧
运动惯性就能搞死、
神TM埃及时的坐标经纬
许嵩：我不唱歌的嘛
关于我关注的UP主都是小黑子
那是因为怪兽体内含有基拟态酶，只因基拟态酶，怪兽才能唱跳rap
发动机飞走了
里面有基拟态酶，待久了会让人唱跳rap
