老哥的视频总是能深入我心，真的很喜欢。
南辞出来玩啊
哈哈哈哈，奶奶真有趣
郑州某医院医护摄于21年1月
BGM：毛不易的呓语！
泪目
你是我领导
看到我你就不是1246了
头一回这么早，好温暖
确实
BGM毛不易 呓语
子衿别哭
快递小哥给我整破防了
哇，这束花好浪漫
up粗来丸
好的
确实应该感谢！
南辞开出来玩
天呐 
笑容凝固
很像清醒乐队的歌
确实不省油
666
看得我想哭
这句话，泪目了
快看投币520
我要打破他
？？？
一无所有
投币了！
一坐，便是一个宁静悠哉的下午。
我答应你
热
热
我答应你
数钱就过分，不能先下车？
2333
真哏儿
你永远可以相信南辞
啊～好羡慕
每次看都是又哭又笑的
这个好像是煮螺蛳粉太臭了
呓语！
我要这币有何用
人类的悲欢不相通
单身狗：有被冒犯到
破防了
《 大 哥 》
这个是女儿在家吃螺丝粉爸妈被臭的要出门
老头：焯~哈哈哈
军嫂啊这是，确实不容易
巧了
巧了 你也蹲着呢
而且也不省饭
能看出来
人的悲欢并不相通
好
呓语哎
怎么说话呢，你个欻欻
好的
up猪大可不必啊up猪
好好爱自己。
呵呵呵，好有道理
哭了
好好爱自己，南辞也要好好爱自己
哈哈爷爷奶奶真好
我想吃面了
没有和外婆那样坐着多晒晒太阳，好遗憾
270
哭了
这个是吃螺蛳粉把爸妈臭出家门的
热乎的
大家都要爱自己哦
求BGM
我只觉得他们吵闹
、、、、
卖人
南辞出来玩呀
哇⊙∀⊙！，甜
你成功骗了我的币
毛不易的歌
我也是啊，好遗憾的
这BGM配的真好，眼睛痒了
290
笑着笑着眼泪就出来了是怎么回事？
浪漫和悲观并不冲突，我时常悲观，又觉得生活很美好
要不是以前看过另一个版本。我就信了
标题为何如此悲伤
小站的吧
星巴克倒闭星巴克倒闭
他给的实在太多了
不义之财
看的心里滋儿滋儿的
也许他也渴望被人拥抱吧
沧州的，哈哈哈哈哈
骗进来杀啊
毛毛呀
这是干啥？道路除雪？
曲对币有
星巴克倒闭星巴克倒闭
南辞今天好早
唉...这是下车礼吧
祝你们幸福呀
下车钱第一次听说，不能理解
毛毛的呓语(๑•ᴗ•๑)♡
致敬
人间温暖
‘好好爱自己，努力考研’
可爱
车载音乐是吧
up可以换个小号发弹幕吗？心疼
路人：饭忽然不香了
沧州的，这口音太亲切了
好家伙，这素材够新
大爷差点翻车
毛不易的歌
众所周知，南辞＝任何东西
顺利
你就是我大哥。
结婚那天数彩礼
好的
破防了
我最喜欢毛不易的一首歌
老家的口音，哈哈哈哈
我再也没有机会和奶奶坐在一起晒太阳了
毛毛yyds
谢谢毛不易写出这样的歌，听哭了
BGM毛不易《呓语》
看的出来
我真的不敢关注你啊！
世界名画
星巴克给老子倒闭吧
噗
姐姐您斯天津滴吧
人的悲欢并不相通，我只觉得他们吵闹一一鲁迅
跑了一点也不管孩子，肯定也是不对吧？
呼叫谭谈交通
泪目
泪目
蚌埠住了
好
看得出来，挺费油的
可能是不知道吧
您真漂亮！
您真漂亮
救命 一直没破防呢 就这一下 哭了
我哭了
好家伙 这就开洗了嘛 还没人说啥啊
BGM犯规了 毛不易
姐姐嫁走了
呜呜呜呜呜呜呜
呜呜呜呜呜绷不住了
我也没有机会跟奶奶一起坐了 我好想她
稀罕。南辞居然主动岀来玩
！
《拐》
这个BGM选得真好啊，看得泪目
怎么都是天津的？哈哈哈哈
BGM?
好好活着
大家都是普通人，愿世界和平，平安顺遂
这里是在做什么啊
火警官兵同志的辛苦了
你终究还是变了。
哭了
好
向后看呜呜呜
实话实说
下车费
毛毛
这也能打拳啊
她在闹 他在笑  真美好啊
蛋糕上写着：老妈，生日快乐
？？
画风突变
我也是，想她老人家
我爱你，南辞
的确不省油还挺费钱
长安公园么？
歌名啥
唉
加油！陌生人
你也不是一个省饭的孩子
我说再多的爱你不如你好好爱自己
这家饭店刚开不久因为疫情黄了
00.
你币有了
沧州话，哈哈哈
夫妻相
我想我爷爷了
《 夸 戳 》
喀纳斯
虽然孤单的人偶尔也想有个伴
人生百态
笑着笑着，就哭了
星巴克tui
狗子：你蹬我干啥
辛苦了
前面弹幕暴露了
？？？
生活很美好，我一定可以上岸
想笑
活在当下，不要焦虑
致敬！
现在捧着方便面的我感触万千
好好爱自己
我很幸福啊！
哈哈哈这对比
费油
这样坐挺危险的
好家伙，八千块的唢呐停了七千九
确实
他好帅呀
老妈生日快乐
前面子衿我是绷不住了
火火老师？
快递挣的多也是体力钱，你怎么不看看人家过年过节不休息，风吹日晒送快递？
好，我答应你
呓语毛不易
哈哈哈哈哈
看得出来
本来还有点难受，看见爷爷奶奶，突然开心
封面是我们学校食堂的一对叔叔阿姨   他们可好了
哈哈哈哈
你就是我大哥
我想我外婆了，好想好想
我也这么认为，我老公找到我是他的福气，哈哈哈哈
上岸！
TGP！
这是今天的新闻 
这貌似是一个过完年凌晨出门打工的父亲
也是
狗：飞来横祸
"我也想养狗,可是我不会结婚，如果一直走医学这条路的话更不可能照顾得了，所以还是想想就算了"
初中同学同名了我说
不锈钢没有生锈，爱却早已消失
现在你也不像啊
狗子：踹我干啥
南辞爱你
泪目了
夸老公还连带把自己夸了
我还是喜欢你桀骜不驯的样子
下车礼
清理道路和碑刻上的雪吧（猜测）
应该也不是个省饭的孩子
哈哈哈哈哈哈哈
辛苦了
光一个标题就能整哭我
老爷爷好可怜
笑着笑着就哭了
靠，四刷了，出不去了
说到吃面，股市可就不一样了
生活真的很难
这应该是在吃螺蛳粉而已
合适的不得了
哈哈哈
要好好爱自己
悲伤地笑出了声
李亚云你一定要幸福
看完我的内心变得无比平静
大气点 给他张一千的
我什么时候才能够追逐自己的梦想呢？
除你武器！
这是老人一个人在家吧，看着摄像头希望儿女回家
天津人
唉，算了不哭（有多少人在生活面前妥协啊！
事业不顺，八年爱情分手了，看哭了
破防了这里
这怎么像我们沧州人呢。。
我想我爷爷了
好心疼啊
谢谢您，锦书致南辞，让我知道了生活中更多的感动，我要认真活下去
静海话
好心疼
天津人骨子里幽默
这里我破防了
《看人真准～》
呜呜呜呜那个小女孩
我再也没有机会跟我爷爷看今日说法了
说了个啥
祝张玉文大吉大利
“我就轻轻搞一哈”
王维家的呓语
小女孩又可怜又可爱
你就是领导
bgm好好听
这特么还有杜比音效 太离谱
200你就是我领导
你车就坏这得了
教父
看哭了
这婚结的有意思嘛
250
快乐怎么就留不住呢
都怪以前的快乐太快乐了 我才会这么遗憾
不戴头盔
是河南老君山上的清洁工
下车礼金……这新娘子……
静海口音
我想我奶奶了，哇呜呜呜呜
没必要嘲讽
辅警一样会为你挡子弹！
分手了xdm
没带夸戳的奥迪
大晚上的破防了
好想要一个拥抱
这边好好啊
冯小刚，嘛呢你？
我也再也没有跟俺奶晒太阳了
bgm:呓语（毛不易）
为什么放这个歌啊啊啊啊啊 刚emo完又来 蚌埠住了老铁
沧州话
沧州，更准确来说黄骅
我已经忘了当初为什么关注这个up主
我们总是哭着笑着去面对我们不愿面对的
迷恋人间
我想在人生的最后说一句，我爱你，我想你了
婴儿的第一句总是感人至深的
星巴克给爷滚
这二百你拿着.jpg
《 正 在 开 启 杜 比 音 效 》
数的是下车钱，都是现场要，不给不下车，作妖吧就
It’s my duty ！
老伴：我福啦
他们只是卸下了伪装
看的我自动落泪了，怎么办？up君，你陪我？
好好爱自己 爱家人 好好生活
爱你南辞
kape
二战失败的我 感觉像挨了一拳 说不出话
这一段是夫妻两人生气了，煮了一碗面给哄好了
人世间竟有这么多美好
哈哈哈哈哈哈天津的哈哈哈哈
再来一遍
希望，这世间的美好都能与你环环相扣
青春年少还不懂生活的苦
我的爆米花...没了
擦 雷克萨斯
蛋糕牌子上写的是老妈生日快乐
“算了，别哭。”
也不省饭啊
看这体型确实不省油啊
杜 比 音 效 已 开 启
我要慢慢还债，慢慢好起来，一切都会好
毛不易别唱了
快乐怎么就留不住呢
哈哈
大哥你走
这个背影
别哭
这是湖南长沙烈士公园
笑着笑着就哭了，哭着哭着也就笑了
我该哭还是该笑哪？
  一年循环三千多遍 这首歌真的很好听。
蚌埠住了
@俄国交警
阿米驴~！！！
大爷：谁起烟把我装备全顺走了？
这辈子会遇到那个人吗我不得而知
藤原浩
外公我想你了
留守老人的痛苦
三连了！南辞出来玩呀！
我妈在我二年级的时候在外面鬼混，让我发现了告诉我爸后来就离婚了，我常常在想要是我不说会不会还有个妈妈
大多数
弹幕过分了吧？
天津话啊
看出来了
草忍了这么久 看到这哭了
这首bgm配这些画面怎么看哭了呢
人类的悲欢并不相通，我只觉得他们吵闹
绷不住了，这个象征爱情的牌子，他们到底经历了什么？
这，婚礼上穿着有意思
辛苦了
如果再也不见，祝您早安 午安，晚安
哈哈哈哈哈哈
人间正道是沧桑  各位 且行且珍惜
太有夫妻相啦
你要是不转弯就过不了科三
毛毛的歌！
bgm是毛不易的呓语
哭了
哈哈哈哈
加油
笑着笑着就哭了
有为青年
这个赞和硬币是给视频里蹲着吃饭的交警的
好好哭
快跑！是刀子！快跑！
信我！快跑！是刀子！呜呜呜呜，哭的稀里哗啦
是金子的话结果就不一样了。
工地上的不都这么吃么
可是我放不下啊
369
若能避开猛烈的欢喜，自然也不会有悲痛的来袭
这个世界已经够为难你了，就不要再为难自己了，更不要让不爱你的人给你添堵了，好好爱自己
呓语！！
看着看着就哭了
这就是感动吧~
好
bgm是啥
bgm：呓语
哭了真的不想离别
破防了
他给的实在是太多
人间的面，吃一碗少一碗，见一面少一面
"我还没来得及说再见,就再也见不到了"
老乡
同款校服
快跑
太现实的社会
这不大港的吗
阿爆，是你吗？
再看一遍吧，你会有不一样的感受的
你币有了
何来快乐
不剩饭的孩子
人生苦短
你家大哥涂指甲油
是的   人间正道是沧桑
什么歌
人这一辈子，到底为啥
A1高闪
破防了
贩卖童年的人
破了破了
王先生，世间所有的相遇，都是久别重逢
省油（物理）
好的呢
小时候看这种完全gat不到哭点
泪目了
凉风又吹的时候想说这生活会不会有点难
《菜油》
不哭不哭
算了，别哭
沧州的哈哈哈
大破防
别哭
一个很强大的对比为什么要笑？
在这里我真的破防了
人间所有的悲剧，在最后释怀的时候终将变成喜剧
有你  真好
小人物很简单悲伤的很简单笑的也很简单
炮弹呢？
请打开麦克风交流
我给您背首诗吧
《他给的实在太多》
bgm是什么
嘿 看人真准
在成都上学的姜春云新疆人    愿你幸福  别委屈了自己 
确实
看人真准~
哭的不行了
好像要音频
中国往事
《粑粑麻麻》
《粑粑麻麻》
祥子，想你了
看着看着就哭了
谢大帅比   右下角牌子
毛毛一开始唱这首歌我就非常喜欢
生活很难，但是要好好活
笑着笑着就流泪了
鲜明的对比
BGM越来越行了。
LKL对不起
狗子飞来一脚
毛不易的
他给的太多了
我也是超喜欢！！！
毛不易呓语
哈哈
针不戳
针不戳
针不戳我
洛阳老君山清雪
辛苦了
沧州话
有钱能使磨推鬼
我为啥子哭了T﹏T
静海的？
每天一遍
也不省粮食
人类的悲欢并不相通
当年荷西和三毛用一把香菜当花，现在呢
卖姑娘呢？
浑身都是油啊
对不对要你说？你谁啊？管真多 
我们都终将离开这个世界，我只希望我是哭着来到这个世界，笑着离开！
好想独自坐在农村房子的门口，听雨
可是我现在依然不太会转弯，就算不开灯的房间真的有些暗
确实
老爷爷吃饭的家伙
三tai 生了吗？你就在这哭？
不会是拐卖吧，跑了
哈哈哈哈哈哈
太多了
看到数钱那个绷不住了
哈哈哈哈哈哈
谁说人间不值得
我刚坐上去学校的火车啊啊啊啊啊啊啊啊，呜呜呜
吃方便面我破防了
伴娘等不到，终究还是等来了唢呐
这是天津津南的口音
你就是领导
鲨鱼别哭
毛不易就直接说毛不易吧
老大爷：我炮呢？？？
这次一定会这次一定
哪有什么老人，大爷开口就想说年轻人的浪漫啊
《变色龙》
沧州话
这首歌无论什么视频都想哭
确实
大家都要活的开开心心阿
“人间”
石家庄长安公园
怎么没人说前面新娘骑自行车有没有意思 到数钱了就说结这婚有啥意思 双标狗们
哈哈哈
贵在自知
我有个同学叫这个名字
这个场景真杀我
最后这男的眼泪和笑电到我了
到沈阳大街了
BGM毛不易-呓语
这小孩哭好像是因为在看电视剧《人世间》
以乐景写哀情
别跟大爷说话，分神骑沟里算谁的
毛毛！！！
刀剑神域了这视频
听到孩子的话上翘的嘴角瞬间放平了
省油（花生油）
今天从四米高摔下来差点没了，真的是福大命大，感谢
呓语
你哪怕七老八十了你也是我妹妹
有人结婚可以骑电动车，有人……
什么人生百态
哭了
呓语
你酒是凌刀
人世间太好看了
高唱我真的好喜欢你呀
世间聚散苦匆匆，一回相见一回老。
天津！！
它妈了个巴子的星巴克
看得出来
越战老山
同样的台词 不同的人 
津南口音吧
它给太多了
非常合适
哈哈哈哈哈，到底谁快乐呢？[doge]​
真好
凭亿近人
我想我外婆了
喜剧的内核是悲剧，可它依旧是喜剧，不是吗？
什么歌
哈哈哈哈哈哈好可爱(ɔˆ ³(ˆ⌣ˆc)爷爷奶奶真好
笑中带泪了属于是
人财两空
过一天少一天
哭了
我明明不懂的，出生就只有爸爸妈妈，再没其他人。可我为什么会流泪…
这里我被刀了
BGM：毛不易《呓语》 超好听！！
确实
我锅呢？！
BGM好好听呀
没办法，他给的太多了
bgm是什么呀
南辞出来玩鸭
呓语，工藤新一版的推荐一下
快跑，大哥看上你了
歌听的绷不住了
他给的实在太多了
好的
那是数下轿钱，真他妈离谱
标题直接三日静寂
既想哭，又想笑
170
辅警就是保安，跟保安公司签的合同
哈哈哈哈哈哈哈哈真好
太贵了
这一放手，就抓不住了，回不到的过去，见不到的人，现在黑暗中抱住自己
星巴克倒闭！！！
绷不住了
这和我这的方言好像好像
呓语
你就是我领导！
70了
270了
星巴克！！！
活着像喜剧 其实是悲剧 你不说我不说罢了
挺可爱的
人的悲欢并不相同
这一幕真好
别哭了 吃饭吧
这不比那一个个快节奏视频看着更真实吗
把泪目打在公屏上
天津奶奶
查话费
生活确实很美好，三千人见证我保研
把泪目打在公屏上
把泪目打在公屏上
把泪目打在公屏上
把泪目打在公屏上
把泪目打在公屏上
把泪目打在公屏上
把泪目打在公屏上
星巴克！
泪目
泪目
妈蛋我哭了
天津津南话
黄发垂髫
这个黑屏，看到自己的脸，因为灯光就在头前面，看着自己的脸
不好笑，老爷子吃饭的家伙什没了
今天看来又要哭了
屏幕反光
考研败了，工作也找不到，可能这就是命吧
我们能有多少个十年啊
这么贵的停车费啊。。
看到这破防了
我面膜裂了
毛不易的歌很配，感觉毛不易素人的生活是给他历练来了
星巴克咋了
老爸我想你了
劳动人民万岁
250
泪目
哈哈哈哈哈破防了
星巴克RNM
这个孩子真的……难受啊
沧州
不知道为什么笑着笑着就哭了
传统艺能
人活着，总要为了点什么吧
雷姆
Bgm
三秒
BGM？？？？
为什么我的眼泪止不住的流呢
谢谢你 bgm
狗子:我做错了什么
哈哈哈嗝
前面的那位，这不是你的错，大人的错不应该困扰到你！我要抱紧你！！！
星巴克涨价啦
为什么看哭了
祝大家都幸福哦！加油！
天津那边的不是纯沧州话
年少有为（狗头）
哈哈哈哈哈
求bgm
真可爱哈哈哈
看这个视频时，
有些伤感
确实
《呓语》
生活啊～
阿姨，实在不行去医院看看吧
我男朋友也是哈哈
秦莉雯，我爱你，即使相隔异地，即使永不相遇
看到这个老人冻成这样真的太心疼了
我为什了哭了
这个视频哭死我了
辛苦了
奥楚蔑洛夫
▄█▀█●
星巴克倒闭！
呵悲沧州
不是拐，是直走了，她去追求自己所为的幸福了
加油加油加油
这个没忍住
你是我妹妹啊
装备消失术
2023深大等我！
哈哈哈哈哈哈哈哈！
我已不知道我为之奋斗生活是否变了模样
听着喜欢的歌，看人生百态
好好活，活得像个人的吧！
不会转弯就去学科目二
真的，我愿意换我无情无欲换各位遇到自己的光
日月蹉跎 小起大落 光阴里有多少景色
人类的悲喜并不相通
•᷄ࡇ•᷅
•᷄ࡇ•᷅
有时笑着笑着就哭了
赵隆姬好好活着，好好的生活和学习
好好活着啊
张心雨爷爱你
大哥别走了
张心雨爷爱你
静海口音吧
沧州
喇叭，唢呐，曲儿小腔儿大。官船来往乱如麻，全仗你抬声价。（doge
有趣的灵魂
不至于，不至于
天津静海的
毛不易考科二的时候写的歌
祝开心
哈哈哈
给的实在太多了
哈哈哈哈真好！！
BGM：呓语
什么歌
BGM：呓语
BGM：呓语
呜呜呜老爷爷
BGM是什么
不知道为啥这bgm好有节奏感适合健身，收藏了
好的！！！！！！
这是经历过多次封城后的饭店里夫妻相拥
真就人类的悲欢并不相通
周宇轩，老子爱你一辈子！！！
超级喜欢毛毛这首歌。
bgm是毛不易，突然感觉大事不妙…是有刀子吗
沧州哈哈哈
呜呜呜
不要再迫害阿米娅辣↑
可笑背后是可悲
来呀，来刀我！
小女孩的妈妈怕不是当年被拐来的，最近新闻看多了应激了
草太熟悉了！老乡
哈哈哈哈
卧槽，粥
我以为是个喜剧的...
快跑啊！快快快
津南的
招财进宝，再见了
新婚快乐
老天津卫
确实 doge
悲喜并不相通
星巴克赶紧关门！！
祝阿姨生日快乐
陌生人加油
呓语—毛不易
我以为mhy就够刀了
不对劲
泪目。
大胆点 你的生活没那么多观众
哈哈哈哈哈
《美国往事》
快跑快跑啊孩子们，后面是刀子！
真好阿
破防
愿世间有爱
哭了
哈哈哈哈哈哈哈哈哈哈哈哈
巨星不愧是你
我也不想，可是他给的太多了！
我有三个爸，那又怎样呢？
】、
遗弃罪
嗯
郑浩你一定要幸福。
syl 这辈子无缘 你要幸福。。。。
你们几个，给我好好爱自己
两千人+？ 凌晨一点半
