终于等到官方的了
晚上好
哇哇哇哇哇哇哇
刚刚！
泪目
刚刚诶
再见了爱酱
看到我你就不是第一个了
好耶
泪目
呜呜呜
嗷呜～～～～～～～
好耶
再见爱酱
晚好！
刚刚！
晚安
好耶
好耶
好耶
泪目
呜呜呜爱酱
嗷呜
哦耶
这时长不对啊
晚上好
晚上好
回温一下！！！
可算是有了
爱酱晚上好
好耶
爱酱~~~我们等着你
我不是第一个了。。。
好耶
再来看多无数次
没有人吗
是终于烤出来了
帅帅帅帅帅死了
有
一定要回来啊爱酱
好前
要来力
空降3:46
全部都给我三连。
有点不敢看啊，看了又要伤心了
太可爱了
晚上好
好耶
爱酱！
！！！！！！！！！！！
开头这个小金人真的好有意思
好耶！
好有气势
爱酱~~~~~
绊此生，爱相随
女王开场 再来亿遍
相信爱酱会回来的
爱酱一定要快乐哦！
这个开场真的非常惊艳
这段曲子真的是很好听
女王！！！！！
再见了！！爱酱！！！
爱酱爱酱爱酱
是真的好听
大制作
要做个好梦啊，在未来等你醒来
爱酱！！！
晚上好
谁快进？
祝え！祝え！祝え！祝え!
再见，然后，早安
好耶
太美了！！！
好可爱
你一直都是最特殊的那个
抱歉，来晚了
都给我说话！！
晚上好
晚上好！
早安！爱酱！
[前方高能]
呜呜呜
敲可爱~
太好玩了
爱酱爱酱爱酱爱酱爱酱爱酱爱酱爱酱爱酱！好好看呜呜
女王大人！
好耶
本 集 神 回
开场真的太棒了
1：27：33
终于出回放了呜呜呜呜呜呜呜呜
晚上好
全体起立！
本体出镜
我滴神
好耶
突然出现！
我是逐帧看的
话说这个人偶（？）头上的晃悠悠也在晃哎
有奥运开场（？）内味
爱酱！
分身（雾）
越看越帅
好耶
爱酱！
女王来了～
这开场太可爱了
好耶
绊爱，绊爱!
生 活 必 需 品
前方高能！
我们一定会再见的！！！
我天
爱酱，我的女王!
爱酱这身打扮惊艳掉下巴
希望爱会如闪电般归来
究极无敌可爱
全体起立！
这里的bgm是什么？
爱酱！
[前方高能]
这个登场帅炸了
一定可以再见面的！
晚上好爱酱
做个好梦
爱酱!
开场超帅
赞~
纪念
人活着就是为了爱酱！
爱酱！
[前方高能]
非常惊艳的开场
祝え！祝え！祝え！祝え!
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
4
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
3
这个开场真的帅！
2
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
哦呀嘶咪，爱酱
fufu爱军团
超大号晃悠悠
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
晃悠悠诶
爱酱赛高！我们一定等你回来！
一键三连
“毕竟我不在特殊了嘛”
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
爱酱！
这不比东京奥运会开幕式帅
晚安 爱酱
早
绊此生，爱相随
おやすみ，永遠のKizuna AI
爱酱呜呜呜
爱酱！！！！！
好帅
爱酱
请各位自觉把弹幕调成粉紫色
当你重回皇位的那一天，我将会再当你的舰长
谁舍得快进
好耶
泪目了兄弟们！！!
好耶
我都不敢跳
女王登场！！！
先三连买门票再看
好耶
等着老爱进化敲苏帕AI
YES
我永远最喜欢爱酱！
你好，爱酱！
好可爱
有点帅
1000+人
好耶~
好耶
早安
\AI/\AI/\AI/\AI/\AI/\AI/\AI/\AI/​
\AI/\AI/\AI/\AI/\AI/\AI/\AI/\AI/​
等你回来
\AI/\AI/\AI/\AI/\AI/\AI/\AI/\AI/​
开场很惊艳，但越这样越难受
帅到炸
我永远相信爱酱会回来的555
太可爱了吧。
儿臣静候始皇凯旋归来之时…
好耶
等你回来
super ai的哇
啊啊，爱酱好美
女王
晃悠悠是本体啊~
爱酱
爱fufu军团登场
爱…酱…
各位好梦
本体显现:晃悠悠之术~
爱酱爱酱
卡哇伊
官方发刀
太好看了
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
别忘了要在下起樱雨的季节醒来
晃悠悠！晃悠悠！晃悠悠！晃悠悠！晃悠悠！晃悠悠！
绊此生，爱相随
开头曲太上头了
嗨多磨
金绊爱
世界第一可爱的爱酱！
我永远喜欢绊爱
好梦，
好梦，我最喜欢的公主殿下
希望我能与重要的ai重逢
这个开场绝了。
我愿称v界最华丽的开场
有人看到了眼泪嘛
好耶
女王降临！
再见
全体起立！
大家都等你回来
神开场！
晃悠悠！
看看我刷到了什么！
\AI/\AI/\AI/
终于等到了！
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\
2000人了
等你
真的太震撼了，女帝登场
1000多人正在观看
竟然有视频
好希望有这个周边喔
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
女王陛下，降临，恭迎女王陛下
此处空屏的 爱酱由我守护
落泪了。。。。
恭迎始皇帝
恭迎始皇帝
恭迎始皇帝
恭迎始皇帝
恭迎女王！
再见
？1000加
好华丽的倒计时
晃悠悠
我在未来等你
I M A X
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
这里的bgm是啥
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
可可爱爱~
爱酱~~~~~
爱酱！！！！
前方传奇开场
哦豁，晃悠悠
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
爱酱！！！(
这个视频我要循环到爱酱醒来
女王陛下
女王登场！
女王登场！！
终于出了
女王登场！！！
开幕非常惊艳
倒数的效果都好帅
想起以前爱酱的直播读条了
我的爱酱~
好可爱
亿仗队
等你回来
The Queen！！！
是官方回放哎！
爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱/\ 爱酱
爱将一定会回来的
爱酱一定会回来的
晚上好啊
爱酱我的爱酱
爱酱啊啊啊。。
晚上好
太美了。
等你回来
fufu爱！
爱酱，等着你回来
女王登场
那个是掉下来的粒子特效
好好休息吧，爱酱
好帅
我在七年后等你
刀
会等爱酱回来的呜呜呜
爱酱！
不愧是始皇帝
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/\爱酱/
等你回来
这开场只能用 震撼 来形容开拓者时代的顶点 Kizuna AI.  ！！！！！！
晃悠悠3-2-1 AI
我一人独奏，随后，啪响万千出。
