好家伙，真就月更
勇敢的心！！！
这场战斗，带走了剩下几乎所有的法兰西男儿……
一战美军并不厉害
说不定真第三次世界大战
谁能想到当初那顶闪耀的帽子居然会在二十年后成为笑话呢？
一个国家打出了一场世界大战的转折点
阿拉伯的劳伦斯
科斯坦丁尼耶（指正）
蒂罗尔
你终于更新了
二五仔
“在我死后，无论如何，切勿削减我西线。”
一战华工在法国
这两年一听到欧美就下意识反感！
使美国参战
ｂｌａｎｋ　ｃｈｅｑｕｅ＝　ｕｎｃｏｎｄｉｔｉｏｎａｌ　ｓｕｐｐｏｒｔ
基洛夫
在一战我看谁敢乳法？！
wwww
欧洲人口控制计划
奥乐宗
掀 起 波 兰
这一段是至暗时刻
这是《至暗时刻》中的片段
不畏惧战争，更热爱和平
战地1，350人进攻没有任何机械化武器，在游戏里也能感受到绞肉机
绿萝的最后了
我们这边的意大利人
芥子气
勇敢的心！
该凌波零
该凌波零
1
帅
1
1
来辽
没人？？？
我居然是第一个看到的！！！！！
看到我你就不是第一了
来得早不如来得早
1
以史为鉴，可以知兴替
新的！
那时的人们都想象不到这将是一场世界大战
素材不够，战地来凑
战地一！
《牢不可破的联盟》
这个系列好！
神tm素材不够，战地本来就是素材，凭啥不能用
！
真的是历史的覆辙啊
噔 噔 咚
先赞后看
愿世界永保和平
一战禁止乳法
齐柏林飞艇
我们不是小男孩！！！
你还有脸更新
战争巨兽
！！！
导火索
用来下饭
行动战役：海丽丝峡
这个片段来自于电视剧《天才》
大公～
一战不辱法
到月底了（doge）
此时此刻
毒气弹完全是惨无人道，吸入毒气的人会痛苦地死去，活着的人也会有终身后遗症
战争巨兽
苏伊士运河赵子龙
《不惧怕任何人》
复刻德奥同盟
不能乳法
行动 石油帝国
1
来了
好  队  友
齐柏林飞艇
传统艺能
恰如彼时彼刻
这个镜头配上文字，真的很有味道，独有的浪漫
战地风云
伟大的法兰西！
名场面。。
勇敢的心
禁止乳法
法国最后的热血
毒气战
一个时代的落幕
好 兄 弟 意 呆 利
毒气
禁止乳法
国策:女王权术
日本？？？
危 德国 危
国策:法兰西的荣耀
终于更了，月更up组
666
别去，他们有凡尔登
传统艺能
国策:闪击战争
此时此刻，彼时彼刻
皇帝会战
一键三连
庞然暗影
巧了最近正好在看有关一战的书
意大利：站队我是真的行
They shall not pass!
国策:东亚共荣
让我翻翻家谱看看是谁关注的你
一战绝不乳法！
今晚八点和我一起来攻沙（doge）
美国下场摘桃子了
11分钟
石油帝国
5000+
加里波利战神  丘胖
好队员
法兰西最后的荣光
法国最后的荣光
几乎是永远不可能实现的计划
唉…我不想要三战……
行动模式：索姆河
后面的自行车真好看
又是你
不愧是你
誓死坚守!（they shall not pass）
铭记历史！
法国的男人在这一战基本死完了
行动:誓死坚守
KR世界分歧点
就算俄罗斯真的把乌克兰从地图上面抹掉美国也不可能和俄罗斯正面冲突
法兰西最后的荣光
行动模式：凡尔登高地
死亡盛宴
瑟曦
BATTLEFIELD 1
以沙皇之名（in the name of Tsar）
公海舰队再不出去要被闷死了
一战把法国男人打光了
绞肉机
喂，华为！
勇敢的心!
英国虽然损失大于德国，但是战略上彻底锁死了公海舰队
老六倒戈
天降齐柏林，输出靠引擎
启示录
一战把很多国家的战争狂热分子的脊梁骨都打断了
它接受了一部分
跨越马恩
毒气战是最灭绝人性的
老美，总有人托我下水
索姆河地狱
瑟曦
一战的俄罗斯到是被打没了
中间省去太多东西了 六月到七月英德交涉过很多次
科技的发展只会提升人类愤怒的阈值，但是不会让其消失
1
当时部队机械化程度不足以支持闪电战的执行和补给
燃起来了！！
反水的意呆利……
一战不乳法
nnd
希望世界和平，myzz
勇敢的心！
达成成就“我掀起波澜～”
我就知道勇敢的心一定会被当素材
现在日本也是，想夺回北方四岛
此时此刻正如彼时彼刻
国策：英日同盟
啊啊啊啊啊
没这个效果
气愤啊！中国人民永远不会忘记那耻辱的一天
世界大战——勇敢的心
来咯
vive la France！！！！
历史上很多人次很多人都觉得战争不会打响 有些事避无可避
氯气
英国quxh
罗 马 共 和 国 执 政 官
国策：伊兹密尔进行曲
英国取得战略胜利，德国取得战术胜利
美术生出现
微微弗朗士
此时，某个小胡子在战场上传令
国策：誓死坚守
美国早就偏向英国了
法国的男人死光了
凡尔登的雄狮
玩家德法英下场
这短短的一句话，是多少人是生命和鲜血
“索姆河地狱”
战地
昭 昭 天 命
国策：不列颠统治大洋
南丁格尔？
红帽子是法军啊，怎么就黑俄国了
沙皇之策
国策：为了沙皇
大公，车准备好了
哪有这么多相似？一战有互相毁灭的保证？不要学到个词就乱用好吧
阿拉伯的劳伦斯
前面的，沙俄不需要黑，还有那游戏里面说的是法军
摸你穷！
一战的法国挺猛的
红男爵
别坐敞篷跑车
在德国踢球的莱万点了个赞 
一月更一集
向华工致敬！
德国开始使用毒气
《站在一起》
国策：天空巨兽
唉，民众惨，高层没几个伤亡的
国策：趁火打劫
齐柏林飞艇！
法国最后一代硬骨头啊
双子星
终于等到了
登陆战奇才
《试图闪击》
“大哥我会打仗”
空白支票会不会好点
