宁愿一生孤独，不愿随波逐流
我泪目了
非常不错的
电影好经典
破解enigma
全是神作
美丽心灵
辛德勒的名单
这个杀手不太冷
图灵
因为结尾
当幸福来敲门
美丽心灵
肖申克的救贖
楚门的世界
楚门的世界
無法觸碰
海上钢琴师
阿甘正传
死亡诗社
泰坦尼克号
美丽人生
这个杀手不太冷
触不可及
楚门的世界
美丽心灵
心灵捕手
死亡诗社
落叶归根
这个杀手
这个女的好像星爷007里那个女的
辛德勒的名单
这个杀手不太冷
乐乐乐
美丽人生
1900！
死亡诗设
泰坦尼克号，永远的小李子
金凯瑞
1900
辛德勒的名单
这个手刹不太灵
名单以内是生存，名单以外是深渊。
辛德勒的名单
辛德勒的名单
这是辛德勒的名单
闻香识女人！
我看没有人评论这个电影名字，这是《放牛娃的春天》，很治愈的一部片子
死亡诗社
海上
辛德勒的名单
无敌的剧本
这段太绝望了……真的
舞出我天地，特别好看，特别特别好看
美丽心灵
洛基
当幸福来敲门
辛德勒的名单
美丽人生
杀手里昂
落叶归根，好片
美丽人生，不敢看第二遍的电影
掌声送给社会人
这句话是当幸福来敲门里克里斯对儿子说的
白日梦想家，超级好看
钢琴家太好看了
白日梦想家
很好看的
白日梦想家?
1900
白日梦
杀手！
楚门！
《洛奇》
《美丽人生》
生活总这么艰难出自这个杀手不太冷
白日梦想家
楚门的世界
泰坦尼克号！
我记得当时这段我看哭了
闻香识女人！
楚门
《当幸福来敲门》
钢琴家
if i can't see you
《泰坦尼克号》
美丽人生
《这个杀手不太冷》，《里昂》
这个小女孩长大了可是影后哦
无法触碰，看了不下三十遍的电影
楚门的世界
白日梦想家
见封进
这一段太感人了
海上钢琴师
肖申克的救赎
美丽心灵
心灵捕手
死亡诗社
白日梦想家
触不可及法版
当幸福来敲门
闻香识女人
死亡诗社
美丽人生！
当幸福来敲门
闻香识女人
泰坦尼克号
楚门的世界
1900
        •
闻香识女人！
海上钢琴师！！！！！！！！！！！我永远的爱！！
1900
钢琴家
白日梦想家
我赌有教父
唱诗班的春天
当幸福来敲门
战地琴人
这是当幸福来敲门的台词
落叶归根
《死亡诗社》
钢琴家
《这个杀手不太冷》
楚门的世界
海上钢琴师
阿甘正传
肖申克的救赎
台词是杀手
落叶归根啊
真正意义上得伟大
死亡诗社
不是这个调儿
白日梦想家
死亡诗社
good afternoon，good evening，and good night
闻香识女人
电影很好看，虾是真的不好吃
还不如王婆大虾呢
死亡诗社
艺术   缴税  利率
辛德勒的名单
有音乐就能满足，很幸福了
楚门的世界
电影即人生
白日梦想家
闻香识女人
简介里有，BGM忆夏思乡
帕西诺！
触不可及！我心里的NO.1
1900
白日梦想家
in case don't see you
最爱
《钢琴家》
起立
《触不可及》
娜塔莉波特曼
我好喜欢楚门的世界
最爱的电影  海上钢琴师
本尼没脸
若不再相见 就祝君早安 午安 加晚安～
当幸福来敲门
楚门的世界
经典中的经典
白日梦想家
全体起立全体起立全体起立
BGM：忆夏思乡
为何我会哭
啊啊啊甘
对一个人最深沉的爱，莫过于活成了他的样子
后面好像还有一句话，任何人都不能否定你，哪怕是我也不行
卢卡尚格莱特
图灵!!!
大船永远的经典
鲁大师跑分
洛奇3
这个确实是好电影
我至今还不敢看 辛德勒的名单
海上钢琴师
死亡诗社
阿甘！
这一幕也是绝了
她在船舱里安静的走了，时光回流，泰坦尼克又回到了最初的样子
楚门的世界
Rose去世了，梦回泰坦尼克。Pass：这里都是在沉船中死去的人
钢琴家
词：《当幸福来敲门》，视频不是
放牛娃的春天真的很不错
《当幸福来敲门》
captain，my captain
里程碑式的镜头
闻香识女人
惊现喜乐宗
美丽人生
乐
我的救赎《洛奇》，there is no tomorrow。
1900
白日梦想家
卢卡.尚格莱特
辛德勒的名单
尚格莱特哈哈哈哈哈哈哈哈一秒串戏
马修!!
应该是本山大叔
leon
辛特勒的名单
肖申克
死亡诗社!
这里是要被枪毙了吗？
海上钢琴师！！！疯狂打call
死亡诗社
当幸福来敲门给我看哭了
卢卡尚格莱特的别跑，阿斗给你扔鸡爪
美丽心灵！
my captain！
这个杀手不太冷？！
触不可及牛壁
钢琴家
美丽心灵
你币有了
辛德勒的名单
肖申克的救赎
有些事需要天赋我觉得我做不到
前面那个鲁大师的，笑死我了
死亡诗社
美乐宗
楚门
1900
我爆哭
肖申克的救赎
死亡诗社
钢琴家
泰坦尼克号！！！
美丽人生！！！
那是一个明眸善睐的姑娘
唉，这个镜头之前泪目了啊
博士
《你丫闭嘴》也不错
辛德勒的名单
见封进
海上钢琴师真的是我觉得非常不错的一部文艺片
1900！
白日梦想家
辛德勒的名单
泰坦尼克号
美丽人生
白日梦想家！
闻香识女人
楚门的世界
全体起立
放牛娃的春天
楚门的世界
楚门的笑容
o captain my captain
我和这株植物一样，没有根
乐
白日梦想家
罗伯托贝尼尼
1900
美丽人生！
这个杀手不太冷
阿甘
阿甘
楚门的世界
美乐宗瞩目
captain my captain！
白日梦想家
？
这是一个伟大的音乐老师
触不可及
这个电影看完我甚至不想再看电影了
肖申克的救赎！！！
长大了演的V字仇杀队的女主
世界名画
死亡诗社！
辛德勒名单
海上的城市应有尽有，却唯独没有尽头。
台词是这个杀手不太冷
当幸福来敲门！
钢琴家！
《阿甘正传》
这个杀手不太冷！
白日梦想家
白日梦想家
肖申克的救赎
楚门的世界！
美丽人生
落叶归根
人生不像探戈，无所谓错步——《闻香识女人》
鲁大师笑死我了
这个杀手不太冷！！
落叶归根，本山大叔的公路片，个人认为最佳
楚门的世界
钢琴家！非常有人文美的战争片，废墟里弹琴那一段真的心灵震颤！
金凯瑞的高光时刻
辛德勒的名单
白日梦想家
楚门
辛德勒的名单
这段话好像是当幸福来敲门里的
初中期末考完在班里一起看的肖申克 这辈子忘不了
白日梦想家
美丽人生
当幸福来敲门
都是很喜欢电影的片段
楚门！！！！！！！
白日梦想家
肖申克的救赎最后挚友二人相拥，远处天海相接，豁然开朗
白日梦想家，真的真的 很好
rockyyyyyy
海上钢琴师真的好看
台词是当幸福来敲门
当幸福来敲门
金凯瑞YYDS！
海上钢琴师
美丽心灵
破防了
白日梦想家
当幸福来敲门
这一段当时哭了
泰坦尼克
触不可及
白日梦想家
死亡诗社!
白日梦想家
《模拟游戏》
Good Will Hunting
美丽人生
金凯瑞
白日梦想家
啊啊啊啊啊啊！ captain！my captain！
楚门！！
O Captain! My Captain!
摸求不到
美丽人生
太过分了，一个大喜，一个大悲
白日梦想家！！超级好看啊啊啊
如果再也见不到你
祝你早安，午安，晚安
阿甘正传
肖申克的救赎
心灵捕手
钢琴家！！！
泰坦尼克号
这个杀手不太冷
触不可及
楚门的世界
帮个忙？
这个音乐好好听好有感觉！
bgm？
闻香识女人
为白日梦想家奉上今年第一条弹幕
应该放原声的
美丽人生真的哭晕
伟大的爸爸！
辛德勒的名单
楚门的世界
美丽人生！
闻香识女人
肖申克的救赎！！
我的船长
简介里有，BGM忆夏思乡
泰坦尼克号！！
放牛娃的春天！！！
心灵捕手
阿甘正传
海上钢琴师！
闻香识女人
楚门的世界
1900
《美丽人生》
《阿甘正传》
里昂
欢迎回来
闻香识女人
楚门的世界
楚门的世界
小时候看的不太懂，年龄大了再看就哭了
《这个杀手不太冷》
楚门的世界
那我祝你每天早安，午安和晚安
楚门
好耶海上钢琴师
！
《富川山居图》《太空堡垒》申请出战！
马修老师在星期六接走了佩皮诺
推荐的经典
↓乐
纳什
辛德勒名单
落叶归根
美丽人生
全看过
Captain my Captain
为啥不用电影里的音乐
这段话选自《当幸福来敲门》
3000
里昂！
肖申克！！！！！
死亡诗社
洛奇4！！！
楚门的世界
白日梦想家
钢琴家
“3+8=38”
可惜了一部国产都没有
战争将房子和生活彻底摧毁了
楚门的世界
死亡诗社
