nb不看歌词都能听的懂，消防员做什么都做到最好唉！
同款电话
百万填词
有
nb（破音）
我被喷拉！
你们也注意安全
棒诶
帅~
好酷
爱了，哈哈
不用耍帅，你们本来就超帅！
好活儿，为消防人员点赞！
画个圈圈诅咒你。哟哟~
第一个
致敬
真就是赴汤蹈火
可爱(๑• . •๑)
刷啊！
这个视频做的真的很棒！
好听好听
四川的，哈哈，赞一个
支持消帮，疯狂打call
帅气
帅！！！！
十分上头，也很好记
牛逼
感谢国家国富民安，消防们都有时间玩文艺了
可可爱爱
记住啦！
棒棒哒！
最可爱的人(๑• . •๑)
帅
好帅 
消费员辛苦啦！
人民子弟兵帅
真帅！！！
帅!!!
别说，唱的真挺好
蓝朋友啊啊啊
有点想哭，愿每一个消防员都可以平安
你币有了
好的，晚安
达州
好帅
棒棒哒
火钳刘明。
好听
这才是最酷的
希望你们每次出警都能平安顺利
达州来了！
支援
帅啊
打call打call大call!
行行行，我承认你们最帅还不行吗
来了，老弟
有心了
太有心了！
我愿称之为天下第一绝世好活！！
啊啊啊啊！帅啊啊啊！！！
6666666
66666666
帅
川团子呢
肖邦？
英雄！！！！！
币了
帅
wow辛苦了
6666666
目测要火，填词牛批
奈何本人没文化，一句卧槽走天下
这个长镜还挺可的
好帅啊
好活
hhhhhhhhhhh
帅的一批
致敬！
敬礼！
真帅呀，好帅好帅好帅好帅好帅好帅好帅
帅
谢谢你们
听了突然好安心
好帅
重庆口音
肖邦：？？？？？？
帅哥哥
厉害了
必须三连
火钳留名
帅
达州？
细节  有人接班
致敬
帅
牛逼！
帅
卧槽，我们达州啊
优秀啊
卧槽好帅
太酷了
比原曲好听太多了
哇啊啊啊！！超棒！！
安排！
牛逼！！！！！！！！
酷
蓝朋友啊啊啊
好厉害呀，哈哈哈哈哈
帅
达州报道！！
为消防员疯狂打call
帅啊
66666666
！好帅
火场一定要注意安全呀   保护好自己
啊啊啊啊啊
帅帅帅
疯狂踩点
好酷的哥哥们！
还不错啊
平安
火焰蓝牛批！！
  帅
达州加一
nbnbnbnb
帅！！
尬的那个可以滚出去
致敬
好帅！！！！
致敬 谢谢你们了
谢谢你们
达州人民前来报到
转场牛皮
原你们平安
这段教育力度很强啊
感谢你们！
6666666
致敬
四川
这里虽然很严肃，但我笑喷了
得行
很秀
OHHHHHHHHHH
真爷们儿
留着口水  进来了
怎么看！
谢谢英雄们
还来？再打电话我要报警了！
棒棒棒
好
哈哈哈哈
达州人报道
我们山东的团团！
百万填词
这词填的可以啊
又帅又可爱
这种事我希望不要发生
肖邦:我还会说唱？
我都不知道消防员军装是蓝色的
帅
好厉害
临床听到片头电话焦虑了。
请收下我的膝盖
帅气
达州人报道
你怎么喷人呢
66666
厉害厉害厉害
注意安全
感谢你们的付出
帅气
帅呆了
达州NB
！！！！！！！！
帅
两分钟，我要这个男人的全部信息
爱啦爱啦，消防员太帅了！
帅
帅气！
帅！！！
妈耶，被帅到
整挺好
蒸滴好
辛苦你们啦
厉害厉害！
整得好
愿平安
帅
啊啊啊啊啊啊好帅我可以！
看我扎不扎
牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批牛批
强势点赞，又有创意又有用
达州的哈哈哈
太帅了，致敬。
好可爱呀！
被可爱到了
整挺好啊
真棒！
牛逼，帅
我们五线城市也有除了暴雨被淹之外一次文化输出的机会？？？
强强强
我咋想的，点进来比没了...
棒棒哒
哪有什么岁月静好，因是有人替你负重前行
达州来了哈哈哈哈哈
哭了哭了
哭了哭了
整挺好
愣着啊，三连干嘛？
太棒了………
达州人报道，三连了。。。
可爱帅气！
谢谢你们！
帅气，一键三连
好可爱的人儿
填词6666
有创意
这才是有意义的歌曲
确认西外文理学院隔壁~我毕业时旁边那一片还在大兴土木来着
敲可爱了
你们也注意安全
安排
帅！！！帅！！
爱了爱了
消防叔叔你干嘛滋我2333333
帅帅帅！
66666
走起
太棒了！
真的百万填词
辛苦了
帅的不知道讲什么了
系诶谢你们
整的好
你们都是英雄！
帅
赞赞赞
厉害
优秀
我爱了
我爱了
哈哈哈哈哈哈哈哈你们是认真的吗前面的“你呲我”
辛苦了(≧∇≦)/
来来来
爱了爱了
可以可以
帅
啊6666
满满的正能量
好帅
哇！
谢谢谢谢
整挺好
可爱
打call
整的好
太帅了！！！！
敬礼
优秀
打call
厉害厉害
厉害厉害
很用心的视频呀~
这个唱功了得
整的好整的好
爱了爱了
我的蓝朋友
好棒
优秀
百万填词
可以可以
好，满足你
感恩
官方鬼畜
帅！！
？？？？？？？？？
？？？？？？？
帅啊
帅帅帅
6666666
达州人打call
不知道为啥想哭
整挺好
我可以！！！
666
加油
转场厉害！
 太可爱啦(๑• . •๑)
厉害厉害
达州人来了
超级棒的啊
马虎你就危险啦
酷帅
又酷又帅。
道路千万条 安全第一条 消防不规范 亲人两行泪
达州人民来辽！
