新宝岛第一
好怪，再看一遍
真的帅
从衣服上的汗迹能看出来练得很辛苦
牛蛙
优雅，太优雅了！！
帅
MJ！！！
恭迎舞王
迈克尔杰克逊：你最好有事
没有弹幕？
别乱刷梗哦
有那味了
好帅的说
真有范儿啊
NB
帅到我了！
帅帅帅
哈哈哈哈
超猛的
新宝岛
众神归位
背带裤？！
厉害
左1好帅
NB！
舞步组合得很好。
nb
牛批
爷青回
这个必须投币了！
朽了已经
帅啊
我投了！
币没了……
跳的太好啦啊啊啊啊啊
太cool了我的偶像
。。。废了
黄磊版
跳的是真不赖
beat it～币嘞？
帅
cool！
66666
擦
太帅了
被逼的
帅
咋是smooth criminal的衣服啊
。。。吃饭，理解一下吧
我的眼睛
众神归位
这么短
这个妆也很用心了
动作蛮有力道且利落 
众神归位
稳定发挥！
哈哈哈哈哈哈哈还是想笑
哈哈哈哈哈哈哈广告
全是经典动作
真的跳得很不错
笑死我了
黄磊老师
舒服
怎么和之前非洲那个那么像
哈哈
我的眼睛
他甚至画了修容
还我三连！哭！
好帅
啊 啊啊啊~太帅了~
黄磊老师
这是好几首舞步融合在一起了哈哈哈哈
有那味了
铁山靠
好怪，再看一遍
滑四比这还矮
资深玩家警告：千万别玩，强制社交
20年的迈克尔粉表示，真的不错啊
有点帅
火钳刘明
投币两元
帅！
恭迎舞王
太帅了
红红火火恍恍惚惚或或
啊啊啊啊
啊啊啊啊啊
厉害啊
币嘞  币嘞~
哈哈哈哈哈哈
运镜满分
帅！
很有精神
众神归位
？
妥妥的流行之王！
厉害了
帅滴捏
淦
帅的
呵呵呵
众神归位
酱紫帅
好厉害啊！
来不及了
爷青回
我的眼睛
红红火火恍恍惚惚或或
好怪，再看一遍
帅死了
好怪，再看一遍
哪里口音啊？
本来想投币的。。。告辞
很棒
硬核广告哈哈哈
好怪，再看一遍
帅
tony贾老师是吧
众神归位
激动了！
铁山靠（幻视
画风突变
哈哈哈哈哈
卧槽好强
真的帅啊
嘬嘴好评
图穷匕首见
币没了
是不是瘦了
黄磊老师
好好好
草怪帅的
斧头帮既视感
哈哈哈哈，这吨位需要人扶
终于找了个好的音乐了，棒棒哒
智慧的眼神
我以为我眼花了
有内味了
牛逼
捏麻麻地，好帅哦
卧槽，真的帅
一模一样啊
专业
曲对币有
没有闪
恭迎舞王
来个倒放就完美了
帅帅的
杰哥逊
迈克杰克逊（当时周润发版）
鸟笼山
黄磊老师
蚌埠住了
表情管理法师
快跑
没敲玻璃那个好
凉了
不开两枪我是不认的
草 有点帅
很帅啊
帅
我的眼睛
没有手机
没有手机
直呼牛逼
帅的
币不能退吗？
Billie Jean
太帅了这舞蹈
Beat it
卧槽广告
好酷啊
好帅
可以啊！
不得不说，是真的帅
网易花钱了啊
明示投币
操
帅帅帅
帅啊啊啊
(⊙o⊙)哇哦！
握草。真的帅
你们太短了！
从小就天天向上好好学习
power
黄磊老师
恭迎舞王
莱 欧 骑 兵
迈扣！
这是简单动作
舞空步呢
众神归位
真的好像花山啊哈哈哈哈哈哈
我们全部都是
恭迎舞王
帅
《斧 头 帮》
这个广告煞风景啊
帅的呀！
卧槽，真的有一点感觉
其实我觉得跳挺好的
有那味
帅呀
这是我最近看到的最直接的广告
好棒，好棒！
正常了
哈哈哈
哈哈哈哈哈哈
关晓彤
厉害啊
我新买的车啊
黄磊封神
黄磊老师
妈呀
牛逼就完了
开屏雷击
好厉害！
不够看啊
洪金宝是你吗
哈哈哈哈哈哈好强
可以啊
挺好 但就是感觉少了点甩的力度 有点不够干脆
恭迎舞王
我才不信你们能做45度角！
我的眼睛
动作是整齐，少了些力量感
不朽？早就朽了！
?????
帅啊
擦居然是广告 我投币了呢哼唧
有内味了
花山熏
哈哈哈哈哈哈
穿的太正经了不习惯
好帅
帅
帅！
背着家人们剪头发了
帕哇！！！！
玛德 是广告
是不是放错歌了？
最近不朽广告太多了
？
好帅啊
絕
厉害
卧槽
跳的真好！
太帅了
还原！
牛逼牛逼
众神归位
？
噗这个广告真硬
不朽配不上这歌这舞！！！！
很有力量感啊
有内味儿了
不讲武德，偷袭
焯！
咗嘴吸脸小是吧
口碑已经烂了不朽
众神归位
跳的真好，好有感觉我的天
开屏雷击
别玩这游戏
强的一比
好有劲
太帅了！
双厨狂喜
斧头帮！
跳的不错
真的厉害！！！
有点东西啊
哈哈哈哈
哈哈哈哈
退币
我的眼睛
不错
别有一番味道
我觉得跳真好
新买的车啊
标准
德..德普？
。。。。。。。。。。。
但这是smooth criminal的衣服啊哈哈哈
23333
背带裤
帅
we are the world~
超专业
真不错
终于对迈克杰克逊发起进攻了
众神归位
秒杀内娱是可以说的吗
帅的一批
帅的帅的
他们跳得真好
请收下我的膝盖
好帅
我要这硬币有何用？
暗黑不举
花山薰
众神归位
好怪，再看一遍
好怪，再看一遍
2000个猛男
跳的真好
暗黑  草
帅
卧槽
啊这
放错歌了
恭迎舞王
没有苹果13
噗
有那味儿了
帅啊
好多汗！
