希望每个人都可以被理解
所以呢，什么才是人生的意义？
他生前只卖出过一幅画《红色的葡萄园》
朋友，为什么人生一定要有明确的意义呢？
梵高吗？
他一生苦难，却为画痴狂
"只要活着的人还活着,死去的人就不会死去"
看哭了
一定要看到02:12，那里才是点睛之笔
也许，人生本来就没有意义
活着就本身就是件有意义的事！
幸运的是，他有一个愿意无条件支持他画画的弟弟
请问，我的画卖出去了吗？
是的，文森特·梵高
终有一天，你会明白，再强大的人也会被生活击垮
台词很美，画也很美
。
不但点赞，还有2个币，谢谢up的创作
世界以痛吻我，我却报以为歌
我梦见了梦，画下来梦
我梦见了画，也画出了梦
kksk
啊，别那么说
文森特拿起来双斧
他更希望世人叫他文森特先生
至爱梵高
不忍心用弹幕破坏美好
一位伟大的人
这标题好伤感啊
从现实画到梦境
kksk
还以为是starry night
当时看这个电影哭得不行
致敬梵高，至爱梵高！！！
不常投币的我毫不犹豫的按下了按钮
真的，催泪呜呜呜呜
不需要众人评价，伟大与否无足轻重
一个很残忍的事实只要有些人离我们而去他的作品就会变得“更有价值”
至爱·梵高
蒋勋说梵高是伟大的，还专门出过一本赏析他作品的书。
希望梵高先生能在另一个世界遇到属于自己的向日葵花园
活着的意义在于我们要去寻找这种意义
紧缺稀罕才有作为标的投资价值
每次面对美食，我都告诫自己：吃多了会死。但事实证明，我真的不怕死
人间太苦不如不来
火钳刘明
一喂顺风车
鸡皮疙瘩起来了
为什么泪流满面
28岁才开始画画？
错的不是文森特 而是他出生的那个时代和世界！！！
那是爱吗，那是炒
天才与疯子仅有一步之隔
值！！！！！
好心疼这里 真的为他哭泣到颤抖和灵魂深处的无奈
人类不感谢罗辑
这都是画吗
好美
他的画都好亮堂，金光闪闪
背景音乐有点大
世界欠他。我更习惯称这种现象为“笑话”
难受
给这位艺术家致敬
666
提示：悲剧是用来反思的，不是用来欣赏的
我生活在这个城市我容易吗
没获得认可，还一直坚持下去！他是真的热爱
弹幕这么安静，老是给爷推这种悲情共鸣的东西
泪目了
我死了也没人爱
油画
追求自己的梦想为什么不值呢？难道要放弃梦想？变成一句傀儡吗？啊！
简直就是个悲剧
如果星空对生命来说遥不可及，那就由灵魂去探寻吧
已经开始哭了
怎么刚刚那个人有点像迪加里的新城
梵高:我梦见了画，然后画下了梦。
错
父母是支持的
好多画啊
他是天才
世人爱你太晚
世人爱你太晚
右下角。。。嘣
世人笑我疯癫
世人笑我疯癫
支持他的弟弟在他死后不久也去世了
泪目
世人都笑我疯癫，不，先生，世人爱你太晚
晚安 文森特
我们没有资格说值或者不值，因为我们不是梵高
真的推荐看这部
艺术是用来欣赏的
泪目
值得尊重的人
所以躺平不与生活为敌？
我就惨了死了也没人爱我
您就是最美的星月夜梵高先生
这是提奥弟弟最伟大的投资！
“难道他穿越了五个多世纪看到了二维化的太阳系和星空，所以绝望而自杀的吗”
墨茶国庆快乐
天才永不坠落
全体起立
星空！
VanGogh Is Gone
人类不容许有异类，更不容许出现异类！即使他是天才…
这两兄弟真是太好哭了
梵高不属于历史，他属于人类。
他唯一卖过的那幅还是低价卖给了亲戚
VanGogh Is Gone.
空有一身才华，无人欣赏，那个时代没有属于他的伯乐
海明威也是个硬汉，但是他也自杀了。
感触颇深
原电影巨好看！！！
不值...梵高死后他的弟弟也死了，一个家庭被毁了，我宁愿不要天赋也只想要安稳的和家人在一起...
封建家人反对画画，说没前途，哎
good night
不是值不值，只是成为艺术家，似乎，似乎，没别的了
你走得太快，时代还没有跟上你的步伐
南村群童欺我老无力，忍能对面为盗贼
不禁想起金政基老师
过分
人得跟着时代走在达芬奇那个时代他的思想太超前哎太难了。
文森特走喽
至爱梵高
除了配乐不行，一切都很棒
真的会哭
麦田里的丝柏树！！！
是 崩溃，再奔我就要崩溃了
双相毁我青春
不要问人生的意义，会陷入虚无主义
你可以选择普普通通的生活，世界上有无数个普通家庭，但却只有一个梵高
你生错了时代，梵高先生
死亡也是的一种解脱
啊啊啊啊，我们美术课的时候老师给放的
肉体在颤抖 来自灵魂的诉述 赞美和夸奖已经无法将他的传奇描述出来 这是来自灵魂的时光
斯特里克兰德
徐菡到此一游！！！！！！
谢谢
挚爱梵高
会的
文森特·威廉·梵高
苦涩而瘦弱的潜伏于月光的泪水里。
为了报复那黑暗中的不公，为了不辜负在黑夜里的呐喊！
我要劈开世人沉沦的冰山，让艺术如激流勇进般前进
我将超越这庸俗的天空，到达世界的宇宙。
燃火尧吧！我的朋友，我们将如飞蛾扑火般寻找真理
但我们忠诚的灰烬会点燃新的火星
我承认世界皆是虚妄，但我要拥抱真实。
我是众星点燃的火星，炙热的爱着这深沉的大地
我是无尽的希望所呈现的奇迹，不得不忠诚于这星辰大海。
祝你好运
他们不是爱你，而是想炒作自己的眼光，死人比较好操控
他永远是世纪百年之后的天才
活着的时候一文不值，死了却价值连城！好讽刺啊。
这电影是我们心理老师放给我们看的
不，明日的星已经落下了，他给我们留下整个星空
我出梵高
应经开始哭了谢谢
我们生来就是孤独，我们生来就是孤单
崩溃
世界遗忘我
现在画师很贵的
哦，要进画里了
愿你在另一个世界，仰望星空，拥抱花田。
爱了，没什么是不朽的，包括艺术本身！
文斯特先生 您就是艺术与浪漫本身
自由高贵的灵魂
Dio（不是）
致敬梵高
会的
美术老师放的
他沿着这条灰暗的路走了几百年，终于看到了亮光
三连了，不为别的，只因我是学画的
会的
