你能通过纹身就判断他是坏人吗！！！！
花Q
高产
孤勇者说的
致敬
耶，第一次这么早
也就是说我是第一条弹幕
漠叔终于像个好人了
谁说好人就不能纹身？
致敬
向缉毒警察致敬
漠叔好棒
电视？
太拼了
我记得莫叔直播说个这个人的故事
生产队的牛也没你勤快
承包一下榜一？
致敬
致敬！
好诶！
漠叔 不走行不行
漠子，干净的，更新
空屏 是我的！
泪目了
期待期待
漠导
手工耿
好真实啊。
我也想试试
沐妈？
漠叔
花Q
1
要是有小叶就好了~
高产
中华之剑，江山有幸
双厨狂喜
经典
琼系军阀
完了，爱上这个男人了咋办
刚刚
陈奕迅说的
11：50 安静听完，开头见
漠叔这演技真是哭惨了
wcccc！
晚安
不知道为啥，有点儿出戏
他好会演哦
致敬
漠叔，加油！
行于黑暗，侍奉光明
致敬缉毒英雄
11：50 安静听完，开头又见！
是的 又吸了
好家伙，联袂出演啊
海南军阀的形象实在已经深入我心了
我就说吸毒那个像赵老四
他一直都是好人
禁毒的纹身不是为了伪装打入内部吗，不就证明了纹身≈坏蛋
高产
哈哈哈
架火架火
致敬英雄
投币，致敬
本来就好
这是奔着奥斯卡来的？
给自己安排感情戏了
修狗
这个标题 我就不玩梗了
漠叔
这么高产了吗
致敬
致敬为了我们站在黑暗中的英雄
我
梦幻联动
这是漠导电影的主题曲
泪目
最近更新这么频繁吗
漠叔
陈奕迅问的
我是你粉丝啊
好家伙，这么高产有点不习惯
缉毒英雄
八分钟前
泪目
大咖云集
泪忍不住
还是热乎的
生产队的驴也没更新这么快
生产队的驴都不敢这么更！
他们在黑暗与光明之间 阻挡着人们陷入黑暗  防守着黑暗侵入光明
漠叔三十多这是演的一个老父亲吗？
Eason啦
还热乎 赶紧三连
突然看到感动的地方突然搞笑起来
他真的，我哭死
这是漠嫂？
嫂子！！！
这妹妹好好看
谭sir！！！
有老婆了？
无情铁（扳）手
泪目
献给他的警察生涯
来的巧
致敬
梦幻联动
11.54
破防了
不走，不走你养我啊
谭谈交通
塔寨派出所
谭sir？
致敬英雄！
陈奕迅。。。
双厨？是三厨狂喜
致敬
就这一段币须有
张浩肯定又是反派
所以你凭什么原谅那些吸毒的明星
漠叔 不走行不行
大漠叔叔无敌
我去，三厨狂喜
生产队的小漠
握草，这剧情
三重惊喜
不少UP去参演阿
韩
他真的 我哭死
7000个人在观看
还有感情戏吗
致敬
这里爆哭T﹏T
这美女姐姐是谁呀
英雄无名，永世长存
主演是我们最爱的漠叔
期待上线
你能通过他身上没有纹身，就判断他不是坏人吗？
全明星阵容啊！谭sir！
小漠演的不错
好期待这部剧
泪目，，，，，
年纪大了眼窝子浅，莫叔别这样
谢谢这些守护我们平安幸福的人们
投币投币
眼神里透露着无奈与愤怒
手工耿
致敬人民英雄！
很好奇，漠叔到底还是不是警察啊
这演技碾压小鲜肉
全明星阵容
吓死了 以为是晚安沫叔
四厨狂喜
爱死
致敬缉毒警！
谭sir泥好
沐哥？
看哭了
琼系军阀
董——叔——
演员一个比一个熟
没有偶像包袱变成高产
漠叔离开了
卧槽 含
看完点赞
致敬所有的英雄
！！！
人民英雄永垂不朽！
琼系军阀
伟大而又平凡的职业与人民
三连
沐哥
这次币给了，不白嫖
是金士杰吗
致敬！
所以电影在哪里上映？
漠叔！
温馨提示：这集不适合刷梗
合着电影里找对象了
致敬
确实
必须投币
演技上来了
致敬缉毒警察
严肃话题，请少玩梗
致敬人民英雄！敬礼！
算大制作了
"wc , 下雨场景我哭了"
泪目
多厨狂喜
此致 敬礼
你不会真的有老婆吧
此致 敬礼
高产
我滴妈啊  一天一更  
琼系军阀
致敬缉毒英雄
沐歌！！！！！！
致敬
致敬！！
陈奕迅说的
高产了
赶到漠叔前十分钟，身为漠叔一样的藏青蓝向这些人致敬
沐歌！
进沙子了
单身狗哈哈
心疼大漠哥哥~
致敬英雄
这雨就是心里的泪
感人
8000军阀正在观看
我二龙湖浩哥呢
漠叔和谭sir啊
漠叔，刑部尚书
陈奕迅:勿cue
这期请大家不要玩梗
8000+
这个视频比较严肃，请适当玩梗
漠叔牛逼
必须三连
我是卧底
致敬每一位缉毒警！
谢谢你们!
哇塞，真的是有电视剧啊
真找四平去玩了呀
致敬缉毒英雄
董大美！！！！！！！
漠叔加油
董叔
8000
眼里进刀子，还好睫毛膏防水
高产
你们是英雄 我说的
致敬
老漠赶紧找个老婆呀
80伯人
桑涛
期待《非常警事》！！
漠叔
漠叔这么高产
致敬！
向人民英雄致敬！
还有手工耿
致敬
韩小沐？
敬礼
致敬英雄
谁说走在阳光下的才是英雄，
致敬
莫：快打开呀。耿：哎呀，钥匙不知道放哪了
好家伙，更新这么快
撸么币乌啦
世界的恶很黑，义很明。
突然感觉大漠要是演史强很绝
莫叔离开警队可惜了
原来赵老四是吸毒的
撸么币乌啦
《以 权 谋 私》
老刘
演技在线啊
8000+
董叔5555
8000+
小漠现在是离职，和辞职稍微有点区别
致敬
恐怖，进度条过半
无形战线 无名英雄 无上光荣
不能不三连了，白嫖不适合这个
8000+
致敬
致敬
《真实案件》
缉毒警察
什么时候上映呀
！！！
热乎
般配
刀叔
致敬英雄，默默付出的英雄！
子弹出膛还带着弹壳，后期要走点心了
好家伙
你一个单身狗，会演感情戏不
大多数是
握草，终极梦幻联动
海南军阀
致敬默默无闻的共和国守护者！
致敬英雄
吴尔渥？？？
致敬默默无闻的共和国守护者！！
致敬默默无闻的共和国守护者！！！
漠叔是领导
韩？？？
致敬默默无闻的共和国守护者！！
老熟人
海南军阀？
赵老四
致敬默默无闻的共和国守护者！！
莫叔，我谢谢你，我说帮我找个老婆
致敬默默无闻的共和国守护者！！
大漠，太拼了吧
扳手好评
终于正经了一次，这才是我认识的大漠
致敬
致敬默默无闻的共和国守护者！！！！
小漠
心疼老公
小狗好可爱
今天这个币必须投 不为别的
致敬默默无闻的共和国守护者！！！！！
卧底
致敬默默无闻的共和国守护者！！！！
豆瓣拒绝评分
筷子兄弟唱的？乐
致敬所有负重前行的英雄！
致敬缉毒警
致敬默默无闻的共和国守护者！！！！！
这产量，生产队的驴也不能这么用
致敬默默无闻的共和国守护者！！
泪目了
高产
谭乔，男妇联，好评
手术没救回来
致敬默默无闻的共和国守护者！！！
漠叔的电影
致敬默默无闻的共和国守护者！！！！
这句话是陈奕迅当着我的面说的
全明星阵容
致敬默默无闻的共和国守护者！致敬默默无闻的共和国守护者！
币我投了
相亲？卧槽漠叔有对象了？？？？
手工耿
人民英雄永垂不朽
这姑娘是谁？！
苏k敬礼投币！
董叔！
谭宝！
漠叔有对象了
漠叔加油
三连了
向在一线的禁毒英雄致敬
致敬缉毒警！致敬英雄！反对吸毒艺人复出！​
致敬缉毒警！致敬英雄！反对吸毒艺人复出！​
致敬
泪目
永远不忘
红字别叫了，缉毒警察纹身和你能一样？
致敬
致敬
全明星阵容
琼系军阀
陈奕迅说得
你这么高产，我的币都不够了
应该是卧底缉毒警不得已吸毒了
快更
致敬
陈奕迅说的啊
这个眼神容易出戏
生命中最美的礼物，是你的笑容
这是几厨！？
第一次投币就是给小漠了
不是离开 调岗吧
懂了，赵老四是去东北的卧底同志
架火架火
伍尔沃？
从拍这个就是辞职了
这不四哥么
致敬
要技术有技术要才华有才华
快点赞起来，致敬守护人民的所有英雄！
这演技吊打那些爱豆十八座山
终于脱单了
致敬
漠叔演电影了？
你吼那么大声干嘛
8000
相当高产啊
离职的漠叔，更新速度就是快
架火架火
刑部尚书
架火架火
刚放学就看到
小狗狗
致敬英雄！
致敬守护者
金色盾牌，热血铸就
泪目
我们永远记得共和国的英雄
承包空屏
致敬缉毒警！
永世不忘
活的！
他本来就有老婆
致敬无名英雄，感谢你们的付出！
致敬
地雷？
致敬英雄！
电影的片尾曲
海南军阀
高产我喜欢
琼系军阀
致敬
标志眼神
谭宝！
在山东拍的！
好啊
致敬
沐哥：我知道错了，下次还敢！
去二仙桥被抓了，哈哈哈
感谢英雄，感谢漠叔和所有工作人员带来的《非常警事》，从序告开始每集两个硬币，感谢你们的亲情奉献，感谢每一位英雄
支持
眼神不对劲
流量明星和大导演大编辑们看看啥叫警察
人民英雄永垂不朽。
刚想说真情流露
陈奕迅
吸毒的牛马明星拿什么、有什么资格付出
孤勇者
泪目
致敬！！！！
永世不忘
漠叔被抓了，营救漠叔
B站欠漠叔一个奖
沐沐？
太好哭了
漠叔绝对的正牌史强
是离职，不是辞职
有没有可能漠叔是缉毒警察转到队长的
架火架火
韩！
抓到一只小可爱
漠叔
默默地投上俩币！
致敬英雄
破防
剧本老婆？！
沐哥好耶！
粉汤加蛋
高产
大制作
漠叔:让你们笑我没对象，我直接电影里安排一个
这拍成电视剧多好啊，哪怕只有两集
这恐怕都不是演技
目前不知道
一眼内鬼赵老四
生产队的驴都不敢这么更！
感觉是预告片
泪了
不是为了混进坏人堆，那他纹身是为了啥呢？
前排提前，别玩梗
卧槽大漠太拼了吧
好家伙，母猪都没这么高产
小沐
总有人在替你负重前行
三连
这歌怎么这么感人
离职了
致敬
离职了
架火架火陈奕迅:正是在下
高产卧草
致敬
活的
琼系军阀
卧槽
可是他纹身就是为了装坏人当卧底啊
他没有离开！！！
赵老四
上院线吗 我要买票
陈奕迅说的
关于大漠被下岗这事儿，我早说过了不简单
三厨啊
棒棒哒
漠叔要进军大荧幕了？？？
全明星阵容
扳手一出，观众不得笑喷
拍的质量真的好
致敬人民守护者
必须投币
热乎的607个前排
这歌不错
永世不忘
三连致认真的人！
浩气存千古，忠魂佑神州。
拒绝白嫖
沐哥
赵老四
致敬
致敬
看见董叔就出戏怎么办
漠叔调换岗位了只是
这不是演技，这只不过是把曾经的经历复述一遍而已！
致敬
有老婆也不能说，警察要保密呀
你好奇，证明你没有仔细看过漠叔的动态啊
浩哥呢？
只有一个币了，投了
三连，但是没勇气看完
致敬
走成华大道去二仙桥
卧槽，这么吊吗？这个剧在哪儿看哦
谢谢你们守护了我们的安宁
致敬缉毒警察
琼系军阀
来看看有多少没投币的
又是赵老四。
致敬
兄弟，你发一个手术失败是什么意思
陈奕迅。。
琼系军阀
沃尔沃
梦幻联动
为什么这么严肃的事情，但是看见漠叔就想笑呢
好片子
高产啊，小漠
致敬
谭sir！！！！！！
贾樟柯媳妇？
漠叔还是那个漠叔，粉丝已经不是原来的粉丝了，小漠你好！
致敬
这次不白嫖
谭sir
不是呢 但是在别的单位升职了
小文，整挺好
我就说他是去卧底了吧～
必须追剧
梦幻联动
熟悉的扳手
耿叔我超
赵老四
大鹅
老婆？不存在的，都是剧本……
影帝！是影帝！
打倒一切《黑漠势力》
致敬禁毒警察
难受！无名的英雄从来不为人所知。但一定被铭记！因为他们是英雄！
魔仙堡高中生？
盲猜老婆走了
必火，秒杀小鲜肉五花肉
1米85的张浩呢。
致敬！
泪目
是军阀
琼系军阀
陈奕迅说的
琼系军阀
买爆
漠叔只是升职不在一线了
卧底
梦幻联动
漠叔
樊少皇
致敬
这是真实，不谈论演技
致敬！！！
致敬！！
白嫖失败
致敬
谁说站在光里的才是英雄？
什么时候播啊
敬礼
董叔，谭sir，莫叔，手工耿，全明星阵容
致敬英雄！
致敬守护在祖国每一个看不到角落里的无名英雄！
1258
琼系军阀何时这么惨过
