看到我你就不是第一了
《威士忌》
《威士忌》
指茅为威
《威士忌》
这个烟雾画的好灵性！
颜色用的脏了
 东北大酱
？？？这是什么魔法？？
来把火就着了
酒彩
他抽着烟，我却醉了
牛逼牛逼牛逼
这个蓝色真好看
不！！！
注入灵魂(宝石蓝眼睛)
酒彩画
《威士忌》
《威士忌》
饿了抽烟，渴了喝酒
emmm。。。但介不是茅台吗。。。
眼睛是心灵的窗户
投币止损
真点睛之笔
nb
算是被你玩明白了
上完色不像了
《茅士忌》
茅台：原来我叫威士忌是吧？​
介都是冰红茶滴水
留给绘画区的起稿方式不多了
格蕾丝！
白开水原来我是茅台
闻见酒香了刚刚
《你这画味道不对啊》
《成熟的味道》
bloody hell
点燃就是艺术
刷腐乳
画龙点睛
！！！
祭酒
求BGM
为什么亮了有烟?
他的眼神有好多故事。
番茄酱
xiebier
《威士忌》
五条悟
用的香水是杜康
不来一把火我不是很满意
我一直在等他点燃
成本极高
伯明翰上空的雾是剃刀党吐出的烟，谢尔比家族的血液流淌着贵州茅台​
故意找茬是吧
徐云
Tommy
我的耳朵！！
请调小音量
威士忌刷蒜蓉辣酱？
BGM so cold
BGM so cold 
这茅台值了！
这眼睛！啊！
感觉这里上到一半的时候最有感觉
星河！啊！
眼睛好漂亮
您
？
川建国(๑>؂<๑）
我说我怎么沉醉了呢
牛逼
川建国
《威士忌》
酒彩
我以为我手机来电话了
我寻思我也没眨眼啊
我妹眨眼
眼睛
刷的大酱吗
？
谢尔比：这个威士忌怎么这么上头？
亿点点细节
发生甚抹事了
《威士忌》
二十好几的人了能不能穿的成熟点
功败垂成
茅台味的谢尔比
这是川建国同志嘛
我就捡了支笔！！（痛哭）
剃刀党
不点着不认可
6
这是他差点被杀的那次说的吧
对了
省流：没点
绝笔
点睛之笔！
二锅头
酒彩
我以为要点一下火呢哈哈哈
我也妹眨眼啊
好像川宝（不是）
诺伊尔
感觉背景留白挺好的
《威士忌》
眼睛对了！
不是，我也妹眨眼啊
我的手机好像能闻见味道了！
我去，太厉害了
你怎么又爱上了别的女人哼
妹眨眼系列
一喂顺风车
一喂顺风车
看醉了
《我在酒厂刚提的新画》
很有意境，背景也很合适，我不懂画画，但我觉得你画的很好
省流：没点
优雅
《五粮液》
成本巨大
点睛
哦，飞天
不是流淌的尼古丁吗
加亿点点细节
豆瓣酱
浴血黑帮  值得你看
这就是你撒茅台的原因？
发生了什么
“中”
谢尔比
Bmg是？
发生什么了
茅台卧槽
你和谢尔比只差了个谢
汤姆谢尔比
省流：没点
扔了吧 都流汁了
省流：诺兰狂喜
发生甚么事了
我也妹眨眼啊
睫毛再长点就好了
你管这叫威士忌
我去，酒精
？
？
《威士忌》
这幅画卖吗
奢侈
我好像也闻到酒香了，刚刚
真香
威士忌
发生什么事了？
一副有味道的画
不好！要出事~~
？
？？
你这也不是威士忌啊
好可以了  不用继续了 这个时候最有艺术感
这可比i威士忌贵
川大爷年轻了
韦德（
川宝宝？
前进那个走错片场了
啥家庭啊这样造
我看到了川宝
请给他黄头发
复古油画
年轻的川宝
注入灵魂
为什么倒酒？
什么贵州茅台，2333
？？
手法过于新潮
一种很新的艺术形式
汤姆·法克·谢尔比
我妹眨眼啊！！！
谢尔比
酱油？
tommy
像……极乐迪斯科？
一般
我以为麦
眼里有星星
川宝
酒彩
茅台王子酒？
川宝绷不住了
茅台奢侈
画着画着就上头了
修容（bushi
威士忌＋伏特加＝乌龙茶
这画喝多了
谢尔比
谢尔比
点上了精髓
水彩的确艳丽
茅台附魔
茅台：？？？
求BGM
不点一下吗
是莲老师
圣诞快乐，圣劳伦斯先生
这起稿方式还有更卷的嘛，继续
他的眼里就像是藏有星辰，璀璨又不失优雅
发生甚么事了
我眨眼了？？？？
伯明翰上空的雾，是谢尔比家族的
《威士忌》
？我去，66
没错的话，刚才的事茅*吧
奢了
极乐迪斯科
?
天啊卡纸才行
知道了这就去买酒
造型能力非常强
前面川宝的，这是浴血黑帮里的，谢尔比迈kou
茅台？
画着画着就醉了
《男人领域》
挖槽
水彩不是不溶酒精的吗
超帅的好不好
卧槽？？？？？？？？？？
啊？啊啊？
画龙点睛
已经醉了
寻思着我也没眨眼
《威士忌》
我闻到了酒味
我到底哪一步画错了 
《贵州威士忌》
汤米
你这味儿不对啊
每周必看
但威士忌不是茅台。
侮辱人的方式有很多种…
上一个子矜结婚
灵魂
太牛了
抽象画
火呢
好像是第二季最后一集吧，记不住了
黑帮
《威士忌》
你有酒，酒里全是他的故事
你在做什么？
一点酒花都没有，就是水
您?
贵州威士忌？太抬举威士忌了吧
今夕是何年！
但凡有打火机
4
我寻思我也妹眨眼啊
《贵州威士忌》
为什么有点像川宝？
也许是酒瓶里放的水？不然对画笔伤害也太大了
谢尔比
烟头亮的时候是吸气，不会有太多烟啊。。
威士忌
威土忌
看谢尔比废烟
飞天威士忌
威士忌
佬の上色
我靠你怎么，，这么6啊（跪）
BGM好好听
点睛之笔！
秧歌star
二刷
应该倒威士忌哈哈哈哈
剃刀党
Bgm好像莱昂纳德科恩？
点睛之笔
是魔法
美式风格我喜欢
你这汤米的口音肯定不对
画里画外都喝了不少
有点像建国同志呀
谢尔比万岁
《液体黄金》
是你吗维德
有点像大超
maga！
茅台。。。
 有不有一种可能它只是水
没茅台
浴血黑帮!
啊啊啊啊BGM浴血黑帮
grace
沃
哇
应该摸金粉，这样出名快
快跑同志们
我以为是杜甫呢，哈哈哈哈哈哈。
快关他音响！要来不及了！
美宝莲！！
侮辱人的方法有很多
换成牛栏山二锅头会不会更有趣（bushi
？？？？？？
令人陶醉
我才看出来这是谁
谢尔比
水画
""
