1播放9赞
早
好家伙 沙发
看到我你就不是第一了
看见我你就不是第一了
没有
是磊儿的演员诶！
疫情啊，一波又一波，根本不敢去影院
没有
早
走不进影院
早
这和伍万里说的参军理由好相似
啊啊啊啊
看了
过会就去看
因为疫情电影院都没开
两分钟，来早了
小欢喜里面的磊儿吗
鹿人的嗓音感觉就很恢宏，悲壮，伟大
磊子
怕哭...不敢看.....
哭了
走不出校门，进不了电影院
刚才1000+，现在2000+
磊儿？
有方言口音就更好了
就是应为知道结局，战争片我真的会哭死真的不敢看
看见我你不是第一
没有，因为没开门
我出息了！
妈呀，我的眼泪已经准备好了
早
致敬
演员选的不错，还原度挺高
疫情了没有电影院开业……
万能炊事员（不是）
太真实
没有，因为疫情全部关了
这才是主旋律电影应该有的
热乎的
刚刚2000+现在3000+
6分钟
没有
早！
我们这没有排片啊
哇，这演技
才20岁
谢邀，没放假
没有
就这一句就把我看哭了
但的确就是这个道理
已经开始燃了！！！
怎么办 一句就已经想哭了
为什么要参军？就是保卫现在，保卫未来
很久没有去影院了，上次还是看的扬名立万，也就勉强觉得合格
这表演 厉害啊
这句台词好好哭
没有
磊儿！
4k+了
挺帅的
周末去看
早！！
磊儿？
等会就去看！！！
!!!!!!!我家乡的人！！！！
好
没有流量明星这一条就足够我想去看了
我出息了！
15军主要是湖北  我爷爷也是
前面的那位，这是一部在网络上上线的电影
来啦来啦八分钟！！！！！
《警察荣耀》里老曹的丈母娘啊！！！
演员有点像小江警官
中江 还去过纪念馆
十分钟！！
已经开始哭了，九敏……
鹿人我爱你
因为那个时候打这场仗的根本目的就是如此的啊
好早
已经想哭了
4000了
没有流量演员好评。。
救命，我要哭了
……前边苹果手机那个给我整乐了
最近在重看以前的战争片，有的拍的是真好
现在4000＋
老家
真早呐
万里归途！！！
呜呜呜被封了出不了门
15分钟！！
吼吼
早！
吃都吃不饱时候，不这样说怎样说
万恶的美帝
一句话我就想哭了
杨戬
已经想哭了
我去看了万里归途   还不错
看过了，好看
么看电影
这种电影点开都需要勇气
这种电影是一定要好好看的
没有假期
谢邀，没出校门
BGM当那一天来临
婆婆
好看
这是林磊儿吗
不敢看了 已经哭了
这演技太厉害了，四个字我就泪目了
200人，美帝在想桃子
有血有肉，读音正确好评
碾压流量小鲜肉
帅
这部国庆节在家看的
我想!!!去看!!!!黄继光先烈!!!!!
这个眼镜就很好
眼睛好亮，有光
眼里有光
向英雄致敬
二号机声音好好听呐
用方言就更有味道了
没有 还不如坐等白嫖
清澈的眼眸里是对胜利的渴望
这演技 不甩流量娘炮们十条街
中午就去看
没有
磊儿！
想想就气，嘎子现在还在乱拍
这咋说呢。电视上放的都是抗战片。还去电影院看这个？
是小欢喜里的磊儿！！！
没有
没有
这是磊儿吗？
哇这演技好好啊！！！
已经哭了
额，不是方言
演得好。眼神的变化
小鲜肉们来学演技了
没看
泪目了
没有啊，门都出不去
大姐
没有
致敬英雄
泪目了
地理爱好者狂喜
周末带着娃一起看
这演技  厉害了 我也想哭了
新中国成立初期，有志男儿的想法就是如此质朴纯真且热血！
我连门都没出去
没有
是林磊儿！
致敬英雄
现在是3000+一起看
长假个屁根本不放假
黄继光？
看到这里，真的很想哭
并没有
救命，已经开始哭了，这就是我不敢看的原因。。。。。。
谢谢根本没假期还封校
从电影一开始就知道他的结局，一帧帧都是他的生命倒计时。
有！姐妹们可以去看看《还是觉得你最好》
天啊 看到这个片段已经眼红了
这句直接给我整哭！
川军，厉害
国庆节刚好疫情爆发，没法去看。
回答得体让人感动
磊儿
10块的万里归途还是可以的
我哭了
一键三连
好演员
看的哥，你好，差点没给整麻了，什么烂片
启明星：日出前的金星（我猜是一语双关）
一键三连了
看不下去我哭死了
感恩先烈，吾辈当自强！
不是光荣，而是光宗耀祖
没有
天哪，已经想哭了
不敢看了，要哭了
泪点太低不敢看，光看个标题我都想哭了
听解说就已经想哭了T﹏T
没有
被封了出不去捏
良心电影啊
前面说他想参军说的话和伍万里一样，这演技他能比得过这个新人？
最好别让不是本地的演员讲方言了 虽然有的演员确实讲得很好 但是还是会有差异 不如普通话听着顺耳
多希望每个up对视频不长的定义都像鹿人一样
这部黄继光是一部非常用心的网络电影，安利大家去看
天呐格局有
当时说干就干
早
3000+
因为我根本不想看电影
我看电影吐槽就够了 不想去电影院 吐槽更有意思
BGM觉醒年代的！
一定要看，不要推
30多岁的中年人哭了
一定要看，不要退出！！！！！！！！！
我的天哪！！在吃饭看到这个解说一下子哭了.....
哭了，真实的感动
在优酷看到了
好看！
这两项您都光荣地完成了!致敬!
让我想起了我母亲送我去入伍的时候，忍着泪，又怕我担心，强挂着笑。
林磊儿？老天，我感觉都没宣发啊，马上去看
开端里面那个小警察徒弟
当那一天来临！！！！！
妈耶哭了哭了！
是演林磊儿那个吗
还不够真实
黄继光是我外公他们连的，外公在世的时候给我们说过故事
这个必须看啊
看到这，真得很想哭
开头明说，剧组成功的讲述了一个耳熟能详的故事，非常值得一看
我看过耶，非常安利这部电影
很多都是没有流量没有资金的剧好看，现在流量明星的剧一言难尽
没有
中江人很骄傲！
哭死了
啊啊啊啊致敬
能不能把特级英雄去掉，就应该会好很多
演员很好，刚正的帅
妈妈这段表演绝了
这种电影才应该上院线
感觉要泪目，走了呜呜呜
看了，比那些所谓大片好看多了
好早
哭成了狗…
特级英雄黄继光！！！！！
看到这里就已经绷不住了
磊磊
哭了哭了
喀秋莎啊
这个片非常好看，看的时候大家准备好纸巾，特别是英雄牺牲的时候(泪目)
真实，吹号都是趴着或者躺着吹的，
我们四川的骄傲
封校3年不可能出去的
今晚就去看
致敬英雄
母亲：我光儿
磊儿
前两天刚看完，真的很好看
好燃啊
演的真好 真细腻
泪目
已三连
真的是拿人填出来的路和胜利，太惨烈了
哎呀，这就要泪流，看不得片啊
没有
眼神好坚定啊
感谢鹿人推荐
成功安利，我马上去看
谢邀 隔离中 哭泣
没认出来是磊儿
惨烈啊
我出息了
林磊儿？
我是中江人
国庆静默了…根本出不去
致敬英雄
没有！
生死簿
真的红啊
死都不怕
哈哈 我的十一假期刚刚开始
眼神很棒！
没有，隔离了两个周
哈哈没有
不错
文洁文洁 你先别说话
不是开端里的小警察，那个演员姓李
疫情让我在家里躺平
来晚了，一小时
磊鹅!
万里归途
这个实景质量可以
泪目
居然是黄继光，必须三连！！！
磊儿
没有
没有
5000+了
致敬
我怎么听了一句就要哭了
不行了我不该吃饭时候看这个，要哭了
这一句话我也能理解和做到。我40了。不知道90后00后有没有想过。唉
没有，因为疫情
磊儿？
万里归途，只看了这一部。
5000了
这孩子穿军装贼好看导演会选人
哭了
网络大电影，哎 可惜了
