uzi！
神！！！
我超！神！
污渍！
欢迎回来！！！！！
YYDS！！BLG冲冲冲！！！！！
神！
刚刚
阿巴拉巴拉巴拉
哔哩哔哩是我爹
明年干碎rng
冲冲冲冲！
没有弹幕？
uzi!
乌兹，永远滴神！
污渍！！！
加油啊 污渍
uuuuuuzzzzzzziiiiii！！！
BLG UZI
加油啊
真实
UZI！污渍！！
第一啊啊啊
看身材也不算胖了
冲
一分钟热乎
污渍加油啊
希望不是花钱挨打的一年
Chong
大师选手哈哈哈
乌兹！
可惜了，smlz
比如求个婚哈哈哈哈哈
肌肉都在颤
从S1开始我就看好BLG这个战队
来了来了
休息两年然后，回来！
blg十年老粉不请自来
污渍
污渍- -
泪目
舞姿 行
伍兹！
yysd
为比赛而生
什么意思？重新复出了吗？
BLG 十年老粉不请自来
神！
神！
这个手抖的……他真的是太可惜了，将近两年的时间啊
6666
Uzi还是很有追求的，价值观荣誉感都很棒的小伙
我劝天公重抖擞，魑魅魍魉哪里走！
uzi!
不是火箭？不是火箭？
粉色
瘦了
欢迎uzi重回赛场！！！
焯
哭了
泪目了
神，永远的经验书，
家人们 给我哭
blg十年老粉不请自来
加油！大家都相信你
起码瘦了
不管状态怎么样，敢复出已经很棒了！ 新赛季加油
兄弟们，要多包容他！！
欢迎回来！！！
内姆
拖鞋打球讲究doge
Uzi
皇族的荣誉
最重绝对不止180
8000人
神真的好努力！！！
一笑赖何
RNG电竞椅
加油
9000+人
这就是热爱啊
神！
这还没有！
剑指s12
leimul
8000+
休息一年，然后回来——uzi
宝贝加油
不愧是你啊！啊B！真给你请神请成了？！
泪目了
永远相信你，我的UZI
叶秋=RNG.uzi，叶修=BLG.uzi
今天开始blg是以后的唯一主队
你终于回来了
进湖人了doge
神！
他是属于这个赛场的
1.1w
永远想看UZI在赛场上！
热乎的
成为第一个看的，很好
哈喽啊
呜呜呜呜呜
加油吧
Uzi！！！！
冲啊！UZI，永远滴神
拖孩打球哈哈哈
爹！
污渍
jiy加油
泪目！！！！
1
弹幕走一波
UZI只属于赛场！！！！
1
这场是5杀vn那场吧
U~~~ZI !!!!
120确实要注意一下
乌兹为什么是神
拖鞋 讲究哈哈哈哈
帅
1
冲
表演赛！！！！五杀！！！！
最重才180吗？？？
"电竞椅后面的R,现在看着多么刺眼"
这种打职业的热情不是谁都有的
我的青春回来了，泪目
欢迎回来
甲亢
污渍！！！！
想哭
就是不知道为什么，我的手一直在抖
还是rng的椅子，唉……
uzi复出加盟湖人了？
拖鞋打球给我哭
哼 想逃
1.3W
乌兹来吧
小狗
1
uzi加油加油
我哭了
一直想着复出啊你  辛苦了
神！
都在认真看嘛？
周姐声音好大哈哈哈
这个时候应该uzi就想复出了吧
斗地主瞩目
懂了，物资复出打篮球（doge
污渍上不去分很正常，一个隐藏的小号上分上的好好的暴露以后直降三百
l
你见的挺少
全华班现在3个了
哭了
主要是肚子胖，手臂还可以的
uzi复出打篮球了
1
华子！
god！
真不容易
才180？
回来了，为了那些回不来的人
1
这个时候应该还没和rng闹矛盾
UZI加油
神 加油
11111
那得多锻炼啊
物资脸盘子大显胖
140000
王俊凯
我也100多。。
神五杀了
bilibili那边
穿拖鞋打篮球！你还是从前那个少年！
你只要回来就是最强的AD
瘦了好多
1
巅峰造就虚假的拥护，黄昏见证真正的信徒
漫天飞羽三百斤
龙抬头！
这个状态感觉真的不一样了
去什么vb看啊，b站咱主场！！！
加油
1.4W
我回来是为了那些回不来的人-uzi
11
Bgm: champion select 同样也是老版排位音乐
凯哥？
uzi付出加盟湖人了？
你真的值得
后面还是皇族，他不是不爱rng，只是rng的管理层啊
前面这段之前勾子发过一次
感觉有点故意夸大uzi
永远滴神
穿拖鞋是因为脚受伤了不能穿鞋
支持blg
天啊，我70几
1.4w
1
既然怎么样都会有人骂，不如复出再来一次
1
污渍最重的时候要起码220了吧
Uzi加油，你尽力就行
广东工业大学发来贺电！！！！！！！！！！！！！！！！！！！
这妹子不错
uzi   uzi  uzi！！！！
我将奋不顾身献身于这一场非福即祸的理想当中绝不认输绝不回头
加油
1.5万
加油
还是我皇族的椅子 QWQ 为什么时间这么快啊
瘦点了
他爱过rng可惜rng不爱他
说白了就是有瘾
神！
yyds
体重要和身高一起看啊 我190
这个时候是脚趾被砸了，脚趾甲全没了
1.4
180公斤
111
卡莎心动值也高的吓人  直播都被救护车拉走过
欢迎回来，想死你了
对赢的渴望
加油狗爷
骨架大而已，你看他肩膀就知道了
神！
不高啊
乌兹属于那种碾大但是不是特别胖的
UZI只属于赛场！！！！
11
一键三连支持污渍
1
国内俱乐部不够专业，没有体能训练
这是周淑怡？
欢迎回来！
Uzi欢迎回来
这场看哭，翻盘局
Uzi加油！
很多的事情去处理指玩手机，手动滑稽
神！
vn翻盘五杀！！！！
小溪塔口音哈哈哈哈哈
久别赛场，大家多包容！但是真的好快！
乌兹这一米七的身高有180斤严重超重了
很多的事情——指撸狗
他个子不高 180差不多吧
运动疗法加饮食疗法必须要坚持
Uzi！！！
好好好
怎么我们都支持你！！
大家要健健康康的才好
这是以前的纪录片
哈哈
欢迎回来
还是RNG得椅子
1.3w人 一起看 大家好呀
那你见的太少了
明年干碎rng
五杀登场
估计是这个五杀给了他不小的信心
兄弟们给污渍加油
uzi在湖人复出的证明
德玛西亚500分大师恭迎神回归
首先是
Uzi！！！
乌兹
UZI加油，支持BLG
欢迎回归
报数
uzi在湖人复出的证明
职业真就戒网瘾呗，网瘾少年十多天不碰英雄联盟也是可以的
在看的兄弟们好
欢迎回来
职业病
神！
两年的人间烟火，让你稳重了很多
b站十年老粉不请自来
Blg八年老粉回归！
要经常运动
120雀氏有点离谱
我觉得这个表演赛对他复出应该也有一些推动吧
网瘾少年实锤2333
好家伙拖鞋打球
复出参加cba
那你给反馈啊
泪奔了 兄弟们 我不行了
欢迎回来！！
1.2w 观看
RNG管理层 我rnm
小号400分，演员盯着污渍演
uzi我爱你
椅子和衣服已经是过去式了哎
原来小时候爸妈说的网瘾少年就是UZI
1
看椅子就知道老早之前录的了 被卡合同以后这椅子就被他扔了
给爷暴杀合同队！！！！
11111
像科比一样 凌晨4点也要打球 天才是练出来的
Uzi
回來了，青春回來了，我們的神回來了
说实话北美虽然捞，但是俱乐部更方面设备是真的专业且全面，这点希望国内不要为了资本也为了选手考虑下
这个姿势十秒坚持不到不严重吗？
还不是因为RNG
Uzi
blg十年老粉的含金量
谁帮uzi剃胡子
1111111
rng牛逼
卡莎是作息有问题
终于等到你了 回来就好
有人吗
有人吗
木已成舟，艾欧尼亚召唤师向简自豪重新连接致敬
blg十年老粉
期待！
1
欢迎回来
而且很多演员在等你
欢迎世界第一adc-uzi
好激动啊我
好耶！
哭了 泪目了兄弟们
干杯
人家说的公斤
加油
iop【】、78、
十年老粉
毕竟一般请得起这个教练的都是健身练家子
瘦了个鸡
不是瘾，是你们的期待给他的压力太大了
冲
1
加油！
欢迎回来
电竞乔丹
11
爹！
nb
不是瘾，是心慌害怕的感觉
错了，关注他的人太多了，他害怕失败，害怕让关注他的人失望，懂？还网瘾
瘦了不少啊
别吵了，180公斤
180666
确实 我当时发烧 晚上觉得跳的快 才90多
1
加油
1.2w
污渍污渍!
blg，至臻全华！从教练到选手，全是中国人！
物资
加油
安静心率120确实离谱了
年度大会员没白充
？？？
收缩压120？
认真
开斑纹了！？
你是不是没见过人
首先是犯下了让我重返青春之罪的uzi
我170身高180已经是个胖子，他应该不够170，180挺重了
还行，最起码身体能健康一些
加油
啊对对对
真的好难啊
1
1111111
躺好
好想看卢姥爷羁绊大战uzi啊
只是想看你继续打比赛 希望你不会是第二个7
这是黑宝吗 wuwwuuwuwuwu
1.2万
1.2W
好家伙安静心率这么高，我才59
射手，练练投篮很正常
1
比尔吉沃特期待神归来
22
静息心率120确实太离谱了
恭迎神归
有瘾
鹌鹑
为什么不来今天的见面会啊
卧槽 猴！
很少有事情能让我激动了
卧槽
正常人一般7、80几，60左右是经常运动的，超过100不太健康了，120还是挺夸张的
乔丹第一次复出
和老贼一样
木已成舟，弗雷尔卓德召唤师向简自豪重新连接致敬！
郊区黑铁恭迎神的回归
Uzi 我打ad的信仰
龙抬头！！！
不至于不至于
欢迎回来
手就会一直在抖
回来了 真的回来了
两年了，合同还没结束，也是离谱
vn现在t0了，是时候了
看哭了
污渍
和丁彦雨航一起复出
直接三连！
BLG十年老粉不请自来
污渍！！！
笑嘻了
欢迎回来！！！
big十年老粉不请自来
乌兹到哪我到哪儿
欢迎回来
污渍yyds
好快啊心率
BLG十年老粉，不请自来
等一个小说故事的结局
我190斤 心率也才80多
170身高，180对的
唉，都要注意身体啊
看到最后真的泪目！！！都给我看完！！！
希望能在赛场上证明自己，加油
你没见过我吧
欢迎回来
行
很多事情经历过了就放下了
十年老粉不请自来
弹幕出击
泪目
狗子该刮胡子了
厂长也说复出，但是不也没上场？
太久没打球，突然打一下午，第二天浑身都痛哈哈
乌贼
