干得好！
国行公祭
太便宜他了
好
罗辑
真不要脸
，。
人民英雄永垂不朽
确实无人，因为鬼子都不是人
致敬
这个水印打的妙
?
福建！
致敬英雄
我辈当自强！
呸
应该凌迟
漂亮
这边建议五马分尸
应该剐了他
35分
此等狂徒死有余辜
人民英雄永垂不朽!
他们在南京做的，将来在东京还给他们
是暴行 铁证，没有错的
没有落如日寇之手，苍天有眼!
我觉得应该拿大刀把牠的头活剁成四块
太便宜他了
我想免费送他一个中指
放屁
便宜它了
干的漂亮！让日本狗哑口无言！
人民英雄永垂不朽！
大快人心
都是好人
骨灰扬了
应该先阉后凌迟
这次一定
太棒了
为什么不五马分尸？日内瓦公约他们都不遵守，我们为什么遵守？！！！！！
人民英雄永垂不朽！
血海深仇不能忘！
呸
山川异域，不共戴天！
干得漂亮
两个好小伙！
我想上去扇他
加入伪军，冒着被人说汉奸的风险啊，致敬！
严肃一点吧 
原子的挨少了
好！
建议满清18大酷刑伺候
这是人吗？
你们747人
致敬英雄
此“绝”已经带有“无”的意思，双重否定
 让我们向英雄送上最真诚的军礼
去向阎王爷解释去吧！
下地狱去吧畜牲
该！
日本人就是活该，活该被炸
千刀万剐
囸你仙人
就不能剐了他吗
该凌迟
太便宜它了
关于我把币全投在这个视频这档事
人民英雄永垂不朽！
该凌迟
哪里有水印
“绝 无”
必须凌迟
不应该用枪刑的，该用绞刑！
为什么鲸鱼不是鱼却有个鱼字
你看那日本人不也有个人字吗
终于出来了，太棒了！
便宜他了
致敬
罄竹难书 死有余辜！
人民英雄永垂不朽!
放你娘的屁。
那么你的神从来都不是什么善神
人民英雄永垂不朽！
人民英雄永垂不朽!
应该五马分尸
还有一天是12月13日
天地都要亡了你！
吾辈楷模
毁尸灭迹！
我呸，你tm放屁
混蛋，都是混蛋！
这才是真正的曲线救国！
画质！按照真正的照片画的
民族英雄
日本鬼子都去死
一枪太便宜他了，起码慢慢割肉，折磨死他
伪军？不对吧。
墙上贴的纸
人民英雄永垂不朽
日本被原子弹炸过吗？
赶紧毁灭吧，小鬼子
1944年11月9日，长子谷隼夫在中国战场上被中国空军击毙。
人民英雄永垂不朽
这些杀人犯将受到历史的审判!
干得漂亮
太便宜他了，死的太轻松了
这种人凌迟都是轻的
怎么给这个人画了脸？
大快人心啊
大快人心
酷刑就是给这种垃圾享受的
死死死 给我死
越怕什么什么越回来，身正不怕影子斜
这种东西就不该一枪崩了，应该把各种酷刑来个遍
死的好
英雄
满清十大酷刑挨个来一遍
枪决太便宜他了
兄弟，谢谢你。
谢谢
致敬
致敬
该死
致敬
龟寿夫 该死
致敬
说到底鬼子还是原子弹吃少了
致敬英雄
他才15岁啊
勇气可嘉
好在没落到鬼子手里
太便宜它了
太帅了，二位
玩梗小鬼消停点
有字幕都看不懂？只认得一个罗辑？
bgm惺惺相惜
石美瑜：你（谷寿夫）给我睁大你的狗眼好好看看！你别想抵赖
判的好
血海深仇，罄竹难书，罪孽深重，天地不容
证据藏好 不要让鬼子发现
致敬！
代入感很强 我也觉得害怕
这本相册太重要了
幸亏捡到的也是爱国人士
勇敢的心和主题一样勇敢
求锤得锤
画风一样而已。
若要人不知 除非己莫为…
英雄啊
好！
喜？
致敬
致敬
勇敢的心世界大战致敬
怎么能叫他人↑
判的好！
梗小鬼们别看本书就乱找存在感
致敬
无耻之徒
住口！！无耻老贼竟敢在公堂之上饶舌！！
勿忘国耻！
致敬
致敬英雄
致敬
小日子过的不错的的日本。。。不能叫人吧
勿忘国耻，振兴中华
该！
枪决这种禽兽真的是太便宜他了
谢谢！
太好了！
还敢来？！
直接当众绞刑吧不用走流程了
致敬 ！
致敬
致敬 ！！！
致敬
md，没币了
不要face
果断三连
致敬
这个它用得好
这次一定！
致敬英雄
致敬
太便宜它了！
1000+人
山河y
致敬！
致敬
致敬。
埋死他
做成人彘
天使们终于可以安息了，如今的华夏已然不是昔日的满清，我们强大了，再也不会被人欺负，被人奴役了
致敬
致敬
你要的证据，白纸黑照片
建议晚清十大酷刑
致敬
？
这画风有点像《勇敢的心:世界大战》呀
这叫正常 信不信扇你？
他们已经不能称为人了
应该绞刑
致敬！！！
致敬英雄
致敬！！！！
太轻了
致敬！
这是英雄的会晤
谢谢
日本这个狗
证据往往在加害方手里，而这位少年有证据意识难人可贵。
正常?
致敬英雄
《证    据》
千反万防
天地恸哭
大田 ？？？反击战
致敬英雄
恩 不是销毁了 ？？、！！！
Very good。
日本的那些在中国杀人放火的人该死
致敬
这是正确的选择
致敬
干得好，就让这些日寇受到应有的惩罚
判得好
致敬
致敬
好！
有点像《勇敢的心》
致敬
在这里刷梗的不怕给你家乡丢脸吗？
致敬
致敬
太猖狂了。
直接凌迟
致敬英雄 
致敬
致敬英雄
应该绞邢，还有一个亲王逃过一劫！！！
便宜它了
致敬
←我也想说
致敬
致敬
就该凌迟
这就是英雄啊
用原子弹弄死他
致敬
活捉日本天皇，吊死
k师团
致敬
致敬！谢谢！
凌迟吧
致敬
一
致敬！！
正道的光
正道的光
干得漂亮！
致敬
致敬
凌迟都算便宜它了
枪毙太便宜他了
好样的
致敬
光听这个话确实正常，但是这种数量而且证据都确实，正常？
向逝者默哀！
致敬
我想起了，他们的土地  他们的血
致敬
汪精卫你个坏蛋。
致敬
哔哩哔哩瞩目（我是看了第二遍的，不要说我不关心视频讲的内容）
这边建议直接炸死。￼
畜生！
≥′枪决，太便宜他了。刑都经历一遍，整得半死不活
太好了
致敬
那我们也到你们首都“正常现象”一遍
致敬!
我币全奉献了
致敬
他把交卷偷了还给了南京临时参义会
怎么有点像勇敢的心
勇敢的心之伟大战争
致敬
致敬
弱国无外交，从小都在被教育着
致敬
致敬
好好做人
致敬
你是看游戏，还是看内容啊？
致敬
致敬！
给你两发核弹也是很正常的
致敬英雄
致敬
致敬
这次一定
撒日朗
为什么一个视频只能投两个币？！！为什么？！！
向逝者默哀
勇敢的心：伟大的祖辈
致敬！
留下证据
致敬
致敬
还有些人没得到应有的审判
不容易啊
致敬
致敬
死死死越好越好。
看着自己的中国同胞们痛苦的死去，我们怎么可能不恨日本！
致敬
正道的光
致敬英雄
有一定差别的
致敬
牢记历史，吾辈自强
勇敢的少年
致敬
致敬！！！
还是太轻了
致敬
致敬
致敬！
致敬！
下地狱去吧！禽兽！
这种时期除了自己谁都不能相信
a
致敬
致敬
致敬
我信你个鬼
说实话吧其实我也想给这个日本鬼子捅一[亿]刀
好样的！
致敬
谢谢，致敬
要不然叫小鬼子呢
这个镜头……勇敢的心！
致敬
该死
致敬
致敬
致敬
致敬
血海深仇绝不忘记
致敬
一张张照片，一个个罪行
震惊，原来日本人也会讲证据？
人渣，看着都恶心
打脸疼不疼
活该
致敬
致敬
致敬
三连了
致敬！
致敬！
好耶！
致敬
致敬
致敬英雄，没有你们，就没有国，也没有家，致敬！
致敬
致敬
漂亮
好想当这两名士兵
致敬
致敬！
致敬
致敬
致敬
