一分钟，我居然没想到还有3.0
周姐可以？ 这位更是重量级？
《关于认真的男人有多可怕这件事》
看见我你们就不是第一了
要
认真
哈哈哈
饭碗掉了
哈哈哈哈哈哈哈哈哈哈哈
6666
噗哈哈哈
他要认真了！（bushi
3.0冲冲冲
盖茨比啊
在失败中成长
出
284个人你好！
节目效果拉满
猪猪养病
哈哈哈哈哈
周姐：你别过来啊
十分钟我出息了
他一说简单，我感觉我就猜到了结局
可太狠了呀哈哈哈
这是真硬核
hhhhh
他好开心。
哈哈哈哈哈哈哈哈
要要要
果然说话就不行了
我刚想说防护不到位，结果下一秒头盔遮挡就放下来了
少点反复思考的时间，别说泡面了，纯纯502也能做成滑板！
《好不好看不重要》
懂了 这就等下一期豪华游艇上做方便面4.0
下期视频 用方便面做一个周姐
要
《迷失》
《不整活》
我当然是觉得你很可爱啊
有心了有心了
猪猪养病
ohhhhhh
舒适
哈哈哈哈哈哈哈哈哈
哈哈哈哈哈哈
死亡凝视
小丑竟是我自己
不至于
混沌武士BGM好评！！！
哈哈哈哈hi哈
认真
先赞再看
一分钟，核弹热热还能吃
哈哈哈哈
不是吧，正人君子也防
星仔越来越离谱 哈哈
《馍王》
我真快
不放钢筋就是站不住
梅开二度
哈哈哈哈哈哈哈哈哈哈哈
没有纹路
墙上开关没按
没有撤退可言
大哥用方便面给你做个游艇
懂了，下一期方便面做游艇
迷尸了
大哥大回归
时长说明一切
纫针的男人有多可怕
完结了以后还会有这么好笑又励志的视频吗[大哭]每次复习不下去了都要来看一遍[大哭]​
梅开二度
？？？？哈哈哈哈
好的小模
要！
一小时，热热还能吃
哈哈
你们好啊
345人你们还好吗 
想吃
认认真真
OHHHHHHHHHHHHHHHHHHHHHHHH
一小时！刚放学就看到了
好的猪猪
有心了有心了！
¿
破我防是吧？
阔以
哈哈哈哈哈哈
看时长就知道不简单
盲猜没插插头
寄
笑死
投币回血
不整活？？？？
这很河里，非常河里
哈哈哈哈
哈哈哈哈
luv
要要要 
23333
刚刚发生了什么
哈哈哈哈哈哈
梦之安魂曲
笑yue了
猜中结局
我信你个鬼
笑死
《在失败中成长》
哈哈哈哈哈哈哈哈哈
梅开二度
小模还需努力啊
666
图给我看一下
三连了  ，瑞思拜
好的猪猪
顶上去兄弟们
结尾高能结尾高能结尾高能
不至于，小模
买板面催更有用
xdm把模王打在弹幕上
原来没电
不愧是你
要
出
辛苦了
模王
整活
哈哈哈
《不整活》
chua
《川剧变脸》
好好好
紉針的男人
大哥！
bgm nb
加油加油
666666
在停更的这段时间了，我在你这里买了帽子
星仔笑死了哈哈哈哈
龙骨，打筋啦
《不说话》
注意后面
进度条告诉我，事情没那么简单。
居然还有
终于
轻车熟路
看进度应该没成
要，还要4.0
蚌埠住了
方便面保质期不到半年？
后面还有开关没打开
《思考》
我没要求
我信你个鬼
来了来了
哦豁
丢你个螺母
我滴生日
严谨：要求
哈哈哈哈哈哈哈
up主不是在搞笑就是在搞笑的路上
601个人你好
哈哈哈哈哈哈哈哈。
现在大部分都是半年到九个月的
哈哈哈哈哈哈哈哈
666个滑板正在观看
脸上的水痘印啊 辛苦了
没接电
你要是现在突然幽默一下搞笑一下，我绝对会抽到我的笑点。
丝考
星仔表示：确实
哈哈哈哈哈哈
他是怎么掏出来的？
不应该是爸辅？
饭碗丢了
他似乎好像是在疯狂的名字，我们什么东西。
哈哈哈哈我猜到了
疯狂明示。
哈哈哈哈哈哈哈哈节目效果可以的
好哈哈哈哈
你可以用剩的硅胶给我做个娃娃吗
梦开始的地方，哈哈哈哈
725人诶
丝考
如果这期视频成功的话，我当场一键三连。
真的好努力啊！
意料之中，情理之外。
禁止套娃
哈哈哈哈
669人在哪？
不看说明书
每当夜幕降临的时候赤红朱雀会飞过
滑板手工耿？
我的生日一月22日
不说话的周姐能冲 你不能
剩余的硅胶可以帮我做了女朋友吗？
为什么要用硅胶倒模
必须的
luvsic
放弃区up
(认认真真)
714人
733人你好
760人好
冲这个时长，不翻车几次我都不好意思看这个视频
前面那个人，我也1月21日生日
我TM直接投币
30.0什么时候安排
811
iiii
好，期待方便面游艇1.0
要
加油加油加油
周姐：勿cue
盲猜沒接電源
906人你好
好的小模
故技重施
盲猜排插插头没插
支持
1000人你好
时代又开始了
认认真真
居然还有三，在座的各位都有责任
手套啊
意料之中哈哈哈哈
开摆
助力每一个梦想
我怀疑你在搞双标 
《不打算整活》
孙兴！
统一打钱
？？？
好的，小莫
哈哈哈哈哈哈哈哈哈哈哈
《孝警阿特》
这河里吗？很河里！
哈哈哈哈哈哈
虽然你真的很闲，但是我也确实想看
笑死
方便面做一个周姐
刚刚我看到了什么
哈哈哈。
你盾拿反了
1000+
你跟方便面滑板杠上了吗。。。。
哈哈哈哈哈哈哈哈哈
up主好像孙兴啊
梅开二度
拜模王模王
吓人
方便面游艇
广告位招租
这是暗示投硬币？？？
凭缘分再刷到三
开笑吧
哈哈哈哈哈哈哈哈
这属实没想到
凭实力刷到
打支架
这个bgm，嘿嘿
2.0就是个树脂板，加了少量面饼。
盲猜有第四期
1000+.........
3联支持
1000+人在观看！
我赌1个硬币，这次又扑街，开启4.0
小模王，，
我也要娃娃！！！！
它又来了！
woc？还有后续
16.50
你真的是随机抽的吗哈哈哈
不出
2000+
2000+的人们，你们好
非常的简单
好美好丝滑
看到最后
马上失败
《变脸》
《迫 不 及 待》
好家伙连续剧
2000+
熟让疼
笑得我尿都飙出来了
广东人:哪里有小馍
手工耿请求参战
《认认真真》
打两根钢筋呗
2000+你好。你们也怎么闲喔
你没插电啊，大佬
battlecry！！
总插头没插
哈哈哈哈哈哈，笑死
加油干
失踪人口回归
2000+兄弟们好
半夜了都不睡看方便面
小嬷嬷
名场面复刻预定
哈哈哈哈
《随机》
养成习惯，先赞后看
半夜12点钟2000观看，nb
2000+在观看
2000+在观看
硅胶倒膜你认真的吗！
2000人看可还行
00:25   2000+
？？？？？？？？？？？？？？？？我的眼睛里有颜色？？？？
说为什么的可以看前面的两期
插板没插插头？
2000+
哇哦
半夜2000+就离谱
梅开二度？
《这次不整活》
凌晨还有2k人哦
方便面滑板本身就是在整活了
妊娠的男人
我已经开始笑了
2000忍你们好
2000+你好
礼貌：周姐你吗？
《 减 淡 》
不用睡的吗？
在这停顿
卧槽，巨资
2000+好啊
Nujabes！
哈哈哈
哈哈哈
笑不活了
2000+
混沌武士
有没有人
周淑怡：有冒犯到
好家伙…
连续剧了
我竟然一点不惊喜
只有硅胶肯定不行拉，大的外面需要石膏模板
1000个夜猫子你们好
大半夜的，我同学给我发这个
我不整活
大半夜1000+也是挺离谱的
完 全 一 致
《不整活了》
找个工具人装扮硅胶
插座插头没插
1000+
加油
突然想起我们英语老师曾经说过，过期的食品还是可以吃的只不过口感没有之前好而已
麻了
233333
牛逼，反手就给个关注
要
确定不要什么骨架加固吗
有没有想过侧躺的放。。。。。
。
你永远滋不醒一个张嘴接尿的人
又是你，都3.0了
不要出了，谢谢
1000+你们好
我
6个月
先来个三连
迫害工具人
无想的一钳
插座也没电
为什么没有打成粉
hhhhhhh
卧槽，塑料桶一下子不见了？
哈哈哈哈哈哈哈哈
nujabest？
哈哈哈哈哈哈哈
500人你好
三连了家人们
周姐马上到你家门口
迷个兔子 方便面走起
哈哈哈哈哈哈哈
笑死
用方便面做滑板
《！ 简  单 ！ 》
《  简  单  》
你们可以叫我模王
小卖部老板狂喜
我要5.0
记住这句话
不打算整活
不想整活
草
还有265才6点，你们还不睡呢？
道理我都懂，但是玻璃钢是要加玻璃纤维或者碳纤维的啊，不然哪来的韧性
哈哈哈哈哈哈
有劲没劲？
我是统一的员工，我可以证明，老坛酸菜确实是6个月
方便面只有6个月的保质期呀，哈哈
他好开心
《思考》
要！
豪杰春香
牛逼牛逼牛逼牛逼牛逼
果然还会有
不要
不要
可以
手动马赛克
《非常简单》
确实是左手持盾
真有你的噢
辛苦了
什么图案啊
蚌埠住了
帅哥你谁
我也是1月21日生日
经费曝炸，投币回血
哈哈哈
黑丝考虑
没想到还有3.0
我信你个鬼
开始整活
爆爆蛋
还是整活了
里面也没插
统一打钱
投币给有梦想的泡面
礼貌周姐：你吗
有心了
你就想要游艇哈哈哈哈哈
冲啊
忘开插排电源了
丝考
插头没开电
1000人正看  离谱
嗯
哈哈
美食区家中常备
问题来了，你哪来这么多过期的方便面？
