头一次这么早
啊啊啊啊这是啥这是啥！！！！
好期待
哇哇⊙∀⊙！
芜湖
从床上弹射而起，这啥啊
耶耶耶
哇塞哇塞
宝贝们1000天快乐！！！
措手不及啊
好帅啊啊啊
我天
《跳大神》
这年头 还能蹲到舞台
哇塞
啊啊啊啊，第一次这么早
高级
救命
我焯？？？
！！！！
这么高级？
诡异
高级
哇塞
我天
这是啥啊
芜湖
我的妈呀
刘耀文刘耀文刘耀文
张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源
卧槽
丁程鑫啊啊啊啊啊啊啊啊
高级
妈耶这是什么好东西！
张真源
没想到吧
这是四公吗？
好高级
卧槽卧槽
刘耀文啊啊啊啊啊啊妈妈爱你
我靠我靠
你文哥！绝
刘耀文刘耀文刘耀文
高级住了家人们
我靠
简直就是惊喜连连
张哥好帅啊啊啊
是舞台啊啊啊啊啊啊
丁程鑫啊啊啊啊啊啊啊啊
我一直在尖叫 真的是舞台啊啊啊啊啊
这是什么好登西啊啊啊啊
我这么靠前
我去舞台？？？
好高级诶
弹幕护体
张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源
我*舞台！
文哥
张哥all black好帅
好帅啊
刘耀文刘耀文啊啊啊啊啊啊
好高级
我靠，刘耀文好帅！！！！
有点高级了
我去！！！！！！！
成团1000天！！！快乐！
我去真的有
耀文
我擦丁程鑫
是循环吗
张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源张真源
谢谢你给我的惊喜
卧槽卧槽卧槽卧槽卧槽卧槽
张真源！！！
刘耀文好帅
nonono
丁哥真的很绝
丁程鑫怎么这么好看！
丁程鑫太帅了吧
好高级！阿飞
刘耀文刘耀文刘耀文
？？？？？？？
啊啊啊啊啊啊张真源
好帅啊啊啊刘耀文
救命
哇！
张哥鲨我
我靠张真源好帅！！
我的小碗盆1000快乐！！
想哭
这……这是揍嘛啊，真帅～
这么直接的吗？
丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫丁程鑫
高级！！
刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文刘耀文
好激动
文哥好帅
张真源成团1000天快乐
第一次感觉那么高级泪目了
新歌首秀
好帅
宝贝们成团1000天快乐
！我天 终于
老公好帅
丁程鑫好帅
就是不知道有没有系列
张真源！！！
张真源好帅
真是舞台呀我靠 
小丁绝绝
好高级啊帅气啊啊
张真源好帅
好家伙
我天
飞哥！ 你！ 是！ 我！ 的！ 神！
丁程鑫丁程鑫丁程鑫丁程鑫
好高级！！！！
好快乐好快乐好快乐
？？！
期待值up  up  up
张哥太牛了救命
莫?我没看错吧？我眼睛没问题吧？
高级啊​
Got you!!!
放开她我来
刘耀文太帅了
卧槽
张真源！！！！
丁程鑫的动作好轻柔干净啊
卧槽好高级
所以这是四公吗
我来看天才主舞刘耀文了
刘耀文好帅啊啊啊啊啊
丁程鑫我爱你啊啊啊啊啊啊
救命 给我上呼吸机
刘文！！！
刘耀文啊啊啊啊
好帅好帅好帅好帅好帅好帅好帅张张鲨我！
刘耀文刘耀文刘耀文刘耀文刘耀文
好高级
我丢
mygod
张真源啊啊啊啊啊啊
DNA动了
高级～
我靠我靠
1000天快乐
好帅啊！！
好高级！！！！！
真的是惊喜！521礼物！！
主舞大人丁程鑫
no
我不敢看我不敢看呜呜呜呜呜呜
新歌首舞台！
好高级啊
好高级张真源好帅
啊啊啊啊啊丁程鑫唱歌好好听啊啊啊啊
张真源张真源张真源张真源张真源张真源张真源最重要张真源张真源张真源张真源
丁程鑫舞台之身
张真源张真源张真源
舞台还是花絮啊
丁程鑫
？？？
啊啊啊啊啊啊啊啊
张哥张哥张哥张哥张哥张哥张哥张哥张哥张哥张哥张哥张哥
高级
？？？？？？？？？？？？？？？？我趣 我趣 卧曹
小型四公
新歌？？
啊啊啊啊啊啊啊
好突然
张真源好久不见！
好高级
卧槽
天呐天呐天呐天呐天呐
张真源张真源张真源
就是说一整个高级住了，哦，真秀～
四公吗？！
高级！
什么时候录的?
我靠我靠我靠
把叶子写进弹幕里 叶子快来看
张真源唱得太好听了我的天呐
张真源你是我的神
啊啊啊啊鑫鑫
卧槽卧槽卧槽卧槽卧槽卧槽
是舞台吗？期待住了
震撼到了！！！
张真源
好帅啊
