璀璨夺目啊
帅哥！吸吸
我每天掉的头发
大漆？
逐渐离谱
好漂亮
大锅
对不起，你谢的太早了
牛逼啊
金箔？！
太美了！
救命，太美了吧
这个工作量，不是一般大啊
已经感受到美丽了
我之前看过一个用蛋壳的
漆器？
大黑锅
好好看！！
主要是有很多黄金。
这毅力...
太牛了
帅哥贴贴
这个让我想起了河蚌内层的样子
这里技法得加强，哪怕为了安全。
卧槽这个质感
哇
最后的工序呢？
太美丽了！
哇哦
大写的服气
是螺钿
哇
这是真的好有耐心
太厉害了
出摩尔纹了
大工程啊
太好看了
哇
可以摊煎饼果子了
这是什么东西
哇
这个技法我大学做过汇报研究，叫螺钿
像贝壳一类的
想象一下阿婆在学校里扛着这个大盘子走来走去有点可爱哈哈哈哈
 超美 ！！！！ 
 贴金箔也是不容易贴到层次的 
手啊
 哇偶 羽毛好真实 ！！！！ 
 生动滴呀 
这样细致的男孩子，快来我怀里！
好厉害
 哇 大工程 喜欢好玩 
好认真
牛逼
 呀 嘿 ！ ～ 
哇
救命太好看了吧……
哇！！
惊艳
太美了！！
好有耐心
太好看啦！
好美
壮观
艺术生都是肝皇
好美！！
中间同款刻刀
可以呼吸的哦
每个鳞片都是一个小孔雀
好棒
螺钿
这要是万一失误一下不就完了
这要是手抖会怎么样
我只会哇哇哇
漆器真的最美
太美了
还有螺钿
认真的男人好帅哦
我趣…up太有耐心了
哇
美轮美奂
？魔法？
太美了
有点类似版画这里
好稳的手
好厉害
做毕业设计的时候最开心了
逐渐离谱
煎饼锅
哇哦
修复文物去吧
好强！
卧槽
哇
嵩鼠：啊这……
好美
金箔
开头我以为是盘子里放了真羽毛呢
厉害，是我干不来的
黑锅
好漂亮
哇！
卧槽
都是钱呐
哇
螺钿？
好好看
哇哇哇
哇，好油润!
牛哇
真滴太好看啦
艺术品真的是需要精益求精的耐力，加油
感觉孔雀本体有点空，不够丰富
这一步应该挺费刀的吧？
哇！好漂亮呀
一根一根地刻?!!太打磨心性了吧
漂亮
金箔？？？
助力每一个梦想
这哪是欧泊，欧泊比这贵多了，颜色也不是这样啊！这个颜色很明显是贝类特有的
很累的
我的天呐，是我低估这个作品了
up主好又魅力啊
up太棒了，加油
金箔很贵吗？之前上很多都有啊(ﾟoﾟ;
敬佩阿婆主
火钳刘明
贝母?
这可以在上面再上一道清漆吧，防止颜料脱落
牛啊
手一滑就廢了
这但凡刻错一笔不就完了
这要是错一笔 就全废了啊
你的金泊有点浪费哈
？
卧槽
我已经觉得很累了
我靠
太美了
这里我喜欢！个人喜欢这里超过最终成品
这已经不是人类的肝了
漆雕嘛
绝了
bgm！
好牛
妈呀，贴金箔，真有钱
背景音乐是？
太好看了
哇
工业金箔，不含金
不知道为啥许嵩的歌别人唱都没那味
我的天，这个工作量
每一次抛光都是多一次注入灵魂
卧槽
金箔其实很便宜
卧槽
卧槽
天呐
嘿，伙计，油放多了
发生了什么
太美了
还没完
可惜毕设要给学校
好美啊
金箔纸不贵
卧槽
我眼睛进去了
手滑一下，就废了
金箔又不贵
四五块钱一张的都有
太牛了
玳瑁？
好厉害
太漂亮辣
眼睛是不是贴反了
这是有多少肝啊
天，太牛了
毕业硬币也给你了，毕业快乐呀
哇啊啊啊啊太好看了
师傅你是做什么
和头发一样细
金箔不贵
讲真金箔也不是很贵啊
想投个B，不知道在哪投
太棒了这个耐心
反光
真羡慕做大漆不过敏的。。。
好美的颜色
清明雨上！
看哭了
卧槽
天呐太有耐心太漂亮啦
我还往屏幕上吹了口气想吹掉这些屑屑
哇螺钿漆器吗？更厉害了
这个颜色很漂亮，很大气的颜色，很好的审美
up主是美院的吗？
想起了因为需要翠鸟羽毛把翠鸟差点弄灭绝
还真是漆器
金箔？
天呐
太绝了
和水的波纹一样
厉害啊
你画的！！！
您
什么魔法
这什么魔法
金箔不贵的
太美了
金箔？
