我是第一条弹幕？？
超爱三国恋！！！！
欢迎欢迎
有女儿了啊，才知道
好听
正好符合我现在的心境，坚持
哇
我是第二条
特别喜欢三国恋
好好听！
嗯嗯，我会的
不 你是吕建忠 
好听
非你莫属不是2007吗
这币我投了
这币我投了
还是那个味！
这里好像水星记
爷青回！
一如既往的好听
还是当年的味道不错
这首歌超棒
加油街头霸王
可以可以，唱功声线还在
支持！
加油
好耶！！！
当年初中
我就叫小树
好好听哦
爷青回！
加油加油加油
我是第4436个看的，
你总算发动态了
最爱的歌
好听
赞
开口跪，还是那个你，多了份沧桑
对味儿
卧槽 
我记得玻璃橱窗里的小强
加油！
加油
啊啊啊啊啊啊
我保证不催更！要注意身体，按照自己的节奏来就好
支持！
最喜欢这首
爷青回！
跟小刚一样，因为身体暂时隐退
你的情歌很好听
还是熟悉的味道
加油！！！
爷青回
爷青回
全体起立
加油
和水星记一个风格吗
加油
支持支持  一首阿门我就能循环到爆！
好耶
卧槽！我真的大大的卧槽！
好听
果然还是那个味！
好家伙，还是一如既往的好听
爷青回
加油，一直支持你
卧槽
加油加油加油加油
最喜欢这个
加油！
阿门
爷青回
最好的一首
爷青回
好耶
记得，一直在听
好帅啊啊啊！！！
Selina！独唱情歌！
三国恋唱一唱啊啊啊啊
还是那个味道 期待！
哥，你的三国恋！
加油
卧槽，没想到呀
欢迎 你不只是我们的回忆
你长的好像我朋友
不错哎
专属天使我超喜欢
不错
哇
全体起立
激战！ 蟑螂小强！ 岚！太多好听的歌曲了！
爷青回
开口脆
声音还跟当年一样呢
爷青回
大B站欢迎你
什么？！竟然都结婚了！
冲冲冲
好听！
曾是我的青春啊～
期待
终于等到你
加油
实力派歌手，喜欢
一如既往的好听！
加油
禁得起时间考验的好歌
记得 记得 记得 青春啊青春
等待良人归来那一刻～
欢迎 爷青回
街头霸王
不是结婚了 是都离婚了...
好好听阿
居然连女儿都有了啊
初中去ktv必点三国恋啊
花样少男少女BGM
挖起深处的回忆
如果我变成回忆
太熟悉了这个歌曲
阿门
专属天使，蟑螂小强
千年泪
老了老了帅哥
好像离婚了
这才是金曲
三国恋真的无敌的
飞儿乐团原主唱詹雯婷也入驻了
哭了
好会唱哦
声音还是那么好听
加油
如果我变成回忆
好听啊
三连致青春
爷青回
卷起来 卷起来！！
(⊙o⊙)哇
会长大的幸福
好听，爷青回
一踏进这地方，要清楚谁是老大
哇！
还是这么帅！！！！
加油！
不是说他给日本人写歌吗
天呐
独唱情歌，到底是哪部剧的插曲？今天早上一直想到现在想不起来
Selina！！！
我要听专属天使！！！！
欢迎！！！！！！
好可爱的爸爸
好听
专属天使 真的是爱的能量啊
加油
我五级号，high
欢迎欢迎！
如果我变成回忆
哇！
喔
喜欢你的千年泪
声音超级好听！！
加油
好的，钱包已准备好
那是我的青春
冲
如果我变成回忆
我是通过蟑螂小强爱上你的
专属天使！！！！
全世界都停电
如果我变成回忆
期待
爷青回
从2009年听到现在
有点像文森特
卧槽？？？？？？
注意身体
支持
加油
记得记得记得
什么都别说，先关注
好听好听！！！
还是熟悉的感觉
好好听啊
卷起来
加油吧！一起
nice
加油
爱你
阿这，真是本人吗，我不允许你再消失了
我靠~嗓音完全没有变
青春 你好
拿的第一部手机是按键的诺基亚，还不是现在的智能触屏机，三国恋我手机最喜欢的一首歌
好久不见！！！！！
童年的回忆
独唱情歌！
要哭了要哭了
期待
爷青回
好听！！
好听啊
画质不得行
吕健忠三国恋非你莫属
消失很久了，欢迎回归
卧槽卧槽卧槽！！！
我还以为你死了
你还活着太好了！
他们都说你死了呜呜呜呜
憔悴了好多
好听好听
还是以前的风格哎
我超，真人
化成灰都认得你
加油
三国恋
爷青回
真心祝你每一天都很开心和爱的人在一起
欢迎！！
好听！
爷青回
你的粉丝都老啦  但是一直都在
文艺复兴
以上四首仍在歌单中
加油
神曲
hello
如果我变成回忆！
冲！
生还者！生还者！绷带俱乐部
神曲
爷青回
好汀
继续支持你。
好听
好听好听
这个 我去 画面感
强如依旧
我的青春正在仰卧起坐！！！
华语乐坛需要你们
买买买
按F键进入
《三国恋》
女儿？？？
卧槽
千年泪
这首我初恋最爱的
好听
好听啊！
欢迎我的青春回来～
关注了关注了
dna动了
当年可以和周董扳手腕的男人啊
爷青回
专属天使
爷青回
好久不见
好听
回忆杀
哇还是那个味
去年在街头卖唱
爷青回
下期三国恋，求求了
好耶！
三国恋废话文学
好听
不可思议 支持！
加油
爱你
好喜欢你的歌！
祝你身体健康
千年泪
十几年了
好好听
永远的经典
加油
HOPIC功不可没
如果我变成回忆
记得记得
加油！
专属天使～
加油～
千年泪
泪了泪了
我要关注你！！！
爷青回
哎
好好听啊！！！超级喜欢你！！！
66666666
买爆
嗓子没被高强度使用 肯定不会变得
保重身体啊
三国恋
支持支持 我的青春
好耶
爷青回
好抓耳！
先来一首三国恋
非你莫属啊啊啊啊啊啊！
爷青回！我都会！
好听
你是谁
爷青回
如果我变成回忆
很早就结婚了
开哥？
那段时间才叫华语乐坛
好听！
记得啊！
卧槽
起立！！！
千年泪！！！
想说三件事 恭喜身体恢复 祝福家庭幸福 欢迎回归
一段一段
爆肺了唉
爷童回！
明年披荆斩棘哥哥！！一定要去！！！
啊啊啊好听
我去
非你莫属！！！！！
爷青回
好哎
新歌我肯定买  
爷青回！
我喜欢听千年泪
加油加油加油！
感谢大数据
哈哈哈欢迎欢迎！我的高中我的三国恋
白色钢琴
卧槽
卧槽DNA动了
爷青回
三国恋，千年泪
欢迎回来
变帅了啊
太瘦了
感动
加油
欢迎啊!!
舒服舒服
新专辑安排起来
还是那个味儿！
爷青回
新歌都这么好听
好听
这首爆哭
啊啊啊啊啊啊啊啊啊
好喜欢您的歌！！
三国志
千年之泪
保护色
舒服了
加油！
树先生?
一马驼二兵
这个声线，妙啊
前面那个niubility站住！是不是班主任的学生！
文艺复兴！！
专属天使
千年泪
声线不错
！！！好好听！！！！
加油
今天刚听过！
原来是生病了啊
KTV必唱
牛逼
三国恋！！！！
我丢
加油！
爷青回，梦回高一
bilibili
如果不生病 可能排在周王林陶之后
斗牛要不要才是青春
哈哈哈有意思！
每首都会唱！
老师好厉害
好听啊
我都好爱啊！
nba动了
爷青回
歌单里面一直有三国恋
明年上披荆斩棘的哥哥吧，我觉得会有王心凌的效果的
爷青回
专属天使
终极一班
哇！！！
唱完呀
专属天使！
消失的十年
我去 少年时代的回忆啊 一个很有才的音乐人
爷青回
这能不记得吗！爷青回
要保重身体啊，慢慢来
爷青回
好久不见了啊
这个男人活了
一段一段流浪忧伤
记得记得
真 爷青回
MP3时代
一直在听！！
华语乐坛还是得靠你们这一带，加油
千年泪
爷青回
怀念呀
3连
啊啊啊啊啊好喜欢你唱的歌
如果我变成回忆
想你
你要加油哦～
记得！！
舒服！！！
加油
加油
好听
加油！！
机能技巧创作都强的大神啊
我的青春
加油
好久不见
爷青回
忍不住了5555
老了好多。。
专属天使
加油
需要这样的原创歌手
华语乐坛回春了吗？我哭死
可惜
爱你
好家伙好家伙，真是好家伙，真的是活得久啥都能等到
加油加油加油
专属天使超级超级好听
太好听了
dna动了
我的天啊
绷带俱乐部
加油
雷姆
这首我现在都一直听（泪）
好听
很爱的一个歌手，加油
专属天使！！！！
你要加油！！！
三国恋
最近真的好多回忆杀
文艺复兴元年！
卧槽
呜呜呜DNA动了
好久不见
唱功真强
爷青回
这一段爆了
如果我变成回忆
加油啊。
我靠我靠！！！
爱了爱了
三国恋，千年泪
啥时候出新歌啊
必须
爷青回
还是那个声音
保重身体啊
爷青回
太棒啦
马上关注了
创作歌手唱功还这么好的真的不多
泪目心疼 其实我们一直都在
太棒了
千年泪，三国杀，全都支棱起来！！！Duang Duang Duang ⊙▽⊙
爷青回
你好陶喆
还是那么棒
為了青春投幣
有声查理冯京与马凉都好听！！！
加油
你是我的专属天使
冲了
加油加油
千年泪也超喜欢
爷青回
好听！！！！！
加油！
超喜欢你的歌！！！
爷青回！！！
爷青回
这首歌！
多希望你没有生病
身体好些了吗
三国恋！
期待
如果我变成回忆~
棒棒棒
太好听了
三国恋，ktv必点
没事慢慢来 尽情享受音乐的快乐！
好听好听好听
这视频剪的也很好啊
加油
必须记得
哇
牛逼
没有人能取代你在我心上
加油鸭
好听！
好听！
这就是不喝奶茶的嗓音！
我的天！！！
老了
