我超，勒
哈哈哈哈猪猪笑死我了
当你看到我已经不是第一了
梦幻联动
快
买个宵夜去，养会儿弹幕再看
觉爷睡？
弹幕
才发现刚刚
哈哈哈哈哈哈哈哈你们都没有瓶颈的吗
？？？？
华强真绷不住了
若子！
若子！
卧槽，米
我超，农！
hhhhhhh
农！
卧槽！
布锅锅排面！！
公平
我超！农
瑞兹
薇恩，我的超人（狗头）
农！
这个有点帅呀
我超，农!
西北男人的雄风？
卧槽？农！
我超，奥德赛！
离谱
好ID
15.03秒成绩，62刀
脆皮鸡？
我超，勒！
快乐风男
卧槽，冰！
西北雄风？
农！！！！
我超！农！
农
罗蕾塔的绝招！
马！
我超，农！
哈哈哈哈
哈哈哈哈，太逗了
我超，若！
还有这种设定啊
我超！农！
显卡游戏
哈哈哈哈哈
烬的这个看着爽！
亚索eq也不吃冷却啊……
船长
一万熬夜波比
病毒切
三星小法
哈哈哈哈哈哈哈
补冰
卧槽，农!
？？？？？
？？？？
卧槽，若
好开
这个声音是米勒吗？
@英雄联盟 进来修服务器
这个帅啊
噢耶噢耶
乌鸦
我超农
龙女
首先排除vn
什么叫剑来啊
今日天气：晴转黑暗物质
卧槽
压缩天堂
刚说完禁止传送
逸宴丁真，鉴定为纯纯的沙爆！
我超，农！
卧槽！农
哈哈哈哈哈哈哈哈哈哈
卧槽，米指导？！
哪里都有仓鼠
农！
看着就快乐
我焯，农！
说白了还是LOL优化问题，后台CPU和显卡占用都不高
乐
令人蓄意轰拳
欧耶欧耶
加油！风男还能凹！
哈哈哈哈
努努
卧槽 bin
好家伙，病毒切哈哈哈
哈哈哈哈哈哈哈
快乐
哪都有仓鼠
被兵堆卡位了吧
致命节奏
哈哈哈
爆杀鼠鼠
腐蚀火
你怎么知道我单杀王凇
米勒？
在这打暗黑？
我超？米勒？
你们的答案
shiro？shiro反序列化？
聚怪
一秒999刀
LOL还优化不行啊，十年老机子都能流畅玩
哈哈哈
我超，农
哈哈哈哈
等等 你是米勒！！！
我焯！农！
好问题！
努努
什么武僧飓风破
懂了，和暗黑3服务器一样（）
渣狗和帅琉克还没来
瑞兹吧
快乐
卧槽，冰！
米勒
哈哈
太离谱了啊
原来是米勒
nico!
什么光明/黑暗游侠
3w熬夜波比
666
？说了服务器问题跟你机子配置没关系
这个太爽了吧
求求了，一定要让全世界看见!
贡品
什么D3
亚索:我已经赢太多了
大道都磨灭了
英雄争霸
啥玩楞？米人？
突然感觉自己很前
服务器的问题和优化扯上关系吗，正常对局也不能这么玩啊
终于来了
这个太爽了
手动黑暗游戏手动黑暗游戏
让人蓄意轰拳
若子，现在你过得好吗
终极快乐
怎么不出电刀啊（
我超！好爽！
约德尔大王！
这出幽梦不出九头蛇？
没有希维尔吗
光头佬
？？？
这个规则是什么呀
我用相同的思路玩了一把诺手，发现没办法把三路兵聚集到一起就放弃了
蓄意轰拳！
有没有一种可能，他比较老实
希维尔清兵好帅啊
我超！农！
《约德尔大王》
船长玩家
我超！农！
卧槽
shiro权限控制
ID瞩目
为什么没有希维尔
诺手有没有
程序员：老子做梦都没想到这个效率bug能被发现
米人？？？
本科！
哈哈哈哈
卧槽！马！
shiro 不打狙搁这补兵是吧
为什么不是瑞兹呢
亚索赢的太多了
实测？用眼睛数嘛（doge）
哦耶哦耶
暗黑
因为没必要九头蛇，反正都是秒杀
23333
船长
这个进度条不简单
米人
我超，农！
这是米勒嘛？
瑞兹
来辣
我超 真的米勒！
追风 
哈哈哈哈
我超，
记得以前可以变成0秒，现在不知道还行不行。最好叠的方式就是w假人
卧槽若
龙女？
哈哈哈哈
放箭！！放箭！！！
勇敢勇敢我的朋友
你私人服务器就不要和官方的比了
我超，农
老蛮子了
哈哈哈哈哈哈
卧槽农
什么？谁？米勒？
电脑受不了 不是吸不了
爽啊
好家伙，越来越卷
哈哈哈哈
dnf？
船长！
看来仓鼠繁殖力确实强……
我超，农！
有点帅
你不会看补兵数吗
农
我超！米人！
哈哈恍恍惚惚
应该是会卡死或者没仇恨
那必须是希维尔
在炮弹里洗个澡吧！！！！！！
卧槽兵！
箭只充足，尽管取用
小法夺不了冠说明物质不行
幻影剑舞
BGM来了
活都能整歪来
霞！
此时胜负已不重要，索子得到了快乐
卧槽，西北男人
哈哈哈哈哈哈
我超，农!
开头就自我介绍了，还问是不是米勒。。。
哪有什么清线比赛，只不过是老年亚索被打死的最后幻想罢了
你们的答案
米人！
应该残血触发坚毅不倒的
哈哈哈哈哈。
有没有破400的，好期待
我超
我也想到了炼金，我的本命英雄
我超，米人！
细
小炮啊
瑞兹
放风时间，小播一会儿
全都去SPA!
约德尔大王
西北男人
致命节奏是吧
这就是在比谁电脑好了
30佰个熬夜波比
nb
好家伙，大佬
哈哈哈哈
卧槽，若！
达达利亚
看谁的电脑性能好
红A是吧 投影
公平
卧槽农
暗黑破坏神是吧
箭支充足，尽管取用
我超，农
卧槽，排面
我超，农
bug吧
西北男人！！！
卧槽，农！
贪玩蓝月的船新版本
哇
这个好有创意
我超，农
勇敢勇敢我的朋友
创创子
哈哈哈哈哈
月下无限连
猛犸
上路灯
3.1w人？？？？卧槽？？？？牛逼
哈哈哈哈哈哈哈啊哈哈
卧槽，农
腾讯小霸王石锤
一秒五刀是吧
我超！农！
搁这儿辅助蛮是吧
非法人物！
收！
卧槽真是米人
细节致命节奏
船长肯定无敌撒
英雄联盟无双
白手是吧
显卡:？？？？
卡了
这个解压啊！
3.1万个熬夜波比
烬这个好解压啊！
烬这个解压啊！
我超，米人
光头跟船长呢
常驻嘉宾
666
船长
就不能喝水时候看这玩意
瑞兹
你们的答案
这都能大菠萝?
哈哈，亚索切割效果8太行，触发太低
lol本来就低配游戏，十年老机子能玩不代表优化好
让我想到了元气骑士
光明游侠开大了（doge
什么v精聚怪
希维尔疯狂赚钱
还真是米指导
我超，农！
