来了！
卧槽，好活
牛啤！
厉害啊
牛逼
真厉害
亿点点细节
辛苦了
别拿原照忽悠我 [狗头 ]
火钳刘明
卧槽
太强了
发生了什么
这就很变态了呀
太强了
看起来很像德普哎
细~
是用自动铅笔在木炭底子上排线画细节？？
大佬
你好细啊
卧槽
亿点细节
牛蛙牛蛙
首页通知书
人体打印机
是魔法
厉害
叶子？
我大概帮你看了画作的掌纹，五行缺火，所以没火？
这不火没道理 兄弟
开始离大谱
首页通知书
比打印機還強
！！！
什么时候我能画着么好
火钳刘明
好牛！！
牛批
改善下拍摄设备会好起来的
woc
BGM 好评
好看不火系列
加油
炭铅结合吗？
卧槽……
太细了
牛逼
魔法这是魔法
咋像德普呢
止步于。。。好吧我不配
细致
太细了吧
静止在麻瓜面前施展魔法
牛比。。。。。。。。。。。。
卧槽
牛哇牛哇
您？
您
您
有点像那个变烟的那个魔术师
您
亿点点细节
牛
开始吟唱
只能一句卧槽表达
now
挖槽，太狠了必须火这
卧槽
牛叉
还行吧。
揉的太狠了
揉的太狠，不透气，按道理来说，有毛孔个汗毛，还有不透气原因就是皮肤菲涅尔不对
卧槽
排线好看
马上
梦幻开局
我想用橡皮…
不给三连都对不起人家的努力
巨佬
太厉害了吧！
原图看起来像是照片！
我去！这睫毛画的！
你会火的！！
助你过万
一点细节
助力每一个梦想
已经是一般人的天花板了。
让他火！
你好，我是画师，我想跟你合作一把美金
卧槽
请不要在凡人面前展现魔法
牛啊牛啊
这就离谱
快火了
大可不必
这么狠吗
火钳刘明
嘬腮
助力每一个梦想
您
首页通知书
下辈子吧
有单大生意，RMB干不干
奥兰多布鲁姆?
卧槽
BGM超标了
自动铅怎么在炭笔稿上画细节的
终极写实派
是碳笔吧
太厉害了
我到底是哪一步没跟上
牛逼
卧槽
精灵王子
这是海绵宝宝唱的吗？
是替对不对
小伙汁如你所愿你火了。
您
同款施耐德笔不同人
好消息，主页来的
你是冷军二代！热军？
火钳刘名
给图啊，老板
这没个十几分钟应该搞不定吧
雀实帅
加亿点点细节
打印机系列
细节，好活
这是碳条吗，底色好平滑
搞不好还真以为这是画的
我画完了
一般看到这种直接就是两个币
进度条十分之一
NB
首页通知书
好家伙
进度条居然才一半
???????????????????
NB
bu.zhishiyoushoushouwanyouyidiandianteng
细啊
不给个三连是我不配了
突然变的看不懂了
就越来越离谱
约翰尼德普？
禁止在麻瓜面前使用魔法
首页来的
厉害
太牛了
技术不错
你这画要是不卖的话，我花十万买
卧槽
现在！
刚好2020个粉丝
建模大师
我看你手相五行缺火嗯不过也不用急，找一个火盛的人去给你投币，那就都OK了
这项目我投了
助力每一个梦想
这不三连？
满足你一键三连
牛
首页
搁着拍照呢？
美术生哭疯了
这毛孔就离谱
三炮
吓得我狂点屏幕百多下。
开花!
亿点点细节
加亿点细节
关注了，助力每一个梦想
烟换成棒棒糖或许能上热门
少拿照片骗我，我读书少（doge
我竟然感觉手有点痒
首页第一个就看见了
纳米绘画
卧槽
挖槽这就是大佬吗
如你所愿——
挖槽
亿点点细节
牛哇
助力梦想
牛逼
不得不点赞投币
再加亿点细节
助力每一个梦想
亿点点细节
一般般，练个两百年就会了
最近淘宝店的铅笔画订单有多少？
你搁着拍照片呢
我去好牛
论人类进化没带上我这个事
施德楼
谁知道你是不是拿照片哄我
能把素描画出厚涂的感觉
牛
如你所愿
发生什么事了？
有的人总是打着艺术的旗号施展魔法
您
约翰尼德普
细节
作者手买吗？
逐渐离谱
人肉相机
卧槽
黑白照片
牛逼
我为什么想起了三色绘恋？
亿点点细节
真探馬修麥坎納
不咋的啊 线条不好看
您
施德楼0.5自动铅笔
一句“卧槽”走天下！
what 's up
点进来就为了看个指纹
死于铅中毒
bgm好评
好家伙！画家造美金的时候应该找你啊。
极品飞车16
牛逼克拉斯
助力梦想
助力每一个梦想
助力每一个梦想
加亿点点细节
离谱
发生了什么……
生命线长
助力每一个梦想
就在劲天
牛
亚瑟摩根
牛逼了
战地5的bgm
首页通知
离谱
注入灵魂
草，这种竖屏怎么投币
我去这作画手法也挺特别呀
这指纹能解锁么？
您
您
助力每一个梦想
？。
亿点点
亿点点细节
NP
从头卧槽到尾系列
同款自动铅笔
开始施法了
从首页来
卧槽
亿点点细节
亿点点细节
亿点点细节
您
发生了肾磨事？
流弊
有没有可能这是个倒烦
尼奥尼
也就我努力几辈子能达到的程度
把他的每个一个细胞画出来
一看就是照片倒放
教练，我想打篮球
唯一的遗憾就是没有烟
助力每一个梦想
画家一个神奇的职业
牛逼
同款自动铅
有点艺思哦
好牛啊
跟我做美金吧
犀利哥既视感
橡皮擦笔
牛
牛
卧槽
首页通知书
真人照片
这指纹能解锁手机吗
太狠了 必火
流批
好喜欢这个 画风，怀旧之前 令人回味
顶
指纹谢尔比
这排线证明功底。
这纸擦方法和我老师一样！
想不到有用的诗句，那就一句卧槽表示下敬意
还行？
我去亿点细节
卧槽
您
他讲来就是大师
没有黑头
助力每一个梦想
牛逼
这有什么给我几十辈子我也能做到
666
亿点点细节
大佬！！！
你并不是哪一部
助力每个梦想
你并不是哪一步没跟上，是因为视频提速了（
我要你复制这张美金
我以为我闹铃响了
我知道了！是烟头没冒烟！
很棒！！
太精致了吧
吸烟有害健康
太帅了
突然的首页……
三连能给我做头像嘛
真是耐心爆棚~
牛笔
？？？？好家伙
助力每一个梦想
xqc
你火了
·
666
画画的人，我害怕你……
年轻的杰克船长！！！
这银盐效果真好哦
好像照片啊
跟你说了干一行爱一行、指纹儿
牛蛙牛蛙
亿点点细节
尼奥尼好评
诶我去
你没画喉结 
Bgm是什么？
真细
请问这就是魔法吗
我靠这线条太流畅了
我差点以为这是照片
太牛了
就是现在能火
助理没一个没想
活了
苦痛，吸烟而得的暂时的快乐，化不去的忧愁苦闷，这就是这个表情
NB了
热榜
亿点点细节？
这也太厉害了
我噪
亿点点细节
受命于剃刀党
牛皮~~~
牛逼
尼奥尼
助力每一个梦想
牛啊我去
tql
打印机
shelby！
学冷军，超写实？
看每一笔才是享受，稳
鼻孔定位法，你二舅整挺好
牛啊
？？？发生了什么！！
助力每一个梦想
这是？925-35？
？我哪一步眼睛没跟上
首页通知
你火了
？？？
您
我超
拿照片糊弄我？
美剧真探的配乐
