第一时间还以为是雕了几个气球，原来是人像，太强了。
我们是冠军！！！
属实升华了
我们是冠军！！！！！！！！！！！！！！！
这也太强了
神人
我擦
人像这里也太强了
离谱
大舅子
66666
牛
我们是冠军！！！
卧槽
卧槽
离谱
edg牛逼！up也牛逼！
NB
是魔法！
离谱
太牛了
！！！！
离谱
手残的羡慕啊
太强了
nb
太夸张了吧
太牛了
我是第5000个播放
nb
是魔法，我加了魔法
请务必量产
逐渐离谱
您！
提前卧槽
我不信！！！
牛
牛逼
人像的神韵太强了
强啊
卧槽
？？？？？
！！！！！
这真弄不来，脑子知道什么样子和手能做出来是两回事
放错bgm
虽然但是吧 BGM为啥是凤凰那届的
？？？？？？
火钳刘明
牛逼
真的像
卧槽，牛逼
牛壁
点赞改三连了
要是能来一个立体的就更流弊了
瓜:那一天我变成了光
牛
提前牛批
老板这瓜怎么卖
这位更是重量级
nb
来看仙术
我手写都写不了这么好看
握草
为啥放涅槃
哈哈
刻好了吗？刻好了给我做份冬瓜炖排骨
小学弟
6666666
？？？？你该不会是想要？？？我不信
卧了个槽
硬核雕工
你这是要把这个冬瓜做成我吃不起的样子？
这位更是重量级
牛逼
圣枪哥和小学弟绝了
这才是EDG粉该干的事
？？？？？
牛逼
卧槽！
你这瓜报熟吗？
？？？？？
提前卧槽
EDG牛逼
卧槽
确实帅
666666
B呢
进度条不简单呀
好小的junjia
太草了
离谱
EDG.冬瓜
您
拿了个纸巾，发生了什么⊙∀⊙！
龟龟
现在进入雕刻队员时间
百万雕工
离谱啊
人才啊，太牛了
越来越离谱
圣枪哥好像
从未设想过的道路
这瓜多少钱一斤？
好像
BGM不对呀
离谱
这是啥热度都能蹭
202厂
莫名泪目
你这瓜粒子是金子做的，瓜瓤是，瓜皮也是
逐渐离谱
离谱了起来
Bgm放错了
吃不起了
卧槽
禁止在麻瓜面前施展魔法
好吊
头上顶着绿 嘴角上扬
bgm对吗？
涅槃？？？
还有光影效果！！！！！！！大赞！！！！！！
好活
握草
三连了卧槽
我们是冠军
确实牛逼！你比EDG牛！兄弟
卧槽
就冲这几个字，投币了
卧槽
强啊
牛逼
雕出来的比我写的都好哦看
2块钱一斤
卧槽
这瓜都少钱一斤
牛逼
您
牛逼
牛皮
高级
这才值得提倡！！
这瓜保鲜么
中间是letme吗（doge）
硬核
我以为玩玩而已
我超，流弊
逐渐离谱
牛逼
还能这么玩！！？
你币有了
圣枪哥简直一毛一样
好活儿
牛逼，卧槽！还带灯光的
奈何老夫没文化，一句卧槽走天下
bgm
666
??????
先投币了！
EDG牛逼！
吃不起的的冬瓜
不用等了，四个都是四眼仔
刘！
火钳刘明
圣枪哥格外像
目前为止，还算正常
what is up
圣枪哥好像
我们是冠军
卧槽卧槽卧槽。。。。
牌面！！！冠军冬瓜汤
曲错币无
卧槽
卧槽
这次一定
卧槽
今晚冬瓜汤
上链接
1000+
不要在意这些细节 老板不一定懂这个的呀
怎么感觉雕的是我啊
牛逼
卧槽
你特么刻我瓜！
牛逼
 这是我这几天见到最离谱的edg
牛
刨瓜皮我会
一开始我以为要刻个奖杯出来
您
这是我吃不起的冬瓜了
您
你买不起的冬瓜
您
火钳刘明
卧槽
牛逼
瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜瓜
卧槽
进度条不对劲
牛逼！！
RGB！！RGB！！
比我写的字都好看
FPX：该我出镜了
牛
哇哇哇
牛
吃不起的样子
可以
离天下之大铺
卧槽，圣枪哥太像了
牛逼
牛！！！
大佬！！！
6666666
下次一定
这踏马水果？
活不错。下次记得换个bgm
离谱
杰哥！
水果艺术是吧
我们是冠军！
草稿都不用？牛皮
您！
逐渐开始离谱
牛逼
卧槽
妹扣、圣枪哥和小学弟都挺像的
你这瓜是瓜皮是金子做的还是瓜
针不戳，今晚就拿它煲汤
魔法？
卧槽
卧槽
你币有了，离离原上谱
这瓜多少钱一斤呀
卧槽
注入灵魂
放19年主题曲不太对吧
666766
还能这么玩！牛逼
握草
卧槽
你特么刻我瓜
大哥带不带徒弟
牛批
离谱
太过分了
牛逼
流弊
让你欣赏雕工 你在这挑BGM
离谱
三连我交了
技术活没法赏
全体戴绿帽
离离原上谱
牛屲
这次一定
bgm放错了吧
大佬啊
惊为天人
魔法
离谱。
锅里水烧上！
庆祝夺冠
卧槽！
细啊
卧槽
您
我去
bgm一出直接给币
离离原上谱xswl
您
我没开弹幕吗
这瓜多少钱
我还以为只有字
就离谱
牛了。。。。。。
离谱还就那个属于是
卧槽
不打线稿么！
这个项目我投了
不对劲
卧槽！
我擦
我不太懂这些，我觉得这个背景音乐很燃很好听哇
卧槽
BGM不对啊
你这瓜多少钱一斤啊
加一点点细节
卧槽
你雕我瓜是吧
今天第一个币给你了
卧草？
卧槽牛逼！
牛
开始对麻瓜使用魔法
全程高能
卧槽
卧槽卧槽卧槽
卧槽
？bgm不对啊
离谱
卧槽
牛逼克死啦
牛
卧槽
BGM不是小凤凰的
woc
下锅配排骨绝对香٩(๑^o^๑)۶
注入灵魂
这是真牛逼
暴击了
冬瓜：你吃了我吧，别折磨我了
理由！
1000+在看。。。
EDGNB
这个值得三连
卧槽
厉害啊
卧槽
老哥手艺人
您
卧槽高级
今天中午吃EDG冬瓜
握草
太牛了吧
？？？？！！！！
我要这硬币有何用？
EDG老板看到直接收了！
这冬瓜何德何能啊
所以为什么不放不可阻挡？
你币有了
卧槽 牛逼
66666666
精准而优雅
比官方放的漫画人逼真。
瓜生巅峰
太像了
牛逼
甚至有眼镜
卧槽
牛哇
2倍新世界
离谱
背景音乐一响我还以为我闹钟响了
你这bgm味不对
你这瓜保。。。卧槽！
ohhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh
牛逼
圣枪哥也太像了！
What's up
瓜：逐渐值钱
66666
人脸都能雕出来吗卧槽
云up，放的什么bgm
您
卧槽
好强
7777777
甜野
挖槽
4年3冠 LPL稳坐第一赛区
圣枪哥的好像
冬瓜：这辈子值了
这瓜保值
卧槽
牛
跪着看大佬的视频
真心服气
币保不住了
卧槽
卧槽
卧槽
离谱
？？？瓜：那一天，我变成了光
我靠我靠我靠
牛逼
卧槽
？？？？
真的假的
哇
6666
这圣枪哥也太像了
卧槽
牛逼
哇哦哦
卧槽
66666
加亿点点细节
然后放了个s9的主题曲，嗯很搭调
瓜雕？
我留这币有何用？
拍卖吧
牛逼啊
圣枪哥雕太像了吧
巴黎人集合！
←前面注意：是冬瓜，不是麻瓜
真TM6
离谱
硬核手机架
牛
牛逼
冬瓜の仙人
LOL是6V6？
离离原上草
逐渐离谱
承认了，这是我买不起的瓜
卧槽
卧槽
优雅
牛逼啊
EDGNB
太帅了
卷起来了是吧，有人木雕，有人水果雕
牛逼
好活当赏
瓜皮and牛皮
66666
知道了，是我买不起的瓜
这个瓜能按市场价按斤卖给我吗 - -
s9的歌
离谱！！！
卧槽
我们是冠军，都别藏着掖着，给我高调点
窝瓜瓜神
凌迟
接下来你们就看不懂了吧
